id,name,state,area,area_id,wikipedia,wikipedia__en,group_id,group,term,source,coalition,coalition_id,name__en,image,gender,identifier__isni,identifier__viaf,identifier__gnd,identifier__lcauth,identifier__sudoc,birth_date,death_date,identifier__freebase,given_name,identifier__nta,identifier__oxforddnb,identifier__munzinger,family_name,identifier__musicbrainz,identifier__nla,identifier__nndb,identifier__npg,identifier__cantic,identifier__fifa,website,identifier__bnf,twitter,name__de,name__es,name__fr,name__hi,name__id,name__io,name__ja,name__jv,name__ko,name__ms,name__oc,name__pt,name__ru,name__sv,name__th,name__zh,name__de_ch,name__en_ca,name__en_gb,name__pt_br,name__ca,name__ta,name__it,name__uk,name__nb,name__da,name__nn,name__nl,wikipedia__de,wikipedia__es,wikipedia__fr,wikipedia__hi,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__jv,wikipedia__ko,wikipedia__ms,wikipedia__oc,wikipedia__pt,wikipedia__ru,wikipedia__sv,wikipedia__ta,wikipedia__th,wikipedia__uk,wikipedia__zh,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__ml,name__vi,name__sh,name__bcl,name__ar,name__tr,name__fi,name__fa,name__tl,name__min,name__az,name__bn,wikipedia__ar,wikipedia__az,wikipedia__bcl,wikipedia__bn,wikipedia__commons,wikipedia__da,wikipedia__fa,wikipedia__fi,wikipedia__min,wikipedia__ml,wikipedia__no,wikipedia__pl,wikipedia__sh,wikipedia__tl,wikipedia__tr,wikipedia__vi,wikipedia__nl,name__cs,name__sk,wikipedia__simple,name__sco,wikipedia__enwikiquote,wikipedia__sco,name__yo,name__et,name__el,name__yue,name__my,name__wuu,name__lt,name__eo,name__ckb,name__lv,name__la,name__hak,wikipedia__ckb,wikipedia__cs,wikipedia__el,wikipedia__enwikinews,wikipedia__eo,wikipedia__eowikinews,wikipedia__et,wikipedia__hak,wikipedia__la,wikipedia__lt,wikipedia__lv,wikipedia__my,wikipedia__thwikiquote,wikipedia__wuu,wikipedia__yo,wikipedia__zh_yue,wikipedia__ca,name__mr,name__kn,name__pa,name__ur,name__ne,wikipedia__kn,wikipedia__mr,wikipedia__ne,wikipedia__pa,wikipedia__ur,name__nds,name__vmf,name__eu,name__war,name__kk,name__qu,wikipedia__eu,wikipedia__kk,wikipedia__nnwikiquote,wikipedia__plwikiquote,wikipedia__qu,wikipedia__war,name__lmo,identifier__imdb,name__hu,name__gl,wikipedia__gl,wikipedia__hu,name__ka,wikipedia__ka,name__zh_my,name__nan,name__so,name__sa,name__is,name__mk,name__kk_arab,name__kk_cn,name__kk_tr,name__kk_kz,name__kk_cyrl,name__kk_latn,name__bs,name__sr,name__mg,name__ace,name__new,name__ba,wikipedia__ace,wikipedia__arwikiquote,wikipedia__ba,wikipedia__bswikiquote,wikipedia__dewikiquote,wikipedia__is,wikipedia__itwikiquote,wikipedia__mg,wikipedia__mk,wikipedia__new,wikipedia__sa,wikipedia__so,wikipedia__sr,wikipedia__trwikiquote,wikipedia__zh_min_nan,name__ky,wikipedia__ky,name__hr,wikipedia__hr,name__zh_mo
chew_biow_chuon,Chew Biow Chuon,Perak,"Bruas, Perak",P044-2,,,MCA,Malaysian Chinese Association,2,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamzah_abu_samah,Hamzah Abu Samah,Pahang,"Raub, Pahang",P059-2,http://en.wikipedia.org/wiki/Hamzah_Abu_Samah,Hamzah Abu Samah,UMNO,United Malays National Organisation,2,,Alliance Party,Alliance,Hamzah Abu Samah,,male,,,,,,1924-01-05,2012-09-04,/m/0gmdd3l,,,,,,,,,,,,,,,Abu Samah,Hamzah Abu Samah,,,,,,,,Hamzah Abu Samah,,,,Hamzah Abu Samah,,,,,,,,,,,Hamzah Abu Samah,Hamzah Abu Samah,Hamzah Abu Samah,Hamzah Abu Samah,Abu Samah,Hamzah Abu Samah,,,,,,,,,Hamzah Abu Samah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
musa_hitam,Musa Hitam,Johore,"Segamat Utara, Johore",P103-2,http://en.wikipedia.org/wiki/Musa_Hitam,Musa Hitam,UMNO,United Malays National Organisation,2,,Alliance Party,Alliance,Musa Hitam,,male,0000 0000 6737 1253,91802211,,,,1934-04-18,,/m/03fss6,,,,,,,,,,,,,,,Musa Hitam,Musa Hitam,Musa Hitam,,Musa Hitam,,,,무사 히탐,Musa Hitam,,,,Musa Hitam,,,,,,,,,,,Musa Hitam,Musa Hitam,Musa Hitam,Musa Hitam,,,,,Musa Hitam,,,,,무사 히탐,Musa Hitam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senu_abdul_rahman,Senu Abdul Rahman,Kedah,"Kuala Kedah, Kedah",P007-3,http://en.wikipedia.org/wiki/Senu_Abdul_Rahman,Senu Abdul Rahman,UMNO,United Malays National Organisation,3,,Alliance Party,Alliance,Senu Abdul Rahman,,male,,72529680,,,,1919-01-01,1995-01-01,,,,,,,,,,,,,,,,Senu Abdul Rahman,,Senu Abdul Rahman,,,,,,,,,,,,,,,,,,,,Senu Abdul Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghazali_shafie,Ghazali Shafie,Pahang,"Lipis, Pahang",P064-3,http://en.wikipedia.org/wiki/Ghazali_Shafie,Ghazali Shafie,UMNO,United Malays National Organisation,3,,Alliance Party,Alliance,Ghazali Shafie,https://upload.wikimedia.org/wikipedia/commons/9/94/Ghazali_Shafie_(crop).jpg,male,,193683750,170036081,,,1922-03-22,2010-01-24,/m/0b6lvn9,,,,,,,,,,,,,,,Ghazali Shafie,Ghazali Shafie,Ghazali Shafie,,,,ガザリ・シャフィ,,,Ghazali Shafie,,,"Шафи, Газали",Ghazali Shafie,,,,,,,,,,,Ghazali Shafie,Ghazali Shafie,Ghazali Shafie,Ghazali Shafie,Ghazali Shafie,,,,,,,ガザリ・シャフィ,,,Ghazali Shafie,,,"Шафи, Газали",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ghazali Shafie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mohd._tahir_abdul_manan,Mohd. Tahir Abdul Manan,Selangor,"Kapar, Selangor",P067-3,,,UMNO,United Malays National Organisation,3,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael_chen_wing_sum,Michael Chen Wing Sum,Selangor,"Ulu Selangor, Selangor",P078-3,,,MCA,Malaysian Chinese Association,3,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mokhtar_hashim,Mokhtar Hashim,Negri Sembilan,"Rembau-Tampin, Negri Sembilan",P081-3,,,UMNO,United Malays National Organisation,3,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abdul_rahman_sabri,Abdul Rahman Sabri,Johore,"Johore Timor, Johore",P102-3,,,UMNO,United Malays National Organisation,3,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joseph_valentine_cotter,Joseph Valentine Cotter,Sarawak,"Bau-Lundu, Sarawak",P121-3,,,SUPP,Sarawak United Peoples' Party,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jawan_empaling,Jawan Empaling,Sarawak,"Rajang, Sarawak",P135-3,,,SUPP,Sarawak United Peoples' Party,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abdul_manan_othman,Abdul Manan Othman,Trengganu,"Kemaman, Trengganu",P034-4,,,UMNO,United Malays National Organisation,4,,Barisan Nasional,BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
najib_razak,Najib Razak,Pahang,"Pekan, Pahang",P071-4,http://en.wikipedia.org/wiki/Najib_Razak,Najib Razak,UMNO,United Malays National Organisation,4,,Barisan Nasional,BN,Najib Razak,https://upload.wikimedia.org/wikipedia/commons/7/70/Dato_Sri_Mohd_Najib_Tun_Razak.JPG,male,,103418701,140115854,n84183609,,1953-07-23,,/m/02lb6k,Mohd,,,00000027931,,,,,,,,,,,Najib Razak,Najib Tun Razak,Najib Razak,,Najib Tun Razak,,ナジブ・ラザク,Najib Razak,나집 툰 라작,Mohd Najib bin Abdul Razak,Najib Razak,Najib Razak,Наджиб Тун Разак,Najib Tun Razak,นาจิบ ราซะก์,纳吉·阿都拉萨,,,Mohd Najib Abdul Razak,,Najib Razak,நஜீப் துன் ரசாக்,Najib Razak,Наджиб Разак,Najib Tun Razak,Najib Razak,Mohd Najib bin Abdul Razak,Najib Razak,Najib Razak,Najib Tun Razak,Najib Razak,,Najib Tun Razak,,Najib Razak,ナジブ・ラザク,Najib Razak,나집 라작,Mohd Najib bin Abdul Razak,,Najib Razak,Наджиб Тун Разак,Najib Tun Razak,நஜீப் துன் ரசாக்,นาจิบ ราซะก์,Наджиб Разак,纳吉·阿都拉萨,,,,,,,Najib Tun Razak,നജീബ് തുൻ റസാഖ്,Mohd Najib bin Abdul Razak,,,نجيب تون عبد الرزاق,Necip Rezak,Najib Tun Razak,نجیب تون رزاق,,,Najib Tun Abdul Razak,,نجيب تون عبد الرزاق,Nəcib Tun Əbdürrazaq,,,Najib Tun Razak,Najib Razak,نجیب تون رزاق,Najib Razak,,നജീബ് തുൻ റസാഖ്,Najib Tun Razak,Najib Tun Razak,,,Necip Rezak,Mohd Najib bin Abdul Razak,,Najib Razak,,Najib Razak,Najib Razak,Najib Razak,Najib Razak,Najib Tun Razak,Najib Razak,Νατζίμπ Ραζάκ,亞都拉薩拿督,နာဂျစ် ရာဇက်,拿督阿都拉萨,Najib Tun Razak,Naĝib Razak,نەجیب ڕەزاق,Nadžibs Razaks,Najib Tun Razak,Na̍p-kit Â-tû Là-sat,نەجیب ڕەزاق,Najib Razak,Νατζίμπ Ραζάκ,Category:Najib Razak,Naĝib Razak,Kategorio:Naĝib RAZAK,Najib Razak,Na̍p-kit Â-tû Là-sat,Najib Tun Razak,Najib Tun Razak,Nadžibs Razaks,နာဂျစ် ရာဇက်,นาจิบ ราซะก์,拿督阿都拉萨,Najib Tun Razak,阿都拉薩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rosemary_chow_poh_kheng,Rosemary Chow Poh Kheng,Selangor,"Selayang, Selangor",P077-4,,,MCA,Malaysian Chinese Association,4,,Barisan Nasional,BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saadun_muhammad_noh,Saadun Muhammad Noh,Johore,"Panti, Johore",P102-4,,,UMNO,United Malays National Organisation,4,,Barisan Nasional,BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ikhwan_nasir,Ikhwan Nasir,Johore,"Pontian, Johore",P105-4,,,UMNO,United Malays National Organisation,4,,Barisan Nasional,BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aliuddin_mohd._tahir,Aliuddin Mohd. Tahir,Sabah,"Kimanis, Sabah",P125-4,,,USNO,United Sabah National Organisation,4,,Barisan Nasional,BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harris_salleh,Harris Salleh,Sabah,"Keningau, Sabah",P127-4,http://en.wikipedia.org/wiki/Harris_Salleh,Harris Salleh,BERJAYA,Sabah People's United Front,4,,Barisan Nasional,BN,Harris Salleh,,male,,79406983,119003562,,,1930-11-04,,/m/02p_zfr,Harris,,,,,,,,,,,,,,Harris Salleh,Harris Salleh,Harris Salleh,,,,,,,Harris Salleh,,,,Harris Salleh,,,,,,,,,,,Harris Salleh,Harris Salleh,Harris Salleh,Harris Salleh,Harris Salleh,,,,,,,,,,Harris Salleh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
