name,area,party,term,source
Monyane Moleleki,Machache,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Tsukutlane Au,Thaba - Putsoa,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mankoe James Maime,Maama,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Motebang Koma,Koro - Koro,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Nkaku Ernest Kabi,Qeme,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
'Mathabiseng Arcylia Phohleli,Rothe,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mokhele Stephen Moletsane,Matsieng,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mootsi Samuel Lehata,Makhaleng,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Kotiti Lawson Diholo,Maletsunyane,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mohau Hlalele,Thaba - Phechela,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Teboho Poul Lehloenya,Kolo,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Maimane Philemon Maphathe,Matelile,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Lehlohonolo Hlapisi,Maliepetsane,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Selibe Machoboroane,Thabana-Morena,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Khotso Elias Letsatsi,Likhoele,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Motlalentoa Letsosa,Qalabane,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Temeki Phoenix Tsólo,Mafeteng,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Phallang Eliot Monare,Taung,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Palo Leteetee,Qhalasi,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Sentje Leornad Lebona,Mohale's Hoek,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Kamoho Joseph Moroeng,Mekaling,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Lethusang Daniel Kompi,Qaqatu,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Phutuhelo Daniel Mafereka,Mpharane,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
'Marefuoe Alice 'Muso,Ketane,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Ntlhoi Motsamai,Hloahloeng,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Ndiwuhleli Ndlomose,Tele,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Rapitso Mahooana George Khati,Moyeni,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Kabelo Mafura,Sebapala,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Thesele John Maseribane,Mount Moorosi,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mathibeli Edwin Mokhothu,Qhoali,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Dr. Pontšo Susan 'Matumelo   Sekatle,Qacha's Nek,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Semano Henry Sekatle,Lebakeng,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Dr. Pakalitha B.   Mosisili,Tsoelike,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
'Masuthang A. Taole,Mantšonyane,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Tjoetsane Alexis Seoka,Thaba-Moea,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
'Maneo 'Mathabo Nelly Moremoholo,Thaba-Tseka,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Jobo Sekautu,Semena,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Tšoeu Phineas Mokeretla,Mashai,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Serialong Qoo,Malingoaneng,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Likeleli Tampane -   Monare,Senqu,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Tefo Fabian Mapasela,Mokhotlong,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mooki Jobo Sello,Bobatsi,"",9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mamandla Musa,Proportional Representation,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mampho M. Mokhele,Proportional Representation,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Lechoo D. Setenane,Proportional Representation,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mamotsie V. Motsie,Proportional Representation,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Majoro N. Mohapi,Proportional Representation,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mabatsoeneng E. Sibolla,Proportional Representation,ABC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Tsoeu Thulo Mahlakeng,Proportional Representation,BCP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Nthabiseng Lucia Makoae,Proportional Representation,BNP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Joang Molapo,Proportional Representation,BNP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Makhotso Matsumunyane,Proportional Representation,BNP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Lesojane F. Leuta,Proportional Representation,BNP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mamoshoeshoe Molapo,Proportional Representation,BNP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mothepu Moliko,Proportional Representation,BNP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Tlohang Sekhamane,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Refiloe Litjobo,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Lineo Irene Molise,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Ralechate Mokose,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Rethabile Marumo,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
'Maboiketlo Maliehe,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mathabo Shao,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mahali Agnes Phamotse,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Kose Julius Makoa,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mamosa Molapo,Proportional Representation,DC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mafako Molefe,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Lejaka Lesoma,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Liteboho Kompi,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Thabang Pheko,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Matlosa Lebusa,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Tsoanelo Ramakeoane,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mapalesa Mothokho,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mokoinihi Thinyane,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Tseleng Mosenyehi,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Molobeli Soulo,Proportional Representation,LCD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Lekhetho Rakuoane,Proportional Representation,PFD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Mamotikoe Khiba,Proportional Representation,PFD,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Molahlehi Tiisetso Letlotlo,Proportional Representation,LPC,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Vincent M. Malebo,Proportional Representation,MFP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Kimetso Mathaba,Proportional Representation,NIP,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Keketso 'Manthabiseng Rants'o,Proportional Representation,RCL,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
Motloheloa Phooko,Proportional Representation,RCL,9,http://www.parliament.ls/assembly/index.php?option=com_content&view=article&id=37&Itemid=56
