id,name__zh,name__en,image,term,source,wikiname__zh,name,wikipedia__zh,wikipedia__en,gender,birth_date,family_name,given_name,identifier__freebase,name__de,name__nl,wikipedia__commons,name__es,name__yue,wikipedia__zh_yue,name__fr,name__zh_cn,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_mo,name__zh_my,name__zh_sg,name__zh_tw,name__it,name__nb,name__pt,wikipedia__pt
chan_hong,陳虹,CHAN HONG,http://www.al.gov.mo/dep_2013/img/27.jpg,10,http://www.al.gov.mo/dep_2013/cn/chan%20hong.htm,"",CHAN HONG,,,,,,,,,,,,,,,,,,,,,,,,,,
lei_cheng_i,李靜儀,LEI CHENG I,http://www.al.gov.mo/dep_2013/img/31.jpg,10,http://www.al.gov.mo/dep_2013/cn/lei%20cheng%20i.htm,zh-yue:李靜儀 (議員),LEI CHENG I,,,,,,,,,,,,,,,,,,,,,,,,,,
kwan_tsui_hang,關翠杏,KWAN TSUI HANG,http://www.al.gov.mo/dep_2013/img/06.jpg,10,http://www.al.gov.mo/dep_2013/cn/kwan_tsui_hang.htm,關翠杏,KWAN TSUI HANG,關翠杏,Kwan Tsui Hang,female,1949-09-22,Guan,,,Kwan Tsui Hang,,,Kwan Tsui Hang,關翠杏,,Kwan Tsui Hang,,,,關翠杏,,,,,,,,
ng_kuok_cheong,吳國昌,NG KUOK CHEONG,http://www.al.gov.mo/dep_2013/img/08.jpg,10,http://www.al.gov.mo/dep_2013/cn/ng_kuok_cheong.htm,吳國昌,NG KUOK CHEONG,吳國昌,Antonio Ng,male,1957-09-26,,Antonio,,Antonio Ng,,Category:Ng Kuok Cheong António,,,,,,,,,,,,,,,,
au_kam_san,區錦新,AU KAM SAN,http://www.al.gov.mo/dep_2013/img/13.jpg,10,http://www.al.gov.mo/dep_2013/cn/au_kam_san.htm,區錦新,AU KAM SAN,區錦新,Au Kam San,male,1957-04-30,,,,Au Kam San,Au Kam San,Category:Au Kam San,,,,,,,,,,,,,,,,
jose_pereira,高天賜,JOSÉ MARIA PEREIRA COUTINHO,http://www.al.gov.mo/dep_2013/img/15.jpg,10,http://www.al.gov.mo/dep_2013/cn/jose_pereira.htm,高天賜,JOSÉ MARIA PEREIRA COUTINHO,高天賜,José Pereira Coutinho,male,1957-07-22,,José,/m/0w32xn8,José Pereira Coutinho,José Pereira Coutinho,,José Pereira Coutinho,,,,,,,,,,,,,,José Maria Pereira Coutinho,José Maria Pereira Coutinho
leong_on_kei,梁安琪,LEONG ON KEI,http://www.al.gov.mo/dep_2013/img/17a.jpg,10,http://www.al.gov.mo/dep_2013/cn/leong_on_kei.htm,梁安琪 (澳門),LEONG ON KEI,梁安琪 (澳門),Leong On-kei,female,1961-03-23,Liang,Angela,,Angela Leong,Angela Leong,,Leong On-kei,,,Angela Leong,,梁安琪,梁安琪,,,,,,Angela Leong,Angela Leong,,
chan_meng_kam,陳明金,CHAN MENG KAM,http://www.al.gov.mo/dep_2013/img/18.jpg,10,http://www.al.gov.mo/dep_2013/cn/chan_meng_kam.htm,陳明金,CHAN MENG KAM,陳明金,Chan Meng Kam,male,1962-11-09,Chen,,,Chan Meng Kam,Chan Meng Kam,,Chan Meng Kam,陳明金,,,,,,陳明金,,,,,,,,
mak_soi_kun,麥瑞權,MAK SOI KUN,http://www.al.gov.mo/dep_2013/img/20.jpg,10,http://www.al.gov.mo/dep_2013/cn/mak%20soi%20kun.htm,麥瑞權,MAK SOI KUN,麥瑞權,Mak Soi Kun,male,1956-04-15,,,,Mak Soi Kun,,,,,,,,,,,,,,,,,,
ho_ion_sang,何潤生,HO ION SANG,http://www.al.gov.mo/dep_2013/img/22.jpg,10,http://www.al.gov.mo/dep_2013/cn/ho%20ion%20sang.htm,何潤生,HO ION SANG,何潤生,Ho Ion Sang,male,1961-09-02,,,,Ho Ion Sang,,,,,,,,,,,,,,,,,,
chan_mei_yi,陳美儀,"CHAN, MELINDA MEI YI",http://www.al.gov.mo/dep_2013/img/23.jpg,10,http://www.al.gov.mo/dep_2013/cn/chan_mei_yi.htm,"","CHAN, MELINDA MEI YI",,,,,,,,,,,,,,,,,,,,,,,,,,
leong_veng_chai,梁榮仔,LEONG VENG CHAI,http://www.al.gov.mo/dep_2013/img/25.jpg,10,http://www.al.gov.mo/dep_2013/cn/leong%20veng%20chai.htm,"",LEONG VENG CHAI,,,,,,,,,,,,,,,,,,,,,,,,,,
zheng_anting,鄭安庭,ZHENG ANTING,http://www.al.gov.mo/dep_2013/img/28.jpg,10,http://www.al.gov.mo/dep_2013/cn/zheng%20anting.htm,"",ZHENG ANTING,,,,,,,,,,,,,,,,,,,,,,,,,,
si_ka_lon,施家倫,SI KA LON,http://www.al.gov.mo/dep_2013/img/29.jpg,10,http://www.al.gov.mo/dep_2013/cn/si%20ka%20lon.htm,施家倫,SI KA LON,,,,,,,,,,,,,,,,,,,,,,,,,,
wong_kit_cheng,黃潔貞,WONG KIT CHENG,http://www.al.gov.mo/dep_2013/img/32.jpg,10,http://www.al.gov.mo/dep_2013/cn/wong%20kit%20cheng.htm,"",WONG KIT CHENG,,,,,,,,,,,,,,,,,,,,,,,,,,
song_pek_kei,宋碧琪,SONG PEK KEI,http://www.al.gov.mo/dep_2013/img/33.jpg,10,http://www.al.gov.mo/dep_2013/cn/song%20pek%20kei.htm,"",SONG PEK KEI,,,,,,,,,,,,,,,,,,,,,,,,,,
fong_chi_keong,馮志強,FONG CHI KEONG,http://www.al.gov.mo/dep_2013/img/05.jpg,10,http://www.al.gov.mo/dep_2013/cn/fong_chi_keong.htm,馮志強 (澳門),FONG CHI KEONG,馮志強 (澳門),Fong Chi Keong,male,1947-11-16,Feng,,,Fong Chi Keong,,,Fong Chi Keong,,,,,,,,,,,,,,,
tsui_wai_kwan,徐偉坤,TSUI WAI KWAN,http://www.al.gov.mo/dep_2013/img/10.jpg,10,http://www.al.gov.mo/dep_2013/cn/tsui_wai_kwan.htm,"",TSUI WAI KWAN,,,,,,,,,,,,,,,,,,,,,,,,,,
vong_hin_fai,黃顯輝,VONG HIN FAI,http://www.al.gov.mo/dep_2013/img/14.jpg,10,http://www.al.gov.mo/dep_2013/cn/vong_hin_fai.htm,"",VONG HIN FAI,,,,,,,,,,,,,,,,,,,,,,,,,,
lau_veng_seng,劉永誠,LAU VENG SENG,http://www.al.gov.mo/dep_2013/img/19.jpg,10,http://www.al.gov.mo/dep_2013/cn/lau%20veng%20seng.htm,劉永誠,LAU VENG SENG,劉永誠,,male,,Liu,,,,,,,,,,,,,,,,,,,,,
sio_chi_wai,蕭志偉,SIO CHI WAI,http://www.al.gov.mo/dep_2013/img/21.jpg,10,http://www.al.gov.mo/dep_2013/cn/sio%20chi%20wai.htm,"",SIO CHI WAI,,,,,,,,,,,,,,,,,,,,,,,,,,
tong_io_cheng,唐曉晴,TONG IO CHENG,http://www.al.gov.mo/dep_2013/img/24.jpg,10,http://www.al.gov.mo/dep_2013/cn/tong%20io%20cheng.htm,"",TONG IO CHENG,,,,,,,,,,,,,,,,,,,,,,,,,,
ma_chi_seng,馬志成,MA CHI SENG,http://www.al.gov.mo/dep_2013/img/30.jpg,10,http://www.al.gov.mo/dep_2013/cn/ma%20chi%20seng.htm,"",MA CHI SENG,,,,,,,,,,,,,,,,,,,,,,,,,,
