id,name,source,area,email,image,term
209,"Гургулия Апполон Алмасханович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=209,27,gurgulia.a@parlamentra.org,http://www.parlamentra.org/upload/iblock/84a/gurgulia.jpg,5
163,"Кварчия Валерий Ермейович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=163,21,kvarchia.v@parlamentra.org,http://www.parlamentra.org/upload/iblock/6e9/kvarchia-v.jpg,5
206,"Зухба Юрий Зауриевич",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=206,25,zukhba.z@parlamentra.org,http://www.parlamentra.org/upload/iblock/090/zukhba.jpg,5
205,"Квициния Нодик Юрьевич",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=205,34,kvitsinia.n@parlamentra.org,http://www.parlamentra.org/upload/iblock/06c/kvitsinia-n.jpg,5
161,"Цвинария Беслан Константинович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=161,3,tsvinaria.b@parlamentra.org,http://www.parlamentra.org/upload/iblock/ede/tsvinaria-b.jpg,5
159,"Сангулия Михаил Петрович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=159,15,sangulia.m@parlamentra.org,http://www.parlamentra.org/upload/iblock/e1c/sangulia-m.jpg,5
155,"Квеквескири Ахра Вячеславович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=155,33,kvekveskiri.a@parlamentra.org,http://www.parlamentra.org/upload/iblock/715/kvekveskiri-a.jpg,5
154,"Гунба Дмитрий Георгиевич",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=154,17,gunba.d@parlamentra.org,http://www.parlamentra.org/upload/iblock/17b/gunba-d.jpg,5
153,"Губаз Беслан Шутикович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=153,8,gubaz.b@parlamentra.org,http://www.parlamentra.org/upload/iblock/100/gubaz-b.jpg,5
152,"Пачулия Ахра Георгиевич",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=152,18,pachulia.a@parlamentra.org,http://www.parlamentra.org/upload/iblock/e96/pachulia-a.jpg,5
149,"Харазия Саид Геннадиевич",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=149,23,kharazia.s@parlamentra.org,http://www.parlamentra.org/upload/iblock/11e/kharazia-s.jpg,5
146,"Галустян Левон Миружанович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=146,20,galustian.l@parlamentra.org,http://www.parlamentra.org/upload/iblock/48b/galustyan.jpg,5
144,"Кварчия Кан Валерьевич",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=144,31,kvarchia.k@parlamentra.org,http://www.parlamentra.org/upload/iblock/122/kvarchia-k.jpg,5
142,"Кобахия Аслан Алексеевич",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=142,2,kobakhia.a@parlamentra.org,http://www.parlamentra.org/upload/iblock/9d6/kobakhia-a.jpg,5
138,"Язычба Заур Гайдарович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=138,7,yazitchba.z@parlamentra.org,http://www.parlamentra.org/upload/iblock/30b/yazichba.jpg,5
141,"Убирия Бежан Михайлович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=141,35,ubiria.b@parlamentra.org,http://www.parlamentra.org/upload/iblock/bfe/ubiria.jpg,5
160,"Квициния Темур Паатович",http://www.parlamentra.org/rus/officials/?ELEMENT_ID=160,28,kvitsinia.t@parlamentra.org,http://www.parlamentra.org/upload/iblock/140/kvitsinia-2.jpg,5
