id,given_name,family_name,birth_date,gender,area,area_id,group,group_id,term,source
IME,Ine M. Eriksen,Søreide,1976-05-02,female,Oslo,Os,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
IN,Iselin,Nybø,1981-05-14,female,Rogaland,Ro,Venstre,V,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
INK,Ingvild,Kjerkol,1975-05-18,female,Nord-Trøndelag,NT,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
ISC,Ingjerd,Schou,1955-01-20,female,Østfold,Øs,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
JAE,Jan Arild,Ellingsen,1958-10-09,male,Nordland,No,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
JASP,Jorodd,Asphjell,1960-07-17,male,Sør-Trøndelag,ST,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
JBO,Jan,Bøhler,1952-03-01,male,Oslo,Os,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
JES,Jens,Stoltenberg,1959-03-16,male,Oslo,Os,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
JF,Jan-Henrik,Fredriksen,1956-10-02,male,Finnmark,Fi,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
JFC,Jette F.,Christensen,1983-06-01,female,Hordaland,Ho,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
JGS,Jonas Gahr,Støre,1960-08-25,male,Oslo,Os,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
JHR,Jørund,Rytman,1977-05-04,male,Buskerud,Bu,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
JKL,Jenny,Klinge,1975-11-28,female,Møre og Romsdal,MR,Senterpartiet,Sp,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
JSN,Janne Sjelmo,Nordås,1964-05-11,female,Nordland,No,Senterpartiet,Sp,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
JTS,Jan Tore,Sanner,1965-05-06,male,Akershus,Ak,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
KAEL,Kårstein Eidem,Løvaas,1967-11-10,male,Vestfold,Ve,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
KARH,Kari,Henriksen,1955-08-10,female,Vest-Agder,VA,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
KAT,Karianne O.,Tung,1984-01-21,female,Sør-Trøndelag,ST,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
KEG,Kent,Gudmundsen,1978-03-05,male,Troms,Tr,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
KES,Kenneth,Svendsen,1954-08-02,male,Nordland,No,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
KETK,Ketil,Kjenseth,1968-08-13,male,Oppland,Op,Venstre,V,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
KIB,Kirsti,Bergstø,1981-07-01,female,Finnmark,Fi,Sosialistisk Venstreparti,SV,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
KJR,Kjell Ingolf,Ropstad,1985-06-01,male,Aust-Agder,AA,Kristelig Folkeparti,KrF,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
KJT,Kjersti,Toppe,1967-10-20,female,Hordaland,Ho,Senterpartiet,Sp,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
KJU,Kjell-Idar,Juvik,1966-05-21,male,Nordland,No,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
KKK,Kari Kjønaas,Kjos,1962-01-25,female,Akershus,Ak,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
KNAH,Knut Arild,Hareide,1972-11-23,male,Hordaland,Ho,Kristelig Folkeparti,KrF,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
KNUS,Knut,Storberget,1964-10-06,male,Hedmark,He,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
KOJ,Kristin Ørmen,Johnsen,1953-03-08,female,Buskerud,Bu,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
KRV,Kristin,Vinje,1963-06-10,female,Oslo,Os,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
KSIM,Kåre,Simensen,1955-08-30,male,Finnmark,Fi,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
KAAN,Karin,Andersen,1952-12-16,female,Hedmark,He,Sosialistisk Venstreparti,SV,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
LCH,Linda C. Hofstad,Helleland,1977-08-26,female,Sør-Trøndelag,ST,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
LHH,Line Henriette,Hjemdal,1971-10-18,female,Østfold,Øs,Kristelig Folkeparti,KrF,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
LIB,Lisbeth,Berg-Hansen,1963-03-14,female,Nordland,No,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
LIC,Lise,Christoffersen,1955-08-05,female,Buskerud,Bu,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
LSN,Liv Signe,Navarsete,1958-10-23,female,Sogn og Fjordane,SF,Senterpartiet,Sp,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
LVA,Lene,Vågslid,1986-03-17,female,Telemark,Te,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
MAGR,Magne,Rommetveit,1956-04-27,male,Hordaland,Ho,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
MAKO,Martin,Kolberg,1949-02-24,male,Buskerud,Bu,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
MAM,Marianne,Marthinsen,1980-08-25,female,Oslo,Os,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
MEBB,Margunn,Ebbesen,1962-09-04,female,Nordland,No,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
MET,Mette,Tønder,1969-11-03,female,Akershus,Ak,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
MHE,Martin,Henriksen,1979-01-05,male,Troms,Tr,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
MIT,Michael,Tetzschner,1954-02-09,male,Oslo,Os,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
MN,Marit,Nybakk,1947-02-14,female,Oslo,Os,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
MOJ,Morten Ørsal,Johansen,1964-09-11,male,Oppland,Op,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
MOW,Morten,Wold,1967-06-22,male,Buskerud,Bu,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
MUK,Mudassar,Kapur,1976-12-14,male,Oslo,Os,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
MAA,Marit,Arnstad,1962-05-04,female,Nord-Trøndelag,NT,Senterpartiet,Sp,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
MAAA,Marianne,Aasen,1967-02-21,female,Akershus,Ak,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
NA,Nikolai,Astrup,1978-06-12,male,Oslo,Os,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
NAJ,Nils Aage,Jegstad,1950-12-12,male,Akershus,Ak,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
NTB,Norunn Tveiten,Benestad,1956-11-08,female,Vest-Agder,VA,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
OBT,Ove,Trellevik,1965-08-15,male,Hordaland,Ho,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
ODDH,Odd,Henriksen,1965-03-01,male,Nordland,No,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
ODO,Odd,Omland,1956-01-29,male,Vest-Agder,VA,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
OG,Oskar J.,Grimstad,1954-11-08,male,Møre og Romsdal,MR,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
OLE,Ola,Elvestuen,1967-10-09,male,Oslo,Os,Venstre,V,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
OLET,Olemic,Thommessen,1956-04-18,male,Oppland,Op,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
OVB,Olaug V. ,Bollestad,1961-11-04,female,Rogaland,Ro,Kristelig Folkeparti,KrF,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
OYK,Øyvind,Korsberg,1960-01-31,male,Troms,Tr,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
PAF,Pål,Farstad,1959-04-01,male,Møre og Romsdal,MR,Venstre,V,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
PCF,Peter Christian,Frølich,1987-09-17,male,Hordaland,Ho,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
PES,Per,Sandberg,1960-02-06,male,Sør-Trøndelag,ST,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
POL,Per Olaf,Lundteigen,1953-04-18,male,Buskerud,Bu,Senterpartiet,Sp,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
PRH,Per Rune,Henriksen,1960-03-14,male,Hordaland,Ho,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
RAE,Rigmor Andersen,Eide,1954-06-26,female,Møre og Romsdal,MR,Kristelig Folkeparti,KrF,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
RAJH,Rasmus,Hansson,1954-09-04,male,Oslo,Os,Miljøpartiet De Grønne,MDG,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
RIAJ,Rigmor,Aasrud,1960-06-26,female,Oppland,Op,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
ROYS,Roy,Steffensen,1980-09-10,male,Rogaland,Ro,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
RUG,Ruth,Grung,1959-03-10,female,Hordaland,Ho,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
SAF,Svein,Flåtten,1944-10-14,male,Vestfold,Ve,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
SEL,Stein Erik,Lauvås,1965-05-03,male,Østfold,Øs,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
SHAR,Svein,Harberg,1958-07-30,male,Aust-Agder,AA,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
SHB,Sivert,Bjørnstad,1990-10-03,male,Sør-Trøndelag,ST,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
SHIL,Sigurd,Hille,1950-05-06,male,Hordaland,Ho,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
SHK,Solveig,Horne,1969-01-12,female,Rogaland,Ro,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
SIVJ,Siv,Jensen,1969-06-01,female,Oslo,Os,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
SME,Siri A.,Meling,1963-02-08,female,Rogaland,Ro,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
SMY,Sverre,Myrli,1971-08-26,male,Akershus,Ak,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
SNV,Snorre Serigstad,Valen,1984-09-16,male,Sør-Trøndelag,ST,Sosialistisk Venstreparti,SV,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
SOM,Sonja,Mandt,1960-03-29,female,Vestfold,Ve,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
SRH,Svein Roald,Hansen,1949-08-20,male,Østfold,Øs,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
STMH,Stefan,Heggelund,1984-10-08,male,Oslo,Os,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
STRH,Stine Renate,Håheim,1984-05-13,female,Oppland,Op,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
SVR,Sveinung,Rotevatn,1987-05-15,male,Sogn og Fjordane,SF,Venstre,V,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
SYG,Sylvi,Graham,1951-12-17,female,Akershus,Ak,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
TAJ,Tor André,Johnsen,1968-11-25,male,Hedmark,He,Fremskrittspartiet,FrP,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
TEB,Terje,Breivik,1965-03-24,male,Hordaland,Ho,Venstre,V,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
TELA,Terje,Aasland,1965-02-15,male,Telemark,Te,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
TG,Trond,Giske,1966-11-07,male,Sør-Trøndelag,ST,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
TIB,Tina,Bru,1986-04-18,female,Rogaland,Ro,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
TKF,Torgeir Knag,Fylkesnes,1975-06-04,male,Troms,Tr,Sosialistisk Venstreparti,SV,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
TKK,Tove Karoline,Knutsen,1951-01-14,female,Troms,Tr,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
TMI,Torgeir,Micaelsen,1979-05-20,male,Buskerud,Bu,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
TMS,Tone Merete,Sønsterud,1959-05-17,female,Hedmark,He,Arbeiderpartiet,A,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
TMV,Trygve Slagsvold,Vedum,1978-12-01,male,Hedmark,He,Senterpartiet,Sp,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
TOE,Torill,Eidsheim,1970-04-08,female,Hordaland,Ho,Høyre,H,2013-2017,http://data.stortinget.no/eksport/representanter?stortingsperiodeid=2013-2017
