name,group,wikipedia,wikipedia_title,area,term,source,wikidata,family_name,given_name,image,gender,birth_date
Lefter Koka,Socialist Movement for Integration,https://en.wikipedia.org/wiki/Lefter_Koka,Lefter Koka,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q6517015,,,,male,1964-08-04
Osman Metalla,Democratic Party,https://en.wikipedia.org/wiki/Osman_Metalla,Osman Metalla,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q7107089,,Osman,,male,
Rudina Seseri7,Socialist Party,https://en.wikipedia.org/wiki/Rudina_Seseri#endnote_7,Rudina Seseri,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Ylli Lama,Democratic Party,https://en.wikipedia.org/wiki/Ylli_Lama,Ylli Lama,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q8054011,,,,male,
Adriana Gjonaj,Democratic Party,https://en.wikipedia.org/wiki/Adriana_Gjonaj,Adriana Gjonaj,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q4685497,,Adriana,,female,
Agim Leka,Socialist Party,https://en.wikipedia.org/wiki/Agim_Leka,Agim Leka,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Ardian Turku,Democratic Party,https://en.wikipedia.org/wiki/Ardian_Turku,Ardian Turku,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q4788049,,Ardian,,male,
Damian Gjiknuri,Socialist Party,https://en.wikipedia.org/wiki/Damian_Gjiknuri,Damian Gjiknuri,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q5212255,,Damian,,male,1972-05-25
Dashnor Sula,Democratic Party,https://en.wikipedia.org/wiki/Dashnor_Sula,Dashnor Sula,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q5226652,,,,male,
Ilir Bejtja,Socialist Party,https://en.wikipedia.org/wiki/Ilir_Bejtja,Ilir Bejtja,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Luçiano Boçi,Democratic Party,https://en.wikipedia.org/wiki/Lu%C3%A7iano_Bo%C3%A7i,Luçiano Boçi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q6706730,,,,male,
Lulzim Basha2,Democratic Party,https://en.wikipedia.org/wiki/Lulzim_Basha#endnote_2,Lulzim Basha,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q1877224,,,https://upload.wikimedia.org/wikipedia/commons/a/ac/Lulzim_Basha_2012.jpg,male,1974-06-12
Rrahim Çota,Democratic Party,https://en.wikipedia.org/wiki/Rrahim_%C3%87ota,Rrahim Çota,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q7375548,,,,male,
Shegush Ligori,Socialist Party,https://en.wikipedia.org/wiki/Shegush_Ligori,Shegush Ligori,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Skender Hasa,Socialist Party,https://en.wikipedia.org/wiki/Skender_Hasa,Skender Hasa,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Sybi Hida,Democratic Party,https://en.wikipedia.org/wiki/Sybi_Hida,Sybi Hida,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q7659498,,,,male,
Taulant Balla,Socialist Party,https://en.wikipedia.org/wiki/Taulant_Balla,Taulant Balla,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Valentina Leskaj,Socialist Party,https://en.wikipedia.org/wiki/Valentina_Leskaj,Valentina Leskaj,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Albert Çaçi,Socialist Party,https://en.wikipedia.org/wiki/Albert_%C3%87a%C3%A7i,Albert Çaçi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Arben Çuko,Socialist Party,https://en.wikipedia.org/wiki/Arben_%C3%87uko,Arben Çuko,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Armando Subashi,Socialist Party,https://en.wikipedia.org/wiki/Armando_Subashi,Armando Subashi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Bashkim Fino,Socialist Party,https://en.wikipedia.org/wiki/Bashkim_Fino,Bashkim Fino,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q809978,,Bashkim,,male,1962-10-12
Dritan Prifti,Independent,"","",Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Enkelejd Alibeaj,Democratic Party,https://en.wikipedia.org/wiki/Enkelejd_Alibeaj,Enkelejd Alibeaj,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q5379020,,,,male,
Ermelinda Meksi,Socialist Party,https://en.wikipedia.org/wiki/Ermelinda_Meksi,Ermelinda Meksi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Ervin Koçi,Socialist Party,https://en.wikipedia.org/wiki/Ervin_Ko%C3%A7i,Ervin Koçi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Fatos Beja,Democratic Party,https://en.wikipedia.org/wiki/Fatos_Beja,Fatos Beja,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q5437935,,Fatos,,male,1948-11-29
Fatos Tushe3,Socialist Party,https://en.wikipedia.org/wiki/Fatos_Tushe#endnote_3,Fatos Tushe,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Gramoz Ruci,Socialist Party,https://en.wikipedia.org/wiki/Gramoz_Ruci,Gramoz Ruci,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Ilir Bano,Democratic Party,https://en.wikipedia.org/wiki/Ilir_Bano,Ilir Bano,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q5998372,,,,male,
Mesila Doda,Democratic Party,https://en.wikipedia.org/wiki/Mesila_Doda,Mesila Doda,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q13560214,,,,female,
Piro Lutaj,Socialist Party,https://en.wikipedia.org/wiki/Piro_Lutaj,Piro Lutaj,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Sokol Olldashi,Democratic Party,https://en.wikipedia.org/wiki/Sokol_Olldashi,Sokol Olldashi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q531531,,Sokol,,male,1972-12-17
Vasillaq Ngresi,Democratic Party,https://en.wikipedia.org/wiki/Vasillaq_Ngresi,Vasillaq Ngresi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q7916781,,,,male,
Arta Dade,Socialist Party,https://en.wikipedia.org/wiki/Arta_Dade,Arta Dade,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Et’hem Ruka,Socialist Party,https://en.wikipedia.org/wiki/Et%E2%80%99hem_Ruka,Et’hem Ruka,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Genc Ruli,Democratic Party,https://en.wikipedia.org/wiki/Genc_Ruli,Genc Ruli,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q463966,,Genc,,male,1958-04-11
Spiro Ksera,Democratic Party,https://en.wikipedia.org/wiki/Spiro_Ksera,Spiro Ksera,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q7578168,,,,male,
Vangjel Tavo,Socialist Movement for Integration,https://en.wikipedia.org/wiki/Vangjel_Tavo,Vangjel Tavo,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q7914795,,,,male,1969-12-17
Alfred Dalipi,Socialist Party,https://en.wikipedia.org/wiki/Alfred_Dalipi,Alfred Dalipi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Arben Ahmetaj,Socialist Party,https://en.wikipedia.org/wiki/Arben_Ahmetaj,Arben Ahmetaj,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Ben Blushi,Socialist Party,https://en.wikipedia.org/wiki/Ben_Blushi,Ben Blushi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q9168623,,Ben,,male,1969-01-01
Edmond Spaho,Democratic Party,https://en.wikipedia.org/wiki/Edmond_Spaho,Edmond Spaho,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q13038485,,Edmond,,male,
Fatbardh Kadilli,Democratic Party,https://en.wikipedia.org/wiki/Fatbardh_Kadilli,Fatbardh Kadilli,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q5437339,,Fatbardh,,male,
Gjergji Papa,Democratic Party,https://en.wikipedia.org/wiki/Gjergji_Papa,Gjergji Papa,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q5566000,,,,male,
Ismail Hoxha,Democratic Party,https://en.wikipedia.org/wiki/Ismail_Hoxha,Ismail Hoxha,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q16358728,,Ismail,,male,
Ledina Aliolli,Democratic Party,https://en.wikipedia.org/wiki/Ledina_Aliolli,Ledina Aliolli,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q6512678,,,,female,
Mimi Kodheli,Socialist Party,https://en.wikipedia.org/wiki/Mimi_Kodheli,Mimi Kodheli,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q14941827,,Mimi,,female,1964-09-11
Olta Xhacka,Socialist Party,https://en.wikipedia.org/wiki/Olta_Xhacka,Olta Xhacka,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Pandeli Majko,Socialist Party,https://en.wikipedia.org/wiki/Pandeli_Majko,Pandeli Majko,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q381214,,,https://upload.wikimedia.org/wikipedia/commons/e/e5/Defense.gov_News_Photo_050202-D-2987S-008.jpg,male,1967-11-15
Ridvan Bode,Democratic Party,https://en.wikipedia.org/wiki/Ridvan_Bode,Ridvan Bode,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q981747,,Ridvan,,male,1959-06-26
Asllan Dogjani,Socialist Party,https://en.wikipedia.org/wiki/Asllan_Dogjani,Asllan Dogjani,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Besnik Dushaj,Democratic Party,https://en.wikipedia.org/wiki/Besnik_Dushaj,Besnik Dushaj,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q4896330,,Besnik,,male,
Fatos Hoxha,Democratic Party,https://en.wikipedia.org/wiki/Fatos_Hoxha,Fatos Hoxha,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q5437937,,Fatos,,male,
Flamur Noka,Democratic Party,https://en.wikipedia.org/wiki/Flamur_Noka,Flamur Noka,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q5457338,,Flamur,,male,
Armando Prenga,Socialist Party,https://en.wikipedia.org/wiki/Armando_Prenga,Armando Prenga,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Edi Paloka,Democratic Party,https://en.wikipedia.org/wiki/Edi_Paloka,Edi Paloka,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q16353492,,Edi,,male,
Gjok Jaku4,Socialist Party,https://en.wikipedia.org/wiki/Gjok_Jaku#endnote_4,Gjok Jaku,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Gjovalin Kadeli,Socialist Party,https://en.wikipedia.org/wiki/Gjovalin_Kadeli,Gjovalin Kadeli,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Mark Marku,Democratic Party,https://en.wikipedia.org/wiki/Mark_Marku,Mark Marku,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q16234001,,Mark,,male,1991-12-06
Pavlina Hoti,Democratic Party,https://en.wikipedia.org/wiki/Pavlina_Hoti,Pavlina Hoti,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q7155936,,Pavlina,,female,
Rrajmond Hoxha,Democratic Party,https://en.wikipedia.org/wiki/Rrajmond_Hoxha,Rrajmond Hoxha,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Arenca Trashani,Democratic Party,https://en.wikipedia.org/wiki/Arenca_Trashani,Arenca Trashani,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q13037094,,,,female,
Astrit Bushati,Democratic Party,https://en.wikipedia.org/wiki/Astrit_Bushati,Astrit Bushati,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q4811460,,,,male,1962-08-21
Astrit Beci,Socialist Party,https://en.wikipedia.org/wiki/Astrit_Beci,Astrit Beci,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Gëzim Dibra5,Democratic Party,https://en.wikipedia.org/wiki/G%C3%ABzim_Dibra#endnote_5,Gëzim Dibra,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q5626069,,,,male,1956-11-08
Gjok Uldedaj,Democratic Party,https://en.wikipedia.org/wiki/Gjok_Uldedaj,Gjok Uldedaj,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q5566028,,,,male,
Ilir Beqja,Socialist Party,https://en.wikipedia.org/wiki/Ilir_Beqja,Ilir Beqja,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Jozefina Topalli,Democratic Party,https://en.wikipedia.org/wiki/Jozefina_Topalli,Jozefina Topalli,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q462441,,,https://upload.wikimedia.org/wikipedia/commons/9/96/Jozefina_Topalli_Senate_of_Poland.jpg,female,1963-11-26
Ndue Paluca,Democratic Party,https://en.wikipedia.org/wiki/Ndue_Paluca,Ndue Paluca,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q6983830,,,,male,
Ndue Kola,Socialist Party,https://en.wikipedia.org/wiki/Ndue_Kola,Ndue Kola,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Paulin Sterkaj,Democratic Party,https://en.wikipedia.org/wiki/Paulin_Sterkaj,Paulin Sterkaj,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q7154916,,Paulin,,male,
Tom Doshi,Socialist Party,https://en.wikipedia.org/wiki/Tom_Doshi,Tom Doshi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q13046875,,Tom,,male,
Aldo Bumçi,Democratic Party,https://en.wikipedia.org/wiki/Aldo_Bum%C3%A7i,Aldo Bumçi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q2832310,,Aldo,,male,1974-06-01
Andis Harasani,Socialist Party,https://en.wikipedia.org/wiki/Andis_Harasani,Andis Harasani,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Arben Imami,Democratic Party,https://en.wikipedia.org/wiki/Arben_Imami,Arben Imami,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q531489,,Arben,,male,1958-01-21
Artan Gaçi,Socialist Party,https://en.wikipedia.org/wiki/Artan_Ga%C3%A7i,Artan Gaçi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Besnik Baraj,Socialist Party,https://en.wikipedia.org/wiki/Besnik_Baraj,Besnik Baraj,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Bujar Nishani,Democratic Party,https://en.wikipedia.org/wiki/Bujar_Nishani,Bujar Nishani,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q57526,,Bujar,https://upload.wikimedia.org/wikipedia/commons/d/de/Bujar_Nishani_with_Michael_Spindelegger.jpg,male,1966-09-29
Dashamir Peza,Socialist Party,https://en.wikipedia.org/wiki/Dashamir_Peza,Dashamir Peza,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
Ditmir Bushati,Socialist Party,https://en.wikipedia.org/wiki/Ditmir_Bushati,Ditmir Bushati,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),Q14941831,,,https://upload.wikimedia.org/wikipedia/commons/0/06/Ditmir_Bushati_2014_(cropped).jpg,male,1977-03-24
Eduard Shalsi,Socialist Party,https://en.wikipedia.org/wiki/Eduard_Shalsi,Eduard Shalsi,Berat County,8,https://en.wikipedia.org/wiki/List_of_members_of_the_Assembly_of_the_Republic_of_Albania_(2009%E2%80%93present),,,,,,
