name,wikiname,group,area,term,source,id,name__tr,wikipedia__tr,name__en,wikipedia__en,gender,birth_date,given_name,identifier__freebase,image
Sunat Atun,"",National Unity Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Ersan Saner,"",National Unity Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Erdal Özcenk,"",National Unity Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Dursun Oğuz,"",National Unity Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Ahmet Kaşif,Ahmet Kaşif,Democratic Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q4696177,Ahmet Kaşif,Ahmet Kaşif,Ahmet Kaşif,Ahmet Kaşif,male,1950-01-01,Ahmet,,
Fikri Ataoğlu,"",Democratic Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Hakan Dinçyürek,"",Democratic Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Hüseyin Angolemli,"",Communal Democracy Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Abbas Sınay,"",Republican Turkish Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Salih İzbul,"",Republican Turkish Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Fazilet Özdenefe,"",Republican Turkish Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Ömer Kalyoncu,Ömer Kalyoncu,Republican Turkish Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q20669153,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,male,1950-01-01,,,
Ünal Üstel,"",National Unity Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Kutlu Evren,"",National Unity Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
İzlem Gürçağ,"",National Unity Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Özdemir Berova,"",Democratic Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Ergün Serdaroğlu,"",Democratic Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Zeki Çeler,Zeki Çeler,Communal Democracy Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q20744808,,"",Zeki Çeler,Zeki Çeler,male,,,,
Armağan Candan,"",Republican Turkish Party,Güzelyurt,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Mehmet Çağlar,"",Republican Turkish Party,Güzelyurt,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Hüseyin Erçal,"",Republican Turkish Party,Güzelyurt,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Ali Pilli,"",National Unity Party,Güzelyurt,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Kemal Dürüst,"",National Unity Party,Güzelyurt,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Menteş Gündüz,"",Democratic Party,Güzelyurt,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Önder Sennaroğlu,"",Republican Turkish Party,İskele,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Biray Hamzaoğlu,"",Republican Turkish Party,İskele,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Hüseyin Alanlı,"",Democratic Party,İskele,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Hamit Bakırcı,"",Democratic Party,İskele,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
Nazım Çavuşoğlu,"",National Unity Party,İskele,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,
