id,name,wikipedia__en,group,group_id,term,source,area,area_id,image,name__en,gender,given_name,birth_date,family_name,identifier__freebase,name__nl,name__de,name__nb,name__da,name__nn,name__sv,name__it,name__fr,name__es,wikipedia__es,name__pl,wikipedia__pl,name__ht,wikipedia__ht,name__zh,name__pt,name__ru,name__tr,name__fi,name__gl,name__et,name__id,name__mr,name__el,name__sh,name__ca,name__oc,name__io,wikipedia__ca,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__id,wikipedia__io,wikipedia__mr,wikipedia__no,wikipedia__oc,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__tr,wikipedia__zh,name__yo,wikipedia__yo,identifier__wikidata
alva-baptiste,Alva Baptiste,Alva Baptiste,SLP,Saint Lucia Labour Party,9,,Laborie,ocd-division/country:lc/constituency:laborie,http://www.govt.lc/media.govt.lc/www/employees/photos/AlvaJnBaptiste.jpg,Alva Baptiste,male,Alva,,,,Alva Baptiste,Alva Baptiste,Alva Baptiste,Alva Baptiste,Alva Baptiste,Alva Baptiste,Alva Baptiste,Alva Baptiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4737616
moses-jean-baptiste,Moses Jean Baptiste,Moses Jean Baptiste,SLP,Saint Lucia Labour Party,9,,Vieux Fort North,ocd-division/country:lc/constituency:vieux-fort-north,http://www.govt.lc/media.govt.lc/www/employees/photos/MosesJnBaptiste.jpg,Moses Jean Baptiste,male,Moses,,,,,Moses Jean Baptiste,Moses Jean Baptiste,Moses Jean Baptiste,Moses Jean Baptiste,Moses Jean Baptiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6915830
kenny-anthony,Kenny Anthony,Kenny Anthony,SLP,Saint Lucia Labour Party,9,,Vieux Fort South,ocd-division/country:lc/constituency:vieux-fort-south,http://www.govt.lc/media.govt.lc/www/employees/photos/Prime-Minister-Dr.-Kenny-Anthony.jpg,Kenny Anthony,male,Kenny,1951-01-08,,/m/021xts,Kenny Anthony,Kenneth Anthony,Kenny Anthony,Kenny Anthony,Kenny Anthony,Kenny Anthony,Kenny Anthony,Kenny Anthony,Kenneth Anthony,Kenny Anthony,Kenny Anthony,Kenny Anthony,,,肯尼·安东尼,Kenneth Anthony,"Энтони, Кенни",Kenny Anthony,Kenny Anthony,Kenneth Anthony,Kenny Anthony,Kenny Anthony,केनी अँथनी,Κένι Άντονι,Kenny Anthony,Kenny Anthony,Kenny Anthony,Kenny Davis Anthony,Kenny Anthony,Kenny Anthony,Kenneth Anthony,Κένι Άντονι,Kenny Anthony,Kenny Anthony,Kenny Anthony,Kenneth Anthony,Kenny Anthony,Kenny Davis Anthony,केनी अँथनी,Kenny Anthony,Kenny Anthony,Kenny Anthony,"Энтони, Кенни",Kenny Anthony,Kenny Anthony,肯尼·安东尼,,,Q57750
arsene-james,Arsene James,Arsene James,UWP,United Workers Party,9,,Micoud South,ocd-division/country:lc/constituency:micoud-south,http://www.govt.lc/media.govt.lc/www/employees/photos/arsenejames.jpg,Arsene James,male,,1944-10-30,James,,Arsene James,Arsene James,Arsene James,Arsene James,Arsene James,Arsene James,,Arsene James,Arsene James,Arsene James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4796441
gale-rigobert,Gale Rigobert,Gale Rigobert,UWP,United Workers Party,9,,Micoud North,ocd-division/country:lc/constituency:micoud-north,http://www.govt.lc/media.govt.lc/www/employees/photos/galerigobert.jpg,Gale Rigobert,female,,,,,,Gale Rigobert,Gale Rigobert,Gale Rigobert,Gale Rigobert,Gale Rigobert,Gale Rigobert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q5518285
edmund-estephane,Edmund Estephane,Edmund Estephane,UWP,United Workers Party,9,,Dennery South,ocd-division/country:lc/constituency:dennery-south,http://www.govt.lc/media.govt.lc/www/employees/photos/edmundestephane.jpg,Edmund Estephane,male,Edmund,1968-01-01,,,Edmund Estephane,Edmund Estephane,,,,,Edmund Estephane,Edmund Estephane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16198927
shawn-edwards,Shawn Edwards,"",SLP,Saint Lucia Labour Party,9,,Dennery North,ocd-division/country:lc/constituency:dennery-north,http://www.govt.lc/media.govt.lc/www/employees/photos/ShawnEdward0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leonard-montoute,Leonard Spider Montoute,Leonard Montoute,UWP,United Workers Party,8,,Gros Islet,ocd-division/country:lc/constituency:gros-islet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ezechiel-joseph,Ezechiel Joseph,Ezechiel Joseph,UWP,United Workers Party,8,,Babonneau,ocd-division/country:lc/constituency:babonneau,,Ezechiel Joseph,male,Ezechiel,,,,,Ezechiel Joseph,Ezechiel Joseph,Ezechiel Joseph,Ezechiel Joseph,Ezechiel Joseph,,,,,Ezechiel Joseph,Ezechiel Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q773795
stephenson-king,Stephenson King,Stephenson King,UWP,United Workers Party,8,,Castries North,ocd-division/country:lc/constituency:castries-north,http://www.govt.lc/media.govt.lc/www/employees/photos/stephensonking.jpg,Stephenson King,male,,1958-11-13,,/m/02726sb,Stephenson King,Stephenson King,Stephenson King,Stephenson King,Stephenson King,Stephenson King,,Stephenson King,Stephenson King,Stephenson King,Stephenson King,Stephenson King,,,斯蒂芬森·金,,"Кинг, Стивенсон",Stephenson King,,,Stephenson King,Stephenson King,,Στίβενσον Κινγκ,Stephenson King,,,,,,Stephenson King,Στίβενσον Κινγκ,Stephenson King,,Stephenson King,,Stephenson King,,,Stephenson King,,,"Кинг, Стивенсон",Stephenson King,Stephenson King,斯蒂芬森·金,Stephenson King,Stephenson King,Q708289
philip-pierre,Philip Pierre,Philip Pierre,SLP,Saint Lucia Labour Party,8,,Castries East,ocd-division/country:lc/constituency:castries-east,http://www.govt.lc/media.govt.lc/www/employees/photos/PhillipJPierre.jpg,Philip Pierre,male,Philip,,,,Philip Pierre,Philip Pierre,Philip Pierre,Philip Pierre,Philip Pierre,Philip Pierre,Philip Pierre,Philip Pierre,Philip Pierre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7184214
richard-frederick,Richard Frederick,Richard Frederick,UWP,United Workers Party,8,,Castries Central,ocd-division/country:lc/constituency:castries-central,http://www.govt.lc/media.govt.lc/www/employees/photos/richardfrederick.jpg,Richard Frederick,male,Richard,1965-08-06,,,Richard Frederick,Richard Frederick,,,,,,,Richard Frederick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7325780
robert-kennedy-lewis,Robert Kennedy Lewis,Robert Kennedy Lewis,SLP,Saint Lucia Labour Party,8,,Castries South,ocd-division/country:lc/constituency:castries-south,http://www.govt.lc/media.govt.lc/www/employees/photos/RobertLewis.jpg,Robert Kennedy Lewis,male,Robert,,,,,Robert Kennedy Lewis,Robert Kennedy Lewis,Robert Kennedy Lewis,Robert Kennedy Lewis,Robert Kennedy Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7346316
guy-joseph,Guy Joseph,Guy Joseph,UWP,United Workers Party,8,,Castries South East,ocd-division/country:lc/constituency:castries-south-east,http://www.govt.lc/media.govt.lc/www/employees/photos/guyjoseph.jpg,Guy Joseph,male,Guy,1957-01-01,,,,Guy Joseph,,,,,,Guy Joseph,,,,,Guy Joseph,Guy Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q5622382
keith-mondesir,Keith Mondesir,Keith Mondesir,UWP,United Workers Party,8,,Anse la Raye and Canaries,ocd-division/country:lc/constituency:anse-la-raye-and-canaries,,Keith Mondesir,male,Keith,1948-01-23,,,,Keith Mondesir,,,,,,Keith Mondesir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6384787
harold-dalson,Harold Dalson,Harold Dalson,SLP,Saint Lucia Labour Party,8,,Soufriere,ocd-division/country:lc/constituency:soufriere,http://www.govt.lc/media.govt.lc/www/employees/photos/HaroldDalson.jpg,Harold Dalson,male,Harold,,,,Harold Dalson,Harold Dalson,,,,,Harold Dalson,Harold Dalson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16206884
rufus-bousquet,Rufus Bousquet,Rufus Bousquet,UWP,United Workers Party,8,,Choiseul,ocd-division/country:lc/constituency:choiseul,,Rufus Bousquet,male,Rufus,1958-11-28,,,Rufus Bousquet,Rufus Bousquet,,,,,,Rufus Bousquet,Rufus Bousquet,,,,,,,,,,,,,,,,,Rufus Bousquet,Rufus Bousquet,,,,Rufus Bousquet,,,,,,,,,,,,,,,,,,Q58308
alva-baptiste,Alva Baptiste,Alva Baptiste,SLP,Saint Lucia Labour Party,8,,Laborie,ocd-division/country:lc/constituency:laborie,http://www.govt.lc/media.govt.lc/www/employees/photos/AlvaJnBaptiste.jpg,Alva Baptiste,male,Alva,,,,Alva Baptiste,Alva Baptiste,Alva Baptiste,Alva Baptiste,Alva Baptiste,Alva Baptiste,Alva Baptiste,Alva Baptiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4737616
moses-jean-baptiste,Moses Jean Baptiste,Moses Jean Baptiste,SLP,Saint Lucia Labour Party,8,,Vieux Fort North,ocd-division/country:lc/constituency:vieux-fort-north,http://www.govt.lc/media.govt.lc/www/employees/photos/MosesJnBaptiste.jpg,Moses Jean Baptiste,male,Moses,,,,,Moses Jean Baptiste,Moses Jean Baptiste,Moses Jean Baptiste,Moses Jean Baptiste,Moses Jean Baptiste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6915830
kenny-anthony,Kenny Anthony,Kenny Anthony,SLP,Saint Lucia Labour Party,8,,Vieux Fort South,ocd-division/country:lc/constituency:vieux-fort-south,http://www.govt.lc/media.govt.lc/www/employees/photos/Prime-Minister-Dr.-Kenny-Anthony.jpg,Kenny Anthony,male,Kenny,1951-01-08,,/m/021xts,Kenny Anthony,Kenneth Anthony,Kenny Anthony,Kenny Anthony,Kenny Anthony,Kenny Anthony,Kenny Anthony,Kenny Anthony,Kenneth Anthony,Kenny Anthony,Kenny Anthony,Kenny Anthony,,,肯尼·安东尼,Kenneth Anthony,"Энтони, Кенни",Kenny Anthony,Kenny Anthony,Kenneth Anthony,Kenny Anthony,Kenny Anthony,केनी अँथनी,Κένι Άντονι,Kenny Anthony,Kenny Anthony,Kenny Anthony,Kenny Davis Anthony,Kenny Anthony,Kenny Anthony,Kenneth Anthony,Κένι Άντονι,Kenny Anthony,Kenny Anthony,Kenny Anthony,Kenneth Anthony,Kenny Anthony,Kenny Davis Anthony,केनी अँथनी,Kenny Anthony,Kenny Anthony,Kenny Anthony,"Энтони, Кенни",Kenny Anthony,Kenny Anthony,肯尼·安东尼,,,Q57750
arsene-james,Arsene James,Arsene James,UWP,United Workers Party,8,,Micoud South,ocd-division/country:lc/constituency:micoud-south,http://www.govt.lc/media.govt.lc/www/employees/photos/arsenejames.jpg,Arsene James,male,,1944-10-30,James,,Arsene James,Arsene James,Arsene James,Arsene James,Arsene James,Arsene James,,Arsene James,Arsene James,Arsene James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4796441
jeannine-compton-antoine,Jeannine Compton-Antoine,Jeannine Compton-Antoine,Independent,Independent,8,,Micoud North,ocd-division/country:lc/constituency:micoud-north,,Jeannine Compton-Antoine,female,Jeannine,,,,Jeannine Compton-Antoine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16205063
edmund-estephane,Edmund Estephane,Edmund Estephane,UWP,United Workers Party,8,,Dennery South,ocd-division/country:lc/constituency:dennery-south,http://www.govt.lc/media.govt.lc/www/employees/photos/edmundestephane.jpg,Edmund Estephane,male,Edmund,1968-01-01,,,Edmund Estephane,Edmund Estephane,,,,,Edmund Estephane,Edmund Estephane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16198927
marcus-nicholas,Marcus Nicholas,Marcus Nicholas,UWP,United Workers Party,8,,Dennery North,ocd-division/country:lc/constituency:dennery-north,,Marcus Nicholas,male,Marcus,1966-01-01,,,,Marcus Nicholas,,,,,Marcus Nicholas,Marcus Nicholas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16196623
