id,name,group,area,image,phone,fax,contact_form,term,source,name__en,name__it,name__de,name__nb,name__da,name__nn,name__sv,wikipedia__en,gender,birth_date,given_name,name__nl,name__fr,name__es,name__ca,wikipedia__ca,name__gl,name__pt,name__fa
30,José F. Aponte Hernández,PNP,Acumulación,http://www.tucamarapr.org/dnncamara/images/Representantes/b8212da-6b2c-4fd6-9876-ea1a4887b9a7.jpg,(787) 723-1090 / (787) 723-1090,(787) 722-5106,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=30,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=30,José Aponte Hernández,José Aponte Hernández,José Aponte Hernández,José Aponte Hernández,José Aponte Hernández,José Aponte Hernández,José Aponte Hernández,José Aponte Hernández,male,1958-01-19,José,José Aponte Hernández,,José Aponte Hernández,,,,,
93,María M. Charbonier Laureano,PNP,Acumulación,http://www.tucamarapr.org/dnncamara/images/Representantes/99bd319-87e4-4c40-9bfb-2e0628b07f83.jpg,(787) 721-1190 /,(787) 723-2139,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=93,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=93,María Milagros Charbonier,María Milagros Charbonier,María Milagros Charbonier,María Milagros Charbonier,María Milagros Charbonier,María Milagros Charbonier,María Milagros Charbonier,María Milagros Charbonier,female,1963-11-24,María,María Milagros Charbonier,María Milagros Charbonier,María Milagros Charbonier,,,,,
4,José E. Meléndez Ortiz,PNP,Acumulación,http://www.tucamarapr.org/dnncamara/images/Representantes/88dea4e1-b373-463f-aec0-1131322b06aa.jpg,(787) 725-9189 / (787) 725-9189,(787) 721-6062,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=4,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=4,José Kikito Meléndez,José Kikito Meléndez,José Kikito Meléndez,José Kikito Meléndez,José Kikito Meléndez,José Kikito Meléndez,José Kikito Meléndez,José Kikito Meléndez,male,1973-12-05,José,,José Kikito Meléndez,José Kikito Meléndez,José Enrique Meléndez Ortiz,,José Enrique Meléndez Ortiz,,
44,María de Lourdes Ramos Rivera,PNP,Acumulación,http://www.tucamarapr.org/dnncamara/images/Representantes/0df4903-63b3-421f-a6b0-ac4344f1f802.jpg,(787) 721-6040 / 2522,(787) 622-4882,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=44,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=44,María de Lourdes Ramos Rivera,María de Lourdes Ramos Rivera,Maria de Loudres Ramos Rivera,,,,,María de Lourdes Ramos Rivera,female,1960-08-06,María,,,,,,,,
8,Luis R. Torres Cruz,PPD,Distrito 2,http://www.tucamarapr.org/dnncamara/images/Representantes/2fa8aa3-629a-4b82-8ae8-ed951ca6a566.jpg,787723-1816 / 787723-8424,787722-3573,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=8,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=8,Luis Raúl Torres Cruz,Luis Raúl Torres Cruz,Luis Raúl Torres Cruz,Luis Raúl Torres Cruz,Luis Raúl Torres Cruz,Luis Raúl Torres Cruz,Luis Raúl Torres Cruz,Luis Raúl Torres Cruz,male,1960-03-05,Luis,,,,,,,,
107,Sonia I. Pacheco Irigoyen,PPD,Distrito 3,http://www.tucamarapr.org/dnncamara/images/Representantes/6260384-ac66-4311-b683-179287fd4907.jpg,(787) 622-4975 / (787) 622-4975,(787) 622-4880,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=107,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=107,Sonia Pacheco,Sonia Pacheco,Sonia Pacheco,Sonia Pacheco,Sonia Pacheco,Sonia Pacheco,Sonia Pacheco,Sonia Pacheco,female,,Sonia,,,,,,,,
85,Jose L. Báez Rivera,PPD,Distrito 4,http://www.tucamarapr.org/dnncamara/images/Representantes/e841add-181f-4559-8e4f-8df769221a5a.jpg,(787) 622-4960 / (787) 622-4960,(787) 721-6620,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=85,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=85,José Luis Báez,José Luis Báez,José Luis Báez,,,,,José Luis Báez,male,,José,José Luis Báez,José Luis Báez,,,,,,
74,César Hernández Alfonzo,PPD,Distrito 15,http://www.tucamarapr.org/dnncamara/images/Representantes/8ce24c5f-748c-4f7f-b4a3-431ecd8a39f4.jpg,(787) 725-5115 / (787) 723-6100,(787) 725-0630,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=74,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=74,César Hernández Alfonzo,César Hernández Alfonzo,César Hernández Alfonzo,César Hernández Alfonzo,César Hernández Alfonzo,César Hernández Alfonzo,César Hernández Alfonzo,César Hernández Alfonzo,male,1977-07-27,César,,César Hernández Alfonzo,César Hernández Alfonzo,,,,,
83,José A. Rodríguez Quiles,PPD,Distrito 16,http://www.tucamarapr.org/dnncamara/images/Representantes/227af05-2708-4715-b818-867ef99de977.jpg,(787) 622-4877 / (787) 622-4877,(787) 721-8019,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=83,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=83,José Rodríguez Quiles,José Rodríguez Quiles,José Rodríguez Quiles,José Rodríguez Quiles,José Rodríguez Quiles,José Rodríguez Quiles,José Rodríguez Quiles,José Rodríguez Quiles,male,,José,,,,,,,,
70,Armando Franco González,PPD,Distrito 17,http://www.tucamarapr.org/dnncamara/images/Representantes/fe588f05-7d6e-4d11-bfb2-2a60adb81106.jpg,(787) 729-9005 / (787) 723-0070,(787) 622-4385,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=70,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=70,Armando Franco,Armando Franco,Armando Franco,Armando Franco,Armando Franco,Armando Franco,Armando Franco,Armando Franco,male,,Armando,Armando Franco,Armando Franco,,,,,,
77,Efraín De Jesús Rodríguez,PPD,Distrito 19,http://www.tucamarapr.org/dnncamara/images/Representantes/02c38a8-b19f-4311-a633-8198cda9e059.jpg,(787) 722-4296 / (787) 722-4296,(787) 724-7423,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=77,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=77,Efraín de Jesús,Efraín de Jesús,Efraín de Jesús,,,,,Efraín de Jesús,male,,Efraín,Efraín de Jesús,Efraín de Jesús,Efraín de Jesús,,,,,
24,Lydia Méndez Silva,PPD,Distrito 21,http://www.tucamarapr.org/dnncamara/images/Representantes/0bf11e0-dd53-45e8-8cd2-22bf19f7a667.jpg,787722-0801 / 787977-0128,787721-0483,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=24,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=24,Lydia Méndez Silva,,Lydia Méndez Silva,,,,,Lydia Méndez Silva,female,,Lydia,,,,,,,,
99,Nelson Torres Yordán,PPD,Distrito 23,http://www.tucamarapr.org/dnncamara/images/Representantes/e611945-760c-46f1-8b1a-d88ba412a1f1.jpg,(787) 721-5007 / (787) 723-5840,(787) 622-4899,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=99,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=99,Nelson Torres Yordán,Nelson Torres Yordán,Nelson Torres Yordán,Nelson Torres Yordán,Nelson Torres Yordán,Nelson Torres Yordán,Nelson Torres Yordán,Nelson Torres Yordán,male,1981-10-07,Nelson,,Nelson Torres Yordán,Nelson Torres Yordán,,,,,
41,Víctor L. Vassallo Anadón,PPD,Distrito 25,http://www.tucamarapr.org/dnncamara/images/Representantes/8acb8e0-a37b-435c-a2b3-107e18f5591b.jpg,(787) 622-4290 / (787) 622-4290,(787) 622-4382,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=41,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=41,Víctor Vassallo,Víctor Vassallo,Víctor Vassallo,Víctor Vassallo,Víctor Vassallo,Víctor Vassallo,Víctor Vassallo,Víctor Vassallo,male,1960-10-11,Victor,,Víctor Vassallo,Víctor Vassallo,,,,,
28,José R. Torres Ramírez,PPD,Distrito 27,http://www.tucamarapr.org/dnncamara/images/Representantes/fcaf416c-ce19-42ef-b263-2c58d5724e4d.jpg,(787) 622-3822 / (787) 622-3822,(787) 723-8584,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=28,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=28,José Torres Ramírez,José Torres Ramírez,José Torres Ramírez,José Torres Ramírez,José Torres Ramírez,José Torres Ramírez,José Torres Ramírez,José Torres Ramírez,male,1962-07-27,José,,José Torres Ramírez,,,,,,
72,Carlos J. Vargas Ferrer,PPD,Distrito 29,http://www.tucamarapr.org/dnncamara/images/Representantes/73eb88f1-7013-480a-a47b-f7f996eb4e49.jpg,(787) 622-4885 / (787) 622-4885,(787) 725-3908,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=72,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=72,Carlos Vargas Ferrer,Carlos Vargas Ferrer,Carlos Vargas Ferrer,Carlos Vargas Ferrer,Carlos Vargas Ferrer,Carlos Vargas Ferrer,Carlos Vargas Ferrer,Carlos Vargas Ferrer,male,1971-06-28,Carlos,,Carlos Vargas Ferrer,Carlos Vargas Ferrer,,,,,
90,Luis R. Ortiz Lugo,PPD,Distrito 30,http://www.tucamarapr.org/dnncamara/images/Representantes/2f2dc52-8c85-46a8-86a5-e0c550828eca.jpg,(787) 721-5545 / (787) 839-1474,(787) 725-6669,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=90,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=90,Luis Ortíz Lugo,Luis Ortíz Lugo,Luis Ortíz Lugo,Luis Ortíz Lugo,Luis Ortíz Lugo,Luis Ortíz Lugo,Luis Ortíz Lugo,Luis Ortíz Lugo,male,,Luis,,,,,,,,
81,Jesús Santa Rodríguez,PPD,Distrito 31,http://www.tucamarapr.org/dnncamara/images/Representantes/54693ce-2743-47a7-8ef7-b2fb4785cbe4.jpg,(787) 725-5595 / (787) 723-3605,(787) 725-3411,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=81,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=81,Jesús Santa Rodríguez,Jesús Santa Rodríguez,Jesús Santa Rodríguez,,,,,Jesús Santa Rodríguez,male,1964-10-20,Jesús,,,,,,,,
102,Ramón L. Cruz Burgos,PPD,Distrito 34,http://www.tucamarapr.org/dnncamara/images/Representantes/e2e28c1-ba62-431f-ba25-e4412a13dfe0.jpg,(787) 622-3802 / (787) 622-3802,(787) 725-0437,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=102,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=102,Ramón Luis Cruz,Ramón Luis Cruz,Ramón Luis Cruz,Ramón Luis Cruz,Ramón Luis Cruz,Ramón Luis Cruz,Ramón Luis Cruz,Ramón Luis Cruz,male,1985-09-27,Ramón,Ramón Luis Cruz,Ramón Luis Cruz,,,,,,
98,Narden Jaime Espinosa,PPD,Distrito 35,http://www.tucamarapr.org/dnncamara/images/Representantes/adfbb30f-a8a1-442e-90b6-782cf161ddd1.jpg,(787) 724-6262 / (787) 721-3412,(787) 721-6783,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=98,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=98,Narden Jaime Espinosa,Narden Jaime Espinosa,Narden Jaime Espinosa,Narden Jaime Espinosa,Narden Jaime Espinosa,Narden Jaime Espinosa,Narden Jaime Espinosa,Narden Jaime Espinosa,male,1971-08-06,,,Narden Jaime Espinosa,Narden Jaime Espinosa,,,,,
80,Javier A. Aponte Dalmau,PPD,Distrito 38,http://www.tucamarapr.org/dnncamara/images/Representantes/6caa6b19-7a9f-422e-87c5-8420bbf8db53.jpg,(787) 722-7780 / (787) 725-1435,(787) 622-4963,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=80,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=80,Javier Aponte Dalmau,Javier Aponte Dalmau,Javier Aponte Dalmau,Javier Aponte Dalmau,Javier Aponte Dalmau,Javier Aponte Dalmau,Javier Aponte Dalmau,Javier Aponte Dalmau,male,,Javier,Javier Aponte Dalmau,Javier Aponte Dalmau,Javier Aponte Dalmau,,,,,
66,Angel N. Matos García,PPD,Distrito 40,http://www.tucamarapr.org/dnncamara/images/Representantes/949c187-2885-430c-a868-c5f19db52fe7.jpg,(787) 721-4039 / (787) 622-4485,(787) 722-5483,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=66,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=66,Angel Matos García,Angel Matos García,Angel Matos García,Angel Matos García,Angel Matos García,Angel Matos García,Angel Matos García,Angel Matos García,male,,Angel,,,,,,,,
51,José López Muñoz,PNP,Distrito 1,http://www.tucamarapr.org/dnncamara/images/Representantes/cc4eb92-e09f-40d2-9920-d3594baf97ed.jpg,787723-2212 / 787723-2161,787725-8805,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=51,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=51,José López Muñoz,Nuno López,José López Muñoz,José López Muñoz,José López Muñoz,José López Muñoz,José López Muñoz,Nuno López,male,1951-11-11,José,,,,,,,,
10,Jorge Navarro Suárez,PNP,Distrito 5,http://www.tucamarapr.org/dnncamara/images/Representantes/c94718f-0ebe-4d3a-ae29-6eb02247ec75.jpg,787724-4465 / 787724-5960,787723-4711,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=10,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=10,Jorge Navarro Suárez,Jorge Navarro Suárez,Jorge Navarro Suárez,Jorge Navarro Suárez,Jorge Navarro Suárez,Jorge Navarro Suárez,Jorge Navarro Suárez,Jorge Navarro Suárez,male,1964-07-08,Jorge,,,Jorge Navarro Suárez,,,,,
61,Antonio L. Soto Torres,PNP,Distrito 6,http://www.tucamarapr.org/dnncamara/images/Representantes/58517da-b5a8-4d68-90ee-c7eeb6265a41.jpg,(787) 725-2698 / (787) 725-2698,(787) 977-2477,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=61,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=61,Antonio Soto,Antonio Soto,Antonio Soto,Antonio Soto,Antonio Soto,Antonio Soto,Antonio Soto,Tony Soto (politician),male,1973-04-06,Antonio,,,,,,,,
12,Luis Pérez Ortiz,PNP,Distrito 7,http://www.tucamarapr.org/dnncamara/images/Representantes/dd4a649-0081-4798-8248-ca4d8199d8ad.jpg,787724-6262 / 787723-9754,787723-9551,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=12,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=12,Luis Pérez Ortíz,Luis Pérez Ortíz,Luis Pérez Ortíz,Luis Pérez Ortíz,Luis Pérez Ortíz,Luis Pérez Ortíz,Luis Pérez Ortíz,Luis Pérez Ortíz,male,1955-09-05,Luis,,,,,,,,
185,Yashira Lebrón Rodríguez,PNP,Distrito 8,http://www.tucamarapr.org/dnncamara/images/Representantes/34aa945b-7dfb-4326-b5d5-ef7bdfa58af9.jpg,(787) 721-6040 /,(787) 622-4710,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=185,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=185,Yashira Lebrón Rodríguez,,,,,,,Yashira Lebrón Rodríguez,female,,,,,,,,,,
18,Angel E. Rodríguez Miranda,PNP,Distrito 9,http://www.tucamarapr.org/dnncamara/images/Representantes/f91aa93-a43d-40d9-a51b-8cd81878f80c.jpg,(787) 725-6807 / (787) 725-6807,(787) 622-4375,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=18,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=18,Ángel Rodríguez Miranda,Gary Rodríguez,Ángel Rodríguez Miranda,Angel Rodríguez Miranda,Angel Rodríguez Miranda,Angel Rodríguez Miranda,Angel Rodríguez Miranda,Gary Rodríguez,male,1977-01-09,Angel,,,Ángel Rodríguez Miranda,,,,Ángel Rodríguez Miranda,
100,Pedro J. Santiago Guzman,PNP,Distrito 10,http://www.tucamarapr.org/dnncamara/images/Representantes/c745d63-2dd1-4f18-823e-eac588b24b34.jpg,(787) 725-3350 / (787) 725-3350,(787) 721-6608,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=100,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=100,Pedro Julio Santiago,Pedro Julio Santiago,Pedro Julio Santiago,Pedro Julio Santiago,Pedro Julio Santiago,Pedro Julio Santiago,Pedro Julio Santiago,Pellé Santiago,male,,Pedro,,,,,,,,
16,Héctor A. Torres Calderón,PNP,Distrito 12,http://www.tucamarapr.org/dnncamara/images/Representantes/3fd809dd-6861-4a98-b16a-ebe9bfdd57c9.jpg,(787) 725-1216 / (787) 725-2661,(787) 627-4892,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=16,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=16,Héctor Torres Calderón,,Héctor Torres Calderón,,,,,Héctor Torres Calderón,male,,Héctor,,,,,,,,
17,Gabriel Rodríguez Aguiló,PNP,Distrito 13,http://www.tucamarapr.org/dnncamara/images/Representantes/8b7e107-5b5d-4ae9-a20c-b33f19a50fbb.jpg,787723-0109 / 787724-2001,787622-4387,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=17,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=17,Gabriel Rodríguez Aguiló,Gabriel Rodríguez Aguiló,Gabriel Rodríguez Aguiló,Gabriel Rodríguez Aguiló,Gabriel Rodríguez Aguiló,Gabriel Rodríguez Aguiló,Gabriel Rodríguez Aguiló,Gabriel Rodríguez Aguiló,male,1973-08-19,Gabriel,,,,,,,,
105,Ricardo J. Llerandi Cruz,PNP,Distrito 14,http://www.tucamarapr.org/dnncamara/images/Representantes/b5cf9eee-d28c-4527-bf4b-f857badcffb8.jpg,(199) 1 / (787) 680-7835,(787) 725-9150,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=105,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=105,Ricardo Llerandi,Ricardo Llerandi,Ricardo Llerandi,Ricardo Llerandi,Ricardo Llerandi,Ricardo Llerandi,Ricardo Llerandi,Ricardo Llerandi,male,,Ricardo,,,,,,,,
65,Angel Muñoz Suárez,PNP,Distrito 18,http://www.tucamarapr.org/dnncamara/images/Representantes/95fc8d3-a8a1-462c-a5ef-41fc6f379a3d.jpg,(787) 622-4992 / (787) 622-4993,(787) 724-7025,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=65,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=65,Angel Muñoz,Angel Muñoz,Angel Muñoz,Angel Muñoz,Angel Muñoz,Angel Muñoz,Angel Muñoz,Angel Muñoz,male,,Angel,,,,,,,,
