id,sort_name,email,image,term,source,name,party,faction,area,status,start_date,end_date
630,Beteta Rubín Karina Juliza,kbeteta@congreso.gob.pe,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/630-s2Py9Pj7Kl2Jy0N.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=630,Karina Juliza Beteta Rubín,Fuerza Popular,FUERZA POPULAR,Huanuco,en Ejercicio,2015-07-27,2016-07-26
18,Bruce Montes De Oca Carlos Ricardo,CBRUCE@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/18-k1Ry5Sd4Bz4Gu8Q.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=18,Carlos Ricardo Bruce Montes De Oca,Perú Posible,CONCERTACIÓN PARLAMENTARIA,Lima,en Ejercicio,2011-07-27,2016-07-26
19,Cabrera Ganoza Eduardo Felipe,EFCABRERA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/19-w9Ua0Ls7Hl7Yr8C.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=19,Eduardo Felipe Cabrera Ganoza,Fuerza Popular,FUERZA POPULAR,Ica,en Ejercicio,2011-07-27,2016-07-26
20,Canches Guzmán Rogelio Antenor,RCANCHES@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/20-h0Vr2Ho5Ko6Lg8V.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=20,Rogelio Antenor Canches Guzmán,Gana Perú,UNIÓN REGIONAL,Callao,en Ejercicio,2011-07-27,2016-07-26
21,Capuñay Quispe Esther Yovana,ECAPUNAY@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/21-v0Cv6Nr4Xa3Ki4S.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=21,Esther Yovana Capuñay Quispe,Alianza Solidaridad Nacional,SOLIDARIDAD NACIONAL,Lima,en Ejercicio,2011-07-27,2016-07-26
22,Cárdenas Cerrón Johnny,JCCERRON@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/22-t4Zm6Md7Cs3Xc9R.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=22,Johnny Cárdenas Cerrón,Gana Perú,NACIONALISTA GANA PERÚ,Junin,en Ejercicio,2011-07-27,2016-07-26
23,Carrillo Cavero Hugo,HCARRILLO@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/23-a7Ig4Wo3Ma0Ih0S.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=23,Hugo Carrillo Cavero,Gana Perú,NACIONALISTA GANA PERÚ,Huancavelica,en Ejercicio,2011-07-27,2016-07-26
24,Castagnino Lema Juan Cesar,JCASTAGNINO@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/24-r1Ya8Qy9Jg9Km9X.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=24,Juan Cesar Castagnino Lema,Perú Posible,PERÚ POSIBLE,Piura,en Ejercicio,2011-07-27,2016-07-26
25,Ccama Layme Francisco,FCCAMA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/25-v5Tw4Sz7Bz4Pc3J.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=25,Francisco Ccama Layme,Fuerza Popular,FUERZA POPULAR,Puno,en Ejercicio,2011-07-27,2016-07-26
26,Chacón De Vettori Cecilia Isabel,CCHACON@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/26-n3Me9Nx1Ay9In9F.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=26,Cecilia Isabel Chacón De Vettori,Fuerza Popular,FUERZA POPULAR,Cajamarca,en Ejercicio,2011-07-27,2016-07-26
27,Chávez Cossío Martha Gladys,MCHAVEZ@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/27-m0Dl6Dl4Ve3Xy4H.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=27,Martha Gladys Chávez Cossío,Fuerza Popular,FUERZA POPULAR,Lima,en Ejercicio,2011-07-27,2016-07-26
28,Chehade Moya Omar Karim,OCHEHADE@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/28-u0Xd8Xn0Jg3Hf6G.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=28,Omar Karim Chehade Moya,Gana Perú,NACIONALISTA GANA PERÚ,Lima,en Ejercicio,2011-07-27,2016-07-26
29,Chihuán Ramos Leyla Felicita,LCHIHUAN@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/29-u8Bq9Df5Op1As2W.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=29,Leyla Felicita Chihuán Ramos,Fuerza Popular,FUERZA POPULAR,Lima,en Ejercicio,2011-07-27,2016-07-26
30,Coa Aguilar Rubén Rolando,RCOA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/30-d2Qn0Dr8Ej9Dr1O.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=30,Rubén Rolando Coa Aguilar,Gana Perú,NACIONALISTA GANA PERÚ,Cusco,en Ejercicio,2011-07-27,2016-07-26
31,Coari Mamani Claudia Faustina,CCOARI@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/31-i2Sm1Aj1Bs1Gw8L.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=31,Claudia Faustina Coari Mamani,Gana Perú,DIGNIDAD Y DEMOCRACIA ,Puno,en Ejercicio,2011-07-27,2016-07-26
32,Condori Cusi Rubén,RCONDORI@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/32-k8Ya2Gp7Ls0Dz1G.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=32,Rubén Condori Cusi,Gana Perú,NACIONALISTA GANA PERÚ,Puno,en Ejercicio,2011-07-27,2016-07-26
33,Condori Jahuira Gladys Natalie,NCONDORI@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/33-l6Nz1Bn5Wj0Hr4Q.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=33,Gladys Natalie Condori Jahuira,Gana Perú,DIGNIDAD Y DEMOCRACIA ,Tacna,en Ejercicio,2011-07-27,2016-07-26
34,Cordero Jon Tay María del Pilar,MCORDERO@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/34-r6Lf7Wv8Ay8Li7Z.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=34,María del Pilar Cordero Jon Tay,Fuerza Popular,FUERZA POPULAR,Tumbes,en Ejercicio,2011-07-27,2016-07-26
36,Cuculiza Torre Luisa María,LCUCULIZA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/36-c6De4Sq2Es9So2I.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=36,Luisa María Cuculiza Torre,Fuerza Popular,FUERZA POPULAR,Lima,en Ejercicio,2011-07-27,2016-07-26
37,Dammert Ego Aguirre Manuel Enrique Ernesto,MDAMMERT@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/37-t8Nd2Ev7Bv8Ak7P.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=37,Manuel Enrique Ernesto Dammert Ego Aguirre,Gana Perú,ACCIÓN POPULAR - FRENTE AMPLIO,Lima,en Ejercicio,2013-05-16,2016-07-26
38,De La Torre Dueñas Hernán,HDELATORRE@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/38-b3Kx1Te0Xr9Af5A.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=38,Hernán De La Torre Dueñas,Gana Perú,NACIONALISTA GANA PERÚ,Cusco,en Ejercicio,2011-07-27,2016-07-26
39,Delgado Zegarra Jaime Ricardo,JAIMEDELGADO@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/39-l8Qt3Xg7Bh8Zi1J.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=39,Jaime Ricardo Delgado Zegarra,Gana Perú,DIGNIDAD Y DEMOCRACIA ,Lima,en Ejercicio,2011-07-27,2016-07-26
40,Díaz Dios Juan José,JJDIAZ@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/40-w2Vf0Zj7Iz7Sd5U.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=40,Juan José Díaz Dios,Fuerza Popular,FUERZA POPULAR,Piura,en Ejercicio,2011-07-27,2016-07-26
42,Eguren Neuenschwander Juan Carlos,JCEGUREN@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/42-u3Nx4Fr0Tu1Rd8V.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=42,Juan Carlos Eguren Neuenschwander,Alianza por el Gran Cambio,PPC - APP,Arequipa,en Ejercicio,2011-07-27,2016-07-26
43,Elías Ávalos José Luis,JELIAS@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/43-f3Av5Of2Dg9Yb7L.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=43,José Luis Elías Ávalos,Fuerza Popular,FUERZA POPULAR,Ica,en Ejercicio,2011-07-27,2016-07-26
44,Espinoza Cruz Marisol,MESPINOZAC@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/44-n9Yx5Ii1Ym1Ou8X.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=44,Marisol Espinoza Cruz,Gana Perú,NACIONALISTA GANA PERÚ,Piura,en Ejercicio,2011-07-27,2016-07-26
45,Espinoza Rosales Rennán Samuel,RSESPINOZA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/45-b7Pr7Mx5Rz0On7T.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=45,Rennán Samuel Espinoza Rosales,Perú Posible,PERÚ POSIBLE,Lima,en Ejercicio,2011-07-27,2016-07-26
46,Falconí Picardo Marco Tulio,MFALCONI@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/46-w9Ua2Zj6Up2Vt8E.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=46,Marco Tulio Falconí Picardo,Perú Posible,UNIÓN REGIONAL,Arequipa,en Ejercicio,2011-07-27,2016-07-26
47,Fujimori Higuchi Kenji Gerardo,KFUJIMORIH@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/47-g1Ik9Lk2Mt9Ra4A.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=47,Kenji Gerardo Fujimori Higuchi,Fuerza Popular,FUERZA POPULAR,Lima,en Ejercicio,2011-07-27,2016-07-26
48,Gagó Pérez Julio César,JGAGO@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/48-w1Ib4Vz6Ed1Ca5A.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=48,Julio César Gagó Pérez,Fuerza Popular,FUERZA POPULAR,Lima,en Ejercicio,2011-07-27,2016-07-26
49,Galarreta Velarde Luis Fernando,LGALARRETA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/49-j9Nz6Gi8Ep0Wi1I.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=49,Luis Fernando Galarreta Velarde,Alianza por el Gran Cambio,PPC - APP,Lima,en Ejercicio,2011-07-27,2016-07-26
50,Gamarra Saldívar Teófilo,TGAMARRA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/50-m6Go1Il2Lv8Bz8R.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=50,Teófilo Gamarra Saldívar,Gana Perú,NACIONALISTA GANA PERÚ,Ucayali,en Ejercicio,2011-07-27,2016-07-26
51,García Belaúnde Víctor Andrés,VAGARCIABELAUNDE@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/51-e1Dj2Mc7Xn5Za7P.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=51,Víctor Andrés García Belaúnde,Perú Posible,ACCIÓN POPULAR - FRENTE AMPLIO,Lima,en Ejercicio,2011-07-27,2016-07-26
52,Gastañadui Ramírez Santiago,SGASTANADUI@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/52-m1Jj7Hx0Si0Ge6Q.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=52,Santiago Gastañadui Ramírez,Gana Perú,NACIONALISTA GANA PERÚ,Piura,en Ejercicio,2011-07-27,2016-07-26
54,Guevara Amasifuén Mesias Antonio,MGUEVARA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/54-i5Fa1Ds6Ef2By3Y.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=54,Mesias Antonio Guevara Amasifuén,Acción Popular,ACCIÓN POPULAR - FRENTE AMPLIO,Cajamarca,en Ejercicio,2011-07-27,2016-07-26
55,Gutiérrez Cóndor Josue Manuel,JMGUTIERREZ@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/55-g6Ra2Xm6Nz5Mt7I.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=55,Josue Manuel Gutiérrez Cóndor,Gana Perú,NACIONALISTA GANA PERÚ,Huanuco,en Ejercicio,2011-07-27,2016-07-26
56,Huaire Chuquichaico Casio Faustino,CHUAIRE@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/56-h5Vc8Ja0Cj1Gc8Z.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=56,Casio Faustino Huaire Chuquichaico,Perú Posible,PERÚ POSIBLE,Junin,en Ejercicio,2011-07-27,2016-07-26
57,Huayama Neira Leonidas,LHUAYAMA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/57-r5Re8Il5Di5Tw3H.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=57,Leonidas Huayama Neira,Gana Perú,NACIONALISTA GANA PERÚ,Piura,en Ejercicio,2011-07-27,2016-07-26
58,Hurtado Zamudio Jesús Panfilo,JHURTADO@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/58-d2Js5Op7Zx7Cu7N.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=58,Jesús Panfilo Hurtado Zamudio,Fuerza Popular,FUERZA POPULAR,Junin,en Ejercicio,2011-07-27,2016-07-26
59,Iberico Nuñez Luis Carlos Antonio,LIBERICO@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/59-g6Kc8Am3Fl6Yh8Q.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=59,Luis Carlos Antonio Iberico Nuñez,Alianza por el Gran Cambio,PPC - APP,Lima,en Ejercicio,2011-07-27,2016-07-26
60,Inga Vásquez Leonardo Agustín,LINGA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/60-j1Ya1Qz0Rr9Ku8D.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=60,Leonardo Agustín Inga Vásquez,Acción Popular,ACCIÓN POPULAR - FRENTE AMPLIO,Loreto,en Ejercicio,2011-07-27,2016-07-26
61,Isla Rojas Víctor,VISLA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/61-c1Tl0Cu4Wh4Dk1P.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=61,Víctor Isla Rojas,Gana Perú,NACIONALISTA GANA PERÚ,Loreto,en Ejercicio,2011-07-27,2016-07-26
62,Jara Velásquez Ana Ethel Del Rosario,AJARA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/62-k5Tt2Fs6Fy3Ap5Q.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=62,Ana Ethel Del Rosario Jara Velásquez,Gana Perú,NACIONALISTA GANA PERÚ,Ica,en Ejercicio,2011-07-27,2016-07-26
63,Julca Jara Dalmacio Modesto,MJULCA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/63-z0Gp7Zj7Qr1Sk6X.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=63,Dalmacio Modesto Julca Jara,Perú Posible,PERÚ POSIBLE,Ancash,en Ejercicio,2011-07-27,2016-07-26
64,Kobashigawa Kobashigawa Ramón,RKOBASHIGAWA@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/64-n6Af5Oc1Yu6On3G.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=64,Ramón Kobashigawa Kobashigawa,Fuerza Popular,FUERZA POPULAR,La libertad,en Ejercicio,2011-07-27,2016-07-26
65,Lay Sun Humberto,HLAY@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/65-q0Pm8Me8Nf0Yw8M.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=65,Humberto Lay Sun,Alianza por el Gran Cambio,UNIÓN REGIONAL,Lima,en Ejercicio,2011-07-27,2016-07-26
66,León Rivera José Raguberto,JLEON@CONGRESO.GOB.PE,http://www.congreso.gob.pe/Storage/tbl_congresistas/fld_47_Fotografia_file/66-p9Mr9Po9Tu0Qa8P.jpg,2011,http://www.congreso.gob.pe/plenaryassembly?K=290&TPL=if0&a=iv&id=66,José Raguberto León Rivera,Perú Posible,PERÚ POSIBLE,La libertad,en Ejercicio,2011-07-27,2016-07-26
