id,name__nl,name,wikipedia__nl,name__fr,wikipedia__fr,name__en,wikipedia__en,image,gender,birth_date,given_name,identifier__freebase,website,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__SUDOC,identifier__IMDB,identifier__NTA,identifier__Munzinger,family_name,identifier__BNF,death_date,identifier__EuroparlMEP,identifier__parlement,identifier__ISNI,twitter,facebook,identifier__DBNL
Q2939974,Caroline Cassart-Mailleux,Caroline Cassart-Mailleux,Caroline Cassart-Mailleux,Caroline Cassart-Mailleux,Caroline Cassart-Mailleux,,"",,female,1973-06-01,Caroline,,,,,,,,,,,,,,,,,,
Q2835834,Catherine Fonck,Catherine Fonck,Catherine Fonck,Catherine Fonck,Catherine Fonck,,"",https://upload.wikimedia.org/wikipedia/commons/1/10/Catherineblog01.png,female,1968-09-22,Catherine,,,,,,,,,,,,,,,,,,
Q950958,Charles Michel,Charles Michel,Charles Michel,Charles Michel,Charles Michel (homme politique),Charles Michel,Charles Michel,https://upload.wikimedia.org/wikipedia/commons/1/18/Charles_Michel_UNDP_2010.jpg,male,1975-12-21,Charles,/m/03g_mtk,http://www.charlesmichel.be,27309063,,,,,,,Michel,14567697c,,,,,,,
Q2965092,Christian Brotcorne,Christian Brotcorne,Christian Brotcorne,Christian Brotcorne,Christian Brotcorne,Christian Brotcorne,"",,male,2003-01-01,Christian,,,,,,,,,,,,2007-01-01,,,,,,
Q2305667,Christoph D'Haese,Christoph D'Haese,Christoph D'Haese,,"",Christoph D'Haese,"",,male,1967-02-25,Christoph,,,,,,,,,,,,,,,,,,
Q3010154,Céline Fremault,Céline Fremault,Céline Fremault,Céline Fremault,Céline Fremault,Céline Fremault,"",https://upload.wikimedia.org/wikipedia/commons/4/44/Céline_Fremault_2012.jpg,female,1973-12-26,Céline,,,,,,,,,,,,,,,,,,
Q2788852,Damien Thiéry,Damien Thiéry,Damien Thiéry,Damien Thiéry,Damien Thiéry,Damien Thiéry,"",,male,1963-05-21,Damien,,,,,,,,,,,,,,,,,,
Q2949528,Daniel Bacquelaine,Daniel Bacquelaine,Daniel Bacquelaine,Daniel Bacquelaine,Daniel Bacquelaine,,"",https://upload.wikimedia.org/wikipedia/commons/0/0a/2014-12-02_DB_Wavre.jpg,male,1952-10-30,Daniel,,,284856431,,,,,,,,,,,,,,,
Q3014674,Daniel Senesael,Daniel Senesael,Daniel Senesael,Daniel Senesael,Daniel Senesael,,"",https://upload.wikimedia.org/wikipedia/commons/f/f9/Daniel_Senesael.jpg,male,1957-01-13,Daniel,,,,,,,,,,,,,,,,,,
Q2757281,Daphné Dumery,Daphné Dumery,Daphné Dumery,Daphné Dumery,Daphné Dumery,Daphné Dumery,Daphné Dumery,https://upload.wikimedia.org/wikipedia/commons/f/f6/Daphné_Dumery_2014.JPG,female,1974-01-04,Daphné,/m/0cm8xq5,,,,,,,,,,,,,,,,,
Q3017667,David Clarinval,David Clarinval,David Clarinval,David Clarinval,David Clarinval,David Clarinval,"",,male,1976-01-10,David,,,,,,,,,,,,,,,,,,
Q3017951,David Geerts,David Geerts,David Geerts,David Geerts,David Geerts,,"",,male,1975-04-17,David,,,,,,,,,,,,,,,,,,
Q3022653,Denis Ducarme,Denis Ducarme,Denis Ducarme,Denis Ducarme,Denis Ducarme,Denis Ducarme,"",https://upload.wikimedia.org/wikipedia/commons/e/e1/DenisDucarme.JPG,male,1973-10-23,Denis,,,83490615,,n2009017008,,,,,,,,,,,,,
Q978208,Didier Reynders,Didier Reynders,Didier Reynders,Didier Reynders,Didier Reynders,Didier Reynders,Didier Reynders,https://upload.wikimedia.org/wikipedia/commons/0/06/Didier_Reynders_par_Claude_Truong-Ngoc_avril_2015.jpg,male,1958-08-06,Didier,/m/0krxss,,90481835,,nb2009014250,117379409,,375870865,,,,,,,,,,
Q18285969,Dirk Janssens,Dirk Janssens,Dirk Janssens,Dirk Janssens,"",,"",,male,1963-03-28,Dirk,,,,,,,,,,Janssens,,,,,,,,
Q837981,Dirk Van Mechelen,Dirk Van Mechelen,Dirk Van Mechelen,Dirk Van Mechelen,Dirk Van Mechelen,Dirk Van Mechelen,Dirk Van Mechelen,https://upload.wikimedia.org/wikipedia/commons/7/7d/Dirk_Van_Mechelen.jpg,male,1957-08-27,Dirk,/m/0c96mr,,,,,,,,,,,,,,,,,
Q3029701,Dirk Van der Maelen,Dirk Van der Maelen,Dirk Van der Maelen,Dirk Van der Maelen,Dirk Van der Maelen,Dirk Van der Maelen,"",,male,1953-03-14,Dirk,,,,,,,,,,,,,,,,,,
Q15127115,Egbert Lachaert,Egbert Lachaert,Egbert Lachaert,Egbert Lachaert,Egbert Lachaert,Egbert Lachaert,"",,male,1977-07-04,Egbert,,http://www.egbertlachaert.be/,,,,,,,,,,,,,,,,
Q15048,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,https://upload.wikimedia.org/wikipedia/commons/c/c4/Elio_Di_Rupo_PES-Kongress_2014.jpg,male,1951-07-18,Elio,/m/01hgwl,,4426085,102400578X,nb99001197,16530359X,,,00000028949,,,,1294,vi5sadm4vbzb,,,,
Q3051696,Els Van Hoof,Els Van Hoof,Els Van Hoof,Els Van Hoof,Els Van Hoof,,"",,female,1969-03-07,Els,,,,,,,,,,,,,,,,,,
Q1151266,Emir Kir,Emir Kir,Emir Kir,Emir Kir,Emir Kir,Emir Kir,"",https://upload.wikimedia.org/wikipedia/commons/e/e2/Emir_kir.jpg,male,1968-10-17,,,,,,,,,,,,,,,,,,,
Q17428062,Emmanuel Burton,Emmanuel Burton,Emmanuel Burton,Emmanuel Burton,Emmanuel Burton,Emmanuel Burton,"",,male,1973-01-14,Emmanuel,,,,,,,,,,,,,,,,,,
Q3591262,Eric Massin,Eric Massin,Eric Massin,Éric Massin,Éric Massin,Éric Massin,"",,male,1963-06-09,Éric,,,,,,,,,,,,,,,,,,
Q451040,Eric Van Rompuy,Eric Van Rompuy,Eric Van Rompuy,Eric Van Rompuy,Eric Van Rompuy,Eric Van Rompuy,Eric Van Rompuy,,male,1949-11-23,Eric,/m/02q80b7,,246621219,,n88625258,,,07148437X,,,,,672,,,,,
Q17429594,Evita Willaert,Evita Willaert,Evita Willaert,Evita Willaert,Evita Willaert,Evita Willaert,"",,female,1981-10-11,Evita,,,,,,,,,,,,,,,,,,
Q3063712,Fabienne Winckel,Fabienne Winckel,Fabienne Winckel,Fabienne Winckel,Fabienne Winckel,,"",,female,1975-12-14,Fabienne,,,,,,,,,,,,,,,,,,
Q748338,Fatma Pehlivan,Fatma Pehlivan,Fatma Pehlivan,Fatma Pehlivan,Fatma Pehlivan,Fatma Pehlivan,"",,female,1957-09-01,Fatma,,,16608680,,,,,,,,,,,,,,,
Q1344265,Filip Dewinter,Filip Dewinter,Filip Dewinter,Filip Dewinter,Filip Dewinter,Filip Dewinter,Filip Dewinter,,male,1962-09-11,Filip,/m/040_c2,http://www.filipdewinter.be,55199279,12844875X,,,,,,,,,,,,,,
Q1441464,Francis Delpérée,Francis Delpérée,Francis Delpérée,Francis Delpérée,Francis Delpérée,Francis Delpérée,Francis Delpérée,,male,1942-01-14,Francis,/m/064m1jm,,54180402,101242717X,n81119527,029597021,,068339828,,,12118925k,,,,0000 0001 2026 0043,,,
Q2788977,Frank Wilrycx,Frank Wilrycx,Frank Wilrycx,Frank Wilrycx,Frank Wilrycx,,"",https://upload.wikimedia.org/wikipedia/commons/e/e4/Frank_Wilrycx.jpg,male,1965-04-25,Frank,,,,,,,,,,,,,,,,,,
Q17428138,Franky Demon,Franky Demon,Franky Demon,Franky Demon,Franky Demon,Franky Demon,"",https://upload.wikimedia.org/wikipedia/commons/a/a0/Franky_Demon.jpg,male,1976-06-28,,,,,,,,,,,,,,,,,,,
Q3086602,Françoise Schepmans,Françoise Schepmans,Françoise Schepmans,Françoise Schepmans,Françoise Schepmans,Françoise Schepmans,"",,female,1960-06-18,Françoise,,,,,,,,,,,,,,,,,,
Q1471482,Frédéric Daerden,Frédéric Daerden,Frédéric Daerden,Frédéric Daerden,Frédéric Daerden,Frédéric Daerden,Frédéric Daerden,"https://upload.wikimedia.org/wikipedia/commons/e/ef/Daerden,_Frédéric-0071.jpg",male,1970-01-11,Frédéric,,,48622737,1061015351,n2004092367,,,,,,,,97125,,,fredericdaerden,frederic.daerden.5,
Q3102539,Georges Dallemagne,Georges Dallemagne,Georges Dallemagne,Georges Dallemagne,Georges Dallemagne,Georges Dallemagne,"",,male,1958-01-17,Georges,,,,,,,,,,,,,,,,,,
Q3102773,Georges Gilkinet,Georges Gilkinet,Georges Gilkinet,Georges Gilkinet,Georges Gilkinet,,"",,male,1971-01-25,Georges,,,,,,,,,,,,,,,,,,
Q17350584,Gilles Foret,Gilles Foret,Gilles Foret,Gilles Foret,Gilles Foret,Gilles Foret,"",,male,1978-03-17,Gilles,,,,,,,,,,,,,,,,,,
Q20871279,Gilles Vanden Burre,Gilles Vanden Burre,Gilles Vanden Burre,,"",,"",,,,Gilles,,,,,,,,,,,,,,,,,,
Q17429475,Goedele Uyttersprot,Goedele Uyttersprot,Goedele Uyttersprot,,"",,"",,female,1980-10-17,,,,,,,,,,,,,,,,,,,
Q2252488,Griet Smaers,Griet Smaers,Griet Smaers,Griet Smaers,Griet Smaers,Griet Smaers,"",,female,1977-06-10,,,,,,,,,,,,,,,,,,,
Q17350626,Gwenaëlle Grovonius,Gwenaëlle Grovonius,Gwenaëlle Grovonius,Gwenaëlle Grovonius,Gwenaëlle Grovonius,Gwenaëlle Grovonius,"",https://upload.wikimedia.org/wikipedia/commons/5/53/Prestation_de_serment_le_19_juin_2014_à_la_Chambre_des_représentants_comme_députée_fédérale-_2014-06-20_11-13.jpg,female,1978-10-16,Gwenaëlle,,,,,,,,,,,,,,,,,,
Q3126936,Hans Bonte,Hans Bonte,Hans Bonte,Hans Bonte,Hans Bonte,Hans Bonte,Hans Bonte,https://upload.wikimedia.org/wikipedia/commons/8/85/Hans_Bonte.jpg,male,1962-01-20,Hans,/m/0s8xtx2,,55850015,,,,,,,,,,,,,,,
Q1819614,Hendrik Bogaert,Hendrik Bogaert,Hendrik Bogaert,Hendrik Bogaert,Hendrik Bogaert,Hendrik Bogaert,Hendrik Bogaert,,male,1968-08-30,Hendrik,/m/02z1_3d,,,,,,,,,,,,,,,,,
Q4532955,Hendrik Vuye,Hendrik Vuye,Hendrik Vuye,Hendrik Vuye,"",Hendrik Vuye,"",,male,1962-01-22,Hendrik,,,261141581,1026504368,,,,,,,,,,,,,,
Q3150668,Ine Somers,Ine Somers,Ine Somers,Ine Somers,Ine Somers,Ine Somers,"",,female,1971-06-13,Ine,,,,,,,,,,,,,,,,,,
Q17428129,Inez De Coninck,Inez De Coninck,Inez De Coninck,Inez De Coninck,"",Inez De Coninck,"",,female,1977-08-10,Inez,,,,,,,,,,,,,,,,,,
Q17429217,Isabelle Poncelet,Isabelle Poncelet,Isabelle Poncelet,Isabelle Poncelet,Isabelle Poncelet,Isabelle Poncelet,"",,female,1967-03-13,Isabelle,,,,,,,,,,,,,,,,,,
Q1865725,Jan Jambon,Jan Jambon,Jan Jambon,Jan Jambon,Jan Jambon,Jan Jambon,Jan Jambon,https://upload.wikimedia.org/wikipedia/commons/1/12/Jan_Jambon.jpg,male,1960-04-26,Jan,,,58327911,,n95063496,,,108592219,,,,,,,,,,
Q1817068,Jan Penris,Jan Penris,Jan Penris,Jan Penris,Jan Penris,Jan Penris,"",,male,1964-01-12,Jan,,,,,,,,,,,,,,,,,,
Q17038223,Jan Spooren,Jan Spooren,Jan Spooren,Jan Spooren,"",Jan Spooren,"",,male,,Jan,,,,,,,,,,,,,,,,,,
Q17429494,Jan Vercammen,Jan Vercammen,Jan Vercammen (politicus),,"",,"",,male,1969-10-18,Jan,,,,,,,,,,,,,,,,,,
Q3166258,Jean-Jacques Flahaux,Jean-Jacques Flahaux,Jean-Jacques Flahaux,Jean-Jacques Flahaux,Jean-Jacques Flahaux,Jean-Jacques Flahaux,"",,male,1955-07-19,Jean-Jacques,,,,,,,,,,,,,,,,,,
Q2107147,Jean-Marc Delizée,Jean-Marc Delizée,Jean-Marc Delizée,Jean-Marc Delizée,Jean-Marc Delizée,,"",,male,1959-07-30,Jean-Marc,,,,,,,,,,,,,,,,,,
Q2926869,Jean-Marc Nollet,Jean-Marc Nollet,Jean-Marc Nollet,Jean-Marc Nollet,Jean-Marc Nollet,Jean-Marc Nollet,"",https://upload.wikimedia.org/wikipedia/commons/e/ec/Jean-Marc_Nollet.jpg,male,1970-01-07,Jean-Marc,,,,,,,,,,,,,,,,,,
Q1974298,Jef Van den Bergh,Jef Van den Bergh,Jef Van den Bergh,Jef Van den Bergh,Jef Van den Bergh,Jef Van den Bergh,"",,male,1973-02-05,Jef,,,,,,,,,,,,,,,,,,
Q18433715,Johan Klaps,Johan Klaps,Johan Klaps,Johan Klaps,"",,"",,male,1970-08-19,Johan,,,,,,,,,,,,,,,,,,
Q946183,Johan Vande Lanotte,Johan Vande Lanotte,Johan Vande Lanotte,Johan Vande Lanotte,Johan Vande Lanotte,Johan Vande Lanotte,Johan Vande Lanotte,https://upload.wikimedia.org/wikipedia/commons/6/60/Johan-vande-lanotte-1338926669.jpg,male,1955-07-06,Johan,/m/025x9sy,http://www.johanvandelanotte.be/,264986993,1026535816,n85102123,060555661,,071202080,,,,,,,,,,
Q3189209,Julie Fernandez-Fernandez,Julie Fernandez-Fernandez,Julie Fernandez-Fernandez,Julie Fernandez Fernandez,Julie Fernandez Fernandez,,"","https://upload.wikimedia.org/wikipedia/commons/6/68/Julie_Fernandez_Fernandez,_31_mai_2013.jpg",female,1972-03-20,Julie,,,,,,,,,,,,,,,,,,
Q3193147,Karin Temmerman,Karin Temmerman,Karin Temmerman,Karin Temmerman,Karin Temmerman,Karin Temmerman,"",,female,1958-09-25,Karin,,,,,,,,,,,,,,,,,,
Q3193292,Karine Lalieux,Karine Lalieux,Karine Lalieux,Karine Lalieux,Karine Lalieux,Karine Lalieux,"",,female,1964-05-04,Karine,,,,,,,,,,,,,,,,,,
Q2359077,Karolien Grosemans,Karolien Grosemans,Karolien Grosemans,Karolien Grosemans,Karolien Grosemans,Karolien Grosemans,Karolien Grosemans,https://upload.wikimedia.org/wikipedia/commons/7/78/Karolien_Grosemans.jpg,female,1970-03-09,,/m/0cmd7gl,,,,,,,,,,,,,,,,,
Q18433796,Katja Gabriëls,Katja Gabriëls,Katja Gabriëls,,"",,"",,female,1975-02-13,Katja,,,,,,,,,,,,,,,,,,
Q733266,Kattrin Jadin,Kattrin Jadin,Kattrin Jadin,Kattrin Jadin,Kattrin Jadin,Kattrin Jadin,"",,female,1980-07-01,,,,,,,,,,,,,,,,,,,
Q1240812,Koen Geens,Koen Geens,Koen Geens,Koen Geens,Koen Geens,Koen Geens,Koen Geens,https://upload.wikimedia.org/wikipedia/commons/0/0a/Koen-geens-1362508702.jpg,male,1958-01-22,,/m/0gwgcjk,,93476347,131436686,n90678116,,,074864017,,,12432875b,,,,0000 0000 6650 4894,,,
Q17149749,Koen Metsu,Koen Metsu,Koen Metsu,Koen Metsu,"",Koen Metsu,"",,male,1981-07-23,,,,,,,,,,,,,,,,,,,
Q2202667,Koenraad Degroote,Koenraad Degroote,Koenraad Degroote,Koenraad Degroote,Koenraad Degroote,Koenraad Degroote,Koenraad Degroote,,male,1959-09-30,Koenraad,,,,,,,,,,,,,,,,,,degr009
Q1960865,Kristien Van Vaerenbergh,Kristien Van Vaerenbergh,Kristien Van Vaerenbergh,Kristien Van Vaerenbergh,Kristien Van Vaerenbergh,Kristien Van Vaerenbergh,Kristien Van Vaerenbergh,https://upload.wikimedia.org/wikipedia/commons/5/56/Kristien_van_vaerenbergh_250x443.jpg,female,1978-04-22,,,,,,,,,,,,,,,,,,,
Q2633390,Kristof Calvo,Kristof Calvo,Kristof Calvo,Kristof Calvo,Kristof Calvo,Kristof Calvo,Kristof Calvo,https://upload.wikimedia.org/wikipedia/commons/2/28/Kristof_Calvo_2014.jpg,male,1987-01-30,Kristof,/m/0s8wv5s,,,,,,,,,,,,,,,,,
Q2665838,Laurent Devin,Laurent Devin,Laurent Devin,Laurent Devin,Laurent Devin,Laurent Devin,"",,male,1970-03-16,Laurent,,,,,,,,,,,,,,,,,,
Q448224,Laurette Onkelinx,Laurette Onkelinx,Laurette Onkelinx,Laurette Onkelinx,Laurette Onkelinx,Laurette Onkelinx,Laurette Onkelinx,https://upload.wikimedia.org/wikipedia/commons/5/54/Laurette_Onkelinx_675.jpg,female,1958-10-02,,/m/07yxwv,,,,,,,,,,,,,,,,,
Q3228978,Leen Dierick,Leen Dierick,Leen Dierick,Leen Dierick,Leen Dierick,,"",,female,1978-05-02,Leen,,,,,,,,,,,,,,,,,,
Q3264833,Luc Gustin,Luc Gustin,Luc Gustin,Luc Gustin,Luc Gustin,Luc Gustin,"",,male,1951-07-14,Luc,,,,,,,,,,,,,,,,,,
Q3266973,Luk Van Biesen,Luk Van Biesen,Luk Van Biesen,Luk Van Biesen,Luk Van Biesen,Luk Van Biesen,"",,male,1960-06-26,,,,,,,,,,,,,,,,,,,
Q2800268,Maggie De Block,Maggie De Block,Maggie De Block,Maggie De Block,Maggie De Block,Maggie De Block,Maggie De Block,https://upload.wikimedia.org/wikipedia/commons/d/d7/Maggie_De_Block.JPG,female,1962-04-28,Maggie,/m/0s8wbkd,,,,,,,,,,,,,,,,,
Q3288800,Marcel Cheron,Marcel Cheron,Marcel Cheron,Marcel Cheron,Marcel Cheron,Marcel Cheron,Marcel Cheron,,male,1957-08-10,Marcel,/m/064pnh5,,,,,,,,,,,,,,,,,
Q16662935,Marco Van Hees,Marco Van Hees,Marco Van Hees,Marco Van Hees,Marco Van Hees,Marco Van Hees,"",,male,1964-03-15,Marco,,,,,,,,,,,,,,,,,,
Q3291646,Marie-Christine Marghem,Marie-Christine Marghem,Marie-Christine Marghem,Marie-Christine Marghem,Marie-Christine Marghem,Marie-Christine Marghem,"",,female,1963-05-22,Marie-Christine,,,,,,,,,,,,,,,,,,
Q2344602,Maya Detiège,Maya Detiège,Maya Detiège,Maya Detiège,Maya Detiège,Maya Detiège,Maya Detiège,,female,1967-08-30,Maya,,,,,,,,,,,,,,,,,,
Q212717,Melchior Wathelet,Melchior Wathelet,Melchior Wathelet (1977),Melchior Wathelet,Melchior Wathelet (fils),"Melchior Wathelet, Jr.","Melchior Wathelet, Jr.",https://upload.wikimedia.org/wikipedia/commons/a/a7/Melchior_Wathelet_junior.png,male,1977-09-30,Melchior,/m/0gjbjng,,,,,,,,,,,,,,,,,
Q2757876,Meryame Kitir,Meryame Kitir,Meryame Kitir,Meryame Kitir,Meryame Kitir,,"",,female,1980-04-20,,,,,,,,,,,,,,,,,,,
Q1820692,Meyrem Almaci,Meyrem Almaci,Meyrem Almaci,Meyrem Almaci,Meyrem Almaci,Meyrem Almaci,Meyrem Almaci,https://upload.wikimedia.org/wikipedia/commons/2/2d/Meyrem-almaci-1349265092.jpg,female,1976-02-25,,,,,,,,,,,,,,,,,,,
Q3311180,Michel de Lamotte,Michel de Lamotte,Michel de Lamotte,Michel de Lamotte,Michel de Lamotte,,"",,male,1955-04-11,Michel,,,,,,,,,,,,,,,,,,
Q2503975,Monica De Coninck,Monica De Coninck,Monica De Coninck,Monica De Coninck,Monica De Coninck,Monica De Coninck,Monica De Coninck,,female,1956-03-21,Monica,/m/0hzmd2l,,,,,,,,,,,,,,,,,
Q587605,Muriel Gerkens,Muriel Gerkens,Muriel Gerkens,Muriel Gerkens,Muriel Gerkens,,"",https://upload.wikimedia.org/wikipedia/commons/4/49/Muriel-gerkens.JPG,female,1957-04-25,Muriel,,,,,,,,,,,,,,,,,,
Q3335143,Nahima Lanjri,Nahima Lanjri,Nahima Lanjri,Nahima Lanjri,Nahima Lanjri,Nahima Lanjri,Nahima Lanjri,https://upload.wikimedia.org/wikipedia/commons/a/ad/Nahima-lanjri-1337435663.jpg,female,1968-02-17,,,,33810329,,,,,,,,,,,,,,,
Q524806,Nathalie Muylle,Nathalie Muylle,Nathalie Muylle,Nathalie Muylle,Nathalie Muylle,,"",,female,1969-02-08,Nathalie,,,,,,,,,,,,,,,,,,
Q17350463,Nawal Ben Hamou,Nawal Ben Hamou,Nawal Ben Hamou,Nawal Ben Hamou,Nawal Ben Hamou,Nawal Ben Hamou,"",,female,1987-06-11,,,,,,,,,,,,,,,,,,,
Q2256410,Nele Lijnen,Nele Lijnen,Nele Lijnen,Nele Lijnen,Nele Lijnen,Nele Lijnen,Nele Lijnen,,female,1978-01-01,Nele,,,,,,,,,,,,,,,,,,
Q3143147,Olivier Chastel,Olivier Chastel,Olivier Chastel,Olivier Chastel,Olivier Chastel,Olivier Chastel,Olivier Chastel,https://upload.wikimedia.org/wikipedia/commons/6/65/Olivier_chastel.jpg,male,1964-11-22,Olivier,/m/0gjcz47,,,,,,,,,,,,,,,,,
Q678494,Olivier Maingain,Olivier Maingain,Olivier Maingain,Olivier Maingain,Olivier Maingain,Olivier Maingain,Olivier Maingain,,male,1958-08-03,Olivier,/m/0kryq_,,,,,,,,,,,,,,,,,
Q3369088,Patricia Ceysens,Patricia Ceysens,Patricia Ceysens,Patricia Ceysens,Patricia Ceysens,Patricia Ceysens,Patricia Ceysens,https://upload.wikimedia.org/wikipedia/commons/d/d9/OEB2007_Patricia_Ceysens_(cropped).jpg,female,1965-06-05,Patricia,/m/03cdb0v,,285784173,,,,,,,,,,,,,,,
Q15992,Patrick Dewael,Patrick Dewael,Patrick Dewael,Patrick Dewael,Patrick Dewael,Patrick Dewael,Patrick Dewael,,male,1955-10-13,Patrick,/m/03vpp3,,48453866,,n94029114,,,073959812,,,,,,,0000 0000 4400 5082,,,
Q3370366,Paul-Olivier Delannois,Paul-Olivier Delannois,Paul-Olivier Delannois,Paul-Olivier Delannois,Paul-Olivier Delannois,,"",,male,1966-07-01,,,,,,,,,,,,,,,,,,,
Q17428066,Peter Buysrogge,Peter Buysrogge,Peter Buysrogge,,"",,"",,male,1976-03-15,Peter,,,,,,,,,,,,,,,,,,
Q14084072,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,"",Peter De Roover,"",,male,1962-05-20,Peter,,,,,,,,,,,,,,,,,,
Q2580685,Peter Dedecker,Peter Dedecker,Peter Dedecker,Peter Dedecker,Peter Dedecker,Peter Dedecker,Peter Dedecker,https://upload.wikimedia.org/wikipedia/commons/9/92/Peter_Dedecker.jpg,male,1983-11-07,Peter,,,310508080,,,,,,,,,,,,,,,
Q3376731,Peter Luykx,Peter Luykx,Peter Luykx,Peter Luykx,Peter Luykx,Peter Luykx,Peter Luykx,,male,1964-05-06,Peter,,,,,,,,,,,,,,,,,,
