id,name__tr,name,wikipedia__tr,name__en,wikipedia__en,gender,birth_date,given_name,image,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__SUDOC,identifier__freebase,identifier__Munzinger,identifier__BNF,identifier__IMDB,identifier__EuroparlMEP,identifier__MusicBrainz,identifier__NTA,identifier__BAV,identifier__NUKAT,identifier__FIFA,death_date,family_name,website,identifier__PACE,identifier__NKC,identifier__NNDB,identifier__parlement,identifier__discogs,twitter,identifier__GTAA,birth_name,identifier__NPG,identifier__NLI,identifier__CANTIC,identifier__NLA,identifier__SELIBR,identifier__BNE,identifier__PTBNP,identifier__ULAN,name__hu,name__de,wikipedia__de,name__es,name__fr,name__nb,name__da,name__nn,name__sv,name__yo,name__nl,name__fa,wikipedia__fa,wikipedia__fr,wikipedia__simple,wikipedia__yo,name__mg,wikipedia__mg,name__ru,wikipedia__ru,name__az,name__ca,name__diq,name__el,name__ja,wikipedia__az,wikipedia__ca,wikipedia__diq,wikipedia__el,wikipedia__ja,name__it,name__pl,name__ko,name__he,name__mk,name__uk,name__os,name__zh_hans,name__zh,wikipedia__commons,wikipedia__es,wikipedia__he,wikipedia__it,wikipedia__ko,wikipedia__mk,wikipedia__nl,wikipedia__no,wikipedia__os,wikipedia__pl,wikipedia__trwikiquote,wikipedia__uk,wikipedia__zh,wikipedia__plwikiquote,name__sw,wikipedia__sw,wikipedia__hu,name__ku_arab,name__ku_latn,name__ku,wikipedia__ku,name__ar,wikipedia__ar,name__bg,name__mdf,name__ro,name__cs,name__de_ch,name__en_ca,name__en_gb,name__fi,name__ka,wikipedia__bg,wikipedia__cswikiquote,wikipedia__da,wikipedia__fi,wikipedia__ka,wikipedia__mdf,wikipedia__ro,identifier__SBN_it,identifier__AlloCine,name__tyv,wikipedia__tyv,name__crh_latn,wikipedia__crh,name__ur,name__pnb,name__hy,wikipedia__hy,wikipedia__pnb,wikipedia__ur,name__lt,wikipedia__lt,name__pt,name__id,name__io,name__oc,wikipedia__id,wikipedia__io,wikipedia__oc,wikipedia__pt,wikipedia__sv,name__kk_arab,name__kk_cyrl,name__kk_latn,name__kk,wikipedia__kk,name__eo,wikipedia__eo,name__sah,name__tt,wikipedia__sah,wikipedia__tt,name__udm,name__lbe,name__et,wikipedia__et,wikipedia__lbe,wikipedia__udm
Q6084915,Emrullah İşler,Emrullah İşler,Emrullah İşler,Emrullah İşler,Emrullah İşler,male,1960-01-07,Emrullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6020221,Halil Ürün (Afyonlu),Halil Ürün (Afyonlu),Halil Ürün (Afyonlu),Halil Ürün,"",male,,Halil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6027977,Levent Gök,Levent Gök,Levent Gök,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q464689,Leyla Zana,Leyla Zana,Leyla Zana,Leyla Zana,Leyla Zana,female,1961-05-03,Leyla,https://upload.wikimedia.org/wikipedia/commons/7/76/Zana.jpg,0000 0000 7834 2466,79116556,120046245,nr97023264,,/m/04_d67,00000025126,125256686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6031129,Lütfi Elvan,Lütfi Elvan,Lütfi Elvan,Lütfi Elvan,Lütfi Elvan,male,1962-03-12,,https://upload.wikimedia.org/wikipedia/commons/1/10/Lütfi_Elvan_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6079419,Mehmet Günal,Mehmet Günal,Mehmet Günal,Mehmet Günal,"",male,,Mehmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6052528,Mehmet Şükrü Erdinç,Mehmet Şükrü Erdinç,Mehmet Şükrü Erdinç,Mehmet Şükrü Erdinç,Mehmet Şükrü Erdinç,male,,Mehmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6824095,Metin Lütfi Baydar,Metin Lütfi Baydar,Metin Lütfi Baydar,Metin Lütfi Baydar,Metin Lütfi Baydar,male,1960-02-03,Metin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6020385,Muharrem Varlı,Muharrem Varlı,Muharrem Varlı,Muharrem Varlı,Muharrem Varlı,male,1969-04-22,Muharrem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6943220,Mustafa Akaydın,Mustafa Akaydın,Mustafa Akaydın,Mustafa Akaydın,Mustafa Akaydın,male,1952-04-24,Mustafa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6040994,Mustafa Erdem,Mustafa Erdem,Mustafa Erdem,,"",male,,Mustafa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6092505,Naci Bostancı,Naci Bostancı,Naci Bostancı,Naci Bostancı,Naci Bostancı,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20473360,Namık Havutça,Namık Havutça,Namık Havutça,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1973627,Necdet Ünüvar,Necdet Ünüvar,Necdet Ünüvar,Necdet Ünüvar,Necdet Ünüvar,male,1960-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20473779,Niyazi Nefi Kara,Niyazi Nefi Kara,Niyazi Nefi Kara,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20474223,Orhan Atalay,Orhan Atalay,Orhan Atalay,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6032840,Salih Fırat,Salih Fırat,Salih Fırat,Salih Fırat,Salih Fırat,male,,Salih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6024793,Seyfettin Yılmaz,Seyfettin Yılmaz,Seyfettin Yılmaz,Seyfettin Yılmaz,Seyfettin Yılmaz,male,,Seyfettin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q982389,Sırrı Süreyya Önder,Sırrı Süreyya Önder,Sırrı Süreyya Önder,Sırrı Süreyya Önder,Sırrı Süreyya Önder,male,1962-07-07,Sırrı,https://upload.wikimedia.org/wikipedia/commons/9/9c/Sırrı_Süreyya_Önder.jpg,,120592501,,no2010068619,,/m/0gy15_4,,,nm2438657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6027967,Tekin Bingöl,Tekin Bingöl,Tekin Bingöl,Tekin Bingöl,"",,1955-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6025039,Tülay Selamoğlu,Tülay Selamoğlu,Tülay Selamoğlu,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6102989,Vedat Bilgin,Vedat Bilgin,Vedat Bilgin,,"",,1954-01-01,Vedat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6026854,Yalçın Akdoğan,Yalçın Akdoğan,Yalçın Akdoğan,Yalçın Akdoğan,Yalçın Akdoğan,male,1969-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2602515,Yıldırım Tuğrul Türkeş,Yıldırım Tuğrul Türkeş,Yıldırım Tuğrul Türkeş,Yıldırım Tuğrul Türkeş,"",male,1954-12-01,Yıldırım,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17046592,Yılmaz Tunç,Yılmaz Tunç,Yılmaz Tunç,Yılmaz Tunç,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6021969,İlknur İnceöz,İlknur İnceöz,İlknur İnceöz,,"",female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20477088,İsmail Ok,İsmail Ok,İsmail Ok,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6008289,İsrafil Kışla,İsrafil Kışla,İsrafil Kışla,İsrafil Kışla,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19610371,Abdullah Nejat Koçer,Abdullah Nejat Koçer,Abdullah Nejat Koçer,Abdullah Nejat Koçer,"",,,Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12808292,Adnan Yılmaz (milletvekili),Adnan Yılmaz (milletvekili),Adnan Yılmaz (milletvekili),Adnan Yılmaz,"",male,,Adnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6057352,Alev Dedegil,Alev Dedegil,Alev Dedegil,Alev Dedegil,"",female,1958-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20476227,Ali Ercoşkun,Ali Ercoşkun,Ali Ercoşkun,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6850856,Altan Tan,Altan Tan,Altan Tan,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20471738,Barış Yarkadaş,Barış Yarkadaş,Barış Yarkadaş,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6052158,Berat Albayrak,Berat Albayrak,Berat Albayrak,Berat Albayrak,Berat Albayrak,male,,Berat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20473769,Bülent Turan,Bülent Turan,Bülent Turan,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1052749,Celal Doğan,Celal Doğan,Celal Doğan,Celal Doğan,"",male,1943-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2947184,Cevdet Yılmaz,Cevdet Yılmaz,Cevdet Yılmaz,Cevdet Yılmaz,Cevdet Yılmaz,male,1967-04-01,,https://upload.wikimedia.org/wikipedia/commons/0/01/Cevdet_Yılmaz-Ministry_of_Development.jpg,,,,,,/m/0bm9zkx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6034078,Efkan Ala,Efkan Ala,Efkan Ala,Efkan Ala,Efkan Ala,male,1965-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20471298,Erkan Kandemir,Erkan Kandemir,Erkan Kandemir,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6069535,Erol Kaya,Erol Kaya,Erol Kaya,Erol Kaya,"",male,,Erol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q77240,Feleknas Uca,Feleknas Uca,Feleknas Uca,Feleknas Uca,Feleknas Uca,female,1976-09-17,,https://upload.wikimedia.org/wikipedia/commons/7/77/Feleknas_Uca.jpg,,259810764,,n2011210824,,/m/03flhs,,,,4302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20472485,Fevai Arslan,Fevai Arslan,Fevai Arslan,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
