name,wikiname,group,area,term,source,id,name__tr,wikipedia__tr,name__en,wikipedia__en,gender,birth_date,given_name,identifier__freebase,image,name__el,name__de,name__fr,name__pl,name__ru,name__az,name__ar,name__it,name__nl,name__es,name__nb,name__hu,wikipedia__ar,wikipedia__az,wikipedia__de,wikipedia__el,wikipedia__fr,wikipedia__it,wikipedia__no,wikipedia__pl,wikipedia__ru,name__ja,name__ca,name__oc,wikipedia__ja,name__af,name__an,name__ast,name__bar,name__br,name__co,name__cs,name__cy,name__da,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__fi,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__id,name__ie,name__io,name__is,name__kg,name__lb,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nn,name__nrm,name__pcd,name__pms,name__pt,name__pt_br,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sv,name__sw,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,name__zh,wikipedia__zh,wikipedia__vi,identifier__wikidata
Dursun Oğuz,"",National Unity Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Kaşif,Ahmet Kaşif,Democratic Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q4696177,Ahmet Kaşif,Ahmet Kaşif,Ahmet Kaşif,Ahmet Kaşif,male,1950-01-01,Ahmet,,,Αχμέτ Κασίφ,Ahmet Kaşif,Ahmet Kaşif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4696177
Fikri Ataoğlu,"",Democratic Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakan Dinçyürek,"",Democratic Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hüseyin Angolemli,"",Communal Democracy Party,Gazimağusa,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbas Sınay,"",Republican Turkish Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salih İzbul,"",Republican Turkish Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fazilet Özdenefe,"",Republican Turkish Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ömer Kalyoncu,Ömer Kalyoncu,Republican Turkish Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q20669153,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,male,1950-01-01,Ömer,,,,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,,,,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,,,Ömer Kalyoncu,,,,,Ömer Kalyoncu,,,Ömer Kalyoncu,Ömer Kalyoncu,,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,Ömer Kalyoncu,奧瑪·卡勒揚庫,奧瑪·卡勒揚庫,,Q20669153
Ünal Üstel,"",National Unity Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kutlu Evren,"",National Unity Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
İzlem Gürçağ,"",National Unity Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Özdemir Berova,"",Democratic Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ergün Serdaroğlu,"",Democratic Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeki Çeler,Zeki Çeler,Communal Democracy Party,Girne,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,Q20744808,,,Zeki Çeler,Zeki Çeler,male,1981-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q20744808
Armağan Candan,"",Republican Turkish Party,Güzelyurt,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mehmet Çağlar,"",Republican Turkish Party,Güzelyurt,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hüseyin Erçal,"",Republican Turkish Party,Güzelyurt,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Pilli,"",National Unity Party,Güzelyurt,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemal Dürüst,"",National Unity Party,Güzelyurt,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menteş Gündüz,"",Democratic Party,Güzelyurt,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Önder Sennaroğlu,"",Republican Turkish Party,İskele,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biray Hamzaoğlu,"",Republican Turkish Party,İskele,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hüseyin Alanlı,"",Democratic Party,İskele,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamit Bakırcı,"",Democratic Party,İskele,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nazım Çavuşoğlu,"",National Unity Party,İskele,14,https://en.wikipedia.org/wiki/14th_Parliament_of_Northern_Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
