id,name,area_id,area,wikiname,term,source,name__ko,wikipedia__ko,name__en,wikipedia__en,gender,identifier__freebase,birth_date,family_name,identifier__isni,identifier__viaf,death_date,identifier__nta,identifier__musicbrainz,image,identifier__gnd,identifier__lcauth,identifier__ndl,identifier__iiaf,name__es,name__nl,name__fr,name__de,wikipedia__fr,name__zh,name__pl,name__ja,wikipedia__de,wikipedia__ja,wikipedia__pl,wikipedia__zh,name__zh_hans,name__zh_hant,name__zh_hk,name__it,name__vi,name__sv,wikipedia__sv,wikipedia__vi,name__zh_cn,name__pt,name__zh_sg,name__zh_tw,name__ru,name__tr,name__yo,name__fi,name__gl,name__id,name__cs,name__el,name__fa,name__da,name__nb,name__he,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__es,wikipedia__fa,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__id,wikipedia__it,wikipedia__nl,wikipedia__no,wikipedia__pt,wikipedia__ru,wikipedia__tr,wikipedia__yo,name__hu,wikipedia__hu,name__ar,name__mg,wikipedia__ar,wikipedia__mg,name__az,name__bcl,name__be,name__bg,name__br,name__ca,name__cy,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__hr,name__hy,name__ka,name__lt,name__lv,name__mk,name__ml,name__ms,name__my,name__nds,name__nds_nl,name__nn,name__pt_br,name__ro,name__scn,name__sk,name__sq,name__sr,name__ta,name__th,name__tk,name__uk,name__yue,name__zh_my,name__zh_mo,name__hak,name__szl,name__ast,name__mn,name__an,name__af,name__eu,name__tg,name__sco,name__tl,name__oc,name__gsw,name__sgs,name__nan,name__be_tarask,name__bn,name__os,name__war,name__hi,name__cdo,name__wuu,name__ckb,name__ne,name__sh,name__ur,name__la,wikipedia__af,wikipedia__als,wikipedia__an,wikipedia__ast,wikipedia__az,wikipedia__bat_smg,wikipedia__bcl,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__br,wikipedia__ca,wikipedia__cdo,wikipedia__ckb,wikipedia__cy,wikipedia__eo,wikipedia__et,wikipedia__eu,wikipedia__hak,wikipedia__hi,wikipedia__hr,wikipedia__huwikiquote,wikipedia__hy,wikipedia__ka,wikipedia__la,wikipedia__lt,wikipedia__lv,wikipedia__mk,wikipedia__ml,wikipedia__mn,wikipedia__ms,wikipedia__my,wikipedia__nds_nl,wikipedia__nds,wikipedia__ne,wikipedia__nn,wikipedia__os,wikipedia__plwikiquote,wikipedia__ro,wikipedia__ruwikinews,wikipedia__scn,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sq,wikipedia__sr,wikipedia__svwikiquote,wikipedia__szl,wikipedia__ta,wikipedia__tg,wikipedia__th,wikipedia__tk,wikipedia__tl,wikipedia__uk,wikipedia__ur,wikipedia__war,wikipedia__wuu,wikipedia__zh_min_nan,wikipedia__zh_yue,name__ku_arab,name__ku_latn,name__ku,wikipedia__commons,wikipedia__ku
14-17,Cho Kil-nyo,17,Saemaul,"",13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-18,Pang Sung-son,18,Pothongkang,"",13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-19,Kim Ung-chol,19,Ryukyong,"",13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-20,Ri Mi-ok,20,Pulkunkori,"",13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-21,Yang Hyong-sob,21,Kaeson,"",13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-22,Cho Yon-jun,22,Pipha,"",13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-23,O Kuk-ryol,23,Chonsung,O Kuk-ryol,13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",오극렬,오극렬,O Kuk-ryol,O Kuk-ryol,male,/m/0dgnps8,1931-01-01,,,,,,,,,,,,O Kuk-ryol,O Kuk-ryol,O Kuk-ryol,O Kŭng-nyŏl,,吴克烈,O Kŭk Ryŏl,呉克烈,O Kŭng-nyŏl,呉克烈,O Kŭk Ryŏl,吴克烈,吴克烈,吳克烈,吳克烈,,O Kuk-ryol,,,O Kuk-ryol,,,,,,,,,,,,,,,,,,,,O Kuk-ryol,,,,,,,,,,,,,,,,,,,,,О Гык Роль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,О Гык Роль,,,,,,,,,,,,,,,,,,,О Гык Роль,О Гык Роль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-24,Pyon Yong-sam,24,Kinmaul,"",13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-25,Kim Hae-song,25,Sosong,"",13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-26,Kim Tong-hyok,26,Changkyong,"",13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-27,Kim Kyong-su,27,Hasin,"",13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-28,Pak Pong-nam,28,Chungsin,"",13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-29,Thae Hyong-chol,29,Taesong,"",13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-30,Kim Yong-ju,30,Ryonghung,Kim Yong-ju,13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",김영주,김영주 (1920년),Kim Yong-ju,Kim Yong-ju,male,/m/0hgqwlx,1920-01-01,,,,,,,,,,,,Kim Yong-ju,Kim Jong Chu,Kim Yong-ju,Kim Yŏng-ju,,金英柱,,金英柱,Kim Yŏng-ju,金英柱,,金英柱,,,,,,,,,,,,,Ким Ён Чжу,,,,,,,,,,,,,,,,,,,,,,Kim Jong Chu,,,Ким Ён Чжу,,,,,,,,,,,,,,,,,,,,,,Կիմ Յոնգ Ջի,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Yong-ju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-31,Chong Myong-il,31,Anhak,"",13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-32,Kim Song-hui,32,Tongmun,Kim Song-hui,13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",김송휘,,Kim Song-Hui,Kim Song-hui,female,/m/0k8n_t1,1987-02-23,,,,,,,,,,,,Kim Song-Hui,Kim Song-Hui,Kim Song Hui,,Kim Song-hui,,,,,,,,,,,,,,,,,,,,Ким Сон Хви,,,,,,,,,,Kim Song-Hui,,,,,,,,,,,,,Kim Song-Hui,,Ким Сон Хви,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-33,Kim Myong-sik,33,Chongryu,"",13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-34,Ri Myong-chol,34,Munsu,"",13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-35,Ri Yong-mu,35,Thabje,Ri Yong-mu,13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",리용무,리용무,Ri Yong-mu,Ri Yong-mu,male,/m/0hq_jw7,1925-01-25,,,,,,,,,,,,Ri Yong-mu,Ri Yong-mu,,Ri Yong-mu,,李勇武,Ri Yong Mu,李勇武,Ri Yong-mu,李勇武,Ri Yong Mu,李勇武,李勇武,李勇武,李勇武,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-36,Ryang Pong-jin,36,Sakok,"",13,"https://en.wikipedia.org/wiki/North_Korean_parliamentary_election,_2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
