id,name,group,email,image,term,source,name__en,name__mt,name__nl,name__pl,name__de,name__it,wikipedia__en,wikipedia__it,wikipedia__mt,wikipedia__pl,gender,birth_date,given_name,name__fr,name__es,wikipedia__de,wikipedia__fr,identifier__freebase,name__pt,name__sv,wikipedia__nl,wikipedia__pt,wikipedia__sv,identifier__viaf,identifier__gnd,identifier__imdb,name__da,wikipedia__da,identifier__lcauth,website,identifier__europarlmep,name__la,wikipedia__la,name__az,wikipedia__az,name__ga,name__ro,name__ru,name__hu,name__pt_br,name__tr,name__eo,name__lb,name__cs,name__et,name__de_ch,name__el,name__en_ca,name__en_gb,name__nb,name__lmo,name__uk,name__zh,name__io,name__fi,name__lt,name__fa,name__nn,name__id,name__ja,name__be,name__ko,wikipedia__be,wikipedia__cs,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__ga,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__ja,wikipedia__ko,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__no,wikipedia__ro,wikipedia__ru,wikipedia__tr,wikipedia__uk,wikipedia__zh,identifier__parlement,name__ka,wikipedia__ka,wikipedia__commons
busuttil-simon,Simon Busuttil,Partit Nazzjonlista,simon.busuttil@parlament.mt,http://www.parlament.mt/file.aspx?f=35179,12,http://www.parlament.mt/busuttil-simon,Simon Busuttil,Simon Busuttil,Simon Busuttil,Simon Busuttil,Simon Busuttil,Simon Busuttil,Simon Busuttil,Simon Busuttil,Simon Busuttil,Simon Busuttil,male,1969-03-21,Simon,Simon Busuttil,Simon Busuttil,Simon Busuttil,Simon Busuttil,/m/0546hg,,,,,,,,,Simon Busuttil,Simon Busuttil,,http://www.simonbusuttil.eu,28120,,,,,,Simon Busuttil,,,,,,,,,,,,,,,Саймон Бусуттіл,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simon Busuttil,,,Саймон Бусуттіл,,,,,Category:Simon Busuttil
buontempo-stefan,Stefan Buontempo,Partit Laburista,stefan.buontempo@gov.mt,http://www.parlament.mt/file.aspx?f=31717,12,http://www.parlament.mt/buontempo-stefan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buttigieg-claudette,Claudette Buttigieg,Partit Nazzjonlista,claudette.buttigieg@parlament.mt,http://www.parlament.mt/file.aspx?f=32377,12,http://www.parlament.mt/buttigieg-claudette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
busuttil-luciano,Luciano Busuttil,Partit Laburista,lucio74@onvol.net,http://www.parlament.mt/file.aspx?f=33309,12,http://www.parlament.mt/busuttil-luciano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
callus-ryan,Ryan Callus,Partit Nazzjonlista,ryan.callus@parlament.mt,http://www.parlament.mt/file.aspx?f=32206,12,http://www.parlament.mt/callus-ryan,Ryan Callus,,Ryan Callus,,Ryan Callus,,Ryan Callus,,,,male,1983-06-22,Ryan,Ryan Callus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cardona-chris,Chris Cardona,Partit Laburista,christian.cardona@gov.mt,http://www.parlament.mt/file.aspx?f=31744,12,http://www.parlament.mt/cardona-chris,Christian Cardona,,Christian Cardona,,Christian Cardona,Christian Cardona,Christian Cardona,,,,male,1972-01-01,Christian,Christian Cardona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cassar-joe,Joe Cassar,Partit Nazzjonlista,joseph.r.cassar@parlament.mt,http://www.parlament.mt/file.aspx?f=32365,12,http://www.parlament.mt/cassar-joe,Joe Cassar,,Joe Cassar,,Joe Cassar,,Joe Cassar,,,,male,1966-05-19,Joe,Joe Cassar,Joe Cassar,Joe Cassar,Joe Cassar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caruana-justyne,Justyne Caruana,Partit Laburista,justyne.caruana@gmail.com,http://www.parlament.mt/file.aspx?f=31730,12,http://www.parlament.mt/caruana-justyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cutajar-robert,Robert Cutajar,Partit Nazzjonlista,robert.cutajar@parlament.mt,http://www.parlament.mt/file.aspx?f=32389,12,http://www.parlament.mt/cutajar-robert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dalli-helena,Helena Dalli,Partit Laburista,helena.dalli@gov.mt,http://www.parlament.mt/file.aspx?f=31749,12,http://www.parlament.mt/dalli-helena,Helena Dalli,,,,,,Helena Dalli,,,,female,,Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demarco-mario,Mario De Marco,Partit Nazzjonlista,mario.demarco@parlament.mt,http://www.parlament.mt/file.aspx?f=32391,12,http://www.parlament.mt/demarco-mario,Mario de Marco,Mario De Marco,Mario de Marco,Mario de Marco,Mario de Marco,,Mario de Marco,,Mario De Marco,Mario de Marco,male,1965-10-18,Mario,Mario de Marco,Mario de Marco,Mario de Marco,Mario de Marco,/m/0gx123,,,,,,,,,,,,,26817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debattista-deo,Deo Debattista,Partit Laburista,deodebattista@onvol.net,http://www.parlament.mt/file.aspx?f=31742,12,http://www.parlament.mt/debattista-deo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kristy-debono,Kristy Debono,Partit Nazzjonlista,kristy.debono@parlament.mt,http://www.parlament.mt/file.aspx?f=33192,12,http://www.parlament.mt/kristy-debono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debonogrech-joe,Joe Debono Grech,Partit Laburista,joseph.debono-grech@parlament.mt,http://www.parlament.mt/file.aspx?f=33372,12,http://www.parlament.mt/debonogrech-joe,Joe Debono Grech,Joe Debono Grech,Joe Debono Grech,,Joe Debono Grech,,Joe Debono Grech,,Joe Debono Grech,,male,1939-09-17,Joe,Joe Debono Grech,,,,,,,,,,,,,,,,,,,,Cozef Debone Qrex,Cozef Debone Qrex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fenech-albert,Albert Fenech,Partit Nazzjonlista,albert.fenech@gov.mt,http://www.parlament.mt/file.aspx?f=33193,12,http://www.parlament.mt/fenech-albert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falzon-michael,Michael Falzon,Partit Laburista,falzon.michael@gmail.com,http://www.parlament.mt/file.aspx?f=32810,12,http://www.parlament.mt/falzon-michael,Michael Falzon,Michael Falzon,Michael Falzon,,Michael Falzon,,Michael Falzon (politician),,Michael Falzon,,male,1961-11-16,Michael,,Michael Falzon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fenech-tonio,Tonio Fenech,Partit Nazzjonlista,tonio.fenech@parlament.mt,http://www.parlament.mt/file.aspx?f=32393,12,http://www.parlament.mt/fenech-tonio,Tonio Fenech,,Tonio Fenech,,Tonio Fenech,,Tonio Fenech,,,,male,1969-05-05,Tonio,Tonio Fenech,Tonio Fenech,Tonio Fenech,Antonio Fenech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farrugia-godfrey,Godfrey Farrugia,Partit Laburista,godfrey.a.farrugia@gov.mt,http://www.parlament.mt/file.aspx?f=31735,12,http://www.parlament.mt/farrugia-godfrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fenech-adamibeppe,Beppe Fenech Adami,Partit Nazzjonlista,joseph.fenech-adami@parlament.mt,http://www.parlament.mt/file.aspx?f=32392,12,http://www.parlament.mt/fenech-adamibeppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farrugia-joseph,Joseph Farrugia,Partit Laburista,joefarrugiafarell@gmail.com,http://www.parlament.mt/file.aspx?f=49049,12,http://www.parlament.mt/farrugia-joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
galea-censu,Censu Galea,Partit Nazzjonlista,vincent.galea@parlament.mt,http://www.parlament.mt/file.aspx?f=33195,12,http://www.parlament.mt/galea-censu,Ċensu Galea,,Ċensu Galea,,Ċensu Galea,,Ċensu Galea,,,,male,1956-08-28,,Ċensu Galea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farrugia-marlene,Marlene Farrugia,Partit Laburista,marlenedent@gmail.com,http://www.parlament.mt/file.aspx?f=31724,12,http://www.parlament.mt/farrugia-marlene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
galea-mario,Mario Galea,Partit Nazzjonlista,mario.galea@parlament.mt,http://www.parlament.mt/file.aspx?f=32394,12,http://www.parlament.mt/galea-mario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farrugia-michael,Michael Farrugia,Partit Laburista,michael.farrugia@gov.mt,http://www.parlament.mt/file.aspx?f=31723,12,http://www.parlament.mt/farrugia-michael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonzi-michael,Michael Gonzi,Partit Nazzjonlista,michael.gonzi@parlament.mt,http://www.parlament.mt/file.aspx?f=32396,12,http://www.parlament.mt/gonzi-michael,Michael Gonzi,,Michael Gonzi,,Michael Gonzi,Michael Gonzi,Michael Gonzi,,,,male,1960-10-23,Michael,Michael Gonzi,Michael Gonzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fearne-christopher,Christopher Fearne,Partit Laburista,chris@chrisfearne.com,http://www.parlament.mt/file.aspx?f=31743,12,http://www.parlament.mt/fearne-christopher,Chris Fearne,,,,Chris Fearne,Chris Fearne,Chris Fearne,,,,male,,Chris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grech-claudio,Claudio Grech,Partit Nazzjonlista,claudio.grech@parlament.mt,http://www.parlament.mt/file.aspx?f=32406,12,http://www.parlament.mt/grech-claudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
galdes-roderick,Roderick Galdes,Partit Laburista,roderick.galdes@gov.mt,http://www.parlament.mt/file.aspx?f=31720,12,http://www.parlament.mt/galdes-roderick,Roderick Galdes,,,,,,Roderick Galdes,,,,male,,Roderick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mifsudbonnici-carmelo,Carmelo Mifsud Bonnici,Partit Nazzjonlista,carmelomifsudbonnici@parlament.mt,http://www.parlament.mt/file.aspx?f=32776,12,http://www.parlament.mt/mifsudbonnici-carmelo,Carmelo Mifsud Bonnici,,Carmelo Mifsud Bonnici,,Carmelo Mifsud Bonniċi,,Carmelo Mifsud Bonnici,,,,male,1960-02-17,,Carmelo Mifsud Bonnici,Carmelo Mifsud Bonnici,Carmelo Mifsud Bonniċi (Nationalist Party),Carmelo Mifsud Bonnici,/m/06kwd8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grech-etienne,Etienne Grech,Partit Laburista,etienne.b.grech@parlament.mt,http://www.parlament.mt/file.aspx?f=31739,12,http://www.parlament.mt/grech-etienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mifsudbonnici-paula,Paula Mifsud Bonnici,Partit Nazzjonlista,paula.mifsud-bonnici@parlament.mt,http://www.parlament.mt/file.aspx?f=34317,12,http://www.parlament.mt/mifsudbonnici-paula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grech-louis,Louis Grech,Partit Laburista,louis.grech@gov.mt,http://www.parlament.mt/file.aspx?f=31726,12,http://www.parlament.mt/grech-louis,Louis Grech,Louis Grech,Louis Grech,Louis Grech,Louis Grech,Louis Grech,Louis Grech,Louis Grech,Louis Grech,Louis Grech,male,1947-03-22,Louis,Louis Grech,Louis Grech,Louis Grech,Louis Grech,/m/0546j6,,,,,,,,,Louis Grech,Louis Grech,,,28123,,,,,Louis Grech,Louis Grech,,,,,,,,,,,,,Louis Grech,,,,,,,,,,,,,,,,,,,,,Louis Grech,,,,,,,,,Louis Grech,Louis Grech,,,,,,,,
portelli-marthese,Marthese Portelli,Partit Nazzjonlista,martheseportellipn@gmail.com,http://www.parlament.mt/file.aspx?f=33194,12,http://www.parlament.mt/portelli-marthese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herrera-jose,José Herrera,Partit Laburista,jose.herrera@gov.mt,http://www.parlament.mt/file.aspx?f=31732,12,http://www.parlament.mt/herrera-jose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puli-clyde,Clyde Puli,Partit Nazzjonlista,clyde.puli@parlament.mt,http://www.parlament.mt/file.aspx?f=32398,12,http://www.parlament.mt/puli-clyde,Clyde Puli,,Clyde Puli,,Clyde Puli,,Clyde Puli,,,,male,1969-09-13,Clyde,Clyde Puli,,,Clyde Puli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mallia-emmanuel,Emmanuel Mallia,Partit Laburista,manuel.mallia@gov.mt,http://www.parlament.mt/file.aspx?f=31725,12,http://www.parlament.mt/mallia-emmanuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pullicino-george,George Pullicino,Partit Nazzjonlista,george.pullicino@parlament.mt,http://www.parlament.mt/file.aspx?f=32399,12,http://www.parlament.mt/pullicino-george,George Pullicino,,George Pullicino,,George Pullicino,,George Pullicino,,,,male,1964-05-12,George,George Pullicino,George Pullicino,George Pullicino,George Pullicino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mangion-charles,Charles Mangion,Partit Laburista,charles.mangion@parlament.mt,http://www.parlament.mt/file.aspx?f=47052,12,http://www.parlament.mt/mangion-charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
said-chris,Chris Said,Partit Nazzjonlista,chris.said@parlament.mt,http://www.parlament.mt/file.aspx?f=32400,12,http://www.parlament.mt/said-chris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mercieca-franco,Franco Mercieca,Partit Laburista,franco.mercieca@gov.mt,http://www.parlament.mt/file.aspx?f=31737,12,http://www.parlament.mt/mercieca-franco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spiteri-stephen,Stephen Spiteri,Partit Nazzjonlista,stephen.a.spiteri@parlament.mt,http://www.parlament.mt/file.aspx?f=32671,12,http://www.parlament.mt/spiteri-stephen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mizzi-joe,Joe Mizzi,Partit Laburista,joe.mizzi@gov.mt,http://www.parlament.mt/file.aspx?f=31733,12,http://www.parlament.mt/mizzi-joe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zammit-dimechfrancis,Francis Zammit Dimech,Partit Nazzjonlista,zammf@go.net.mt,http://www.parlament.mt/file.aspx?f=32401,12,http://www.parlament.mt/zammit-dimechfrancis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mizzi-konrad,Konrad Mizzi,Partit Laburista,konrad.mizzi@gov.mt,http://www.parlament.mt/file.aspx?f=31728,12,http://www.parlament.mt/mizzi-konrad,Konrad Mizzi,Konrad Mizzi,,,Konrad Mizzi,,Konrad Mizzi,,Konrad Mizzi,,male,1977-11-04,Konrad,Konrad Mizzi,,Konrad Mizzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
