id,name,group,area,image,phone,fax,contact_form,term,source
4,José E. Meléndez Ortiz,PNP,Acumulación,http://www.tucamarapr.org/dnncamara/images/Representantes/88dea4e1-b373-463f-aec0-1131322b06aa.jpg,(787) 725-9189 / (787) 725-9189,(787) 721-6062,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=4,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=4
44,María de Lourdes Ramos Rivera,PNP,Acumulación,http://www.tucamarapr.org/dnncamara/images/Representantes/0df4903-63b3-421f-a6b0-ac4344f1f802.jpg,(787) 721-6040 / 2522,(787) 622-4882,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=44,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=44
8,Luis R. Torres Cruz,PPD,Distrito 2,http://www.tucamarapr.org/dnncamara/images/Representantes/2fa8aa3-629a-4b82-8ae8-ed951ca6a566.jpg,787723-1816 / 787723-8424,787722-3573,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=8,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=8
107,Sonia I. Pacheco Irigoyen,PPD,Distrito 3,http://www.tucamarapr.org/dnncamara/images/Representantes/6260384-ac66-4311-b683-179287fd4907.jpg,(787) 622-4975 / (787) 622-4975,(787) 622-4880,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=107,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=107
85,Jose L. Báez Rivera,PPD,Distrito 4,http://www.tucamarapr.org/dnncamara/images/Representantes/e841add-181f-4559-8e4f-8df769221a5a.jpg,(787) 622-4960 / (787) 622-4960,(787) 721-6620,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=85,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=85
74,César Hernández Alfonzo,PPD,Distrito 15,http://www.tucamarapr.org/dnncamara/images/Representantes/8ce24c5f-748c-4f7f-b4a3-431ecd8a39f4.jpg,(787) 725-5115 / (787) 723-6100,(787) 725-0630,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=74,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=74
83,José A. Rodríguez Quiles,PPD,Distrito 16,http://www.tucamarapr.org/dnncamara/images/Representantes/227af05-2708-4715-b818-867ef99de977.jpg,(787) 622-4877 / (787) 622-4877,(787) 721-8019,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=83,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=83
70,Armando Franco González,PPD,Distrito 17,http://www.tucamarapr.org/dnncamara/images/Representantes/fe588f05-7d6e-4d11-bfb2-2a60adb81106.jpg,(787) 729-9005 / (787) 723-0070,(787) 622-4385,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=70,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=70
77,Efraín De Jesús Rodríguez,PPD,Distrito 19,http://www.tucamarapr.org/dnncamara/images/Representantes/02c38a8-b19f-4311-a633-8198cda9e059.jpg,(787) 722-4296 / (787) 722-4296,(787) 724-7423,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=77,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=77
24,Lydia Méndez Silva,PPD,Distrito 21,http://www.tucamarapr.org/dnncamara/images/Representantes/0bf11e0-dd53-45e8-8cd2-22bf19f7a667.jpg,787722-0801 / 787977-0128,787721-0483,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=24,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=24
99,Nelson Torres Yordán,PPD,Distrito 23,http://www.tucamarapr.org/dnncamara/images/Representantes/e611945-760c-46f1-8b1a-d88ba412a1f1.jpg,(787) 721-5007 / (787) 723-5840,(787) 622-4899,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=99,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=99
41,Víctor L. Vassallo Anadón,PPD,Distrito 25,http://www.tucamarapr.org/dnncamara/images/Representantes/8acb8e0-a37b-435c-a2b3-107e18f5591b.jpg,(787) 622-4290 / (787) 622-4290,(787) 622-4382,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=41,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=41
28,José R. Torres Ramírez,PPD,Distrito 27,http://www.tucamarapr.org/dnncamara/images/Representantes/fcaf416c-ce19-42ef-b263-2c58d5724e4d.jpg,(787) 622-3822 / (787) 622-3822,(787) 723-8584,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=28,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=28
72,Carlos J. Vargas Ferrer,PPD,Distrito 29,http://www.tucamarapr.org/dnncamara/images/Representantes/73eb88f1-7013-480a-a47b-f7f996eb4e49.jpg,(787) 622-4885 / (787) 622-4885,(787) 725-3908,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=72,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=72
90,Luis R. Ortiz Lugo,PPD,Distrito 30,http://www.tucamarapr.org/dnncamara/images/Representantes/2f2dc52-8c85-46a8-86a5-e0c550828eca.jpg,(787) 721-5545 / (787) 839-1474,(787) 725-6669,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=90,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=90
81,Jesús Santa Rodríguez,PPD,Distrito 31,http://www.tucamarapr.org/dnncamara/images/Representantes/54693ce-2743-47a7-8ef7-b2fb4785cbe4.jpg,(787) 725-5595 / (787) 723-3605,(787) 725-3411,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=81,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=81
102,Ramón L. Cruz Burgos,PPD,Distrito 34,http://www.tucamarapr.org/dnncamara/images/Representantes/e2e28c1-ba62-431f-ba25-e4412a13dfe0.jpg,(787) 622-3802 / (787) 622-3802,(787) 725-0437,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=102,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=102
98,Narden Jaime Espinosa,PPD,Distrito 35,http://www.tucamarapr.org/dnncamara/images/Representantes/adfbb30f-a8a1-442e-90b6-782cf161ddd1.jpg,(787) 724-6262 / (787) 721-3412,(787) 721-6783,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=98,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=98
80,Javier A. Aponte Dalmau,PPD,Distrito 38,http://www.tucamarapr.org/dnncamara/images/Representantes/6caa6b19-7a9f-422e-87c5-8420bbf8db53.jpg,(787) 722-7780 / (787) 725-1435,(787) 622-4963,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=80,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=80
66,Angel N. Matos García,PPD,Distrito 40,http://www.tucamarapr.org/dnncamara/images/Representantes/949c187-2885-430c-a868-c5f19db52fe7.jpg,(787) 721-4039 / (787) 622-4485,(787) 722-5483,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=66,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=66
51,José López Muñoz,PNP,Distrito 1,http://www.tucamarapr.org/dnncamara/images/Representantes/cc4eb92-e09f-40d2-9920-d3594baf97ed.jpg,787723-2212 / 787723-2161,787725-8805,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=51,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=51
10,Jorge Navarro Suárez,PNP,Distrito 5,http://www.tucamarapr.org/dnncamara/images/Representantes/c94718f-0ebe-4d3a-ae29-6eb02247ec75.jpg,787724-4465 / 787724-5960,787723-4711,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=10,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=10
61,Antonio L. Soto Torres,PNP,Distrito 6,http://www.tucamarapr.org/dnncamara/images/Representantes/58517da-b5a8-4d68-90ee-c7eeb6265a41.jpg,(787) 725-2698 / (787) 725-2698,(787) 977-2477,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=61,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=61
12,Luis Pérez Ortiz,PNP,Distrito 7,http://www.tucamarapr.org/dnncamara/images/Representantes/dd4a649-0081-4798-8248-ca4d8199d8ad.jpg,787724-6262 / 787723-9754,787723-9551,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=12,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=12
185,Yashira Lebrón Rodríguez,PNP,Distrito 8,http://www.tucamarapr.org/dnncamara/images/Representantes/34aa945b-7dfb-4326-b5d5-ef7bdfa58af9.jpg,(787) 721-6040 / ,(787) 622-4710,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=185,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=185
18,Angel E. Rodríguez Miranda,PNP,Distrito 9,http://www.tucamarapr.org/dnncamara/images/Representantes/f91aa93-a43d-40d9-a51b-8cd81878f80c.jpg,(787) 725-6807 / (787) 725-6807,(787) 622-4375,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=18,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=18
100,Pedro J. Santiago Guzman,PNP,Distrito 10,http://www.tucamarapr.org/dnncamara/images/Representantes/c745d63-2dd1-4f18-823e-eac588b24b34.jpg,(787) 725-3350 / (787) 725-3350,(787) 721-6608,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=100,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=100
16,Héctor A. Torres Calderón,PNP,Distrito 12,http://www.tucamarapr.org/dnncamara/images/Representantes/3fd809dd-6861-4a98-b16a-ebe9bfdd57c9.jpg,(787) 725-1216 / (787) 725-2661,(787) 627-4892,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=16,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=16
17,Gabriel Rodríguez Aguiló,PNP,Distrito 13,http://www.tucamarapr.org/dnncamara/images/Representantes/8b7e107-5b5d-4ae9-a20c-b33f19a50fbb.jpg,787723-0109 / 787724-2001,787622-4387,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=17,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=17
105,Ricardo J. Llerandi Cruz,PNP,Distrito 14,http://www.tucamarapr.org/dnncamara/images/Representantes/b5cf9eee-d28c-4527-bf4b-f857badcffb8.jpg,(199) 1 / (787) 680-7835,(787) 725-9150,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=105,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=105
65,Angel Muñoz Suárez,PNP,Distrito 18,http://www.tucamarapr.org/dnncamara/images/Representantes/95fc8d3-a8a1-462c-a5ef-41fc6f379a3d.jpg,(787) 622-4992 / (787) 622-4993,(787) 724-7025,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=65,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=65
110,Waldemar Quiles Rodríguez,PNP,Distrito 22,http://www.tucamarapr.org/dnncamara/images/Representantes/844871b-91e6-4373-b272-c208b36c8d5a.jpg,(787) 725-9925 / (787) 721-8740,(787) 721-8116,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=110,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=110
36,Luis G. León Rodríguez,PNP,Distrito 24,http://www.tucamarapr.org/dnncamara/images/Representantes/9136fc6-ef2f-48f8-af26-0393ef3c1f04.jpg,(787) 622-4965 / (787) 622-4965,(787) 721-8481,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=36,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=36
109,Urayoán Hernández Alvarado,PNP,Distrito 26,http://www.tucamarapr.org/dnncamara/images/Representantes/75822c5-d658-4baf-b4b5-0259ee0763e8.jpg,(787) 725-4431 / (787) 725-4431,(787) 723-2746,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=109,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=109
31,Rafael Rivera Ortega,PNP,Distrito 28,http://www.tucamarapr.org/dnncamara/images/Representantes/f353f4e-a4dd-4e00-9fac-ea74cc9f6b46.jpg,787977-2417 / 787977-2418,787725-4290,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=31,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=31
27,Angel R. Peña Ramírez,PNP,Distrito 33,http://www.tucamarapr.org/dnncamara/images/Representantes/e8d8556-e264-4780-b92f-570a8f1ca731.jpg,(787) 622-4961 / (787) 622-4961,(787) 622-4995,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=27,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=27
40,Angel Bulerín Ramos,PNP,Distrito 37,http://www.tucamarapr.org/dnncamara/images/Representantes/ba7ff98-f29b-430e-a54b-af7b24c2fc8c.jpg,(787) 722-2508 / (787) 722-2508,(787) 721-6608,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=40,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=40
