name,wikiname,group,parish,area,area_id,term,source,id,name__en,wikipedia__en,gender,birth_date,identifier__freebase,given_name,identifier__viaf,identifier__lcauth,image,identifier__imdb,family_name,identifier__gnd,death_date,name__el,name__fr,name__zh,name__es,name__ru,name__et,name__de,name__pl,name__nl,name__nb,name__da,name__nn,name__sv,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fr,wikipedia__no,wikipedia__pl,wikipedia__ru,wikipedia__zh,name__it,name__pt,name__vi,name__fi,name__fa,wikipedia__fa,wikipedia__fi,wikipedia__it,wikipedia__pt,wikipedia__vi,name__ko,name__oc,name__yo,name__ms,name__id,name__ja,name__sh,name__tr,name__ca,name__ilo,name__cy,name__io,name__mr,name__ka,name__ml,name__kk,name__nds,name__vmf,name__en_ca,name__en_gb,name__he,name__pt_br,name__uk,wikipedia__ca,wikipedia__cy,wikipedia__da,wikipedia__he,wikipedia__id,wikipedia__ilo,wikipedia__io,wikipedia__ja,wikipedia__ka,wikipedia__kk,wikipedia__ko,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__oc,wikipedia__sh,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__yo
Portia Simpson-Miller,Portia Simpson-Miller,People's National Party,St. Andrew,St. Andrew South West,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_south_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q57597,Portia Simpson-Miller,Portia Simpson-Miller,female,1945-12-12,/m/0bpvhb,,,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Portia_Miller_Shoot.Jpeg,,,,,Πόρσια Σίμσον Μίλερ,Portia Simpson-Miller,波蒂亚·辛普森-米勒,Portia Simpson-Miller,"Симпсон-Миллер, Поршия",Portia Simpson-Miller,Portia Simpson Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson Miller,Πόρσια Σίμσον Μίλερ,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,"Симпсон-Миллер, Поршия",波蒂亚·辛普森-米勒,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,,,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,포르티아 심프슨 밀러,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,ポーシャ・シンプソン＝ミラー,Портиа Симсон Милер,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,पोर्टिया सिम्पसन-मिलर,პორტია სიმპსონ-მილერი,പോർഷ്യ സിംസൺ-മില്ലർ,Поршия Симпсон-Миллер,Portia Simpson Miller,Portia Simpson Miller,Portia Simpson-Miller,Portia Simpson-Miller,פורשיה סימפסון-מילר,Portia Simpson-Miller,Поршія Сімпсон-Міллер,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,פורשיה סימפסון-מילר,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,ポーシャ・シンプソン＝ミラー,პორტია სიმპსონ-მილერი,Поршия Симпсон-Миллер,포르티아 심프슨 밀러,പോർഷ്യ സിംസൺ-മില്ലർ,पोर्टिया सिम्पसन-मिलर,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Portia Simpson-Miller,Поршія Сімпсон-Міллер,Portia Simpson-Miller
Anthony Hylton,Anthony Hylton,People's National Party,St. Andrew,St. Andrew West,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q2852879,Anthony Hylton,Anthony Hylton,male,1957-04-27,,Anthony,,,,,,,,,Anthony Hylton,,,,,Anthony Hylton,,Anthony Hylton,Anthony Hylton,Anthony Hylton,Anthony Hylton,Anthony Hylton,,,,,Anthony Hylton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Holness,Andrew Holness,Jamaica Labour Party,St. Andrew,St. Andrew West Central,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_west_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q505200,Andrew Holness,Andrew Holness,male,1972-07-22,/m/05ztpm6,Andrew,,,,,,,,Άντριου Χόλνες,Andrew Holness,安德鲁·霍尼斯,Andrew Holness,"Холнесс, Эндрю",Andrew Holness,Andrew Holness,Andrew Holness,Andrew Holness,Andrew Holness,Andrew Holness,Andrew Holness,Andrew Holness,Andrew Holness,Άντριου Χόλνες,Andrew Holness,Andrew Holness,Andrew Holness,Andrew Holness,Andrew Holness,"Холнесс, Эндрю",安德鲁·霍尼斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Buchanan,Paul Buchanan,People's National Party,St. Andrew,St. Andrew West Rural,ocd-division/country:ja/parish:st._andrew/constituency:st._andrew_west_rural,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q7149573,Paul Buchanan,Paul Buchanan,male,1981-10-23,,Paul,,,,,,,,,Paul Buchanan,,Paul Buchanan,,,Paul Buchanan,,Paul Buchanan,,,,,,,,,,,,,,Paul Buchanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shahine Robinson,Shahine Robinson,Jamaica Labour Party,St. Ann,St. Ann North East,ocd-division/country:ja/parish:st._ann/constituency:st._ann_north_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q7461785,Shahine Robinson,Shahine Robinson,female,,,,,,,,,,,,,,,,,Shahine Robinson,,,Shahine Robinson,Shahine Robinson,Shahine Robinson,Shahine Robinson,,,,,,,,,,Shahine Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Campbell,"",People's National Party,St. Ann,St. Ann North West,ocd-division/country:ja/parish:st._ann/constituency:st._ann_north_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lisa Hanna,Lisa Hanna,People's National Party,St. Ann,St. Ann South East,ocd-division/country:ja/parish:st._ann/constituency:st._ann_south_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q446817,Lisa Hanna,Lisa Hanna,female,1975-08-27,/m/05kwz_,Lisa,,,https://upload.wikimedia.org/wikipedia/commons/e/e0/Lisa_Hanna.jpg,nm0360219,Hanna,,,,Lisa Hanna,,Lisa Hanna,,,Lisa Hanna,Lisa Hanna,Lisa Hanna,Lisa Hanna,Lisa Hanna,Lisa Hanna,Lisa Hanna,Lisa Hanna,,,,Lisa Hanna,,Lisa Hanna,,,Lisa Hanna,Lisa Hanna,Lisa Hanna,Lisa Hanna,لیسا هنا,لیسا هانا,Lisa Hanna,Lisa Hanna,Lisa Hanna,Lisa Hanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Walford,Keith Walford,People's National Party,St. Ann,St. Ann South West,ocd-division/country:ja/parish:st._ann/constituency:st._ann_south_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q6385176,Keith Walford,Keith Walford,male,,,Keith,,,,,,,,,,,,,,Keith Walford,,,Keith Walford,Keith Walford,Keith Walford,Keith Walford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia Grange,Olivia Grange,Jamaica Labour Party,St. Catherine,St. Catherine Central,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q1247437,Olivia Grange,Olivia Grange,female,1946-04-27,,Olivia,,,,,,,,,Olivia Grange,,Olivia Grange,,,Olivia Grange,,Olivia Grange,Olivia Grange,Olivia Grange,Olivia Grange,Olivia Grange,Olivia Grange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denise Daley,"",People's National Party,St. Catherine,St. Catherine East,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnaldo Brown,"",People's National Party,St. Catherine,St. Catherine East Central,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_east_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natalie Neita-Headley,"",People's National Party,St. Catherine,St. Catherine North Central,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_north_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregory Mair,Gregory Mair,Jamaica Labour Party,St. Catherine,St. Catherine North East,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_north_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q5607062,Gregory Mair,Gregory Mair,male,,,Gregory,,,,,,,,,,,,,,Gregory Mair,,,Gregory Mair,Gregory Mair,Gregory Mair,Gregory Mair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Pickersgill,"",People's National Party,St. Catherine,St. Catherine North West,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_north_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitz Jackson,"",People's National Party,St. Catherine,St. Catherine South,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_south,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Wheatley,"",Jamaica Labour Party,St. Catherine,St. Catherine South Central,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_south_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colin Fagan,"",People's National Party,St. Catherine,St. Catherine South East,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_south_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everald Warmington,Everald Warmington,Jamaica Labour Party,St. Catherine,St. Catherine South West,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_south_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q5416886,Everald Warmington,Everald Warmington,male,,,,,,,,,,,,,,,,,Everald Warmington,,,Everald Warmington,Everald Warmington,Everald Warmington,Everald Warmington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Baugh,Kenneth Baugh,Jamaica Labour Party,St. Catherine,St. Catherine West Central,ocd-division/country:ja/parish:st._catherine/constituency:st._catherine_west_central,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,Q951744,Kenneth Baugh,Kenneth Baugh,male,1941-02-24,,Kenneth,,,,,,,,,Kenneth Baugh,,Kenneth Baugh,,,Kenneth Baugh,,Kenneth Baugh,Kenneth Baugh,Kenneth Baugh,Kenneth Baugh,Kenneth Baugh,Kenneth Baugh,,,,Kenneth Baugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Pryce,"",People's National Party,St. Elizabeth,St. Elizabeth North East,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_north_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William J.C. Hutchinson,"",Jamaica Labour Party,St. Elizabeth,St. Elizabeth North West,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_north_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Parchment,"",People's National Party,St. Elizabeth,St. Elizabeth South East,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_south_east,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugh Buchanan,"",People's National Party,St. Elizabeth,St. Elizabeth South West,ocd-division/country:ja/parish:st._elizabeth/constituency:st._elizabeth_south_west,2011,https://en.wikipedia.org/wiki/Constituencies_of_Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
