executive,en_party_name,website,id,en_title,image,email,en_constituency_name,name,group,area,twitter,en_region_name,other_name,area_id,term,name__en,gender,birth_date,given_name,identifier__viaf,family_name,identifier__lcauth,identifier__sudoc,identifier__isni,identifier__nta,identifier__freebase,identifier__hansard,wikipedia__en,identifier__parliamentdotuk,name__cy,name__es,name__nl,name__fr,name__de,name__gl,wikipedia__cy,wikipedia__gl,name__fa,name__ca,wikipedia__ca,name__eu,name__br,wikipedia__br,wikipedia__eu,wikipedia__fr,wikipedia__de,name__nb,name__da,name__nn,name__sv,name__en_ca,name__en_gb,name__pl,name__gd,name__ko,name__ru,name__tr,name__hu,name__sco,name__scn,name__oc,name__ie,name__el,name__uk,name__cs,name__sk,wikipedia__commons,wikipedia__cs,wikipedia__el,wikipedia__es,wikipedia__gd,wikipedia__hu,wikipedia__ie,wikipedia__ko,wikipedia__pl,wikipedia__ru,wikipedia__scn,wikipedia__sco,wikipedia__simple,wikipedia__tr,wikipedia__uk,name__nds,wikipedia__nds,name__it,name__la,name__az,name__zh,wikipedia__az,wikipedia__la,wikipedia__oc,wikipedia__zh,name__vmf
The Minister for Communities and Tackling Poverty,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=154,154,The Minister for Communities and Tackling Poverty,http://senedd.assembly.wales/UserData/4/5/1/Info00000154/bigpic.jpg,Lesley.Griffiths@assembly.wales,Wrexham,Lesley Griffiths,Welsh Labour,Wrexham,,,,ocd-division/country:gb-wls/region:north_wales/constituency:wrexham,4,Lesley Griffiths,female,1960-01-01,Lesley,,,,,,,,,Lesley Griffiths,,,,Lesley Griffiths,,Lesley Griffiths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Liberal Democrats,http://senedd.assembly.wales/mgUserInfo.aspx?UID=421,421,,http://senedd.assembly.wales/UserData/1/2/4/Info00000421/bigpic.jpg,Aled.Roberts@assembly.wales,,Aled Roberts,Welsh Liberal Democrats,North Wales,http://www.twitter.com/aledrobertsam,North Wales,,ocd-division/country:gb-wls/region:north_wales,4,Aled Roberts,male,,Aled,,,,,,,,,Aled Roberts,,Aled Roberts,,,,Aled Roberts,,Aled Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plaid Cymru,http://senedd.assembly.wales/mgUserInfo.aspx?UID=2717,2717,,http://senedd.assembly.wales/UserData/7/1/7/Info00002717/bigpic.jpg,rhun.apiorwerth@assembly.wales,Ynys Môn,Rhun ap Iorwerth,Plaid Cymru,Ynys Môn,http://twitter.com/RhunapIorwerth,,,ocd-division/country:gb-wls/region:north_wales/constituency:ynys_môn,4,Rhun ap Iorwerth,male,1972-01-01,,,,,,,,,,Rhun ap Iorwerth,,Rhun ap Iorwerth,,Rhun ap Iorwerth,Rhun ap Iorwerth,Rhun ap Iorwerth,,Rhun ap Iorwerth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Deputy Minister for Farming and Food,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=375,375,The Deputy Minister for Farming and Food,http://senedd.assembly.wales/UserData/5/7/3/Info00000375/bigpic.jpg,Rebecca.Evans@assembly.wales,,Rebecca Evans,Welsh Labour,Mid and West Wales,http://twitter.com/rebeccaevansam,Mid and West Wales,,ocd-division/country:gb-wls/region:mid_and_west_wales,4,Rebecca Evans,female,1976-08-02,Rebecca,,,,,,,,,Rebecca Evans (politician),,,Rebecca Evans,Rebecca Evans,,Rebecca Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plaid Cymru,http://senedd.assembly.wales/mgUserInfo.aspx?UID=383,383,,http://senedd.assembly.wales/UserData/3/8/3/Info00000383/bigpic.jpg,Simon.Thomas@assembly.wales,,Simon Thomas,Plaid Cymru,Mid and West Wales,http://twitter.com/SimonThomasAC,Mid and West Wales,,ocd-division/country:gb-wls/region:mid_and_west_wales,4,Simon Thomas,male,1963-12-28,Simon,,,,,,,,,Simon Thomas (politician),,Simon Thomas,Simon Thomas,,Simon Thomas,Simon Thomas,,Simon Thomas (gwleidydd),,,Simon Thomas,Simon Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=182,182,,http://senedd.assembly.wales/UserData/2/8/1/Info00000182/bigpic.jpg,Joyce.Watson@assembly.wales,,Joyce Watson,Welsh Labour,Mid and West Wales,,Mid and West Wales,,ocd-division/country:gb-wls/region:mid_and_west_wales,4,Joyce Watson,female,1955-01-01,Joyce,,,,,,,,,Joyce Watson,,Joyce Watson,Joyce Watson,,,Joyce Watson,,Joyce Watson,,,,,,,,,,,,,,,Joyce Watson,Joyce Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joyce Watson,,,,,,,,,,Joyce Watson
,Welsh Liberal Democrats,http://senedd.assembly.wales/mgUserInfo.aspx?UID=378,378,,http://senedd.assembly.wales/UserData/8/7/3/Info00000378/bigpic.jpg,William.Powell@assembly.wales,,William Powell,Welsh Liberal Democrats,Mid and West Wales,http://twitter.com/WilliamPowellAM,Mid and West Wales,,ocd-division/country:gb-wls/region:mid_and_west_wales,4,William Powell,male,,William,,,,,,,,,William Powell (Welsh politician),,,William Powell,,,William Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Liberal Democrats,http://senedd.assembly.wales/mgUserInfo.aspx?UID=184,184,,http://senedd.assembly.wales/UserData/4/8/1/Info00000184/bigpic.jpg,Kirsty.Williams@assembly.wales,Brecon and Radnorshire,Kirsty Williams,Welsh Liberal Democrats,Brecon and Radnorshire,http://twitter.com/kirsty_williams,,,ocd-division/country:gb-wls/region:mid_and_west_wales/constituency:brecon_and_radnorshire,4,Kirsty Williams,female,1971-03-19,Kirsty,90505796,Williams,,,,,,,Kirsty Williams,,Kirsty Williams,Kirsty Williams,Kirsty Williams,Kirsty Williams,Kirsty Williams,,Kirsty Williams,,,,,,,,,,,,,,,Kirsty Williams,Kirsty Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commissioner-Plaid Cymru,Plaid Cymru,http://senedd.assembly.wales/mgUserInfo.aspx?UID=181,181,Commissioner,http://senedd.assembly.wales/UserData/1/8/1/Info00000181/bigpic.jpg,Rhodri.Thomas@assembly.wales,Carmarthen East and Dinefwr,Rhodri Glyn Thomas,Plaid Cymru,Carmarthen East and Dinefwr,http://twitter.com/RhodriGlynPlaid,,,ocd-division/country:gb-wls/region:mid_and_west_wales/constituency:carmarthen_east_and_dinefwr,4,Rhodri Glyn Thomas,male,1953-04-11,,,,,,,,,,Rhodri Glyn Thomas,,Rhodri Glyn Thomas,Rhodri Glyn Thomas,Rhodri Glyn Thomas,Rhodri Glyn Thomas,Rhodri Glyn Thomas,,Rhodri Glyn Thomas,,,,,,,,,,,Rhodri Glyn Thomas,Rhodri Glyn Thomas,Rhodri Glyn Thomas,Rhodri Glyn Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commissioner-Welsh Conservative Party,Welsh Conservative Party,http://senedd.assembly.wales/mgUserInfo.aspx?UID=135,135,Commissioner,http://senedd.assembly.wales/UserData/5/3/1/Info00000135/bigpic.jpg,Angela.Burns@assembly.wales,Carmarthen West and South Pembrokeshire,Angela Burns,Welsh Conservative Party,Carmarthen West and South Pembrokeshire,http://twitter.com/AngelaBurnsAM,,,ocd-division/country:gb-wls/region:mid_and_west_wales/constituency:carmarthen_west_and_south_pembrokeshire,4,Angela Burns,female,,Angela,,,,,,,,,Angela Burns,,Angela Burns,,Angela Burns,,Angela Burns,,Angela Burns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plaid Cymru,http://senedd.assembly.wales/mgUserInfo.aspx?UID=162,162,,http://senedd.assembly.wales/UserData/2/6/1/Info00000162/bigpic.jpg,Elin.Jones@assembly.wales,Ceredigion,Elin Jones,Plaid Cymru,Ceredigion,http://twitter.com/ElinCeredigion,,,ocd-division/country:gb-wls/region:mid_and_west_wales/constituency:ceredigion,4,Elin Jones,female,1966-09-01,Elin,21912192,Jones,,,,,,,Elin Jones,,Elin Jones,Elin Jones,Elin Jones,Elin Jones,Elin Jones,,Elin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plaid Cymru,http://senedd.assembly.wales/mgUserInfo.aspx?UID=146,146,,http://senedd.assembly.wales/UserData/6/4/1/Info00000146/bigpic.jpg,Dafydd.Elis-Thomas@assembly.wales,Dwyfor Meirionnydd,Dafydd Elis-Thomas,Plaid Cymru,Dwyfor Meirionnydd,http://twitter.com/ElisThomasD,,,ocd-division/country:gb-wls/region:mid_and_west_wales/constituency:dwyfor_meirionnydd,4,Dafydd Elis-Thomas,male,1946-10-18,Dafydd,66212742,,no2005099844,137547625,,,,mr-dafydd-elis-thomas,Dafydd Elis-Thomas,,Dafydd Elis-Thomas,Dafydd Elis-Thomas,Dafydd Elis-Thomas,Dafydd Elis-Thomas,"Dafydd Elis-Thomas, Baron Elis-Thomas",,Dafydd Elis-Thomas,,,,,,,,,,"Dafydd Elis-Thomas, Baron Elis-Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=292,292,,http://senedd.assembly.wales/UserData/2/9/2/Info00000292/bigpic.jpg,Keith.Davies@assembly.wales,Llanelli,Keith Davies,Welsh Labour,Llanelli,http://twitter.com/KeithDaviesAC,,,ocd-division/country:gb-wls/region:mid_and_west_wales/constituency:llanelli,4,Keith Davies,male,,Keith,,Davies,,,,,,,Keith Davies,,Keith Davies,,,,Keith Davies,,Keith Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Conservative Party,http://senedd.assembly.wales/mgUserInfo.aspx?UID=303,303,,http://senedd.assembly.wales/UserData/3/0/3/Info00000303/bigpic.jpg,Russell.George@assembly.wales,Montgomeryshire,Russell George,Welsh Conservative Party,Montgomeryshire,http://twitter.com/russ_george,,,ocd-division/country:gb-wls/region:mid_and_west_wales/constituency:montgomeryshire,4,Russell George,male,1974-01-01,Russell,,,,,,,,,Russell George,,,Russell George,Russell George,Russell George,Russell George,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Russell George,,,,,,,,
,Welsh Conservative Party,http://senedd.assembly.wales/mgUserInfo.aspx?UID=145,145,,http://senedd.assembly.wales/UserData/5/4/1/Info00000145/bigpic.jpg,Paul.Davies@assembly.wales,Preseli Pembrokeshire,Paul Davies,Welsh Conservative Party,Preseli Pembrokeshire,,,,ocd-division/country:gb-wls/region:mid_and_west_wales/constituency:preseli_pembrokeshire,4,Paul Davies,male,1969-01-01,Paul,,Davies,,,,,,,Paul Davies (politician),,,,Paul Davies,Paul Davies,Paul Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=225,225,,http://senedd.assembly.wales/UserData/5/2/2/Info00000225/bigpic.jpg,Alun.Davies@assembly.wales,Blaenau Gwent,Alun Davies,Welsh Labour,Blaenau Gwent,http://twitter.com/AlunDaviesAM,,,ocd-division/country:gb-wls/region:south_wales_east/constituency:blaenau_gwent,4,Alun Davies,male,1964-02-12,Alun,,Davies,,,,,,,Alun Davies (politician),,Alun Davies,,Alun Davies,Alun Davies,Alun Davies,,Alun Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Conservative Party,http://senedd.assembly.wales/mgUserInfo.aspx?UID=130,130,,http://senedd.assembly.wales/UserData/0/3/1/Info00000130/bigpic.jpg,Mohammad.Asghar@assembly.wales,,Mohammad Asghar,Welsh Conservative Party,South Wales East,http://twitter.com/mohammadasghar,South Wales East,Oscar,ocd-division/country:gb-wls/region:south_wales_east,4,Mohammad Asghar,male,1945-09-30,Mohammad,,,,,,,,,Mohammad Asghar,,Mohammad Asghar,,Mohammad Asghar,Mohammad Asghar,Mohammad Asghar,,Mohammad Asghar,,,,,,Mohammad Asghar,Mohammad Asghar,,,,,,,,,,Mohammad Asghar,,,,,,,,,,,,Mohammad Asghar,,,Mohammad Asghar,,,,,,,,,,,,,,,,,,,,,,,,
,Plaid Cymru,http://senedd.assembly.wales/mgUserInfo.aspx?UID=144,144,,http://senedd.assembly.wales/UserData/4/4/1/Info00000144/bigpic.jpg,Jocelyn.Davies@assembly.wales,,Jocelyn Davies,Plaid Cymru,South Wales East,http://twitter.com/parkgirl59,South Wales East,,ocd-division/country:gb-wls/region:south_wales_east,4,Jocelyn Davies,female,1959-06-18,Jocelyn,,Davies,,,,,,,Jocelyn Davies,,Jocelyn Davies,Jocelyn Davies,Jocelyn Davies,Jocelyn Davies,Jocelyn Davies,,Jocelyn Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plaid Cymru,http://senedd.assembly.wales/mgUserInfo.aspx?UID=518,518,,http://senedd.assembly.wales/UserData/8/1/5/Info00000518/bigpic.jpg,Lindsay.Whittle@assembly.wales,,Lindsay Whittle,Plaid Cymru,South Wales East,,South Wales East,,ocd-division/country:gb-wls/region:south_wales_east,4,Lindsay Whittle,male,,Lindsay,,,,,,,,,Lindsay Whittle,,Lindsay Whittle,,,,Lindsay Whittle,,Lindsay Whittle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Conservative Party,http://senedd.assembly.wales/mgUserInfo.aspx?UID=151,151,,http://senedd.assembly.wales/UserData/1/5/1/Info00000151/bigpic.jpg,William.Graham@assembly.wales,,William Graham,Welsh Conservative Party,South Wales East,http://twitter.com/williamgrahamam,South Wales East,,ocd-division/country:gb-wls/region:south_wales_east,4,William Graham,male,1949-11-18,William,,Graham,,,,,,,William Graham (Welsh politician),,William Graham,,William Graham,,William Graham,,William Graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=139,139,,http://senedd.assembly.wales/UserData/9/3/1/Info00000139/bigpic.jpg,Jeff.Cuthbert@assembly.wales,Caerphilly,Jeff Cuthbert,Welsh Labour,Caerphilly,http://twitter.com/JeffCuthbert,,,ocd-division/country:gb-wls/region:south_wales_east/constituency:caerphilly,4,Jeffrey Cuthbert,male,1948-06-04,Jeffrey,,,,,,,,,Jeffrey Cuthbert,,,Jeffrey Cuthbert,Jeffrey Cuthbert,Jeffrey Cuthbert,Jeffrey Cuthbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=287,287,,http://senedd.assembly.wales/UserData/7/8/2/Info00000287/bigpic.jpg,Gwyn.Price@assembly.wales,Islwyn,Gwyn R Price,Welsh Labour,Islwyn,,,,ocd-division/country:gb-wls/region:south_wales_east/constituency:islwyn,4,Gwyn R Price,male,,Gwyn,,,,,,,,,Gwyn R Price,,,,,,Gwyn R Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Minister for Education and Skills,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=166,166,The Minister for Education and Skills,http://senedd.assembly.wales/UserData/6/6/1/Info00000166/bigpic.jpg,Huw.Lewis@assembly.wales,Merthyr Tydfil and Rhymney,Huw Lewis,Welsh Labour,Merthyr Tydfil and Rhymney,http://twitter.com/huwlewis,,,ocd-division/country:gb-wls/region:south_wales_east/constituency:merthyr_tydfil_and_rhymney,4,Huw Lewis,male,1964-01-17,Huw,19503394,,,,,,,,Huw Lewis,,Huw Lewis,Huw Lewis,,,Huw Lewis,,Huw Lewis,,,,,,,,,,,Huw Lewis,Huw Lewis,Huw Lewis,Huw Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Conservative Party,http://senedd.assembly.wales/mgUserInfo.aspx?UID=175,175,,http://senedd.assembly.wales/UserData/5/7/1/Info00000175/bigpic.jpg,Nicholas.Ramsay@assembly.wales,Monmouth,Nick Ramsay,Welsh Conservative Party,Monmouth,http://twitter.com/@NickRamsayAM,,,ocd-division/country:gb-wls/region:south_wales_east/constituency:monmouth,4,Nick Ramsay,male,1975-06-10,Nick,,,,,,,,,Nick Ramsay,,Nick Ramsay,Nick Ramsay,,Nick Ramsay,Nick Ramsay,,Nick Ramsay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=153,153,,http://senedd.assembly.wales/UserData/3/5/1/Info00000153/bigpic.jpg,John.Griffiths@assembly.wales,Newport East,John Griffiths,Welsh Labour,Newport East,,,,ocd-division/country:gb-wls/region:south_wales_east/constituency:newport_east,4,John Griffiths,male,1956-12-19,John,,,,,,,,,John Griffiths (Welsh politician),,,,John Griffiths,,John Griffiths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presiding Officer,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=136,136,Presiding Officer,http://senedd.assembly.wales/UserData/6/3/1/Info00000136/bigpic.jpg,Rosemary.Butler@assembly.wales,Newport West,Dame Rosemary Butler,Welsh Labour,Newport West,http://twitter.com/RosemaryButler,,,ocd-division/country:gb-wls/region:south_wales_east/constituency:newport_west,4,Rosemary Butler,female,1943-01-21,Rosemary,,,,,,,,,Rosemary Butler (politician),,Rosemary Butler,Rosemary Butler,Rosemary Butler,,Rosemary Butler,,Rosemary Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Labour,http://senedd.assembly.wales/mgUserInfo.aspx?UID=174,174,,http://senedd.assembly.wales/UserData/4/7/1/Info00000174/bigpic.jpg,Lynne.Neagle@assembly.wales,Torfaen,Lynne Neagle,Welsh Labour,Torfaen,,,,ocd-division/country:gb-wls/region:south_wales_east/constituency:torfaen,4,Lynne Neagle,female,1968-01-18,Lynne,,,,,,,,,Lynne Neagle,,Lynne Neagle,Lynne Neagle,,Lynne Neagle,Lynne Neagle,,Lynne Neagle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welsh Conservative Party,http://senedd.assembly.wales/mgUserInfo.aspx?UID=541,541,,http://senedd.assembly.wales/UserData/1/4/5/Info00000541/bigpic.jpg,Suzy.Davies@assembly.wales,,Suzy Davies,Welsh Conservative Party,South Wales West,http://twitter.com/suzydaviesam,South Wales West,,ocd-division/country:gb-wls/region:south_wales_west,4,Suzy Davies,female,,Suzy,,Davies,,,,,,,Suzy Davies,,Suzy Davies,,Suzy Davies,,Suzy Davies,,Suzy Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
