id,name__bg,name__pl,name__uk,name__en,name__fr,name,wikipedia__bg,wikipedia__bgwikiquote,wikipedia__pl,wikipedia__uk,gender,birth_date,given_name,name__mk,name__nl,wikipedia__en,wikipedia__mk,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__SUDOC,name__lb,name__zh,name__he,name__ko,name__es,name__oc,name__ie,name__yo,name__hu,name__it,name__gl,name__et,name__de,name__ja,name__el,name__sv,name__pt,name__eo,name__ru,name__sr,name__tr,name__ro,name__fi,name__la,name__cs,name__io,name__az,name__hr,name__nb,name__ml,name__pt_br,name__ar,name__sh,name__ca,name__de_ch,name__en_ca,name__en_gb,name__pam,name__cy,name__fa,name__ku,name__da,name__nn,name__vi,name__be,name__id,name__bs,wikipedia__ar,wikipedia__az,wikipedia__be,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cy,wikipedia__de,wikipedia__el,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eowikiquote,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__he,wikipedia__hr,wikipedia__hu,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__it,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ko,wikipedia__ku,wikipedia__la,wikipedia__lb,wikipedia__ml,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pam,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__ruwikinews,wikipedia__sh,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__trwikiquote,wikipedia__vi,wikipedia__yo,wikipedia__zh,image,identifier__LCAuth,identifier__freebase,identifier__NKC,identifier__Munzinger,identifier__parlement,twitter,name__sk,name__sr_el,name__sr_ec,name__sl,wikipedia__dewikiquote,wikipedia__sk,wikipedia__sl,identifier__EuroparlMEP,facebook,identifier__BNF,death_date
Q12285322,Лъчезар Иванов,,,,,Лъчезар Иванов,Лъчезар Иванов,,,,male,1962-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12285523,Магдалена Ташева,,,Magdalena Tasheva,Magdalena Tasheva,Магдалена Ташева,Магдалена Ташева,,,,female,1953-03-01,Magdalena,,Magdalena Tasheva,Magdalena Tasheva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12299504,Юлиан Ангелов,,,,,Юлиан Ангелов,Юлиан Ангелов,,,,male,1975-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17143365,Миглена Александрова,,,,,Миглена Александрова,Миглена Александрова,,,,female,1982-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Александрова, Миглена Дойкова",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Александрова, Миглена",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17144317,Калина Балабанова,,,Kalina Balabanova,Kalina Balabanova,Калина Балабанова,Калина Балабанова,,,,female,1990-02-10,,,,Kalina Balabanova,,,,,,,,,,,,,,,,,,,,,,,,"Балабанова, Калина Петрова",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Балабанова, Калина",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17409259,Любомир Владимиров,,,,,Любомир Владимиров,Любомир Владимиров,,,,male,1974-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17409306,Дарин Димитров,,,,,Дарин Димитров,Дарин Димитров,,,,male,1962-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17409446,Явор Нотев,,,,,Явор Нотев,Явор Нотев,,,,male,1957-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17409453,Муса Палев,,,,,Муса Палев,Муса Палев,,,,male,1971-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17409990,Илиан Тодоров,,,,,Илиан Тодоров,Илиан Тодоров,,,,male,1980-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1771537,Славчо Бинев,Sławczo Binew,,Slavcho Binev,Slavi Binev,Славчо Бинев,Слави Бинев,Слави Бинев,Sławczo Binew,,male,1965-12-10,,,Slavtsjo Binev,Slavcho Binev,,,,,,,,,,Slavcho Binev,,,,,,,,Slawtscho Binew,,,,,,"Бинев, Славчо Пенчев",,,Slavcio Binev,Slavi Binev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Slavcho Binev,,,Slawtscho Binew,,,,,,,,Slavi Binev,Slavi Binev,,,,,,,,,,,,,,,,Slavtsjo Binev,,,,,Slavcio Binev,"Бинев, Славчо",,,,,,,,,,,,,/m/02vr6_t,,,,,,,,,,,,38610,121241421230856,,
Q18922444,Росица Янакиева,,,Rositsa Yanakieva,Rositsa Yanakieva,Росица Янакиева,Росица Янакиева,,,,female,1954-07-07,,,Rositsa Yanakieva,Rositsa Yanakieva,,,,,,,,,,,,,,,,,,Rositsa Yanakieva,,,,,,,,Rositsa Yanakieva,,,,,,,,,,,,,,,,,,,,,,,,,Rositsa Yanakieva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-26
Q19203866,Николай Александров,,,,,Николай Александров,"Николай Александров (политик, р. 1986)",,,,male,1986-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19206311,Ана Баракова,,,,,Ана Баракова,Ана Баракова,,,,female,1980-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20497280,Петър Славов,,,,,Петър Славов,Петър Славов (адвокат),,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20500637,Мустафа Карадайъ,,,,,Мустафа Карадайъ,Мустафа Карадайъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20500902,Красимир Янков,,,,,Красимир Янков,Красимир Янков,,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2331219,Станислав Станилов,,,Stanislav Stanilov,Stanislaw Stanilow,Станислав Станилов,Станислав Станилов,,,,male,1943-09-09,Stanislav,,Stanislav Todorov Stanilov,Stanislav Stanilov,,0000 0000 8369 8360,32331479,1028055102,073680664,,,,,Stanislav Todorov Stanilov,,,,,,,,Stanislaw Stanilow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stanislaw Stanilow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n85354679,,,,,,,,,,,,,,,15855674p,
Q3385514,Лютви Местан,Lutwi Mestan,Лютві Местан,Lyutvi Mestan,Lioutvi Mestan,Лютви Местан,Лютви Местан,,Lutwi Mestan,Лютві Местан,male,1960-12-24,,,,Lyutvi Mestan,,,,,,,,,,Lyutvi Mestan,,,,,,,,Lyutvi Mestan,,,,,,,,Lütfi Mestan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lioutvi Mestan,,,,,,,,,,,,,,,,,,,,,,,,,Lyutvi Mestan,,,Lütfi Mestan,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6e/Lutfi_Mestan_Chairman_of_DPS.jpg,,,,,,,,,,,,,,,,,
Q351040,Волен Сидеров,Wolen Siderow,Волен Сидеров,Volen Siderov,Volen Nikolov Siderov,Волен Сидеров,Волен Сидеров,Волен Сидеров,Wolen Siderow,Волен Сидеров,male,1956-04-19,,Волен Сидеров,Volen Siderov,Volen Siderov,Волен Сидеров,0000 0000 7910 155X,44030375,15735783X,,,,,,Volen Siderov,,,,,Volen Siderov,,,Wolen Siderow,,,Volen Siderov,,,"Сидеров, Волен Николов",Волен Сидеров,Volen Siderov,,,Volen Siderov,Volen Siderov,,,,Volen Siderov,,,,Волен Сидеров,,,,,,,,,Volen Siderov,Volen Siderov,,,,,,,,,,Volen Siderov,,Wolen Siderow,,,,,,,,,Volen Nikolov Siderov,,,,,,,,Volen Siderov,,,,,Volen Siderov,,,,Volen Siderov,,,,,"Сидеров, Волен",,Волен Сидеров,,Волен Сидеров,Volen Siderov,Volen Siderov,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c6/Volen_Siderov03.jpg,,/m/071zxh,,,,,Volen Siderov,Volen Siderov,Волен Сидеров,Volen Siderov,Wolen Siderow,Volen Siderov,Volen Siderov,,,,
Q3656586,Цецка Цачева,Cecka Caczewa,Цецка Цачева,Tsetska Tsacheva,,Цецка Цачева,Цецка Цачева,,Cecka Caczewa,Цецка Цачева,female,1958-05-24,,,Tsetska Tsatsjeva,Tsetska Tsacheva,,,,,,,采茨卡·察切娃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsetska Tsatsjeva,,,,,,,,,,,,,,,,采茨卡·察切娃,https://upload.wikimedia.org/wikipedia/commons/f/f7/Tsetska-Tsacheva.jpg,,,,,,,,,,,,,,,,,
Q57775,Бойко Борисов,Bojko Borisow,Бойко Борисов,Boyko Borisov,Boïko Borissov,Бойко Борисов,Бойко Борисов,Бойко Борисов,Bojko Borisow,Бойко Борисов,male,1959-06-13,Bojko,Бојко Борисов,Bojko Borisov,Boyko Borissov,Бојко Борисов,0000 0000 9574 5478,141195355,1018614869,,Bojko Borissow,博伊科·鲍里索夫,בויקו בוריסוב,보이코 보리소프,Boiko Borísov,Bojko Borisov,Boyko Borisov,Boyko Borisov,Bojko Boriszov,Bojko Borisov,Boyko Borisov,Bojko Borisov,Bojko Borissow,ボイコ・ボリソフ,Μπόικο Μπορίσοφ,Bojko Borisov,Boyko Borisov,Bojko Borisov,Бойко Борисов,Бојко Борисов,Boyko Borisov,Boiko Borisov,Boiko Borisov,Bojko Borisov,Bojko Borisov,Boyko Borisov,Boyko Borisov,Bojko Borisov,Boǐko Borisov,ബൊയ്കൊ ബോറിസോവ്,Boyko Borisov,بويكو بوريسوف,Bojko Borisov,Boiko Boríssov,Bojko Borissow,Boyko Borisov,Boyko Borisov,Boyko Borisov,Boyko Borisov,بویکو بوریسوف,Boyko Borîsov,Bojko Borisov,Bojko Borisov,Boyko Borisov,Бойка Барысаў,Boyko Borissov,Bojko Borisov,بويكو بوريسوف,Boyko Borisov,Бойка Барысаў,Boiko Boríssov,Category:Boyko Borisov,Bojko Borisov,Boyko Borisov,Bojko Borissow,Μπόικο Μπορίσοφ,Boyko Borissov,Bojko Borisov,Bojko Borisov,Boiko Borísov,Bojko Borisov,بویکو بوریسوف,Boiko Borisov,Boïko Borissov,Boyko Borisov,בויקו בוריסוב,Bojko Borisov,Bojko Boriszov,Boyko Borissov,Boyko Borisov,Boyko Borisov,Bojko Borisov,Bojko Borisov,ボイコ・ボリソフ,보이코 보리소프,Boyko Borîsov,Bojko Borisov,Bojko Borissow,ബൊയ്കൊ ബോറിസോവ്,Bojko Borisov,Boǐko Borisov,Bojko Borisov,Boyko Borisov,Boyko Borisov,Boiko Borisov,"Борисов, Бойко",Категория:Бойко Борисов,Bojko Borisov,Boyko Borisov,Бојко Борисов,Bojko Borisov,Boyko Borisov,Boyko Borisov,Boyko Borisov,Boyko Borisov,博伊科·鲍里索夫,https://upload.wikimedia.org/wikipedia/commons/7/72/BBorisov_EPP_Summit_March_2011.jpg,no2010065750,/m/08zq6f,js2010592205,00000027955,vi7afms9o2z0,BoykoBorisov,,,,,,,,,,,
Q7539121,Славчо Атанасов,,,Slavcho Atanasov,Slavcho Atanasov,Славчо Атанасов,Славчо Атанасов,,,,male,1968-02-14,,,Slavcho Atanasov,Slavcho Atanasov,,,,,,,,,,Slavcho Atanasov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q763173,Красимир Каракачанов,Krasimir Karakaczanow,,Krasimir Karakachanov,Krasimir Karakachanov,Красимир Каракачанов,Красимир Каракачанов,Красимир Каракачанов,Krasimir Karakaczanow,,male,1965-03-29,,Красимир Каракачанов,Krasimir Karakachanov,Krasimir Karakachanov,Красимир Каракачанов,0000 0004 2535 4614,305982612,1051644097,174685440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9177631,Борислав Великов,Borisław Welikow,Борислав Великов,borislav velikov,borislav velikov,Борислав Великов,Борислав Великов,Борислав Великов,Borisław Welikow,Борислав Великов,male,1946-10-29,Borislav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
