id,name__fr,name__ru,name__en,name__sv,name__es,name__nl,name__nb,name__da,name__nn,name__de,name__fi,name__fit,name,wikipedia__en,wikipedia__fr,wikipedia__ru,wikipedia__sv,image,gender,birth_date,identifier__freebase,given_name,website,original_wikiname,identifier__VIAF,name__uk,name__he,wikipedia__uk,name__zh,wikipedia__zh,identifier__BNF,identifier__ISNI,twitter,name__ta,name__en_ca,name__it,name__en_gb,name__af,name__ar,name__az,name__be,name__bg,name__br,name__ca,name__cs,name__cy,name__el,name__eo,name__et,name__eu,name__fa,name__ga,name__gd,name__hi,name__hr,name__hu,name__id,name__ie,name__io,name__is,name__iu,name__ja,name__ka,name__ko,name__kw,name__la,name__lb,name__lv,name__mn,name__mr,name__ms,name__my,name__oc,name__pdc,name__pl,name__pnb,name__pt,name__pt_br,name__qu,name__ro,name__sh,name__sk,name__sr,name__tl,name__tr,name__ur,name__uz,name__vi,name__yi,name__yo,name__zh_hans,name__pam,name__war,name__zh_hant,name__sq,name__sco,name__an,name__bs,name__gl,name__lmo,name__lt,name__nds,name__nds_nl,name__pms,name__sl,name__vec,name__wa,name__fo,name__kl,name__gsw,name__be_tarask,name__ne,name__pa,name__th,name__mg,name__hy,wikipedia__af,wikipedia__ar,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__br,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__cy,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__ga,wikipedia__gd,wikipedia__gl,wikipedia__he,wikipedia__hewikiquote,wikipedia__hi,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__iu,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__kw,wikipedia__la,wikipedia__lb,wikipedia__lv,wikipedia__mg,wikipedia__mn,wikipedia__mr,wikipedia__ms,wikipedia__my,wikipedia__ne,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pam,wikipedia__pa,wikipedia__pdc,wikipedia__pl,wikipedia__pnb,wikipedia__pt,wikipedia__qu,wikipedia__ro,wikipedia__ruwikinews,wikipedia__ruwikiquote,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sq,wikipedia__sr,wikipedia__ta,wikipedia__th,wikipedia__tl,wikipedia__tr,wikipedia__ur,wikipedia__uz,wikipedia__vi,wikipedia__war,wikipedia__yi,wikipedia__yo,wikipedia__zhwikiquote,identifier__GND,identifier__LCAuth,identifier__SUDOC,identifier__IMDB,identifier__NLA,family_name,identifier__Munzinger,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,identifier__NNDB,name__ceb,identifier__MusicBrainz,identifier__discogs,identifier__NTA,name__yue,wikipedia__zh_yue,death_date,name__vmf
Q2402044,Deepak Obhrai,"Обхраи, Дипак",Deepak Obhrai,Deepak Obhrai,Deepak Obhrai,Deepak Obhrai,Deepak Obhrai,Deepak Obhrai,Deepak Obhrai,Deepak Obhrai,,,Deepak Obhrai,Deepak Obhrai,Deepak Obhrai,"Обхраи, Дипак",,,male,1950-07-05,,Deepak,,Deepak Obhrai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3025485,Devinder Shory,"Шори, Девиндер",Devinder Shory,Devinder Shory,Devinder Shory,Devinder Shory,Devinder Shory,Devinder Shory,Devinder Shory,,,,Devinder Shory,Devinder Shory,Devinder Shory,"Шори, Девиндер",,,male,1958-08-03,,,,Devinder Shory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3026184,Diane Ablonczy,"Аблонци, Диана",Diane Ablonczy,Diane Ablonczy,Diane Ablonczy,Diane Ablonczy,Diane Ablonczy,Diane Ablonczy,Diane Ablonczy,Diane Ablonczy,,,Diane Ablonczy,Diane Ablonczy,Diane Ablonczy,"Аблонци, Диана",,https://upload.wikimedia.org/wikipedia/commons/f/f0/Diane-Ablonczy-Szmurlo.jpg,female,1949-05-06,/m/01yfcl,Diane,,Diane Ablonczy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3046379,Earl Dreeshen,,Earl Dreeshen,Earl Dreeshen,,Earl Dreeshen,Earl Dreeshen,Earl Dreeshen,Earl Dreeshen,Earl Dreeshen,,,Earl Dreeshen,Earl Dreeshen,Earl Dreeshen,,,,male,1953-07-09,,Earl,,Earl Dreeshen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3047171,Ed Fast,,Ed Fast,Ed Fast,Ed Fast,Ed Fast,Ed Fast,Ed Fast,Ed Fast,Ed Fast,,,Ed Fast,Ed Fast,Ed Fast,,,,male,1955-06-18,,Ed,,Ed Fast,102887675,Ед Фаст,אד פאסט,Ед Фаст,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5449316,Fin Donnelly,,Fin Donnelly,Fin Donnelly,Fin Donnelly,Fin Donnelly,Fin Donnelly,Fin Donnelly,Fin Donnelly,Fin Donnelly,,,Fin Donnelly,Fin Donnelly,,,,https://upload.wikimedia.org/wikipedia/commons/f/f9/Fin_Donnelly.jpg,male,1966-05-27,,,,Fin Donnelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3161231,James Lunney,,James Lunney,James Lunney,James Lunney,James Lunney,James Lunney,James Lunney,James Lunney,James Lunney,,,James Lunney,James Lunney,James Lunney,,,,male,1951-09-05,,James,,James Lunney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3161357,James Rajotte,,James Rajotte,James Rajotte,James Rajotte,James Rajotte,James Rajotte,James Rajotte,James Rajotte,James Rajotte,,,James Rajotte,James Rajotte,James Rajotte,,,https://upload.wikimedia.org/wikipedia/commons/1/1d/James_Rajotte_2015.jpg,male,1970-08-19,,James,,James Rajotte,9622700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3162959,Jason Kenney,"Кенни, Джейсон",Jason Kenney,Jason Kenney,Jason Kenney,Jason Kenney,Jason Kenney,Jason Kenney,Jason Kenney,Jason Kenney,,,Jason Kenney,Jason Kenney,Jason Kenney,"Кенни, Джейсон",,https://upload.wikimedia.org/wikipedia/commons/2/26/Jason_Kenney_(cropped).jpg,male,1968-05-30,,Jason,,Jason Kenney,,,,,贾森·康尼,贾森·康尼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3171497,Jean Crowder,,Jean Crowder,Jean Crowder,Jean Crowder,Jean Crowder,Jean Crowder,Jean Crowder,Jean Crowder,Jean Crowder,,,Jean Crowder,Jean Crowder,Jean Crowder,,,,female,1952-07-07,,Jean,,Jean Crowder,249663862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18685856,,,Jim Eglinski,,,,,,,,,,Jim Eglinski,Jim Eglinski,,,,,male,,,Jim,http://www.jimeglinski.ca/,Jim Eglinski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3178831,Jim Hillyer,,Jim Hillyer,Jim Hillyer,,Jim Hillyer,Jim Hillyer,Jim Hillyer,Jim Hillyer,Jim Hillyer,,,Jim Hillyer,Jim Hillyer (politician),Jim Hillyer (homme politique),,,,male,1974-07-08,,Jim,,Jim Hillyer (politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16187027,Joan Crockatt,,Joan Crockatt,,,Joan Crockatt,,,,Joan Crockatt,,,Joan Crockatt,Joan Crockatt,,,,https://upload.wikimedia.org/wikipedia/commons/6/65/Joan_Crockatt.jpg,female,1955-12-05,,Joan,http://joancrockatt.ca,Joan Crockatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17305669,,,John Barlow,,,,,,,John Barlow,,,John Barlow,John Barlow (Canadian politician),,,,,male,1971-01-01,,John,,John Barlow (Canadian politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3195160,Kennedy Stewart,,Kennedy Stewart,Kennedy Stewart,Kennedy Stewart,Kennedy Stewart,Kennedy Stewart,Kennedy Stewart,Kennedy Stewart,Kennedy Stewart,,,Kennedy Stewart,Kennedy Stewart (Canadian politician),Kennedy Stewart,,,https://upload.wikimedia.org/wikipedia/commons/6/6f/Kennedy-stewart-mp-burnaby.jpg,male,1966-11-08,,Kennedy,,Kennedy Stewart (Canadian politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3195494,Kerry-Lynne Findlay,,Kerry-Lynne Findlay,Kerry-Lynne Findlay,Kerry-Lynne Findlay,Kerry-Lynne Findlay,Kerry-Lynne Findlay,Kerry-Lynne Findlay,Kerry-Lynne Findlay,,,,Kerry-Lynne Findlay,Kerry-Lynne Findlay,Kerry-Lynne Findlay,,,,female,1955-01-12,,,,Kerry-Lynne Findlay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3195810,Kevin Sorenson,,Kevin Sorenson,Kevin Sorenson,Kevin Sorenson,Kevin Sorenson,Kevin Sorenson,Kevin Sorenson,Kevin Sorenson,,,,Kevin Sorenson,Kevin Sorenson,Kevin Sorenson,,,https://upload.wikimedia.org/wikipedia/commons/d/dd/Kevin_Sorenson_2014.jpg,male,1958-11-03,,Kevin,,Kevin Sorenson,34790675,,,,,,15876080m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3206282,LaVar Payne,,LaVar Payne,LaVar Payne,,LaVar Payne,LaVar Payne,LaVar Payne,LaVar Payne,LaVar Payne,,,LaVar Payne,LaVar Payne,LaVar Payne,,,,male,1945-02-23,,,,LaVar Payne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3219653,Laurie Hawn,,Laurie Hawn,Laurie Hawn,Laurie Hawn,Laurie Hawn,Laurie Hawn,Laurie Hawn,Laurie Hawn,Laurie Hawn,,,Laurie Hawn,Laurie Hawn,Laurie Hawn,,,https://upload.wikimedia.org/wikipedia/commons/a/a8/Laurie_Hawn_cropped.jpg,male,1947-05-11,,Laurie,,Laurie Hawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q669355,Lee Richardson,"Ричардсон, Ли",Lee Richardson,Lee Richardson,Lee Richardson,Lee Richardson,Lee Richardson,Lee Richardson,Lee Richardson,Lee Richardson,,,Lee Richardson,Lee Richardson (politician),Lee Richardson,"Ричардсон, Ли (политик)",,https://upload.wikimedia.org/wikipedia/commons/f/fd/Lee_Richardson.jpg,male,1947-10-31,,,,Lee Richardson (politician),4384279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3229624,Leon Benoit,,Leon Benoit,Leon Benoit,Leon Benoit,Leon Benoit,Leon Benoit,Leon Benoit,Leon Benoit,Leon Benoit,,,Leon Benoit,Leon Benoit,Leon Benoit,,,,male,1950-07-07,,Leon,,Leon Benoit,69258939,,,,,,157084979,0000 0000 7370 9345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
