id,name,party,district,website,email,twitter,party_id,image,identifier__represent
,Guy Lauzon,Conservative,Stormont—Dundas—South Glengarry,http://www.guylauzon.ca,guy.lauzon@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LauzonGuy_CPC.jpg,25516
,Tyrone Benskin,NDP,Jeanne-Le Ber,,Tyrone.Benskin@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BenskinTyrone_NDP.jpg,71407
,Marjolaine Boutin-Sweet,NDP,Hochelaga,,Marjolaine.Boutin-Sweet@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BoutinSweetMarjolaine_NDP.jpg,71395
,Joe Preston,Conservative,Elgin—Middlesex—London,http://www.joeprestonmp.ca,joe.preston@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/PrestonJoe_CPC.jpg,25448
,Brian Masse,NDP,Windsor West,http://www.brianmasse.ca,brian.masse@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MasseBrian_NDP.jpg,9137
,Francine Raynault,NDP,Joliette,,Francine.Raynault@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/RaynaultFrancine_NDP.jpg,58661
,Andrew Saxton,Conservative,North Vancouver,http://www.andrewsaxton.ca,andrew.saxton@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/SaxtonAndrew_CPC.jpg,59287
,Parm Gill,Conservative,Brampton—Springdale,http://www.parmgill.ca,Parm.Gill@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/GillParm_CPC.jpg,35767
,Ed Komarnicki,Conservative,Souris—Moose Mountain,http://www.edkom.ca,ed.komarnicki@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/KomarnickiEd_CPC.jpg,25513
,Michelle Rempel,Conservative,Calgary Centre-North,http://www.michellerempel.ca,Michelle.Rempel@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/RempelMichelle_CPC.jpg,71902
,Raymond Côté,NDP,Beauport—Limoilou,,Raymond.Cote@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/CôtéRaymond_NDP.jpg,35396
,Stephen Harper,Conservative,Calgary Southwest,http://www.pm.gc.ca,stephen.harper@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HarperStephen_CPC.jpg,1733
,Ruth Ellen Brosseau,NDP,Berthier—Maskinongé,,RuthEllen.Brosseau@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BrosseauRuthEllen_NDP.jpg,71357
,Anne-Marie Day,NDP,Charlesbourg—Haute-Saint-Charles,,Anne-Marie.Day@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/DayAnneMarie_NDP.jpg,58626
,James Lunney,Independent,Nanaimo—Alberni,http://www.jameslunneymp.ca,james.lunney@parl.gc.ca,,independent,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LunneyJamesD_CPC.jpg,1814
,Tim Uppal,Conservative,Edmonton—Sherwood Park,http://www.timuppal.ca,tim.uppal@parl.gc.ca,https://twitter.com/TimUppal,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/UppalTim_CPC.jpg,30645
,Lysane Blanchette-Lamothe,NDP,Pierrefonds—Dollard,,Lysane.Blanchette-Lamothe@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BlanchetteLamotheLysane_NDP.jpg,71490
,Alexandre Boulerice,NDP,Rosemont—La Petite-Patrie,,Alexandre.Boulerice@parl.gc.ca,https://twitter.com/alexboulerice,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BoulericeAlexandre_NPD.jpg,58775
,Mark Adler,Conservative,York Centre,http://www.markadler.ca,Mark.Adler@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AdlerMark_CPC.jpg,71824
,Blake Richards,Conservative,Wild Rose,http://www.blakerichards.ca,blake.richards@parl.gc.ca,https://twitter.com/BlakeRichardsMP,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/RichardsBlake_CPC.jpg,59235
,Chris Charlton,NDP,Hamilton Mountain,http://www.chrischarlton.ca,chris.charlton@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/CharltonChris_NDP.jpg,683
,Joe Comartin,NDP,Windsor—Tecumseh,http://www.joecomartin.ca,joe.comartin@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ComartinJoe_NDP.jpg,1803
,Gerry Ritz,Conservative,Battlefords—Lloydminster,http://www.gerryritz.ca,gerry.ritz@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/RitzGerry_CPC.jpg,1209
,Massimo Pacetti,Independent,Saint-Léonard—Saint-Michel,,massimo.pacetti@parl.gc.ca,,independent,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/PacettiMassimo_Lib.jpg,9135
,Brent Rathgeber,Independent,Edmonton—St. Albert,http://www.brentrathgeber.ca,brent.rathgeber@parl.gc.ca,,independent,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/RathgeberBrent_CPC.jpg,59203
,Maurice Vellacott,Conservative,Saskatoon—Wanuskewin,http://www.mauricevellacott.ca,maurice.vellacott@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/VellacottMaurice_CPC.jpg,1262
,Francis Scarpaleggia,Liberal,Lac-Saint-Louis,,francis.scarpaleggia@parl.gc.ca,https://twitter.com/ScarpaleggiaLSL,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ScarpaleggiaFrancis_Lib.jpg,25453
,Leona Aglukkaq,Conservative,Nunavut,http://www.leonaaglukkaq.ca,leona.aglukkaq@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AglukkaqLeona_CPC.jpg,46003
,Annick Papillon,NDP,Québec,,Annick.Papillon@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/PapillonAnnick_NDP.jpg,71499
,Tony Clement,Conservative,Parry Sound—Muskoka,http://www.tonyclement.ca,tony.clement@parl.gc.ca,https://twitter.com/TonyclementCPC,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ClementTony_CPC.jpg,15975
,Jason Kenney,Conservative,Calgary Southeast,http://www.jasonkenney.ca,jason.kenney@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/KenneyJason_CPC.jpg,1302
,Mark Strahl,Conservative,Chilliwack—Fraser Canyon,http://www.markstrahl.com,Mark.Strahl@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/StrahlMark_CPC.jpg,71986
,Bernard Trottier,Conservative,Etobicoke—Lakeshore,http://www.bernardtrottiermp.ca,Bernard.Trottier@parl.gc.ca,https://twitter.com/btrottier,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/TrottierBernard_CPC.jpg,71627
,Julian Fantino,Conservative,Vaughan,http://www.julianfantino.ca,julian.fantino@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/FantinoJulian_CPC.jpg,69482
,David Wilks,Conservative,Kootenay—Columbia,http://www.david-wilks.ca,David.Wilks@parl.gc.ca,https://twitter.com/DavidJohnWilks,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/WilksDavid_CPC.jpg,72006
,Maria Mourani,Independent,Ahuntsic,,maria.mourani@parl.gc.ca,,independent,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MouraniMaria_BQ.jpg,31508
,Hoang Mai,NDP,Brossard—La Prairie,,Hoang.Mai@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MaiHoang_NDP.jpg,58620
,Joan Crockatt,Conservative,Calgary Centre,http://joancrockatt.ca,Joan.Crockatt@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/CrockattJoan_CPC.jpg,77515
,Peter Braid,Conservative,Kitchener—Waterloo,http://peterbraid.ca,peter.braid@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BraidPeter_CPC.jpg,58922
,Chris Alexander,Conservative,Ajax—Pickering,http://www.chrisalexandermp.ca,Chris.Alexander@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AlexanderChris_CPC.jpg,71576
,David Yurdiga,Conservative,Fort McMurray—Athabasca,http://www.davidyurdiga.ca,David.Yurdiga@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/YurdigaDavid_CPC.jpg,86260
,Gordon O'Connor,Conservative,Carleton—Mississippi Mills,http://www.gordonoconnor.ca,gordon.oconnor@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/OConnorGordon_CPC.jpg,25523
,James Bezan,Conservative,Selkirk—Interlake,http://www.jamesbezan.com,james.bezan@parl.gc.ca,https://twitter.com/jamesbezan,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BezanJames_CPC.jpg,25475
,Justin Trudeau,Liberal,Papineau,,justin.trudeau@parl.gc.ca,https://twitter.com/JustinTrudeau,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/TrudeauJustin_Lib.jpg,58733
,Niki Ashton,NDP,Churchill,http://www.nikiashton.ndp.ca,niki.ashton@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AshtonNiki_NDP.jpg,36037
,Alexandrine Latendresse,NDP,Louis-Saint-Laurent,,Alexandrine.Latendresse@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LatendresseAlexandrine_NDP.jpg,58705
,Emmanuel Dubourg,Liberal,Bourassa,,Emmanuel.Dubourg@parl.gc.ca,https://twitter.com/EmmanuelDubourg,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/DubourgEmmanuel_Lib.jpg,84660
,Eve Adams,Liberal,Mississauga—Brampton South,http://eveadams.ca,Eve.Adams@parl.gc.ca,,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AdamsEve_CPC.jpg,71688
,Rod Bruinooge,Conservative,Winnipeg South,http://www.bruinooge.ca,rod.bruinooge@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BruinoogeRod_CPC.jpg,30982
,Rob Nicholson,Conservative,Niagara Falls,http://www.robnicholson.ca,rob.nicholson@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/NicholsonRob_CPC.jpg,820
,Stephen Woodworth,Conservative,Kitchener Centre,http://www.stephenwoodworth.ca,stephen.woodworth@parl.gc.ca,https://twitter.com/WoodworthMP,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/WoodworthStephen_CPC.jpg,58919
,Bruce Hyer,Green Party,Thunder Bay—Superior North,http://www.brucehyer.ca,bruce.hyer@parl.gc.ca,,green_party,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HyerBruce_NDP.jpg,31295
,Rob Clarke,Conservative,Desnethé—Missinippi—Churchill River,http://www.robclarkemp.ca,rob.clarke@parl.gc.ca,https://twitter.com/RobClarkeMP,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ClarkeRob_CPC.jpg,55139
,Mike Sullivan,NDP,York South—Weston,http://www.mikesullivan.ca,Mike.Sullivan@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/SullivanMike_NDP.jpg,59087
,Kennedy Stewart,NDP,Burnaby—Douglas,http://www.kennedystewart.ndp.ca,Kennedy.Stewart@parl.gc.ca,https://twitter.com/kennedystewart,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/StewartKennedy_NDP.jpg,31701
,Scott Andrews,Independent,Avalon,http://www.scottandrews.ca,scott.andrews@parl.gc.ca,,independent,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AndrewsScott_Lib.jpg,59346
,Rodger Cuzner,Liberal,Cape Breton—Canso,http://rodgercuzner.liberal.ca,rodger.cuzner@parl.gc.ca,https://twitter.com/RodgerCuzner,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/CuznerRodger_Lib.jpg,1804
,Paul Calandra,Conservative,Oak Ridges—Markham,http://www.paulcalandra.com,paul.calandra@parl.gc.ca,https://twitter.com/PaulCalandra,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/CalandraPaul_CPC.jpg,30418
,Bruce Stanton,Conservative,Simcoe North,,bruce.stanton@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/StantonRonaldBruce_CPC.jpg,35724
,Bob Zimmer,Conservative,Prince George—Peace River,http://www.bobzimmer.ca,Bob.Zimmer@parl.gc.ca,https://twitter.com/bobzimmermp,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ZimmerBob_CPC.jpg,72035
,Shelly Glover,Conservative,Saint Boniface,http://www.shellyglover.ca,shelly.glover@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/GloverShelly_CPC.jpg,59115
,Robert Chisholm,NDP,Dartmouth—Cole Harbour,http://www.robertchisholm.ca,Robert.Chisholm@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ChisholmRobert_NDP.jpg,71285
,Dany Morin,NDP,Chicoutimi—Le Fjord,,Dany.Morin@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MorinDany_NDP.jpg,71380
,Susan Truppe,Conservative,London North Centre,http://www.susantruppemp.ca,Susan.Truppe@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/TruppeSusan_CPC.jpg,71680
,Ed Holder,Conservative,London West,http://www.edholdermp.ca,ed.holder@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HolderEd_CPC.jpg,58939
,Leon Benoit,Conservative,Vegreville—Wainwright,http://www.leonbenoit.ca,leon.benoit@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BenoitLeonEarl_CPC.jpg,1365
,Ted Opitz,Conservative,Etobicoke Centre,http://www.tedopitz.ca,Ted.Opitz@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/OpitzTed_CPC.jpg,71625
,Joyce Bateman,Conservative,Winnipeg South Centre,http://www.joycebateman.ca,Joyce.Bateman@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BatemanJoyce_CPC.jpg,71861
,Corneliu Chisu,Conservative,Pickering—Scarborough East,http://www.corneliuchisu.ca,Corneliu.Chisu@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ChisuCorneliu_CPC.jpg,71755
,Jack Harris,NDP,St. John's East,http://www.jackharris.ca,jack.harris@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HarrisJack_NDP.jpg,3633
,Brad Butt,Conservative,Mississauga—Streetsville,http://www.bradbuttmp.ca,Brad.Butt@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ButtBrad_CPC.jpg,30314
,Dan Harris,NDP,Scarborough Southwest,http://danharris.ndp.ca,Dan.Harris@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HarrisDan_NDP.jpg,30428
,John Weston,Conservative,West Vancouver—Sunshine Coast—Sea to Sky Country,http://www.johnweston.ca,john.weston@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/WestonJohn_CPC.jpg,35998
,Robert Aubin,NDP,Trois-Rivières,,Robert.Aubin@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AubinRobert_NDP.jpg,71560
,Kerry-Lynne D. Findlay,Conservative,Delta—Richmond East,http://www.kerrylynnefindlaymp.ca,Kerry-Lynne.Findlay@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/FindlayKerryLynneD_CPC.jpg,20878
,Scott Armstrong,Conservative,Cumberland—Colchester—Musquodoboit Valley,http://www.scottarmstrongmp.ca,scott.armstrong@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ArmstrongScott_CPC.jpg,63577
,John Rafferty,NDP,Thunder Bay—Rainy River,http://www.johnrafferty.ndp.ca,john.rafferty@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/RaffertyJohn_NDP.jpg,30467
,Gary Schellenberger,Conservative,Perth—Wellington,http://schellenberger.ca,gary.schellenberger@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/SchellenbergerGary_CPC.jpg,913
,Garry Breitkreuz,Conservative,Yorkton—Melville,http://www.garrybreitkreuz.com,garry.breitkreuz@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BreitkreuzGarryW_CPC.jpg,1268
,Dean Allison,Conservative,Niagara West—Glanbrook,http://www.deanallison.ca,dean.allison@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AllisonDean_CPC.jpg,25446
,Chrystia Freeland,Liberal,Toronto Centre,,Chrystia.Freeland@parl.gc.ca,https://twitter.com/cafreeland,liberal,,84665
,Nycole Turmel,NDP,Hull—Aylmer,,Nycole.Turmel@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/TurmelNycole_NDP.jpg,71401
,Carolyn Bennett,Liberal,St. Paul's,http://www.carolynbennett.ca,carolyn.bennett@parl.gc.ca,https://twitter.com/Carolyn_Bennett,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BennettCarolyn_Lib.jpg,992
,Wladyslaw Lizon,Conservative,Mississauga East—Cooksville,http://wladyslawlizon.ca,Wladyslaw.Lizon@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LizonWladyslaw_CPC.jpg,71693
,Lisa Raitt,Conservative,Halton,http://lisaraittmp.ca,lisa.raitt@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/RaittLisa_CPC.jpg,54325
,Don Davies,NDP,Vancouver Kingsway,http://www.dondavies.ca,don.davies@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/DaviesDon_NDP.jpg,59325
,Candice Bergen,Conservative,Portage—Lisgar,http://www.candicebergen.ca,candice.bergen@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HoeppnerCandice_CPC.jpg,59110
,Jinny Jogindera Sims,NDP,Newton—North Delta,http://www.jinnysims.ndp.ca,Jinny.Sims@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/SimsJinny_NDP.jpg,72018
,André Bellavance,Independent,Richmond—Arthabaska,,andre.bellavance@parl.gc.ca,,independent,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BellavanceAndré_BQ.jpg,25474
,Craig Scott,NDP,Toronto—Danforth,http://craigscott.ndp.ca,craig.scott@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ScottCraig_NPD.jpg,75006
,Tilly O'Neill Gordon,Conservative,Miramichi,http://www.tillygordon.ca,tilly.oneillgordon@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ONeillGordonTilly_CPC.jpg,58581
,Pierre Jacob,NDP,Brome—Missisquoi,,Pierre.Jacob@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/JacobPierre_NDP.jpg,71362
,Mike Lake,Conservative,Edmonton—Mill Woods—Beaumont,http://www.mikelake.ca,mike.lake@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LakeMike_CPC.jpg,35857
,Roxanne James,Conservative,Scarborough Centre,http://www.roxannejames.ca,Roxanne.James@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/JamesRoxanne_CPC.jpg,35707
,Mauril Bélanger,Liberal,Ottawa—Vanier,,mauril.belanger@parl.gc.ca,,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BélangerMauril_Lib.jpg,873
,Claude Patry,Bloc Québécois,Jonquière—Alma,,Claude.Patry@parl.gc.ca,,bloc_québécois,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/PatryClaude_NDP.jpg,71413
,Ed Fast,Conservative,Abbotsford,http://www.edfast.ca,ed.fast@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/FastEdward_CPC.jpg,35904
,Richard Harris,Conservative,Cariboo—Prince George,http://www.dickharris.ca,richard.harris@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HarrisRichardM_CPC.jpg,1525
,Ralph Goodale,Liberal,Wascana,http://www.ralphgoodale.ca,ralph.goodale@parl.gc.ca,https://twitter.com/RalphGoodale,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/GoodaleRalphEdward_Lib.jpg,1265
,Kelly Block,Conservative,Saskatoon—Rosetown—Biggar,http://www.kellyblockmp.ca,kelly.block@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BlockKelly_CPC.jpg,59156
,Wayne Easter,Liberal,Malpeque,http://www.wayneeaster.com,wayne.easter@parl.gc.ca,https://twitter.com/WayneEaster,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/EasterArnoldWayne_Lib.jpg,43
,Greg Kerr,Conservative,West Nova,http://www.gregkerrmp.ca,greg.kerr@parl.gc.ca,https://twitter.com/MPGregKerr,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/KerrGreg_CPC.jpg,35274
,Randy Kamp,Conservative,Pitt Meadows—Maple Ridge—Mission,http://www.randykamp.com,randy.kamp@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/KampRandy_CPC.jpg,25511
,Pierre Nantel,NDP,Longueuil—Pierre-Boucher,,Pierre.Nantel@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/NantelPierre_NDP.jpg,71447
,Guy Caron,NDP,Rimouski-Neigette—Témiscouata—Les Basques,,Guy.Caron@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/CaronGuy_NDP.jpg,23915
,Jonathan Genest-Jourdain,NDP,Manicouagan,,Jonathan.Genest-Jourdain@parl.gc.ca,https://twitter.com/GenestJourdain,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/GenestJourdainJonathan_NDP.jpg,71458
,Jeff Watson,Conservative,Essex,http://www.jeffwatsonmp.ca,jeff.watson@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/WatsonJeff_CPC.jpg,1099
,Pierre Dionne Labelle,NDP,Rivière-du-Nord,,Pierre.DionneLabelle@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/DionneLabellePierre_NDP.jpg,71522
