name,wikiname,party,state,district,area,term,source,start_date,end_date,id
John Brassard,John Brassard,Conservative,Ontario,Barrie—Innisfil,Ontario (Barrie—Innisfil),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,john-brassard
Alex Nuttall,Alex Nuttall,Conservative,Ontario,Barrie—Springwater—Oro-Medonte,Ontario (Barrie—Springwater—Oro-Medonte),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,alex-nuttall
Neil Ellis,Neil Ellis (politician),Liberal,Ontario,Bay of Quinte,Ontario (Bay of Quinte),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,neil-ellis
Nathaniel Erskine-Smith,Nathaniel Erskine-Smith,Liberal,Ontario,Beaches—East York,Ontario (Beaches—East York),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,nathaniel-erskine-smith
Ramesh Sangha,Ramesh Sangha,Liberal,Ontario,Brampton Centre,Ontario (Brampton Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,ramesh-sangha
Raj Grewal,Raj Grewal,Liberal,Ontario,Brampton East,Ontario (Brampton East),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,raj-grewal
Ruby Sahota,Ruby Sahota,Liberal,Ontario,Brampton North,Ontario (Brampton North),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,ruby-sahota
Sonia Sidhu,Sonia Sidhu,Liberal,Ontario,Brampton South,Ontario (Brampton South),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,sonia-sidhu
Kamal Khera,Kamal Khera,Liberal,Ontario,Brampton West,Ontario (Brampton West),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,kamal-khera
Phil McColeman,Phil McColeman,Conservative,Ontario,Brantford—Brant,Ontario (Brantford—Brant),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,phil-mccoleman
Larry Miller,Larry Miller (Canadian politician),Conservative,Ontario,Bruce—Grey—Owen Sound,Ontario (Bruce—Grey—Owen Sound),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,larry-miller
Karina Gould,Karina Gould,Liberal,Ontario,Burlington,Ontario (Burlington),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,karina-gould
Bryan May,Bryan May,Liberal,Ontario,Cambridge,Ontario (Cambridge),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,bryan-may
Pierre Poilievre,Pierre Poilievre,Conservative,Ontario,Carleton,Ontario (Carleton),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,pierre-poilievre
Dave Van Kesteren,Dave Van Kesteren,Conservative,Ontario,Chatham-Kent—Leamington,Ontario (Chatham-Kent—Leamington),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,dave-van-kesteren
Julie Dzerowicz,Julie Dzerowicz,Liberal,Ontario,Davenport,Ontario (Davenport),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,julie-dzerowicz
Yasmin Ratansi,Yasmin Ratansi,Liberal,Ontario,Don Valley East,Ontario (Don Valley East),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,yasmin-ratansi
Geng Tan,Geng Tan,Liberal,Ontario,Don Valley North,Ontario (Don Valley North),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,geng-tan
Rob Oliphant,Rob Oliphant,Liberal,Ontario,Don Valley West,Ontario (Don Valley West),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,rob-oliphant
David Tilson,David Tilson,Conservative,Ontario,Dufferin—Caledon,Ontario (Dufferin—Caledon),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,david-tilson
Erin O'Toole,Erin O'Toole,Conservative,Ontario,Durham,Ontario (Durham),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,erin-o'toole
Marco Mendicino,Marco Mendicino,Liberal,Ontario,Eglinton—Lawrence,Ontario (Eglinton—Lawrence),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,marco-mendicino
Karen Vecchio,Karen Vecchio,Conservative,Ontario,Elgin—Middlesex—London,Ontario (Elgin—Middlesex—London),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,karen-vecchio
Tracey Ramsey,Tracey Ramsey,NDP,Ontario,Essex,Ontario (Essex),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,tracey-ramsey
Borys Wrzesnewskyj,Borys Wrzesnewskyj,Liberal,Ontario,Etobicoke Centre,Ontario (Etobicoke Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,borys-wrzesnewskyj
James Maloney,James Maloney (lawyer),Liberal,Ontario,Etobicoke—Lakeshore,Ontario (Etobicoke—Lakeshore),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,james-maloney
Kirsty Duncan,Kirsty Duncan,Liberal,Ontario,Etobicoke North,Ontario (Etobicoke North),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,kirsty-duncan
David Sweet,David Sweet,Conservative,Ontario,Flamborough—Glanbrook,Ontario (Flamborough—Glanbrook),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,david-sweet
Francis Drouin,Francis Drouin,Liberal,Ontario,Glengarry—Prescott—Russell,Ontario (Glengarry—Prescott—Russell),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,francis-drouin
Lloyd Longfield,Lloyd Longfield,Liberal,Ontario,Guelph,Ontario (Guelph),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,lloyd-longfield
Diane Finley,Diane Finley,Conservative,Ontario,Haldimand—Norfolk,Ontario (Haldimand—Norfolk),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,diane-finley
Jamie Schmale,Jamie Schmale,Conservative,Ontario,Haliburton—Kawartha Lakes—Brock,Ontario (Haliburton—Kawartha Lakes—Brock),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,jamie-schmale
David Christopherson,David Christopherson,NDP,Ontario,Hamilton Centre,Ontario (Hamilton Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,david-christopherson
Bob Bratina,Bob Bratina,Liberal,Ontario,Hamilton East—Stoney Creek,Ontario (Hamilton East—Stoney Creek),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,bob-bratina
Scott Duvall,Scott Duvall,NDP,Ontario,Hamilton Mountain,Ontario (Hamilton Mountain),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,scott-duvall
Filomena Tassi,Filomena Tassi,Liberal,Ontario,Hamilton West—Ancaster—Dundas,Ontario (Hamilton West—Ancaster—Dundas),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,filomena-tassi
Mike Bossio,Mike Bossio,Liberal,Ontario,Hastings—Lennox and Addington,Ontario (Hastings—Lennox and Addington),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,mike-bossio
Judy Sgro,Judy Sgro,Liberal,Ontario,Humber River—Black Creek,Ontario (Humber River—Black Creek),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,judy-sgro
Ben Lobb,Ben Lobb,Conservative,Ontario,Huron—Bruce,Ontario (Huron—Bruce),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,ben-lobb
Karen McCrimmon,Karen McCrimmon,Liberal,Ontario,Kanata—Carleton,Ontario (Kanata—Carleton),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,karen-mccrimmon
Bob Nault,Bob Nault,Liberal,Ontario,Kenora,Ontario (Kenora),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,bob-nault
Deb Schulte,Deb Schulte,Liberal,Ontario,King—Vaughan,Ontario (King—Vaughan),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,deb-schulte
Mark Gerretsen,Mark Gerretsen,Liberal,Ontario,Kingston and the Islands,Ontario (Kingston and the Islands),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,mark-gerretsen
Raj Saini,Raj Saini,Liberal,Ontario,Kitchener Centre,Ontario (Kitchener Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,raj-saini
Harold Albrecht,Harold Albrecht,Conservative,Ontario,Kitchener—Conestoga,Ontario (Kitchener—Conestoga),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,harold-albrecht
Marwan Tabbara,Marwan Tabbara,Liberal,Ontario,Kitchener South—Hespeler,Ontario (Kitchener South—Hespeler),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,marwan-tabbara
Bev Shipley,Bev Shipley,Conservative,Ontario,Lambton—Kent—Middlesex,Ontario (Lambton—Kent—Middlesex),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,bev-shipley
Scott Reid,Scott Reid (politician),Conservative,Ontario,Lanark—Frontenac—Kingston,Ontario (Lanark—Frontenac—Kingston),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,scott-reid
Gord Brown,Gord Brown,Conservative,Ontario,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario (Leeds—Grenville—Thousand Islands and Rideau Lakes),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,gord-brown
Irene Mathyssen,Irene Mathyssen,NDP,Ontario,London—Fanshawe,Ontario (London—Fanshawe),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,irene-mathyssen
Peter Fragiskatos,Peter Fragiskatos,Liberal,Ontario,London North Centre,Ontario (London North Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,peter-fragiskatos
Kate Young,Kate Young (politician),Liberal,Ontario,London West,Ontario (London West),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,kate-young
Jane Philpott,Jane Philpott,Liberal,Ontario,Markham—Stouffville,Ontario (Markham—Stouffville),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,jane-philpott
John McCallum,John McCallum,Liberal,Ontario,Markham—Thornhill,Ontario (Markham—Thornhill),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,john-mccallum
Bob Saroya,Bob Saroya,Conservative,Ontario,Markham—Unionville,Ontario (Markham—Unionville),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,bob-saroya
Lisa Raitt,Lisa Raitt,Conservative,Ontario,Milton,Ontario (Milton),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,lisa-raitt
Omar Alghabra,Omar Alghabra,Liberal,Ontario,Mississauga Centre,Ontario (Mississauga Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,omar-alghabra
Peter Fonseca,Peter Fonseca,Liberal,Ontario,Mississauga East—Cooksville,Ontario (Mississauga East—Cooksville),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,peter-fonseca
Iqra Khalid,Iqra Khalid,Liberal,Ontario,Mississauga—Erin Mills,Ontario (Mississauga—Erin Mills),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,iqra-khalid
Sven Spengemann,Sven Spengemann,Liberal,Ontario,Mississauga—Lakeshore,Ontario (Mississauga—Lakeshore),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,sven-spengemann
Navdeep Bains,Navdeep Bains,Liberal,Ontario,Mississauga—Malton,Ontario (Mississauga—Malton),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,navdeep-bains
Gagan Sikand,Gagan Sikand,Liberal,Ontario,Mississauga—Streetsville,Ontario (Mississauga—Streetsville),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,gagan-sikand
Chandra Arya,Chandra Arya,Liberal,Ontario,Nepean,Ontario (Nepean),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,chandra-arya
Kyle Peterson,Kyle Peterson (politician),Liberal,Ontario,Newmarket—Aurora,Ontario (Newmarket—Aurora),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,kyle-peterson
Vance Badawey,Vance Badawey,Liberal,Ontario,Niagara Centre,Ontario (Niagara Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,vance-badawey
Rob Nicholson,Rob Nicholson,Conservative,Ontario,Niagara Falls,Ontario (Niagara Falls),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,rob-nicholson
Dean Allison,Dean Allison,Conservative,Ontario,Niagara West,Ontario (Niagara West),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,dean-allison
Marc Serré,Marc Serré,Liberal,Ontario,Nickel Belt,Ontario (Nickel Belt),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,marc-serré
Anthony Rota,Anthony Rota,Liberal,Ontario,Nipissing—Timiskaming,Ontario (Nipissing—Timiskaming),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,anthony-rota
Kim Rudd,Kim Rudd,Liberal,Ontario,Northumberland—Peterborough South,Ontario (Northumberland—Peterborough South),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,kim-rudd
John Oliver,John Oliver (Ontario politician),Liberal,Ontario,Oakville,Ontario (Oakville),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,john-oliver
Pam Damoff,Pam Damoff,Liberal,Ontario,Oakville North—Burlington,Ontario (Oakville North—Burlington),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,pam-damoff
Andrew Leslie,Andrew Leslie (general),Liberal,Ontario,Orléans,Ontario (Orléans),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,andrew-leslie
Colin Carrie,Colin Carrie,Conservative,Ontario,Oshawa,Ontario (Oshawa),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,colin-carrie
Catherine McKenna,Catherine McKenna,Liberal,Ontario,Ottawa Centre,Ontario (Ottawa Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,catherine-mckenna
David McGuinty,David McGuinty,Liberal,Ontario,Ottawa South,Ontario (Ottawa South),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,david-mcguinty
Mauril Bélanger,Mauril Bélanger,Liberal,Ontario,Ottawa—Vanier,Ontario (Ottawa—Vanier),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,mauril-bélanger
Anita Vandenbeld,Anita Vandenbeld,Liberal,Ontario,Ottawa West—Nepean,Ontario (Ottawa West—Nepean),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,anita-vandenbeld
Dave MacKenzie,Dave MacKenzie (politician),Conservative,Ontario,Oxford,Ontario (Oxford),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,dave-mackenzie
Arif Virani,Arif Virani,Liberal,Ontario,Parkdale—High Park,Ontario (Parkdale—High Park),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,arif-virani
Tony Clement,Tony Clement,Conservative,Ontario,Parry Sound—Muskoka,Ontario (Parry Sound—Muskoka),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,tony-clement
John Nater,John Nater,Conservative,Ontario,Perth—Wellington,Ontario (Perth—Wellington),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,john-nater
Maryam Monsef,Maryam Monsef,Liberal,Ontario,Peterborough—Kawartha,Ontario (Peterborough—Kawartha),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,maryam-monsef
Jennifer O'Connell,Jennifer O'Connell,Liberal,Ontario,Pickering—Uxbridge,Ontario (Pickering—Uxbridge),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,jennifer-o'connell
Cheryl Gallant,Cheryl Gallant,Conservative,Ontario,Renfrew—Nipissing—Pembroke,Ontario (Renfrew—Nipissing—Pembroke),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,cheryl-gallant
Majid Jowhari,Majid Jowhari,Liberal,Ontario,Richmond Hill,Ontario (Richmond Hill),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,majid-jowhari
Marilyn Gladu,Marilyn Gladu,Conservative,Ontario,Sarnia—Lambton,Ontario (Sarnia—Lambton),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,marilyn-gladu
Terry Sheehan,Terry Sheehan,Liberal,Ontario,Sault Ste. Marie,Ontario (Sault Ste. Marie),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,terry-sheehan
Arnold Chan,Arnold Chan,Liberal,Ontario,Scarborough—Agincourt,Ontario (Scarborough—Agincourt),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,arnold-chan
Salma Zahid,Salma Zahid,Liberal,Ontario,Scarborough Centre,Ontario (Scarborough Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,salma-zahid
John McKay,John McKay (politician),Liberal,Ontario,Scarborough—Guildwood,Ontario (Scarborough—Guildwood),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,john-mckay
Shaun Chen,Shaun Chen (politician),Liberal,Ontario,Scarborough North,Ontario (Scarborough North),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,shaun-chen
Gary Anandasangaree,Gary Anandasangaree,Liberal,Ontario,Scarborough—Rouge Park,Ontario (Scarborough—Rouge Park),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,gary-anandasangaree
Bill Blair,Bill Blair (police chief),Liberal,Ontario,Scarborough Southwest,Ontario (Scarborough Southwest),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,bill-blair
Kellie Leitch,Kellie Leitch,Conservative,Ontario,Simcoe—Grey,Ontario (Simcoe—Grey),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,kellie-leitch
Bruce Stanton,Bruce Stanton,Conservative,Ontario,Simcoe North,Ontario (Simcoe North),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,bruce-stanton
Adam Vaughan,Adam Vaughan,Liberal,Ontario,Spadina—Fort York,Ontario (Spadina—Fort York),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,adam-vaughan
Chris Bittle,Chris Bittle,Liberal,Ontario,St. Catharines,Ontario (St. Catharines),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,chris-bittle
Guy Lauzon,Guy Lauzon,Conservative,Ontario,Stormont—Dundas—South Glengarry,Ontario (Stormont—Dundas—South Glengarry),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,guy-lauzon
Paul Lefebvre,Paul Lefebvre,Liberal,Ontario,Sudbury,Ontario (Sudbury),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,paul-lefebvre
Peter Kent,Peter Kent,Conservative,Ontario,Thornhill,Ontario (Thornhill),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,peter-kent
Don Rusnak,Don Rusnak,Liberal,Ontario,Thunder Bay—Rainy River,Ontario (Thunder Bay—Rainy River),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,don-rusnak
Patty Hajdu,Patty Hajdu,Liberal,Ontario,Thunder Bay—Superior North,Ontario (Thunder Bay—Superior North),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,patty-hajdu
Charlie Angus,Charlie Angus,NDP,Ontario,Timmins—James Bay,Ontario (Timmins—James Bay),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,charlie-angus
Bill Morneau,Bill Morneau,Liberal,Ontario,Toronto Centre,Ontario (Toronto Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,bill-morneau
Julie Dabrusin,Julie Dabrusin,Liberal,Ontario,Toronto—Danforth,Ontario (Toronto—Danforth),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,julie-dabrusin
Carolyn Bennett,Carolyn Bennett,Liberal,Ontario,Toronto—St. Paul's,Ontario (Toronto—St. Paul's),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,carolyn-bennett
Chrystia Freeland,Chrystia Freeland,Liberal,Ontario,University—Rosedale,Ontario (University—Rosedale),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,chrystia-freeland
Francesco Sorbara,Francesco Sorbara,Liberal,Ontario,Vaughan—Woodbridge,Ontario (Vaughan—Woodbridge),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,francesco-sorbara
Bardish Chagger,Bardish Chagger,Liberal,Ontario,Waterloo,Ontario (Waterloo),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,bardish-chagger
Michael Chong,Michael Chong,Conservative,Ontario,Wellington—Halton Hills,Ontario (Wellington—Halton Hills),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,michael-chong
Celina Caesar-Chavannes,Celina Caesar-Chavannes,Liberal,Ontario,Whitby,Ontario (Whitby),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,celina-caesar-chavannes
Ali Ehsassi,Ali Ehsassi,Liberal,Ontario,Willowdale,Ontario (Willowdale),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,ali-ehsassi
Cheryl Hardcastle,Cheryl Hardcastle,NDP,Ontario,Windsor—Tecumseh,Ontario (Windsor—Tecumseh),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,cheryl-hardcastle
Brian Masse,Brian Masse,NDP,Ontario,Windsor West,Ontario (Windsor West),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,brian-masse
Michael Levitt,Michael Levitt (politician),Liberal,Ontario,York Centre,Ontario (York Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,michael-levitt
Peter Van Loan,Peter Van Loan,Conservative,Ontario,York—Simcoe,Ontario (York—Simcoe),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,peter-van-loan
Ahmed Hussen,Ahmed Hussen,Liberal,Ontario,York South—Weston,Ontario (York South—Weston),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,ahmed-hussen
Lawrence MacAulay,Lawrence MacAulay,Liberal,Prince Edward Island,Cardigan,Prince Edward Island (Cardigan),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,lawrence-macaulay
Sean Casey,Sean Casey (Canadian politician),Liberal,Prince Edward Island,Charlottetown,Prince Edward Island (Charlottetown),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,sean-casey
Bobby Morrissey,Bobby Morrissey,Liberal,Prince Edward Island,Egmont,Prince Edward Island (Egmont),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,bobby-morrissey
Wayne Easter,Wayne Easter,Liberal,Prince Edward Island,Malpeque,Prince Edward Island (Malpeque),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,wayne-easter
Romeo Saganash,Romeo Saganash,NDP,Quebec,Abitibi—Baie-James—Nunavik—Eeyou,Quebec (Abitibi—Baie-James—Nunavik—Eeyou),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,romeo-saganash
Christine Moore,Christine Moore (politician),NDP,Quebec,Abitibi—Témiscamingue,Quebec (Abitibi—Témiscamingue),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,christine-moore
Mélanie Joly,Mélanie Joly,Liberal,Quebec,Ahuntsic-Cartierville,Quebec (Ahuntsic-Cartierville),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,mélanie-joly
Angelo Iacono,Angelo Iacono,Liberal,Quebec,Alfred-Pellan,Quebec (Alfred-Pellan),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,angelo-iacono
Stéphane Lauzon,Stéphane Lauzon,Liberal,Quebec,Argenteuil—La Petite-Nation,Quebec (Argenteuil—La Petite-Nation),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,stéphane-lauzon
Rémi Massé,Rémi Massé,Liberal,Quebec,Avignon—La Mitis—Matane—Matapédia,Quebec (Avignon—La Mitis—Matane—Matapédia),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,rémi-massé
Maxime Bernier,Maxime Bernier,Conservative,Quebec,Beauce,Quebec (Beauce),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,,,maxime-bernier
