id,name,party,district,website,email,twitter,party_id,image,identifier__represent,term
86260,David Yurdiga,Conservative,Fort McMurray—Athabasca,http://www.davidyurdiga.ca,David.Yurdiga@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/YurdigaDavid_CPC.jpg,86260,41
25523,Gordon O'Connor,Conservative,Carleton—Mississippi Mills,http://www.gordonoconnor.ca,gordon.oconnor@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/OConnorGordon_CPC.jpg,25523,41
25475,James Bezan,Conservative,Selkirk—Interlake,http://www.jamesbezan.com,james.bezan@parl.gc.ca,https://twitter.com/jamesbezan,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BezanJames_CPC.jpg,25475,41
58733,Justin Trudeau,Liberal,Papineau,,justin.trudeau@parl.gc.ca,https://twitter.com/JustinTrudeau,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/TrudeauJustin_Lib.jpg,58733,41
36037,Niki Ashton,NDP,Churchill,http://www.nikiashton.ndp.ca,niki.ashton@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AshtonNiki_NDP.jpg,36037,41
58705,Alexandrine Latendresse,NDP,Louis-Saint-Laurent,,Alexandrine.Latendresse@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LatendresseAlexandrine_NDP.jpg,58705,41
84660,Emmanuel Dubourg,Liberal,Bourassa,,Emmanuel.Dubourg@parl.gc.ca,https://twitter.com/EmmanuelDubourg,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/DubourgEmmanuel_Lib.jpg,84660,41
71688,Eve Adams,Liberal,Mississauga—Brampton South,http://eveadams.ca,Eve.Adams@parl.gc.ca,,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AdamsEve_CPC.jpg,71688,41
30982,Rod Bruinooge,Conservative,Winnipeg South,http://www.bruinooge.ca,rod.bruinooge@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BruinoogeRod_CPC.jpg,30982,41
820,Rob Nicholson,Conservative,Niagara Falls,http://www.robnicholson.ca,rob.nicholson@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/NicholsonRob_CPC.jpg,820,41
58919,Stephen Woodworth,Conservative,Kitchener Centre,http://www.stephenwoodworth.ca,stephen.woodworth@parl.gc.ca,https://twitter.com/WoodworthMP,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/WoodworthStephen_CPC.jpg,58919,41
31295,Bruce Hyer,Green Party,Thunder Bay—Superior North,http://www.brucehyer.ca,bruce.hyer@parl.gc.ca,,green_party,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HyerBruce_NDP.jpg,31295,41
55139,Rob Clarke,Conservative,Desnethé—Missinippi—Churchill River,http://www.robclarkemp.ca,rob.clarke@parl.gc.ca,https://twitter.com/RobClarkeMP,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ClarkeRob_CPC.jpg,55139,41
59087,Mike Sullivan,NDP,York South—Weston,http://www.mikesullivan.ca,Mike.Sullivan@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/SullivanMike_NDP.jpg,59087,41
31701,Kennedy Stewart,NDP,Burnaby—Douglas,http://www.kennedystewart.ndp.ca,Kennedy.Stewart@parl.gc.ca,https://twitter.com/kennedystewart,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/StewartKennedy_NDP.jpg,31701,41
59346,Scott Andrews,Independent,Avalon,http://www.scottandrews.ca,scott.andrews@parl.gc.ca,,independent,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AndrewsScott_Lib.jpg,59346,41
1804,Rodger Cuzner,Liberal,Cape Breton—Canso,http://rodgercuzner.liberal.ca,rodger.cuzner@parl.gc.ca,https://twitter.com/RodgerCuzner,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/CuznerRodger_Lib.jpg,1804,41
30418,Paul Calandra,Conservative,Oak Ridges—Markham,http://www.paulcalandra.com,paul.calandra@parl.gc.ca,https://twitter.com/PaulCalandra,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/CalandraPaul_CPC.jpg,30418,41
35724,Bruce Stanton,Conservative,Simcoe North,,bruce.stanton@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/StantonRonaldBruce_CPC.jpg,35724,41
72035,Bob Zimmer,Conservative,Prince George—Peace River,http://www.bobzimmer.ca,Bob.Zimmer@parl.gc.ca,https://twitter.com/bobzimmermp,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ZimmerBob_CPC.jpg,72035,41
59115,Shelly Glover,Conservative,Saint Boniface,http://www.shellyglover.ca,shelly.glover@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/GloverShelly_CPC.jpg,59115,41
71285,Robert Chisholm,NDP,Dartmouth—Cole Harbour,http://www.robertchisholm.ca,Robert.Chisholm@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ChisholmRobert_NDP.jpg,71285,41
71380,Dany Morin,NDP,Chicoutimi—Le Fjord,,Dany.Morin@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MorinDany_NDP.jpg,71380,41
71680,Susan Truppe,Conservative,London North Centre,http://www.susantruppemp.ca,Susan.Truppe@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/TruppeSusan_CPC.jpg,71680,41
58939,Ed Holder,Conservative,London West,http://www.edholdermp.ca,ed.holder@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HolderEd_CPC.jpg,58939,41
1365,Leon Benoit,Conservative,Vegreville—Wainwright,http://www.leonbenoit.ca,leon.benoit@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BenoitLeonEarl_CPC.jpg,1365,41
71625,Ted Opitz,Conservative,Etobicoke Centre,http://www.tedopitz.ca,Ted.Opitz@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/OpitzTed_CPC.jpg,71625,41
71861,Joyce Bateman,Conservative,Winnipeg South Centre,http://www.joycebateman.ca,Joyce.Bateman@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BatemanJoyce_CPC.jpg,71861,41
71755,Corneliu Chisu,Conservative,Pickering—Scarborough East,http://www.corneliuchisu.ca,Corneliu.Chisu@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ChisuCorneliu_CPC.jpg,71755,41
3633,Jack Harris,NDP,St. John's East,http://www.jackharris.ca,jack.harris@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HarrisJack_NDP.jpg,3633,41
30314,Brad Butt,Conservative,Mississauga—Streetsville,http://www.bradbuttmp.ca,Brad.Butt@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ButtBrad_CPC.jpg,30314,41
30428,Dan Harris,NDP,Scarborough Southwest,http://danharris.ndp.ca,Dan.Harris@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HarrisDan_NDP.jpg,30428,41
35998,John Weston,Conservative,West Vancouver—Sunshine Coast—Sea to Sky Country,http://www.johnweston.ca,john.weston@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/WestonJohn_CPC.jpg,35998,41
71560,Robert Aubin,NDP,Trois-Rivières,,Robert.Aubin@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AubinRobert_NDP.jpg,71560,41
20878,Kerry-Lynne D. Findlay,Conservative,Delta—Richmond East,http://www.kerrylynnefindlaymp.ca,Kerry-Lynne.Findlay@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/FindlayKerryLynneD_CPC.jpg,20878,41
63577,Scott Armstrong,Conservative,Cumberland—Colchester—Musquodoboit Valley,http://www.scottarmstrongmp.ca,scott.armstrong@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ArmstrongScott_CPC.jpg,63577,41
30467,John Rafferty,NDP,Thunder Bay—Rainy River,http://www.johnrafferty.ndp.ca,john.rafferty@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/RaffertyJohn_NDP.jpg,30467,41
913,Gary Schellenberger,Conservative,Perth—Wellington,http://schellenberger.ca,gary.schellenberger@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/SchellenbergerGary_CPC.jpg,913,41
1268,Garry Breitkreuz,Conservative,Yorkton—Melville,http://www.garrybreitkreuz.com,garry.breitkreuz@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BreitkreuzGarryW_CPC.jpg,1268,41
25446,Dean Allison,Conservative,Niagara West—Glanbrook,http://www.deanallison.ca,dean.allison@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AllisonDean_CPC.jpg,25446,41
84665,Chrystia Freeland,Liberal,Toronto Centre,,Chrystia.Freeland@parl.gc.ca,https://twitter.com/cafreeland,liberal,,84665,41
71401,Nycole Turmel,NDP,Hull—Aylmer,,Nycole.Turmel@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/TurmelNycole_NDP.jpg,71401,41
992,Carolyn Bennett,Liberal,St. Paul's,http://www.carolynbennett.ca,carolyn.bennett@parl.gc.ca,https://twitter.com/Carolyn_Bennett,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BennettCarolyn_Lib.jpg,992,41
71693,Wladyslaw Lizon,Conservative,Mississauga East—Cooksville,http://wladyslawlizon.ca,Wladyslaw.Lizon@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LizonWladyslaw_CPC.jpg,71693,41
54325,Lisa Raitt,Conservative,Halton,http://lisaraittmp.ca,lisa.raitt@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/RaittLisa_CPC.jpg,54325,41
59325,Don Davies,NDP,Vancouver Kingsway,http://www.dondavies.ca,don.davies@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/DaviesDon_NDP.jpg,59325,41
59110,Candice Bergen,Conservative,Portage—Lisgar,http://www.candicebergen.ca,candice.bergen@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HoeppnerCandice_CPC.jpg,59110,41
72018,Jinny Jogindera Sims,NDP,Newton—North Delta,http://www.jinnysims.ndp.ca,Jinny.Sims@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/SimsJinny_NDP.jpg,72018,41
25474,André Bellavance,Independent,Richmond—Arthabaska,,andre.bellavance@parl.gc.ca,,independent,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BellavanceAndré_BQ.jpg,25474,41
75006,Craig Scott,NDP,Toronto—Danforth,http://craigscott.ndp.ca,craig.scott@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ScottCraig_NPD.jpg,75006,41
58581,Tilly O'Neill Gordon,Conservative,Miramichi,http://www.tillygordon.ca,tilly.oneillgordon@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ONeillGordonTilly_CPC.jpg,58581,41
71362,Pierre Jacob,NDP,Brome—Missisquoi,,Pierre.Jacob@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/JacobPierre_NDP.jpg,71362,41
35857,Mike Lake,Conservative,Edmonton—Mill Woods—Beaumont,http://www.mikelake.ca,mike.lake@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LakeMike_CPC.jpg,35857,41
35707,Roxanne James,Conservative,Scarborough Centre,http://www.roxannejames.ca,Roxanne.James@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/JamesRoxanne_CPC.jpg,35707,41
873,Mauril Bélanger,Liberal,Ottawa—Vanier,,mauril.belanger@parl.gc.ca,,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BélangerMauril_Lib.jpg,873,41
71413,Claude Patry,Bloc Québécois,Jonquière—Alma,,Claude.Patry@parl.gc.ca,,bloc_québécois,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/PatryClaude_NDP.jpg,71413,41
35904,Ed Fast,Conservative,Abbotsford,http://www.edfast.ca,ed.fast@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/FastEdward_CPC.jpg,35904,41
1525,Richard Harris,Conservative,Cariboo—Prince George,http://www.dickharris.ca,richard.harris@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HarrisRichardM_CPC.jpg,1525,41
1265,Ralph Goodale,Liberal,Wascana,http://www.ralphgoodale.ca,ralph.goodale@parl.gc.ca,https://twitter.com/RalphGoodale,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/GoodaleRalphEdward_Lib.jpg,1265,41
59156,Kelly Block,Conservative,Saskatoon—Rosetown—Biggar,http://www.kellyblockmp.ca,kelly.block@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BlockKelly_CPC.jpg,59156,41
43,Wayne Easter,Liberal,Malpeque,http://www.wayneeaster.com,wayne.easter@parl.gc.ca,https://twitter.com/WayneEaster,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/EasterArnoldWayne_Lib.jpg,43,41
35274,Greg Kerr,Conservative,West Nova,http://www.gregkerrmp.ca,greg.kerr@parl.gc.ca,https://twitter.com/MPGregKerr,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/KerrGreg_CPC.jpg,35274,41
25511,Randy Kamp,Conservative,Pitt Meadows—Maple Ridge—Mission,http://www.randykamp.com,randy.kamp@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/KampRandy_CPC.jpg,25511,41
71447,Pierre Nantel,NDP,Longueuil—Pierre-Boucher,,Pierre.Nantel@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/NantelPierre_NDP.jpg,71447,41
23915,Guy Caron,NDP,Rimouski-Neigette—Témiscouata—Les Basques,,Guy.Caron@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/CaronGuy_NDP.jpg,23915,41
