name,party_id,party,area_id,area,source,id,term
Isabel M. Cassimo Gomes,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:centro autónomo de bissau/círculo:24,Bissau,http://www.gbissau.com/?page_id=11253,isabel-m-cassimo-gomes,2014
Isabel Mendes Buscardini,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:oio/círculo:08,Mansoa/Nhacra,http://www.gbissau.com/?page_id=11253,isabel-mendes-buscardini,2014
José António Cruz de Almeida,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:oio/círculo:06,Farim,http://www.gbissau.com/?page_id=11253,jose-antonio-cruz-de-almeida,2014
José Djô,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:biombo/círculo:10,Safim/Prábis,http://www.gbissau.com/?page_id=11253,jose-djo,2014
Lassana Seidi,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:oio/círculo:07,Mansabá,http://www.gbissau.com/?page_id=11253,lassana-seidi,2014
Mai Cissé,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:centro autónomo de bissau/círculo:28,Bissau,http://www.gbissau.com/?page_id=11253,mai-cisse,2014
Malam Fati,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:centro autónomo de bissau/círculo:29,Bissau,http://www.gbissau.com/?page_id=11253,malam-fati,2014
Mamadú (Corca) Djaló,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:cacheu/círculo:21,Cacheu/São Domingos,http://www.gbissau.com/?page_id=11253,mamadu-corca-djalo,2014
Marcelino Pedro Delgado,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:bolama-bijagós/círculo:11,Bolama/Bijagós,http://www.gbissau.com/?page_id=11253,marcelino-pedro-delgado,2014
Maria Aurora Abissa Sanó Sanhá,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:centro autónomo de bissau/círculo:27,Bissau,http://www.gbissau.com/?page_id=11253,maria-aurora-abissa-sano-sanha,2014
Maria Paula C. Pereira,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:centro autónomo de bissau/círculo:26,Bissau,http://www.gbissau.com/?page_id=11253,maria-paula-c-pereira,2014
Mário Dias Sami,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:centro autónomo de bissau/círculo:27,Bissau,http://www.gbissau.com/?page_id=11253,mario-dias-sami,2014
Mário Saieg,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:cacheu/círculo:20,Caió/Canchungo,http://www.gbissau.com/?page_id=11253,mario-saieg,2014
Matilde Indequi,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:bafatá/círculo:13,Bambadinca/Xitole,http://www.gbissau.com/?page_id=11253,matilde-indequi,2014
Rui Diã de Sousa,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:cacheu/círculo:19,Bigene/Bula,http://www.gbissau.com/?page_id=11253,rui-dia-de-sousa,2014
Sali Cassamá,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:quinará/círculo:03,Buba/Empada,http://www.gbissau.com/?page_id=11253,sali-cassama,2014
Salimatu Cassamá,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:centro autónomo de bissau/círculo:26,Bissau,http://www.gbissau.com/?page_id=11253,salimatu-cassama,2014
Soares Sambú,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:bafatá/círculo:12,Bafatá/Galomaro,http://www.gbissau.com/?page_id=11253,soares-sambu,2014
Tcherno Sanhá,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:bafatá/círculo:13,Bambadinca/Xitole,http://www.gbissau.com/?page_id=11253,tcherno-sanha,2014
Teresa Sanca Ndoi,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:cacheu/círculo:20,Caió/Canchungo,http://www.gbissau.com/?page_id=11253,teresa-sanca-ndoi,2014
Tumane Mané,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:quinará/círculo:04,Fulacunda/Tite,http://www.gbissau.com/?page_id=11253,tumane-mane,2014
Victor Oliveira Mendes,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:gabú/círculo:16,Sector de Gabú,http://www.gbissau.com/?page_id=11253,victor-oliveira-mendes,2014
Wasna Papai Danfa,PAIGC,PARTIDO AFRICANO DA INDEPENDÊNCIA DA GUINÉ E CABO VERDE,ocd-division/country:gw/região:oio/círculo:05,Bissorã,http://www.gbissau.com/?page_id=11253,wasna-papai-danfa,2014
Abel Iamedi Incada,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:centro autónomo de bissau/círculo:25,Bissau,http://www.gbissau.com/?page_id=11253,abel-iamedi-incada,2014
Admiro Nelson Belo,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:cacheu/círculo:19,Bigene/Bula,http://www.gbissau.com/?page_id=11253,admiro-nelson-belo,2014
Adulai Sow,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:cacheu/círculo:19,Bigene/Bula,http://www.gbissau.com/?page_id=11253,adulai-sow,2014
Alberto Lamine Djaló,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:gabú/círculo:17,Pirada,http://www.gbissau.com/?page_id=11253,alberto-lamine-djalo,2014
Alberto Mbunhe Nambeia,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:oio/círculo:08,Mansoa/Nhacra,http://www.gbissau.com/?page_id=11253,alberto-mbunhe-nambeia,2014
Alfredo Quidum Mané,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:bafatá/círculo:12,Bafatá/Galomaro,http://www.gbissau.com/?page_id=11253,alfredo-quidum-mane,2014
Amadú Dinis Baldé,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:gabú/círculo:16,Sector de Gabú,http://www.gbissau.com/?page_id=11253,amadu-dinis-balde,2014
António Artur Sanhá,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:quinará/círculo:04,Fulacunda/Tite,http://www.gbissau.com/?page_id=11253,antonio-artur-sanha,2014
António Serifo Embaló,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:gabú/círculo:15,Boé/Pitche,http://www.gbissau.com/?page_id=11253,antonio-serifo-embalo,2014
Bernardo Braima Mané,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:oio/círculo:07,Mansabá,http://www.gbissau.com/?page_id=11253,bernardo-braima-mane,2014
Biapte Quissik Na Ritche,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:tombali/círculo:01,Catió,http://www.gbissau.com/?page_id=11253,biapte-quissik-na-ritche,2014
Braima Sissé,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:oio/círculo:05,Bissorã,http://www.gbissau.com/?page_id=11253,braima-sisse,2014
Caramó Camará,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:bafatá/círculo:14,Contuboel/Ganadú,http://www.gbissau.com/?page_id=11253,caramo-camara,2014
Carlitos Barai,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:centro autónomo de bissau/círculo:29,Bissau,http://www.gbissau.com/?page_id=11253,carlitos-barai,2014
Carlos Tenente Amorim,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:bolama-bijagós/círculo:11,Bolama/Bijagós,http://www.gbissau.com/?page_id=11253,carlos-tenente-amorim,2014
Certório Biote,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:oio/círculo:05,Bissorã,http://www.gbissau.com/?page_id=11253,certorio-biote,2014
Daniel Suleimane Embaló,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:gabú/círculo:18,Sonaco,http://www.gbissau.com/?page_id=11253,daniel-suleimane-embalo,2014
Embunhe Encada,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:oio/círculo:05,Bissorã,http://www.gbissau.com/?page_id=11253,embunhe-encada,2014
Fernando Correia Landim,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:cacheu/círculo:19,Bigene/Bula,http://www.gbissau.com/?page_id=11253,fernando-correia-landim,2014
Filipe Nantam,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:quinará/círculo:02,Bedanda/Cacine/Quebo,http://www.gbissau.com/?page_id=11253,filipe-nantam,2014
Florentino Mendes Pereira,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:cacheu/círculo:20,Caió/Canchungo,http://www.gbissau.com/?page_id=11253,florentino-mendes-pereira,2014
Francisco Condom,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:biombo/círculo:10,Safim/Prábis,http://www.gbissau.com/?page_id=11253,francisco-condom,2014
Joaquim Baptista Correia,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:centro autónomo de bissau/círculo:27,Bissau,http://www.gbissau.com/?page_id=11253,joaquim-baptista-correia,2014
Jocias Valdemar Forbes Teixeira,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:oio/círculo:08,Mansoa/Nhacra,http://www.gbissau.com/?page_id=11253,jocias-valdemar-forbes-teixeira,2014
Jorge Aníbal Pereira,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:oio/círculo:06,Farim,http://www.gbissau.com/?page_id=11253,jorge-anibal-pereira,2014
José Monteiro Nancaia,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:oio/círculo:08,Mansoa/Nhacra,http://www.gbissau.com/?page_id=11253,jose-monteiro-nancaia,2014
Lassana Fati,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:quinará/círculo:03,Buba/Empada,http://www.gbissau.com/?page_id=11253,lassana-fati,2014
Malam Muno Djau,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:bafatá/círculo:13,Bambadinca/Xitole,http://www.gbissau.com/?page_id=11253,malam-muno-djau,2014
Mama Samba Embaló,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:gabú/círculo:15,Boé/Pitche,http://www.gbissau.com/?page_id=11253,mama-samba-embalo,2014
Mamadú Sello Djaló,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:gabú/círculo:16,Sector de Gabú,http://www.gbissau.com/?page_id=11253,mamadu-sello-djalo,2014
Mário Adão Carlos Almeida,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:cacheu/círculo:21,Cacheu/São Domingos,http://www.gbissau.com/?page_id=11253,mario-adao-carlos-almeida,2014
Mário Siano Fambe,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:oio/círculo:06,Farim,http://www.gbissau.com/?page_id=11253,mario-siano-fambe,2014
Martina Moreira Moniz Nafantchamna,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:centro autónomo de bissau/círculo:25,Bissau,http://www.gbissau.com/?page_id=11253,martina-moreira-moniz-nafantchamna,2014
Mulai Baldé,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:gabú/círculo:17,Pirada,http://www.gbissau.com/?page_id=11253,mulai-balde,2014
Nhau Incanha,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:oio/círculo:05,Bissorã,http://www.gbissau.com/?page_id=11253,nhau-incanha,2014
Nicolau dos Santos,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:quinará/círculo:04,Fulacunda/Tite,http://www.gbissau.com/?page_id=11253,nicolau-dos-santos,2014
Orlando Mendes Viegas,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:tombali/círculo:01,Catió,http://www.gbissau.com/?page_id=11253,orlando-mendes-viegas,2014
Paulino Té,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:biombo/círculo:09,Quinhamel,http://www.gbissau.com/?page_id=11253,paulino-te,2014
Serifo Jaló,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:bafatá/círculo:12,Bafatá/Galomaro,http://www.gbissau.com/?page_id=11253,serifo-jalo,2014
Sola Naquilin Babitchita,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:tombali/círculo:02,Bedanda/Cacine/Quebo,http://www.gbissau.com/?page_id=11253,sola-naquilin-babitchita,2014
Tumane Baldé,PRS,PARTIDO DA RENOVAÇÃO SOCIAL,ocd-division/country:gw/região:bafatá/círculo:14,Contuboel/Ganadú,http://www.gbissau.com/?page_id=11253,tumane-balde,2014
Mama Saliu Embaló,PCD,PARTIDO DA CONVERGÊNCIA DEMOCRÁTICA,ocd-division/country:gw/região:gabú/círculo:18,Sonaco,http://www.gbissau.com/?page_id=11253,mama-saliu-embalo,2014
Victor Luís Pinto Fernandes Mandigna,PCD,PARTIDO DA CONVERGÊNCIA DEMOCRÁTICA,ocd-division/country:gw/região:bafatá/círculo:14,Contuboel/Ganadú,http://www.gbissau.com/?page_id=11253,victor-luis-pinto-fernandes-mandigna,2014
Abubacri Demba Baldé,PND,PARTIDO DA NOVA DEMOCRACIA,ocd-division/country:gw/região:gabú/círculo:15,Boé/Picthe,http://www.gbissau.com/?page_id=11253,abubacri-demba-balde,2014
João Maria Baticã Ferreira,UM,UNIÃO PARA MUDANÇA,ocd-division/country:gw/região:cacheu/círculo:20,Caió/Canchungo,http://www.gbissau.com/?page_id=11253,joao-maria-batica-ferreira,2014
