name,wikipedia__en,area,group,area_id,term,source,id,name__en,gender,given_name,birth_date,death_date,identifier__freebase,family_name,image,identifier__viaf,name__de,name__it,name__fr,name__nl,name__es,name__nb,name__da,name__nn,name__sv,wikipedia__de,wikipedia__fr,name__el,wikipedia__el,name__pl,wikipedia__commons,wikipedia__pl,name__af,name__an,name__br,name__bs,name__ca,name__ceb,name__cs,name__cy,name__eo,name__et,name__eu,name__fi,name__ga,name__gl,name__hr,name__hu,name__is,name__la,name__lb,name__lmo,name__lt,name__nds,name__nds_nl,name__pms,name__pt,name__ro,name__sk,name__sl,name__sq,name__tr,name__vec,name__wa,wikipedia__da,identifier__wikidata
J. Alvin Christopher,Alvin Christopher,District 2,IND,2,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",alvin_christopher,Alvin Christopher,male,Alvin,,,,,,,Alvin Christopher,Alvin Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16728040
Julian Fraser,Julian Fraser,District 3,VIP,3,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",julian_fraser,Julian Fraser,male,Julian,1950-07-05,,,,,,Julian Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q17198146
Vincent Gregory Scatliffe,"",District 4,VIP,4,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",vincent_gregory_scatliffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elvis Jerome Harrigan,"",District 5,VIP,5,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",elvis_jerome_harrigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar Wallace Hodge,Omar Hodge,District 6,VIP,6,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",omar_hodge,Omar Hodge,male,Omar,,,,,,,Omar Hodge,Omar Hodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16844111
Kedrick Pickering,"",District 7,NDP,7,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",kedrick_pickering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancia Penn-Sallah,Dancia Penn,District 8,VIP,8,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",dancia_penn,Dancia Penn,female,,1951-01-01,,,,,,Dancia Penn,Dancia Penn,Dancia Penn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q5215432
Ralph T. O'Neal,Ralph T. O'Neal,District 9,VIP,9,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",ralph_t._o'neal,Ralph T. O'Neal,male,Ralph,1933-12-15,,/m/0d1kxc,,https://upload.wikimedia.org/wikipedia/commons/b/bf/Ralph_T._O'Neal_(cropped).jpg,,Ralph T. O’Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O’Neal,,Ραλφ Ο'Νιλ,Ραλφ Ο'Νιλ,Ralph T. O'Neal,,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Q692366
Orlando Smith,Orlando Smith,At large,NDP,none,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",orlando_smith,Orlando Smith,male,Orlando,1944-08-28,,/m/037bj3,Smith,https://upload.wikimedia.org/wikipedia/commons/a/ab/D._Orlando_Smith_(cropped).jpg,,Orlando Smith,,Orlando Smith,Orlando Smith,Orlando Smith,,,,,Orlando Smith,Orlando Smith,Ορλάντο Σμιθ,Ορλάντο Σμιθ,Orlando Smith,Orlando Smith,Orlando Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q715046
Myron Walwyn,Myron Walwyn,At large,NDP,none,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",myron_walwyn,Myron Walwyn,male,Myron,1972-02-22,,,,,,Myron Walwyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16214258
Ronnie Skelton,"",At large,NDP,none,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",ronnie_skelton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archibald Christian,"",At large,NDP,none,2011,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2011",archibald_christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irene Penn-O'Neal,"",At large,VIP,none,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",irene_penn-o'neal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernon Elroy Malone,"",At large,VIP,none,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",vernon_elroy_malone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith L. Flax,"",At large,VIP,none,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",keith_l._flax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Smith,Orlando Smith,At large,NDP,none,2007,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2007",orlando_smith,Orlando Smith,male,Orlando,1944-08-28,,/m/037bj3,Smith,https://upload.wikimedia.org/wikipedia/commons/a/ab/D._Orlando_Smith_(cropped).jpg,,Orlando Smith,,Orlando Smith,Orlando Smith,Orlando Smith,,,,,Orlando Smith,Orlando Smith,Ορλάντο Σμιθ,Ορλάντο Σμιθ,Orlando Smith,Orlando Smith,Orlando Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q715046
Andrew Fahie,"",District 1,VIP,1,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",andrew_fahie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melvin Turnbull Jr.,"",District 2,NDP,2,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",melvin_turnbull_jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Fraser,Julian Fraser,District 3,VIP,3,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",julian_fraser,Julian Fraser,male,Julian,1950-07-05,,,,,,Julian Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q17198146
Mark Vanterpool,"",District 4,NDP,4,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",mark_vanterpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delores Christopher,"",District 5,NDP,5,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",delores_christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvera Maduro-Caines,"",District 6,NDP,6,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",alvera_maduro-caines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kedrick Pickering,"",District 7,NDP,7,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",kedrick_pickering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlon Penn,"",District 8,NDP,8,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",marlon_penn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubert O'Neal,"",District 9,NDP,9,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",hubert_o'neal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myron Walwyn,Myron Walwyn,At large,NDP,none,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",myron_walwyn,Myron Walwyn,male,Myron,1972-02-22,,,,,,Myron Walwyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16214258
Orlando Smith,Orlando Smith,At large,NDP,none,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",orlando_smith,Orlando Smith,male,Orlando,1944-08-28,,/m/037bj3,Smith,https://upload.wikimedia.org/wikipedia/commons/a/ab/D._Orlando_Smith_(cropped).jpg,,Orlando Smith,,Orlando Smith,Orlando Smith,Orlando Smith,,,,,Orlando Smith,Orlando Smith,Ορλάντο Σμιθ,Ορλάντο Σμιθ,Orlando Smith,Orlando Smith,Orlando Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q715046
Ronnie Skelton,"",At large,NDP,none,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",ronnie_skelton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archibald Christian,"",At large,NDP,none,2015,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2015",archibald_christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
