name,group,given_name,area,sort_name,source,email,term,family_name,birth_date,id,start_date,image,phone,area_id,end_date,website
Juozas Bernatonis,Lietuvos socialdemokratų partijos frakcija,Juozas,pagal sąrašą,"Bernatonis, Juozas",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=18&p_k=1&p_kade_id=7&p_r=8801,Juozas.Bernatonis@lrs.lt,11,Bernatonis,,18,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/juozas_bernatonis.jpg,(8 5) 2396328,,,
Milda Petrauskienė,Lietuvos socialdemokratų partijos frakcija,Milda,Utenos,"Petrauskienė, Milda",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=23310&p_k=1&p_kade_id=7&p_r=8801,Milda.Petrauskiene@lrs.lt,11,Petrauskienė,1949-02-01,23310,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/milda_petrauskiene.jpg,(8 5) 2396827,51,,
Sergej Dmitrijev,Darbo partijos  frakcija,Sergej,pagal sąrašą,"Dmitrijev, Sergej",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=23412&p_k=1&p_kade_id=7&p_r=8801,Sergej.Dmitrijev@lrs.lt,11,Dmitrijev,,23412,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/sergej_dmitrijev.jpg,(8 5) 2396689,,,
Larisa Dmitrijeva,Darbo partijos  frakcija,Larisa,pagal sąrašą,"Dmitrijeva, Larisa",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=23421&p_k=1&p_kade_id=7&p_r=8801,Larisa.Dmitrijeva@lrs.lt,11,Dmitrijeva,,23421,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/larisa_dmitrijeva.jpg,(8 5) 2396653,,,
Julius Sabatauskas,Lietuvos socialdemokratų partijos frakcija,Julius,Alytaus,"Sabatauskas, Julius",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=23521&p_k=1&p_kade_id=7&p_r=8801,Julius.Sabatauskas@lrs.lt,11,Sabatauskas,1958-04-01,23521,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/julius_sabatauskas.jpg,(8 5) 2396697,30,,
Birutė Vėsaitė,Lietuvos socialdemokratų partijos frakcija,Birutė,pagal sąrašą,"Vėsaitė, Birutė",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=23526&p_k=1&p_kade_id=7&p_r=8801,Birute.Vesaite@lrs.lt,11,Vėsaitė,1951-08-19,23526,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/birute_vesaite.jpg,(8 5) 2396615,,,http://www.lrs.lt/BiruteVesaite
Valentinas Mazuronis,"Frakcija ""Tvarka ir teisingumas""",Valentinas,pagal sąrašą,"Mazuronis, Valentinas",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=23547&p_k=1&p_kade_id=7&p_r=8801,"",11,Mazuronis,1953-11-18,23547,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/valentinas_mazuronis.jpg,,,2014-06-25,
Juzef Kvetkovskij,Lietuvos lenkų rinkimų akcijos frakcija,Juzef,pagal sąrašą,"Kvetkovskij, Juzef",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=23689&p_k=1&p_kade_id=7&p_r=8801,Juzef.Kvetkovskij@lrs.lt,11,Kvetkovskij,,23689,2012-11-22,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/juzef_kvetkovskij.jpg,(8 5) 2396337,,,
Juzef Kvetkovskij,Mišri Seimo narių grupė,Juzef,pagal sąrašą,"Kvetkovskij, Juzef",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=23689&p_k=1&p_kade_id=7&p_r=8801,Juzef.Kvetkovskij@lrs.lt,11,Kvetkovskij,,23689,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/juzef_kvetkovskij.jpg,(8 5) 2396337,,2012-11-21,
Leonard Talmont,Lietuvos lenkų rinkimų akcijos frakcija,Leonard,Vilniaus - Šalčininkų,"Talmont, Leonard",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=23696&p_k=1&p_kade_id=7&p_r=8801,Leonard.Talmont@lrs.lt,11,Talmont,1956-11-06,23696,2012-11-22,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/leonard_talmont.jpg,(8 5) 2396755,56,,
Leonard Talmont,Mišri Seimo narių grupė,Leonard,Vilniaus - Šalčininkų,"Talmont, Leonard",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=23696&p_k=1&p_kade_id=7&p_r=8801,Leonard.Talmont@lrs.lt,11,Talmont,1956-11-06,23696,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/leonard_talmont.jpg,(8 5) 2396755,56,2012-11-21,
Arimantas Dumčius,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Arimantas,Kalniečių,"Dumčius, Arimantas",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=23703&p_k=1&p_kade_id=7&p_r=8801,Arimantas.Dumcius@lrs.lt,11,Dumčius,1940-01-04,23703,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/arimantas_dumcius.jpg,(8 5) 2396632,15,,
Vytautas Kamblevičius,"Frakcija ""Tvarka ir teisingumas""",Vytautas,pagal sąrašą,"Kamblevičius, Vytautas",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=23765&p_k=1&p_kade_id=7&p_r=8801,Vytautas.Kamblevicius@lrs.lt,11,Kamblevičius,,23765,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/vytautas_kamblevicius.jpg,(8 5) 2396441,,,
Bronius Pauža,Lietuvos socialdemokratų partijos frakcija,Bronius,Jurbarko,"Pauža, Bronius",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=23775&p_k=1&p_kade_id=7&p_r=8801,Bronius.Pauza@lrs.lt,11,Pauža,1941-07-20,23775,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/bronius_pauza.jpg,(8 5) 2396720,62,,
Naglis Puteikis,Mišri Seimo narių grupė,Naglis,Danės,"Puteikis, Naglis",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=23861&p_k=1&p_kade_id=7&p_r=8801,Naglis.Puteikis@lrs.lt,11,Puteikis,1964-09-02,23861,2014-03-10,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/naglis_puteikis.jpg,(8 5) 2396616,19,,
Naglis Puteikis,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Naglis,Danės,"Puteikis, Naglis",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=23861&p_k=1&p_kade_id=7&p_r=8801,Naglis.Puteikis@lrs.lt,11,Puteikis,1964-09-02,23861,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/naglis_puteikis.jpg,(8 5) 2396616,19,2014-03-09,
Valentinas Stundys,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Valentinas,pagal sąrašą,"Stundys, Valentinas",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=24021&p_k=1&p_kade_id=7&p_r=8801,Valentinas.Stundys@lrs.lt,11,Stundys,1960-10-17,24021,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/valentinas_stundys.jpg,(8 5) 2396723,,,
Dainius Kreivys,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Dainius,Fabijoniškių,"Kreivys, Dainius",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=24048&p_k=1&p_kade_id=7&p_r=8801,Dainius.Kreivys@lrs.lt,11,Kreivys,,24048,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/dainius_kreivys.jpg,(8 5) 2396605,5,,
Rimantas Sinkevičius,Lietuvos socialdemokratų partijos frakcija,Rimantas,Jonavos,"Sinkevičius, Rimantas",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=26333&p_k=1&p_kade_id=7&p_r=8801,Rimantas.Sinkevicius@lrs.lt,11,Sinkevičius,1952-04-03,26333,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/rimantas_sinkevicius.jpg,(8 5) 2396731,60,,
Gintaras Steponavičius,Liberalų  sąjūdžio frakcija,Gintaras,pagal sąrašą,"Steponavičius, Gintaras",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=26418&p_k=1&p_kade_id=7&p_r=8801,Gintaras.Steponavicius@lrs.lt,11,Steponavičius,1967-07-23,26418,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/gintaras_steponavicius.jpg,(8 5) 2396020,,,http://www.steponavicius.lt
Eduardas Šablinskas,Lietuvos socialdemokratų partijos frakcija,Eduardas,pagal sąrašą,"Šablinskas, Eduardas",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=26429&p_k=1&p_kade_id=7&p_r=8801,Eduardas.Sablinskas@lrs.lt,11,Šablinskas,,26429,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/eduardas_sablinskas.jpg,(8 5) 2396698,,,
Bronius Bradauskas,Lietuvos socialdemokratų partijos frakcija,Bronius,Kaišiadorių - Elektrėnų,"Bradauskas, Bronius",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=265&p_k=1&p_kade_id=7&p_r=8801,Bronius.Bradauskas@lrs.lt,11,Bradauskas,1944-02-20,265,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/bronius_bradauskas.jpg,(8 5) 2396015,59,,
Rima Baškienė,Mišri Seimo narių grupė,Rima,Šiaulių kaimiškoji,"Baškienė, Rima",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=26656&p_k=1&p_kade_id=7&p_r=8801,Rima.Baskiene@lrs.lt,11,Baškienė,1960-10-25,26656,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/rima_baskiene.jpg,(8 5) 2396654,45,,
Rimantas Jonas Dagys,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Rimantas Jonas,Šilainių,"Dagys, Rimantas Jonas",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=31&p_k=1&p_kade_id=7&p_r=8801,Rimantas.Dagys@lrs.lt,11,Dagys,1957-07-16,31,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/rimantas_jonas_dagys.jpg,837363430,11,,
Donatas Jankauskas,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Donatas,Kauno kaimiškoji,"Jankauskas, Donatas",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=33749&p_k=1&p_kade_id=7&p_r=8801,Donatas.Jankauskas@lrs.lt,11,Jankauskas,1958-08-22,33749,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/donatas_jankauskas.jpg,837313627,66,,http://www.donatasjankauskas.lt
Kęstutis Bartkevičius,"Frakcija ""Tvarka ir teisingumas""",Kęstutis,Mažeikių,"Bartkevičius, Kęstutis",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=34360&p_k=1&p_kade_id=7&p_r=8801,Kestutis.Bartkevicius@lrs.lt,11,Bartkevičius,,34360,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/kestutis_bartkevicius.jpg,(8 5) 2396617,38,,
Eligijus Masiulis,Liberalų  sąjūdžio frakcija,Eligijus,Marių,"Masiulis, Eligijus",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=34422&p_k=1&p_kade_id=7&p_r=8801,Eligijus.Masiulis@lrs.lt,11,Masiulis,1974-10-15,34422,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/eligijus_masiulis.jpg,(8 5) 2396647,21,,
Pranas Žeimys,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Pranas,Pajūrio,"Žeimys, Pranas",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=34505&p_k=1&p_kade_id=7&p_r=8801,Pranas.Zeimys@lrs.lt,11,Žeimys,1957-02-05,34505,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/pranas_zeimys.jpg,(8 5) 2396270,22,,
Vincė Vaidevutė Margevičienė,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Vincė Vaidevutė,Centro,"Margevičienė, Vincė Vaidevutė",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=36032&p_k=1&p_kade_id=7&p_r=8801,Vince.Margeviciene@lrs.lt,11,Margevičienė,1949-05-12,36032,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/vince_vaidevute_margeviciene.jpg,(8 5) 2396705,13,2012-12-17,
Kristina Miškinienė,Lietuvos socialdemokratų partijos frakcija,Kristina,Lazdijų - Druskininkų,"Miškinienė, Kristina",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=36146&p_k=1&p_kade_id=7&p_r=8801,Kristina.Miskiniene@lrs.lt,11,Miškinienė,,36146,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/kristina_miskiniene.jpg,(8 5) 2396667,71,,
Valerijus Simulik,Mišri Seimo narių grupė,Valerijus,Dainų,"Simulik, Valerijus",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=37063&p_k=1&p_kade_id=7&p_r=8801,Valerijus.Simulik@lrs.lt,11,Simulik,1966-08-02,37063,2014-09-11,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/valerijus_simulik.jpg,(8 5) 2396687,25,,
Valerijus Simulik,Lietuvos socialdemokratų partijos frakcija,Valerijus,Dainų,"Simulik, Valerijus",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=37063&p_k=1&p_kade_id=7&p_r=8801,Valerijus.Simulik@lrs.lt,11,Simulik,1966-08-02,37063,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/valerijus_simulik.jpg,(8 5) 2396687,25,2014-09-10,
Remigijus Šimašius,Liberalų  sąjūdžio frakcija,Remigijus,pagal sąrašą,"Šimašius, Remigijus",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=37153&p_k=1&p_kade_id=7&p_r=8801,"",11,Šimašius,,37153,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/remigijus_simasius.jpg,,,2015-04-20,
Alma Monkauskaitė,Lietuvos socialdemokratų partijos frakcija,Alma,Kelmės,"Monkauskaitė, Alma",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=37812&p_k=1&p_kade_id=7&p_r=8801,Alma.Monkauskaite@lrs.lt,11,Monkauskaitė,,37812,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/alma_monkauskaite.jpg,(8 5) 2396641,41,,
Mindaugas Bastys,Lietuvos socialdemokratų partijos frakcija,Mindaugas,Šakių,"Bastys, Mindaugas",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=38116&p_k=1&p_kade_id=7&p_r=8801,Mindaugas.Bastys@lrs.lt,11,Bastys,1965-01-29,38116,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/mindaugas_bastys.jpg,(8 5) 2396722,64,,
Gediminas Jakavonis,Darbo partijos  frakcija,Gediminas,pagal sąrašą,"Jakavonis, Gediminas",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=38456&p_k=1&p_kade_id=7&p_r=8801,Gediminas.Jakavonis@lrs.lt,11,Jakavonis,,38456,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/gediminas_jakavonis.jpg,(8 5) 2396627,,,
Dangutė Mikutienė,Darbo partijos  frakcija,Dangutė,Trakų - Elektrėnų,"Mikutienė, Dangutė",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=38848&p_k=1&p_kade_id=7&p_r=8801,Dangute.Mikutiene@lrs.lt,11,Mikutienė,1966-08-06,38848,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/dangute_mikutiene.jpg,(8 5) 2396683,58,,
Albinas Mitrulevičius,Lietuvos socialdemokratų partijos frakcija,Albinas,Marijampolės,"Mitrulevičius, Albinas",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=39007&p_k=1&p_kade_id=7&p_r=8801,Albinas.Mitrulevicius@lrs.lt,11,Mitrulevičius,,39007,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/albinas_mitrulevicius.jpg,(8 5) 2396680,29,2012-11-26,
Artūras Paulauskas,Darbo partijos  frakcija,Artūras,pagal sąrašą,"Paulauskas, Artūras",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=39606&p_k=1&p_kade_id=7&p_r=8801,Arturas.Paulauskas@lrs.lt,11,Paulauskas,,39606,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/arturas_paulauskas.jpg,852396659,,,
Dalia Teišerskytė,Liberalų  sąjūdžio frakcija,Dalia,pagal sąrašą,"Teišerskytė, Dalia",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=43842&p_k=1&p_kade_id=7&p_r=8801,Dalia.Teiserskyte@lrs.lt,11,Teišerskytė,1944-11-27,43842,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/dalia_teiserskyte.jpg,(8 5) 2396692,,,
Jonas Kondrotas,Darbo partijos  frakcija,Jonas,pagal sąrašą,"Kondrotas, Jonas",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=43989&p_k=1&p_kade_id=7&p_r=8801,Jonas.Kondrotas@lrs.lt,11,Kondrotas,,43989,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/jonas_kondrotas.jpg,(8 5) 2396913,,,
Emanuelis Zingeris,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Emanuelis,pagal sąrašą,"Zingeris, Emanuelis",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=43&p_k=1&p_kade_id=7&p_r=8801,Emanuelis.Zingeris@lrs.lt,11,Zingeris,1957-07-16,43,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/emanuelis_zingeris.jpg,(8 5) 2396644,,,http://www.lrs.lt/EmanuelisZingeris
Edmundas Jonyla,Lietuvos socialdemokratų partijos frakcija,Edmundas,Raseinių,"Jonyla, Edmundas",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=44850&p_k=1&p_kade_id=7&p_r=8801,Edmundas.Jonyla@lrs.lt,11,Jonyla,1952-05-06,44850,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/edmundas_jonyla.jpg,(8 5) 2396678,42,,
Sergej Ursul,Darbo partijos  frakcija,Sergej,Naujosios Vilnios,"Ursul, Sergej",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=45101&p_k=1&p_kade_id=7&p_r=8801,Sergej.Ursul@lrs.lt,11,Ursul,,45101,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/sergej_ursul.jpg,(8 5) 2396690,10,,
Petras Auštrevičius,Liberalų  sąjūdžio frakcija,Petras,pagal sąrašą,"Auštrevičius, Petras",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=45771&p_k=1&p_kade_id=7&p_r=8801,"",11,Auštrevičius,1963-05-16,45771,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/petras_austrevicius.jpg,,,2014-06-27,http://www.austrevicius.lt/
Viktor Uspaskich,Darbo partijos  frakcija,Viktor,pagal sąrašą,"Uspaskich, Viktor",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=47204&p_k=1&p_kade_id=7&p_r=8801,"",11,Uspaskich,,47204,2013-10-08,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/viktor_uspaskich.jpg,,,2014-06-03,http://www.uspaskich.lt
Viktor Uspaskich,Darbo partijos  frakcija,Viktor,pagal sąrašą,"Uspaskich, Viktor",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=47204&p_k=1&p_kade_id=7&p_r=8801,"",11,Uspaskich,,47204,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/viktor_uspaskich.jpg,,,2013-10-07,http://www.uspaskich.lt
Egidijus Vareikis,Tėvynės sąjungos-Lietuvos krikščionių demokratų frakcija,Egidijus,pagal sąrašą,"Vareikis, Egidijus",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=47225&p_k=1&p_kade_id=7&p_r=8801,Egidijus.Vareikis@lrs.lt,11,Vareikis,1958-03-26,47225,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/egidijus_vareikis.jpg,(8 5) 2396606,,,http://www.lrs.lt/ruonis
Artūras Skardžius,Lietuvos socialdemokratų partijos frakcija,Artūras,Šilutės - Pagėgių,"Skardžius, Artūras",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=47229&p_k=1&p_kade_id=7&p_r=8801,Arturas.Skardzius@lrs.lt,11,Skardžius,,47229,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/arturas_skardzius.jpg,(8 5) 2396648,32,,
Giedrė Purvaneckienė,Lietuvos socialdemokratų partijos frakcija,Giedrė,pagal sąrašą,"Purvaneckienė, Giedrė",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=47235&p_k=1&p_kade_id=7&p_r=8801,Giedre.Purvaneckiene@lrs.lt,11,Purvaneckienė,,47235,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/giedre_purvaneckiene.jpg,(8 5) 2396626,,,
Vanda Kravčionok,Mišri Seimo narių grupė,Vanda,pagal sąrašą,"Kravčionok, Vanda",http://www3.lrs.lt/pls/inter/w5_show?p_a=5&p_asm_id=47484&p_k=1&p_kade_id=7&p_r=8801,Vanda.Kravcionok@lrs.lt,11,Kravčionok,,47484,2012-11-17,http://www3.lrs.lt/home/seimo_nariu_nuotraukos/2012/vanda_kravcionok.jpg,(8 5) 2396675,,2012-11-21,
