party,area,id,image,email,details_url,term_id,name,term
UM Union Monégasque,"",Jean-Francois-ROBILLON,http://www.conseil-national.mc/images/les-elus/jean-francois-robillon.jpg,jf.robillon@conseil-national.mc,http://www.conseil-national.mc/index.php/les-elus/item/158-jean-francois-robillon,2013,Jean-François ROBILLON,2013
UDM Union Des Monégasques,,Jean-Francois-ROBILLON,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/jf-robillon.jpg,,,2008,Jean-François ROBILLON,2008
UDM Union Des Monégasques,,Fabrice-NOTARI,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/f-notari.jpg,,,2008,Fabrice NOTARI,2008
UDM Union Des Monégasques ,,Alexandre-BORDERO,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/a-bordero.jpg,,,2008,Alexandre BORDERO,2008
UDM Union Des Monégasques ,,Guillaume-ROSE,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/g-rose.jpg,,,2008,Guillaume ROSE,2008
R&E Rassemblement et Enjeux ,,Laurent-NOUVION,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/l-nouvion.jpg,,,2008,Laurent NOUVION,2008
UDM Union Des Monégasques ,,Jean-Charles-GARDETTO,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/jc-gardetto.jpg,,,2008,Jean-Charles GARDETTO,2008
UDM Union Des Monégasques,,Pierre-LORENZI,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/p-lorenzi.jpg,,,2008,Pierre LORENZI,2008
UDM Union Des Monégasques ,,Gerard-BERTRAND,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/g-bertrand.jpg,,,2008,Gérard BERTRAND,2008
UDM Union Des Monégasques ,,Nicole-MANZONE-SAQUET,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/n-manzone-saquet.jpg,,,2008,Nicole MANZONE-SAQUET,2008
"UNAM (Union Nationale pour l'Avenir de Monaco), UpM (Union pour Monaco) ",,Michele-DITTLOT,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/m-dittlot.jpg,,,2008,Michèle DITTLOT,2008
UDM Union Des Monégasques ,,Bernard-MARQUET,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/b-marquet.jpg,,,2008,Bernard MARQUET,2008
UP Union pour la Principauté UpM (Union pour Monaco),,Brigitte-BOCCONE-PAGES,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/b-boccone-pages.jpg,,,2008,Brigitte BOCCONE-PAGES,2008
R&E Rassemblement et Enjeux ,,Marc-BURINI,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/m-burini.jpg,,,2008,Marc BURINI,2008
UNAM Union Nationale pour l'Avenir de Monaco UpM (Union pour Monaco),,Claude-CELLARIO,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/c-cellario.jpg,,,2008,Claude CELLARIO,2008
,,Philippe-CLERISSI,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/p-clerissi.jpg,,,2008,Philippe CLERISSI,2008
UNAM Union Nationale pour l'Avenir de Monaco UpM (Union pour Monaco),,Eric-GUAZZONNE,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/e-guazzonne.jpg,,,2008,Eric GUAZZONNE,2008
UDM Union Des Monégasques ,,Roland-MARQUET,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/r-marquet.jpg,,,2008,Roland MARQUET,2008
UP Union pour la PrincipautéUpM (Union pour Monaco),,Anne-POYARD-VATRICAN,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/a-poyard-vatrican.jpg,,,2008,Anne POYARD-VATRICAN,2008
,,Christophe-SPILIOTIS-SAQUET,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/c-spiliotis-saquet.jpg,,,2008,Christophe SPILIOTIS-SAQUET,2008
R&E Rassemblement et Enjeux,,Christophe-STEINER,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/c-steiner.jpg,,,2008,Christophe STEINER,2008
,,Pierre-SVARA,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2008-2013/p-svara.jpg,,,2008,Pierre SVARA,2008
,,Stephane-VALERI,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/s-valeri.jpg,,,2003,Stéphane VALERI,2003
"UNAM (Union Nationale pour l'Avenir de Monaco), appartenant à la majorité UpM (Union pour Monaco)",,Bernard-MARQUET,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/b-marquet.jpg,,,2003,Bernard MARQUET,2003
"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",,Jean-Michel-CUCCHI,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/jm-cucchi.jpg,,,2003,Jean-Michel CUCCHI,2003
"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",,Alexandre-BORDERO,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/a-bordero.jpg,,,2003,Alexandre BORDERO,2003
"UNAM (Union Nationale pour l'Avenir de Monaco), appartenant à la majorité UpM (Union pour Monaco)",,Claude-CELLARIO,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/c-cellario.jpg,,,2003,Claude CELLARIO,2003
"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",,Jean-Charles-GARDETTO,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/jc-gardetto.jpg,,,2003,Jean-Charles GARDETTO,2003
"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",,Brigitte-BOCCONE-PAGES,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/b-boccone-pages.jpg,,,2003,Brigitte BOCCONE-PAGES,2003
"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",,Daniel-RAYMOND,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/d-raymond.jpg,,,2003,Daniel RAYMOND,2003
"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",,Catherine-FAUTRIER,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/c-fautrier.jpg,,,2003,Catherine FAUTRIER,2003
"UNAM (Union Nationale pour l'Avenir de Monaco), appartenant à la majorité UpM (Union pour Monaco)",,Michele-DITTLOT,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/m-dittlot.jpg,,,2003,Michèle DITTLOT,2003
"UNAM (Union Nationale pour l'Avenir de Monaco), appartenant à la majorité UpM (Union pour Monaco)",,Bruno-BLANCHY,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/b-blanchy.jpg,,,2003,Bruno BLANCHY,2003
Synergie Monégasque,,Claude-BOISSON,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/c-boisson.jpg,,,2003,Claude BOISSON,2003
"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",,Thomas-GIACCARDI,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/t-giaccardi.jpg,,,2003,Thomas GIACCARDI,2003
PFM (Promotion de la Famille Monégasque),,Jean-Pierre-LICARI,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/jp-licari.jpg,,,2003,Jean-Pierre LICARI,2003
PFM (Promotion de la Famille Monégasque),,Jean-Luc-NIGIONI,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/jl-nigioni.jpg,,,2003,Jean-Luc NIGIONI,2003
"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",,Fabrice-NOTARI,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/f-notari.jpg,,,2003,Fabrice NOTARI,2003
PEP (Principauté Ethique Progrès),,Vincent-PALMARO,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/v-palmaro.jpg,,,2003,Vincent PALMARO,2003
PM (Parti Monégasque),,Christine-PASQUIER-CIULLA,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/c-pasquier-ciulla.jpg,,,2003,Christine PASQUIER-CIULLA,2003
RPM (Rassemblement Pour Monaco),,Jean-Joseph-PASTOR,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/jj-pastor.jpg,,,2003,Jean-Joseph PASTOR,2003
"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",,Anne-POYARD-VATRICAN,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/a-poyard-vatrican.jpg,,,2003,Anne POYARD-VATRICAN,2003
RPM (Rassemblement Pour Monaco),,Henry-REY,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/h-rey.jpg,,,2003,Henry REY,2003
PFM (Promotion de la Famille Monégasque),,Jacques-RIT,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/j-rit.jpg,,,2003,Jacques RIT,2003
"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",,Jean-Francois-ROBILLON,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/jf-robillon.jpg,,,2003,Jean-François ROBILLON,2003
"UP (Union pour la Principauté), appartenant à la majorité UpM (Union pour Monaco)",,Christophe-SPILIOTIS-SAQUET,http://www.conseil-national.mc/images/histoire-conseil-national/elus-2003-2008/c-spiliotis-saquet.jpg,,,2003,Christophe SPILIOTIS-SAQUET,2003
