name,party,term,source,image,area
Virginia Ana Belo,CNRT,2012,http://parlamento.tl/deputadus/Biografia/cnrt/virginia.php,http://parlamento.tl/deputadus/fotos/cnrt/Virginia%20Ana%20Belo.jpg,Dili
Ana da Conceição Ribeiro,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/ana_ribeiro.php,http://parlamento.tl/deputadus/fotos/cnrt/Ana%20da%20Conceicao%20Ribeiro.jpg,Baucau
Anastácia da Costa S.Amaral,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/anastacia_amaral.php,http://parlamento.tl/deputadus/fotos/fretilin/Anastasia.jpg,Viqueque
Angélica da Costa,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/angelica_costa.php,http://parlamento.tl/deputadus/fotos/fretilin/Angelica%20da%20Costa.jpg,Manufahi
Aniceto L. G.Lopes,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/aniceto_lopes.php,http://parlamento.tl/deputadus/fotos/fretilin/aniceto.gif,Maliana
Antoninho Bianco,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/antoninho_bianco.php,http://parlamento.tl/deputadus/fotos/fretilin/Bianco.jpg,Ainaro
Antonio dos Santos,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/antonio_santos.php,http://parlamento.tl/deputadus/fotos/fretilin/Antonio%20dos%20Santos%2055.jpg,Ermera
Aurelio Freitas Ribeiro,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/aurelio_ribeiro.php,http://parlamento.tl/deputadus/fotos/fretilin/Aurelio%20Freitas%20Ribeiro.jpg,Lautem
Aurora Ximenes,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/aurola_ximenes.php,http://parlamento.tl/deputadus/fotos/fretilin/Aurora%20Ximenes.jpg,Baucau
David Dias Ximenes,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/david_ximenes.php,http://parlamento.tl/deputadus/fotos/fretilin/David.jpg,Baucau
Eládio António F.de Jesus,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/eladio_jesus.php,http://parlamento.tl/deputadus/fotos/fretilin/Eladio.jpg,Dili
Francisco de Andrade,FRETILIN,2012,http://parlamento.tl/deputadus/2012/pt/dp.php,,
Felisberto Monteiro Guterres,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/felisberto_guterres.php,http://parlamento.tl/deputadus/fotos/fretilin/Felisberto%20Monteiro%20Guterres.jpg,Viqueque
Florentina da.C.P.M.Smith,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/florentina_smith.php,http://parlamento.tl/deputadus/fotos/fretilin/Florentina%20da%20C.%20Pereira%20M.%20Smith.jpg,Dili
Francisco Miranda Branco,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/Francisco_branco.php,http://parlamento.tl/deputadus/fotos/fretilin/branco.jpg,Lospalos
Ilda Maria da Conceição,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/ilda.php,http://parlamento.tl/deputadus/fotos/fretilin/Ilda.jpg,Viqueque
Mari Alkatiri,FRETILIN,2012,http://parlamento.tl/deputadus/2012/pt/dp.php,,
Joaninha de Jesus,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/joaninha_jesus.php,http://parlamento.tl/deputadus/fotos/fretilin/Joaninha%20de%20Jesus.jpg,Covalima
Joaquim dos Santos,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/joaquim_santos.php,http://parlamento.tl/deputadus/fotos/fretilin/joaquim.jpg,Viqueque
Josefa Álvares Pereira Soares,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/josefa_soares.php,http://parlamento.tl/deputadus/fotos/fretilin/Joseva.jpg,Viqueque
Leonel Lisboa Marçal,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/leonel_marcal.php,http://parlamento.tl/deputadus/fotos/fretilin/Leonel.jpg,Manufahi
Manuel de Castro Pereira,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/manuel_castro.php,http://parlamento.tl/deputadus/fotos/fretilin/Manuel%20Castro.jpg,Baucau
Manuel Gaspar Soares da Silva,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/manuel_gaspar.php,http://parlamento.tl/deputadus/fotos/fretilin/Manuel-Gaspar.jpg,Viqueque
Maria Angelica R.da D.dos Reis,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/maria_angelica.php,http://parlamento.tl/deputadus/fotos/fretilin/Maria%20Angelica%20Rangel%20Da.%20C.%20dos%20Reis.jpg,Dili
Osório F. da Conceição Costa,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/Osorio_florindo.php,"",Lospalos
Paulo Moniz Maia,FRETILIN,2012,http://parlamento.tl/deputadus/Biografia/fretelin/paulo_maia.php,http://parlamento.tl/deputadus/fotos/fretilin/paulo%20Moniz%20maia.jpg,Bobonaro
Adriano do Nascimento,PD,2012,http://parlamento.tl/deputadus/Biografia/pd/adriano.php,http://parlamento.tl/deputadus/fotos/PD/adriano.jpg,Suai
Adriano Joao,PD,2012,http://parlamento.tl/deputadus/Biografia/pd/adriano_joao.php,http://parlamento.tl/deputadus/fotos/PD/Adriano-Joao.jpg,Bobonaro
Angelina Machado de Jesus,PD,2012,http://parlamento.tl/deputadus/Biografia/pd/angelina_machado.php,http://parlamento.tl/deputadus/fotos/PD/angelina.jpg,Maliana
Jacinta Abu Cau Pereira,PD,2012,http://parlamento.tl/deputadus/Biografia/pd/jacinta_pereira.php,http://parlamento.tl/deputadus/fotos/PD/jacinta.jpg,Bobonaro
Olinda Morais,PD,2012,http://parlamento.tl/deputadus/Biografia/pd/olinda.php,http://parlamento.tl/deputadus/fotos/PD/olinda.jpg,Lospalos
Paulino Monteiro Soares Babo,PD,2012,http://parlamento.tl/deputadus/Biografia/pd/Paulino_Monteiro.php,http://parlamento.tl/deputadus/fotos/PD/Paulino%20Monteiro%20Soares%20Babo.jpg,Dili
Virgilio da Costa Hornai,PD,2012,http://parlamento.tl/deputadus/Biografia/pd/virgilio.php,http://parlamento.tl/deputadus/fotos/PD/virgilio.jpg,LOspalos
Maria L.M.de Sousa Bessa,PD,2012,http://parlamento.tl/deputadus/2012/pt/dp.php,,
Benvinda Catarina Rodrigues,F.M,2012,http://parlamento.tl/deputadus/Biografia/fm/bemvinda_rodrigues.php,http://parlamento.tl/deputadus/fotos/fm/Bemvinda.JPG,Baucau
Jorge Teme,F.M,2012,http://parlamento.tl/deputadus/2012/pt/dp.php,,
