area,name,wikipedia,group,source,term,wikiname,email,id,name__en,wikipedia__en,gender,given_name,image,identifier__viaf,identifier__gnd,identifier__lcauth,birth_date,identifier__freebase,identifier__isni,identifier__bnf,identifier__nta,name__zh,name__tn,name__pl,name__ko,name__fr,name__be,name__es,name__oc,name__yo,name__hu,name__et,name__id,name__de,name__ja,name__br,name__el,name__vi,name__nso,name__nl,name__sv,name__ar,name__pt,name__eo,name__ru,name__tr,name__ca,name__fi,name__uk,name__la,name__io,name__ka,name__hr,name__nb,name__en_ca,name__en_gb,name__it,name__pt_br,name__sr,name__fa,name__he,name__da,name__nn,name__mk,name__sh,wikipedia__ar,wikipedia__be,wikipedia__br,wikipedia__ca,wikipedia__de,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__hr,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__nl,wikipedia__no,wikipedia__nso,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__tn,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__yo,wikipedia__zh,name__ro,wikipedia__ro,identifier__wikidata
Nata-Gweta,Polson Majaga,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nkange,Edwin Batshu,https://en.wikipedia.org/wiki/Edwin_Batshu,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Edwin Batshu,ebatshu@gov.bw,,Edwin Batshu,Edwin Batshu,male,Edwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18763858
Shashe West,Fidelis Molao,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonota,Thapelo Olopeng,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobonong,Shaw Kgathi,https://en.wikipedia.org/wiki/Shaw_Kgathi,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Shaw Kgathi,"",,Shaw Kgathi,Shaw Kgathi,male,,,,,,,,,,,,Shaw Kgathi,,,,,,,,,,,Shaw Kgathi,,,,,,,Shaw Kgathi,,,,,,,,,,,,,Shaw Kgathi,,,,,,,,Shaw Kgathi,Shaw Kgathi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shaw Kgathi,,,,,,,,Q10961094
Mmadinare,Kefentse Mzwinila,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selibe Phikwe East,Nonofo Molefhi,https://en.wikipedia.org/wiki/Nonofo_Molefhi,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Nonofo Molefhi,"",,Nonofo Molefhi,Nonofo Molefhi,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nonofo Molefhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18618892
Selibe Phikwe West,Dithapelo Keorapetse,"",BCP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lerala-Maunalala,Prince Maele,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palapye,Moiseraela Goya,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",mgoya@gov.bw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sefhare-Ramokgonami,Dorcus Makgatho-Malesu,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahalapye East,Botlogile Tshireletso,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahalapye West,Joseph Molefe,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shosong,Dikgang Makgalemele,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",dmakgalemele@gov.bw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serowe North,Kgotla Autlwetse,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serowe West,Tshekedi Khama II,https://en.wikipedia.org/wiki/Tshekedi_Khama_II,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Tshekedi Khama II,"",,Tshekedi Khama II,Tshekedi Khama II,male,,,,,,,,,,,,Tshekedi Khama II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tshekedi Khama II,,,,,,,,Q7849607
Serowe South,Pelonomi Venson-Moitoi,https://en.wikipedia.org/wiki/Pelonomi_Venson-Moitoi,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Pelonomi Venson-Moitoi,"",,Pelonomi Venson-Moitoi,Pelonomi Venson-Moitoi,female,,,,,,,,,,,,Pelonomi Venson-Moitoi,,,Pelonomi Venson-Moitoi,,,,,,,,,,,,,,,Pelonomi Venson-Moitoi,,,,,,,,,,,,,Pelonomi Venson-Moitoi,,,,,,,,Pelonomi Venson-Moitoi,Pelonomi Venson-Moitoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pelonomi Venson-Moitoi,,,,,,,,Q7161670
Boteti East,Lelatisitswe Sethomo,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boteti West,Slumber Tsogwane,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",stsogwane@gov.bw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mochudi East,Isaac Davids,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mochudi West,Gilbert Mangole,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",gmangole@gov.bw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaborone Central,Phenyo Butale,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaborone North,Haskins Nkaigwa,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaborone South,Kagiso Molatlhegi,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",kpmolatlhegi@gov.bw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaborone Bonnington North,Duma Boko,https://en.wikipedia.org/wiki/Duma_Boko,UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Duma Boko,"",,Duma Boko,Duma Boko,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18618881
Gaborone Bonnington South,Ndaba Gaolathe,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tlokweng,Same Bathobakae,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramotswa,Samuel Rantuana,"",BCP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mogodtishane,Sedirwa Kgoroba,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabane-Mmankgodi,Pius Mokgware,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thamaga-Kumakwane,Tshenolo Mabeo,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molepolole North,Mohammed I. Khan,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molepolole South,Tlamelo Mmatli,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lentswaeletau-Mmopane,Vincent Seretse,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Letlhakeng-Lephephe,Liakat Kablay,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",lkablay@gov.bw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takatokwane,Ngaka Ngaka,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobatse,Sadique Kebonang,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodhope-Mabule,James Mathokgwane,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mmathethe-Molapowabojang,Alfred Madigele,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanye North,Patrick Ralotsia,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanye South,Abram Kesupile,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moshupa-Manyana,Mokgweetsi Masisi,https://en.wikipedia.org/wiki/Mokgweetsi_Masisi,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Mokgweetsi Masisi,"",,Mokgweetsi Masisi,Mokgweetsi Masisi,male,,,,,,,,,,,,,,,,,Mokgweetsi Masisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokgweetsi Masisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18618891
Jwaneng-Mabutsane,Shawn Ntlhaile,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kgalagadi North,Itumeleng Moipisi,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kgalagadi South,Frans Van Der Westhuizen,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghanzi North,Noah Salakae,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghanzi South,Christiaan De Graaff,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Kenneth Matambo,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Unity Dow,https://en.wikipedia.org/wiki/Unity_Dow,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Unity Dow,"",,Unity Dow,Unity Dow,female,,https://upload.wikimedia.org/wikipedia/commons/0/01/Unity_Dow_-_PopTech_2011_-_Camden_Maine_USA.jpg,69163486,,,1959-04-23,,0000 0000 8391 6911,14517628h,167270761,,,,,Unity Dow,,Unity Dow,,,,,,Unity Dow,,,,,,Unity Dow,Unity Dow,,,,,,,,,,,,,,,,,,,,,,,,Unity Dow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unity Dow,,,Unity Dow,,,,,,,Unity Dow,Unity Dow,Q4945158
"",Eric Molale,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Kitso Mokaila,https://en.wikipedia.org/wiki/Kitso_Mokaila,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Kitso Mokaila,"",,Kitso Mokaila,Kitso Mokaila,male,,,,,,,,,,,,,,,,,,,,,,,Kitso Mokaila,,,,,,,Kitso Mokaila,,,,,,,,,,,,,Kitso Mokaila,,,,,,,,Kitso Mokaila,Kitso Mokaila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6418347
"",Ian Khama,https://en.wikipedia.org/wiki/Ian_Khama,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Ian Khama,,,Ian Khama,Ian Khama,male,Ian,https://upload.wikimedia.org/wikipedia/commons/f/fe/Ian_Khama_(2014).jpg,101455210,1067832742,nb2009027267,1953-02-27,/m/049k7b,,,,伊恩·卡马,Ian Khama Seretse Khama,Seretse Ian Khama,이언 카마,Seretse Ian Khama,Ян Кхама,Ian Khama,Ian Khama,Ian Khama,Ian Khama,Ian Khama,Ian Khama,Ian Khama,イアン・カーマ,Seretse Ian Khama,Ίαν Χάμα,Ian Khama,Ian Khama,Ian Khama,Ian Khama,إيان خاما,Ian Khama,Ian Khama,"Кхама, Ян",Ian Khama,Ian Khama,Ian Khama,Ян Кхама,Ioannes Khama,Ian Khama,იან კჰამა,Ian Khama,Ian Khama,Ian Khama,Ian Khama,Seretse Ian Khama,Ian Khama,Ијан Хама,یان خاما,יאן קאמה,Ian Khama Seretse Khama,Ian Khama Seretse Khama,Ијан Кама,Ian Khama,إيان خاما,Ян Кхама,Seretse Ian Khama,Ian Khama,Ian Khama,Ίαν Χάμα,Ian Khama,Ian Khama,Ian Khama,یان خاما,Ian Khama,Seretse Ian Khama,Ian Khama,Ian Khama,Ian Khama,Ian Khama,Seretse Ian Khama,イアン・カーマ,იან კჰამა,이언 카마,Ioannes Khama,Ian Khama,Ian Khama,Ian Khama,Ian Khama,Seretse Ian Khama,Ian Khama,"Кхама, Ян",Ian Khama,Ian Khama,Ијан Хама,Ian Khama,Ian Khama Seretse Khama,Ian Khama,Ян Кхама,Ian Khama,Ian Khama,伊恩·卡马,,,Q57449
"",Athaliah Molokomme,https://en.wikipedia.org/wiki/Athaliah_Molokomme,"",https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Athaliah Molokomme,,,Athaliah Molokomme,Athaliah Molokomme,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q17513548
