id,name,area,state,chamber,group,group_id,image,term,source
656,ABUBAKAR LADO,"Gurara/Suleja/Tafa, Niger State",Niger State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/656
642,ABUBAKAR LAWAL,"Yola North/Yola South/Girei, Adamawa State",Adamawa State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/642
504,ACHARU OCHIJENU,", State",State,NASS,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/504
950,Adabah Christian,"Ado/Obadigbo/Opkokwu, Benue State",Benue State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/950
900,ADAMU GURAI,"Shira/Giade, Bauchi State",Bauchi State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/900
797,ADAMU JAGABA,"Kachia/Kagarko, Kaduna State",Kaduna State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/797
903,ADAMU KAMALE,"Michika/Madagali, Adamawa State",Adamawa State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/903
687,ADAMU MUHAMMADU,"Babura/Garki, Jigawa State",Jigawa State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/687
788,ADAMU SALIHU,"BOSSO/PAIKORO, Niger State",Niger State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/788
674,ADEBUTU OLADIPUPO,"Ikenne/Shagamu/Remo North, Ogun State",Ogun State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/674
795,ADEDAPO LAM-ADESINA,"Ibadan North- East/South- East, Oyo State",Oyo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/795
703,ADEKOYA ADESSEGUN,"Ijebu North/Ijebu East/Ogun Waterside, Ogun State",Ogun State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/703
623,ADEKUNLE AKINLADE,"Egbado South and Ipokia, Ogun State",Ogun State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/623
915,Adewale Oluwatayo,"Ifako-Ijaiye, Lagos State",Lagos State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/915
782,ADEYEMI ADEPOJU,"Ibarapa East/Ido, Oyo State",Oyo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/782
917,ADO ALHASSAN,"Tudun-Wada/Doguwa, Kano State",Kano State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/917.jpg,2015,http://www.nass.gov.ng/mp/profile/917
553,ADO MUSA,"Gezawa/Gabasawa, Kano State",Kano State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/553.jpg,2015,http://www.nass.gov.ng/mp/profile/553
680,AGBEDI YEITIEMONE,"Sagbama/Ekeremor, Bayelsa State",Bayelsa State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/680
535,Agom Jarigbe,"Ogoja/Yala, Cross River State",Cross River State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/535.jpg,2015,http://www.nass.gov.ng/mp/profile/535
913,AHMAD BABBA,"Kankia/Ingawa/Kusada, Katsina State",Katsina State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/913
865,AHMED ABU,"Lavun/Mokwa/Edati, Niger State",Niger State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/865
460,AHMED RUFAI,"Kaduna South, Kaduna State",Kaduna State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/460.jpg,2015,http://www.nass.gov.ng/mp/profile/460
587,AHMED YERIMA,"Misau/Dambam, Bauchi State",Bauchi State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/587.jpg,2015,http://www.nass.gov.ng/mp/profile/587
696,AINA THADDEUS,"Ido/Osi, Moba/Ilejeme, Ekiti State",Ekiti State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/696
579,AISHATU DUKKU,"Dukku / Nafada, Gombe State",Gombe State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/579.jpg,2015,http://www.nass.gov.ng/mp/profile/579
898,AISOWTEREN PATRICK,"Orhionmwon/Uhunmwode, Edo State",Edo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/898
773,AJA SAMSON,"Oju/Obi, Benue State",Benue State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/773
861,AJANAH KABIR,"Adavi/Okehi, Kogi State",Kogi State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/861
560,AJAYI ADEYIMKA,"Ife Federal Constituency, Osun State",Osun State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/560.jpg,2015,http://www.nass.gov.ng/mp/profile/560
363,AJAYI AYANTUNJI,"Odo-Otin/Ifelodun/Boripe, Osun State",Osun State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/363.jpg,2015,http://www.nass.gov.ng/mp/profile/363
799,AJIBOLA FAMUREWA,"Atakunmosa East/ Atakunmosa West/Ilesha East/, Osun State",Osun State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/799
754,AJISAFE OLOWOOKERE,"Akure North/South, Ondo State",Ondo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/754.jpg,2015,http://www.nass.gov.ng/mp/profile/754
855,akeem adeyemi,"Afijio/Oyo East/Oyo West/ Atiba, Oyo State",Oyo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/855
790,AKINJO VICTOR,"Eseodo/Ilaje, Ondo State",Ondo State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/790
791,AKINLAJA JOSEPH,"Ondo East/Ondo West, Ondo State",Ondo State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/791
342,AKINLOYE BABAJIDE,"Eti-Osa, Lagos State",Lagos State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/342.jpg,2015,http://www.nass.gov.ng/mp/profile/342
722,AKINTOLA TAIWO,"Ona-Ara/Egbeda, Oyo State",Oyo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/722
747,Akinyele Awodumila,"Emure/Gbonyin/Ekiti East, Ekiti State",Ekiti State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/747.jpg,2015,http://www.nass.gov.ng/mp/profile/747
743,ALABI MOJEED,"Ede North,South/Egbedero/Ejigbo, Osun State",Osun State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/743
746,ALAGBAOSO JERRY,"Orlu/Oru East/Orsu, Imo State",Imo State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/746.jpg,2015,http://www.nass.gov.ng/mp/profile/746
934,ALBERT ADEOGUN,"Ife Central/East/North/South, Osun State",Osun State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/934
902,ali isa,"Balanga/Billiri, Gombe State",Gombe State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/902
558,ALIYU AHMAN-PATEGI,"Edu/Moro/Patigi, Kwara State",Kwara State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/558.jpg,2015,http://www.nass.gov.ng/mp/profile/558
732,ALIYU DANLADI,"Zuru/Fakai/Sakaba/D/Wasagu, Kebbi State",Kebbi State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/732
700,ALIYU MADAKI,"Dala, Kano State",Kano State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/700
897,aliyu muktar,"Biu/Bayo/Shani/Kwaya Kusar, Borno State",Borno State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/897
563,AMINU ASHIRU,"Mani/Bindawa, Katsina State",Katsina State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/563.jpg,2015,http://www.nass.gov.ng/mp/profile/563
702,AMINU ISA,"Isa-Sabon-Birni, Sokoto State",Sokoto State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/702
920,AMINU SHAGARI,"Shagari/Yabo, Sokoto State",Sokoto State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/920
730,AMIRUDDIN TUKUR,"Bakori/Danja, Katsina State",Katsina State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/730
594,ANAYO NNEBE,"Awka North/South, Anambra State",Anambra State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/594.jpg,2015,http://www.nass.gov.ng/mp/profile/594
960,Angulu Zakari,"Kuje/Abaji/Gwagwalada/Kwali, Federal Capital Territory State",Federal Capital Territory State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/960
692,ASABE BASHIR,"Damboa/Gwoza/Chibok, Borno State",Borno State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/692
836,AWAJI-INOMBEK AIANTE,"Andoni/Opobo/Nkoro, Rivers State",Rivers State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/836
772,awulu adaji,"Otukpo/Ohimini, Benue State",Benue State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/772
576,AYEOLA ABAYOMI,"Ibeju-Lekki, Lagos State",Lagos State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/576.jpg,2015,http://www.nass.gov.ng/mp/profile/576
192,AYI EKPEYONG,"Akpabuyo/Bakassi/Calabar South, Cross River State",Cross River State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/192.jpg,2015,http://www.nass.gov.ng/mp/profile/192
662,AYO OMIDIRAN,"Ayedaade/Irewole/Isokan, Osun State",Osun State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/662
562,Ayodeji Joseph,"Apapa, Lagos State",Lagos State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/562.jpg,2015,http://www.nass.gov.ng/mp/profile/562
649,AYUBA BADAMASI,"Dambatta/Makoda, Kano State",Kano State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/649
85,AZUBOGU IFEANYI,"Nnewi North/South/Ekwusigo, Anambra State",Anambra State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/85.jpg,2015,http://www.nass.gov.ng/mp/profile/85
825,babajinmi benson,"Ikorodu, Lagos State",Lagos State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/825
711,BABANGIDA IBRAHIM,"MalumFashi/Kafur, Katsina State",Katsina State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/711
751,BABATUNDE KOLAWOLE,"Akoko South East/South West, Ondo State",Ondo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/751
632,BADERINWA BAMIDELE WHITE,"Idanre/Ifedore, Ondo State",Ondo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/632
613,BALA YUSUF,"Ikara/Kubau, Kaduna State",Kaduna State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/613
957,BALARABE ABDULLAHI,"Gwadabawa / Illela, Sokoto State",Sokoto State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/957
908,barambu kawuwa,"Akko, Gombe State",Gombe State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/908
931,BASHIR BABALE,"Minjibir/Ungogo, Kano State",Kano State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/931
796,BASSEY EWAH,"Yakurr/Abi, Cross River State",Cross River State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/796
664,BELLO ABDULLAHI,"Okene/Ogori-Magogo, Kogi State",Kogi State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/664
853,BELLO SANI,"Mashi/Dvisi, Katsina State",Katsina State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/853
544,BENI LAR,"Langtang North/South, Plateau State",Plateau State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/544.jpg,2015,http://www.nass.gov.ng/mp/profile/544
675,betty apiafi,"Ahoada-East/Abua/Odual, Rivers State",Rivers State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/675
539,BINTA BELLO,"Kaltungo/Shongom, Gombe State",Gombe State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/539.jpg,2015,http://www.nass.gov.ng/mp/profile/539
801,BOLAJI AYINLA,"Mushin II, Lagos State",Lagos State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/801
896,BROWN ONYERE,"Degema/Bonny, Rivers State",Rivers State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/896
786,BULUS SOLOMON,"Mangu/Bokkos, Plateau State",Plateau State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/786
567,BUSAYO OKE,"Obokon/Oriade, Osun State",Osun State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/567
609,CHIDOKA OBINNA,"Idemili North/South, Anambra State",Anambra State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/609
731,chime oji,"Enugu North/South, Enugu State",Enugu State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/731
571,CHUKWUEMEKA ANOHU,"Ihiala, Anambra State",Anambra State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/571
636,CHUKWUKA ONYEMA,"Ogbaru, Anambra State",Anambra State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/636
659,CHUKWUKERE AUSTINE,"Ideato North /South, Imo State",Imo State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/659
951,Chukwuma Nwazunku,"Ohaukwu/Ebonyi, Ebonyi State",Ebonyi State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/951
826,d boma,"Asalga/Akulga, Rivers State",Rivers State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/826
875,d. muhammad,"Yauri/Shanga/Ngaski, Kebbi State",Kebbi State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/875
845,DA'U MAGAJI,"Birnin-Kudu/Buji, Jigawa State",Jigawa State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/845
603,DANBURAM NUHU,"Kano Municipal, Kano State",Kano State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/603.jpg,2015,http://www.nass.gov.ng/mp/profile/603
837,daniel reyenieju,"Warri, Delta State",Delta State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/837
958,Danladi Baido,"Lau/K/Lamido/Ardo-Kola, Taraba State",Taraba State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/958
605,Darlington Nwokocha,"Isiala Ngwa North/South, Abia State",Abia State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/605.jpg,2015,http://www.nass.gov.ng/mp/profile/605
580,DAUDA KAKO ARE,"Mushin I, Lagos State",Lagos State,House of Representatives,ACCORD,A,http://www.nass.gov.ng/images/mps/580.jpg,2015,http://www.nass.gov.ng/mp/profile/580
638,DAVEMATICS OMBUGADU,"Akwanga/Nasarawa Eggon/Wamba, Nassarawa State",Nassarawa State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/638
538,DEKOR DUMNAMENE,"Khana/Gokana, Rivers State",Rivers State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/538.jpg,2015,http://www.nass.gov.ng/mp/profile/538
635,Dennis Agbo,"Igboeze North/Udenu, Enugu State",Enugu State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/635
534,DENNIS AMADI,"Ezeagu/Udi, Enugu State",Enugu State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/534.jpg,2015,http://www.nass.gov.ng/mp/profile/534
554,DOGARA YAKUBU,"Bogoro/Dass/Tafawa Balewa, Bauchi State",Bauchi State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/554.jpg,2015,http://www.nass.gov.ng/mp/profile/554
524,EAMMANUEL EKON,"Abak/Etim Ekpo/Ika, Akwa Ibom State",Akwa Ibom State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/524.jpg,2015,http://www.nass.gov.ng/mp/profile/524
673,EBENYI KINGSLEY,"Enugu East/Isi-Uzo, Enugu State",Enugu State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/673
653,EDIM ETA,"Calabar Munincipal/Odukpani, Cross River State",Cross River State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/653
615,EDWIN ANAYO,"Ezza North/Ishielu, Ebonyi State",Ebonyi State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/615
829,EFFIONG DANIEL,"Akpabuyo/Bakassi/Calabar South, Cross River State",Cross River State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/829
694,EGWU EMMANUEL,"Idah/Ibaji/Igalamela/Ofu, Kogi State",Kogi State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/694
901,eke bede,"Aboh Mbaise/Ngor Okpala, Imo State",Imo State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/901
949,Emeka Idu,"Onitsha North/South, Anambra State",Anambra State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/949
631,EMERENGWA BONIFACE,"Ikwerre/ Emohua, Rivers State",Rivers State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/631
709,Emmanuel Akpan,"Ikot Ekpene/ Essien Udim/ Obot Akara, Akwa Ibom State",Akwa Ibom State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/709
840,EMMANUEL UKOETE,"Ukanafun/Orukanam, Akwa Ibom State",Akwa Ibom State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/840
710,ENITAN BADRU,"Lagos Island I, Lagos State",Lagos State,House of Representatives,All Progressives Congress,APC,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/710
785,Eucharia Okwunna,"Aguta, Anambra State",Anambra State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/avatar.jpg,2015,http://www.nass.gov.ng/mp/profile/785
518,EVELYN OMAVOWAN,"Opke/Sapele/Uvwie, Delta State",Delta State,House of Representatives,Peoples Democratic Party,PDP,http://www.nass.gov.ng/images/mps/518.jpg,2015,http://www.nass.gov.ng/mp/profile/518
