id,name__en,name,image,gender,identifier__VIAF,identifier__GND,identifier__LCAuth,birth_date,identifier__freebase,given_name,website,identifier__Muzinger,identifier__journalisted,identifier__EuroparlMEP,family_name,death_date,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__NTA,identifier__NLA,identifier__NPG,identifier__MusicBrainz,identifier__SELIBR,identifier__NNDB,identifier__Oxforddnb,identifier__GTAA,honorific_prefix,identifier__hansard,wikipedia__en,identifier__Munzinger,identifier__discogs,identifier__parliamentDOTuk,name__zh,name__pl,name__eu,name__fr,name__ru,name__es,name__ca,name__hu,name__fi,name__it,name__la,name__cy,name__de,name__br,name__ga,name__nl,name__sv,name__mzn,name__oc,name__nb,name__da,name__nn,name__he,wikipedia__br,wikipedia__ca,wikipedia__cy,wikipedia__de,wikipedia__es,wikipedia__eu,wikipedia__fi,wikipedia__fr,wikipedia__ga,wikipedia__he,wikipedia__hu,wikipedia__it,wikipedia__la,wikipedia__mzn,wikipedia__nl,wikipedia__pl,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__zh,name__ko,name__tr,name__el,name__tl,name__af,name__en_ca,name__en_gb,name__uk,name__fa,wikipedia__af,wikipedia__da,wikipedia__el,wikipedia__ko,wikipedia__no,wikipedia__tl,wikipedia__tr,wikipedia__uk,name__ro,wikipedia__ro,wikipedia__enwikiquote,wikipedia__commons,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__gl,name__be,name__id,name__bn,name__ar,name__pt,name__eo,name__be_tarask,name__cs,name__bg,name__ckb,name__az,name__hy,wikipedia__ar,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__ckb,wikipedia__cs,wikipedia__eo,wikipedia__fa,wikipedia__gl,wikipedia__id,wikipedia__nn,wikipedia__pt,name__sr_el,name__sr_ec,name__hr,name__sco,name__sr,name__ie,name__ja,wikipedia__hr,wikipedia__ie,wikipedia__itwikiquote,wikipedia__ja,wikipedia__sco,wikipedia__sr,name__an,name__bs,name__ceb,name__et,name__is,name__lb,name__lmo,name__lt,name__nds,name__nds_nl,name__pms,name__sk,name__sl,name__sq,name__vec,name__wa,name__gd,name__yo,name__pnb,name__ku_arab,name__ku_latn,name__ku,name__hi,name__ur,wikipedia__et,wikipedia__gd,wikipedia__ku,wikipedia__pnb,wikipedia__sk,wikipedia__ur,wikipedia__yo,name__ta,wikipedia__ta,name__vmf,name__nan,name__mr,name__io,wikipedia__io,wikipedia__is,wikipedia__mr,wikipedia__zh_min_nan,name__de_ch,name__nrm,wikipedia__nrm,wikipedia__bgwikiquote
Q192556,David Trimble,David Trimble,"https://upload.wikimedia.org/wikipedia/commons/0/0a/David_Trimble_at_Lisburn_Seed_Group_benefit,_Hillsborough_Castle,_Christmas_2007_crop.jpg",male,72939112,122611276,n88081332,1944-10-15,/m/01hbqv,David,,,,,,,0000 0000 7866 1088,,094198187,,,,,,319402,195/000089925,,,,,David Trimble,00000021664,,,戴维·特林布尔,David Trimble,David Trimble,David Trimble,"Тримбл, Дэвид",David Trimble,David Trimble,David Trimble,David Trimble,David Trimble,David Trimble,David Trimble,David Trimble,,David Trimble,David Trimble,David Trimble,,,David Trimble,David Trimble,David Trimble,דייוויד טרימבל,,David Trimble,David Trimble,David Trimble,David Trimble,David Trimble,David Trimble,David Trimble,David Trimble,דייוויד טרימבל,David Trimble,David Trimble,David Trimble,,David Trimble,David Trimble,"Тримбл, Дэвид",David Trimble,David Trimble,戴维·特林布尔,데이비드 트림블,David Trimble,,,,,,Девід Трімбл,دیوید تریمبل,,David Trimble,,데이비드 트림블,David Trimble,,David Trimble,Девід Трімбл,,,,,,,,,,,David Trimble,Дэвід Трымбл,David Trimble,,دافيد تريمبل,David Trimble,,Дэйвід Трымбл,David Trimble,Дейвид Тримбъл,,,,دافيد تريمبل,,Дэйвід Трымбл,Дэвід Трымбл,Дейвид Тримбъл,,,David Trimble,,دیوید تریمبل,David Trimble,David Trimble,,David Trimble,,,,,,,デヴィッド・トリンブル,,,,デヴィッド・トリンブル,,,,,,David Trimble,,,,,,,,David Trimble,,,,,Daibhidh Trimble,David Trimble,ڈیوڈ ٹرمبل,داڤد ترمبلە,David Trimble,David Trimble,david trimble,ڈیوڈ ٹرمبل,David Trimble,Daibhidh Trimble,David Trimble,ڈیوڈ ٹرمبل,David Trimble,ڈیوڈ ٹرمبل,David Trimble,,,,,,,,,,,,,,
Q193630,John Hume,John Hume,https://upload.wikimedia.org/wikipedia/commons/5/5c/John_Hume_2008.jpg,male,30346937,119444666,n85127099,1937-01-18,/m/015rlt,John,,,,1408,,,0000 0000 7859 8701,140037758,,,151582467,,,,319395,,,111580,,,John Hume,00000020903,,,約翰·休姆,John Hume,John Hume,John Hume,"Хьюм, Джон",John Hume,John Hume,,John Hume,John Hume,Ioannes Hume,John Hume,John Hume,,John Hume,John Hume,John Hume,,,John Hume,John Hume,,ג'ון יום,,John Hume,John Hume,John Hume,John Hume,John Hume,John Hume,John Hume,John Hume,ג'ון יום,,John Hume,Ioannes Hume,,John Hume,John Hume,"Хьюм, Джон",,John Hume,約翰·休姆,존 흄,John Hume,,,,,,Джон Г'юм,جان هیوم,,John Hume,,존 흄,John Hume,,John Hume,Джон Г'юм,John Hume,John Hume,,,约翰·休姆,約翰·休姆,約翰·休姆,约翰·休姆,约翰·休姆,約翰·休姆,,Джон Х'юм,John Hume,,جون هيوم,John Hume,,Джон Г’юм,John Hume,Джон Хюм,,,,جون هيوم,,Джон Г’юм,Джон Х'юм,Джон Хюм,,,John Hume,,جان هیوم,,John Hume,,John Hume,,,,,,,ジョン・ヒューム,,,,ジョン・ヒューム,,,,,,John Hume,John Hume,,,,,,,,,,,,,John Hume,جان ہیوم,ژۆهن حومە,John Hume,John Hume,,جان ہیوم,John Hume,,John Hume,جان ہیوم,,جان ہیوم,John Hume,,,,John Hume,जॉन ह्यूम,John Hume,John Hume,John Hume,जॉन ह्यूम,John Hume,,,,
Q241830,David Ervine,David Ervine,https://upload.wikimedia.org/wikipedia/commons/d/dd/David_Ervine.png,male,22344481,128961872,nb2001077710,1953-07-21,/m/029dwg,David,,,,,,2007-01-08,0000 0001 1488 6461,14049454r,,,,,,,,,101098537,,,,David Ervine,,,,,,David Ervine,David Ervine,,David Ervine,,,,David Ervine,,,David Ervine,,David Ervine,David Ervine,David Ervine,,,David Ervine,David Ervine,David Ervine,,,,,David Ervine,,David Ervine,,,David Ervine,,,David Ervine,,,David Ervine,,,,David Ervine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q262040,Sammy Wilson,Sammy Wilson,https://upload.wikimedia.org/wikipedia/commons/8/8a/SammyWilson.jpg,male,120490431,,,1953-04-04,,Sammy,,,,,Wilson,,,,,,,,,,,,,,,,Sammy Wilson,,,,,,,Sammy Wilson,,Sammy Wilson,,,,,,,Sammy Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sammy Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q264117,Brian Wilson,Brian Wilson,,male,92010429,,,1943-01-01,,Brian,,,,,Wilson,,,,,,,,,,,,,,,,Brian Wilson (Northern Ireland politician),,,,,,,Brian Wilson,,Brian Wilson,,,,,,,Brian Wilson,,,Brian Wilson,Brian Wilson,,,,,,,,,,,,,,,,,,,,,,,,,Brian Wilson (Nordirland),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q268465,Gregory Campbell,Gregory Campbell,https://upload.wikimedia.org/wikipedia/commons/4/42/GregoryCampell.jpg,male,,,,1953-02-15,,Gregory,,,,,,,,,,,,,,,,,,,,,Gregory Campbell (politician),,,,,,,Gregory Campbell,,Gregory Campbell,,,,Gregory Campbell,,,Gregory Campbell,,,Gregory Campbell,Gregory Campbell,,,,,,,,,,,,,,,,,,,,,,,,,Gregory Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q296597,Ian Paisley,Ian Paisley,https://upload.wikimedia.org/wikipedia/commons/e/eb/DrIanPaisley.jpg,male,79426950,119479362,n50051819,1926-04-06,/m/0nxf7,Ian,,,,1396,,2014-09-12,0000 0000 7863 4864,12062254n,028878302,,072783273,35406216,mp52885,,,,,,,,Ian Paisley,00000012445,,,伊恩·佩斯利,Ian Paisley,Ian Paisley,Ian Paisley,"Пейсли, Иан",Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ioannes Paisley,Ian Paisley,Ian Paisley,,Ian Paisley,Ian Paisley,Ian Paisley,,,Ian Paisley,Ian Paisley,Ian Paisley,איאן פייזלי,,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,Ian Paisley,איאן פייזלי,Ian Paisley,Ian Paisley,Ioannes Paisley,,Ian Paisley,Ian Paisley,"Пейсли, Иан",Ian Paisley,Ian Paisley,伊恩·佩斯利,이언 페이즐리,,Ίαν Πέσλεϊ,,Ian Paisley,,,Іан Пейслі,,Ian Paisley,Ian Paisley,Ίαν Πέισλι,이언 페이즐리,Ian Paisley,,,Іан Пейслі,Ian Paisley,Ian Paisley,Ian Paisley,Category:Ian Paisley,伊恩·佩斯利,伊恩·佩斯利,伊恩·佩斯利,伊恩·佩斯利,伊恩·佩斯利,伊恩·佩斯利,Ian Paisley,,,,,Ian Paisley,Ian Paisley,,Ian Paisley,,,,,,,,,,,,Ian Paisley,Ian Paisley,,Ian Paisley,,,Ian Paisley,Ijan Pejsli,Ијан Пејсли,Ian Paisley,Ian Paisley,Ијан Пејсли,Ian Paisley,イアン・ペイズリー,Ian Paisley,Ian Paisley,Ian Paisley,イアン・ペイズリー,Ian Paisley,Ијан Пејсли,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q300243,Nigel Dodds,Nigel Dodds,https://upload.wikimedia.org/wikipedia/commons/1/13/NigelDodds.jpg,male,304250698,,n98040344,1958-08-20,,Nigel,,,nigel-dodds,,,,,,,,,,,,,,,,,mr-nigel-dodds,Nigel Dodds,,,,,,,Nigel Dodds,,Nigel Dodds,,,,,,,Nigel Dodds,,,Nigel Dodds,Nigel Dodds,,,,,,,,,,Nigel Dodds,,,,,,,,,,,,,,,Nigel Dodds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q300269,Pat Doherty,Pat Doherty,https://upload.wikimedia.org/wikipedia/commons/0/04/PatDoherty.jpg,male,,,,1945-07-18,/m/025q2d,Patrick,,,,,,,,,,,,,,,,,,,,mr-pat-doherty,Pat Doherty,,,,,,,Patrick Doherty,,Pat Doherty,,,Patrick Doherty,,,,Pat Doherty,,,Pat Doherty,Pat Doherty,,,,,,,,,,,,,Patrick Doherty,Patrick Doherty,,,,,,,,,,,Pat Doherty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q300292,Jeffrey Donaldson,Jeffrey Donaldson,,male,22098572,,,1962-12-07,,Jeffrey,,,,,,,,,,,,,,,,,,,,mr-jeffrey-donaldson,Jeffrey Donaldson,,,,,,,Jeffrey Donaldson,,Jeffrey Donaldson,,,,,,,Jeffrey Donaldson,,,Jeffrey Donaldson,Jeffrey Donaldson,,,,,,,,,,,,,,,,,,,,,,,,,Jeffrey Donaldson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q302620,Mark Durkan,Mark Durkan,https://upload.wikimedia.org/wikipedia/commons/6/6f/MarkDurkan.jpg,male,,,,1960-06-26,/m/0250c7,Mark,,,,,,,,,,,,,,,,,,,,mr-mark-durkan,Mark Durkan,,,commons/mark-durkan/1594,,,,Mark Durkan,,Mark Durkan,,,Mark Durkan,,,,Mark Durkan,,Mark Durkan,Mark Durkan,Mark Durkan,,,,,,,,,,,,,Mark Durkan,,Mark Durkan,,,,,,,,,,Mark Durkan,,,,,,,Mark Durkan,Mark Durkan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q333036,Peter Robinson,Peter Robinson,https://upload.wikimedia.org/wikipedia/commons/1/1a/Peter_Robinson_at_Titanic_Belfast_(Cropped).jpg,male,48415763,,,1948-12-29,/m/025q3t,Peter,,,,,,,,,,,,,,,,,,,,mr-peter-robinson,Peter Robinson (Northern Ireland politician),,,,彼德·羅賓遜,Peter Robinson,,Peter Robinson,"Робинсон, Питер",Peter Robinson,,Peter Robinson,Peter Robinson,Peter Robinson,Petrus Robinson,,Peter Robinson,,Peter Robinson,Peter Robinson,Peter Robinson,,,Peter Robinson,Peter Robinson,,,,,,Peter Robinson (Politiker),Peter Robinson (político),,Peter Robinson,Peter Robinson (homme politique),Peter Robinson,,Peter Robinson (politikus),Peter Robinson (politico),Petrus Robinson,,,Peter Robinson,"Робинсон, Питер",Peter Robinson,Peter Robinson (politiker),彼德·羅賓遜 (政治人物),피터 로빈슨,Peter Robinson,Πίτερ Ρόμπινσον,Peter Robinson,Peter Robinson,Peter Robinson,Peter Robinson,Пітер Робінсон,پیتر رابینسون,Peter Robinson (politikus),Peter Robinson,Πίτερ Ρόμπινσον,피터 로빈슨 (정치인),Peter Robinson (politiker),Peter Robinson (politiko),Peter Robinson,Пітер Робінсон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q333235,Iris Robinson,Iris Robinson,,female,,,,1949-09-06,/m/025q32,Iris,,,,,Robinson,,,,,,,,,,,,,,,mrs-iris-robinson,Iris Robinson,,,,,,,Iris Robinson,,Iris Robinson,,,,,,,Iris Robinson,,Iris Robinson,Iris Robinson,,,,,,,,,,,Iris Robinson,,,,,Iris Robinson,,,,,,Iris Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アイリス・ロビンソン,,,,アイリス・ロビンソン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q333646,Gerry Fitt,Gerry Fitt,,male,77524151,134146026,nb2002072176,1926-04-09,,Gerry,,,,,,2005-08-26,0000 0000 3959 1566,,131413325,,,,,,,,,,,mr-gerry-fitt,Gerry Fitt,,,,,,,Gerry Fitt,Джерри Фитт,Gerry Fitt,,,,,,Gerry Fitt,Gerry Fitt,,Gerry Fitt,Gerry Fitt,Gerry Fitt,,,Gerry Fitt,Gerry Fitt,Gerry Fitt,,,,Gerry Fitt,Gerry Fitt,,,,,Gerry Fitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q333729,Jim Nicholson,Jim Nicholson,"https://upload.wikimedia.org/wikipedia/commons/6/6d/Nicholson,_James-2641.jpg",male,315945558,,,1945-01-29,/m/02qsqs,Jim,,,,1318,,,,,,,,,,,,,,,,mr-jim-nicholson,Jim Nicholson (politician),,,,,Jim Nicholson,,Jim Nicholson,,Jim Nicholson,,,,,,,Jim Nicholson,,,Jim Nicholson,Jim Nicholson,,,Jim Nicholson,Jim Nicholson,Jim Nicholson,,,,,Jim Nicholson (Nordirland),,,,Jim Nicholson (Irlande du Nord),,,,,,,Jim Nicholson (Noord-Iers politicus),Jim Nicholson (polityk),,,Jim Nicholson,,,,,,,,,,,,Jim Nicholson,,,,,,,Jim Nicholson,Jim Nicholson (politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
