name,wikipedia__en,area,party,area_id,term,source,id
Walwyn BREWLEY,Walwyn Brewley,District 4,CCM,4,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",walwyn_brewley
Ethlyn Eugenie SMITH,"",District 5,IND,5,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",ethlyn_eugenie_smith
Omar HODGE,Omar Hodge,District 6,CCM,6,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",omar_hodge
Terrence LETTSOME,Terrance B. Lettsome,District 7,VIP,7,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",terrance_b._lettsome
Andre PENN,"",District 8,UP,8,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",andre_penn
Ralph T. O'NEAL,Ralph T. O'Neal,District 9,VIP,9,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",ralph_t._o'neal
H. Lavity STOUTT,Hamilton Lavity Stoutt,District 1,VIP,1,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",hamilton_lavity_stoutt
Prince STOUTT,"",District 2,VIP,2,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",prince_stoutt
Oliver CILLS,Oliver Cills,District 3,VIP,3,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",oliver_cills
E. Walwyn BREWLEY,Walwyn Brewley,District 4,IND,4,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",walwyn_brewley
Cyril ROMNEY,Cyril Romney,District 5,IND,5,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",cyril_romney
Omar HODGE,Omar Hodge,District 6,IPM,6,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",omar_hodge
Terrence LETTSOME,Terrance B. Lettsome,District 7,VIP,7,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",terrance_b._lettsome
Louis WALTERS,"",District 8,VIP,8,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",louis_walters
Ralph T. O'NEAL,Ralph T. O'Neal,District 9,VIP,9,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",ralph_t._o'neal
H. Lavity Stoutt,Hamilton Lavity Stoutt,District 1,VIP,1,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",hamilton_lavity_stoutt
Conrad Maduro,Conrad Maduro,District 2,UP,2,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",conrad_maduro
Oliver Cills,Oliver Cills,District 3,VIP,3,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",oliver_cills
E. Walwyn Brewley,Walwyn Brewley,District 4,IND,4,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",walwyn_brewley
Cyril Romney,Cyril Romney,District 5,IND,5,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",cyril_romney
Omar Hodge,Omar Hodge,District 6,VIP,6,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",omar_hodge
Terrance B. Lettsome,Terrance B. Lettsome,District 7,VIP,7,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",terrance_b._lettsome
Louis Walters,"",District 8,VIP,8,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",louis_walters
Ralph T. O'Neal,Ralph T. O'Neal,District 9,UP,9,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",ralph_t._o'neal
H. Lavity Stoutt,Hamilton Lavity Stoutt,District 1,VIP,1,1983,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1983",hamilton_lavity_stoutt
Conrad Maduro,Conrad Maduro,District 2,UP,2,1983,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1983",conrad_maduro
Earl Fraser,"",District 3,UP,3,1983,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1983",earl_fraser
E. Walwyn Brewley,Walwyn Brewley,District 4,UP,4,1983,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1983",walwyn_brewley
Cyril Romney,Cyril Romney,District 5,Ind,5,1983,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1983",cyril_romney
Omar Hodge,Omar Hodge,District 6,VIP,6,1983,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1983",omar_hodge
Terrance B. Lettsome,Terrance B. Lettsome,District 7,VIP,7,1983,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1983",terrance_b._lettsome
Willard Wheatley,Willard Wheatley,District 8,UP,8,1983,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1983",willard_wheatley
Ralph T. O'Neal,Ralph T. O'Neal,District 9,VIP,9,1983,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1983",ralph_t._o'neal
H. Lavity Stoutt,Hamilton Lavity Stoutt,District 1,VIP,1,1979,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1979",hamilton_lavity_stoutt
Prince Stoutt,"",District 2,VIP,2,1979,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1979",prince_stoutt
Oliver Cills,"",District 3,VIP,3,1979,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1979",oliver_cills
Alban Ulric Anthony,"",District 4,VIP,4,1979,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1979",alban_ulric_anthony
Cyril Romney,Cyril Romney,District 5,Ind,5,1979,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1979",cyril_romney
Omar Hodge,Omar Hodge,District 6,Ind,6,1979,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1979",omar_hodge
Terrance B. Lettsome,Terrance B. Lettsome,District 7,VIP,7,1979,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1979",terrance_b._lettsome
Willard Wheatley,Willard Wheatley,District 8,UP,8,1979,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1979",willard_wheatley
Ralph T. O'Neal,Ralph T. O'Neal,District 9,Ind,9,1979,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1979",ralph_t._o'neal
H. Lavity Stoutt,Hamilton Lavity Stoutt,District 1,VIP,1,1975,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1975",hamilton_lavity_stoutt
Austin Henley,"",District 2,UP,2,1975,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1975",austin_henley
Oliver Cills,"",District 3,VIDP,3,1975,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1975",oliver_cills
Alban Anthony,"",District 4,VIP,4,1975,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1975",alban_anthony
Q.W. Osborne,Qwominer William Osborne,District 5,VIP,5,1975,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1975",qwominer_william_osborne
Willard Wheatley,Willard Wheatley,District 6,UP,6,1975,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1975",willard_wheatley
Ralph T. O'Neal,Ralph T. O'Neal,District 7,Ind,7,1975,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1975",ralph_t._o'neal
H. Lavity Stoutt,Hamilton Lavity Stoutt,District 1,VIP,1,1971,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1971",hamilton_lavity_stoutt
Austin Henley,Austin Henley,District 2,VIDP,2,1971,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1971",austin_henley
Oliver Cills,Oliver Cills,District 3,VIDP,3,1971,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1971",oliver_cills
Q. William Osborne,Qwominer William Osborne,District 4,VIDP,4,1971,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1971",qwominer_william_osborne
Conrad Maduro,Conrad Maduro,District 5,UP,5,1971,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1971",conrad_maduro
Willard Wheatley,Willard Wheatley,District 6,IND,6,1971,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1971",willard_wheatley
Reeial George,"",District 7,VIP,7,1971,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1971",reeial_george
"SMITH, D. Orlando",Orlando Smith,At large,NDP,none,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003",orlando_smith
"SKELTON, Ronnie W.","",At large,NDP,none,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003","skelton,_ronnie_w."
"PARSONS, Eilieene Lucia","",At large,NDP,none,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003","parsons,_eilieene_lucia"
"WATTLEY, Paul P.","",At large,NDP,none,2003,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_2003","wattley,_paul_p."
"SMITH, D. Orlando",Orlando Smith,At large,NDP,none,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999",orlando_smith
"GEORGE, Reeial","",At large,VIP,none,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999","george,_reeial"
"SKELTON, Ronnie","",At large,NDP,none,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999","skelton,_ronnie"
"PARSONS, Eileene","",At large,VIP,none,1999,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1999","parsons,_eileene"
Eileene PARSONS,"",At large,IND,none,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",eileene_parsons
Conrad MADURO,Conrad Maduro,At large,UP,none,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",conrad_maduro
Reeial GEORGE,"",At large,VIP,none,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",reeial_george
Alred FRETT,"",At large,VIP,none,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",alred_frett
