executive,en_party_name,website,id,en_title,image,email,en_constituency_name,name,group,area,twitter,en_region_name,other_name,term,name__en,gender,birth_date,given_name,identifier__viaf,family_name,identifier__lcauth,identifier__sudoc,identifier__isni,identifier__nta,identifier__freebase,identifier__hansard,wikipedia__en
Presiding Officer,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=136,136,Presiding Officer,http://www.senedd.assemblywales.org/UserData/6/3/1/Info00000136/bigpic.jpg,Rosemary.Butler@assembly.wales,Newport West,Dame Rosemary Butler,Welsh Labour,Newport West,http://twitter.com/RosemaryButler,,,4,Rosemary Butler,female,1943-01-21,Rosemary,,,,,,,,,Rosemary Butler (politician)
The Deputy Minister for Skills and Technology,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=584,584,The Deputy Minister for Skills and Technology,http://www.senedd.assemblywales.org/UserData/4/8/5/Info00000584/bigpic.jpg,Julie.James@assembly.wales,Swansea West,Julie James,Welsh Labour,Swansea West,http://twitter.com/JulieJamesAM,,,4,Julie James,female,,Julie,,James,,,,,,,Julie James
The Deputy Minister for Farming and Food,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=375,375,The Deputy Minister for Farming and Food,http://www.senedd.assemblywales.org/UserData/5/7/3/Info00000375/bigpic.jpg,Rebecca.Evans@assembly.wales,,Rebecca Evans,Welsh Labour,Mid and West Wales,http://twitter.com/rebeccaevansam,Mid and West Wales,,4,Rebecca Evans,female,1976-08-02,Rebecca,,,,,,,,,Rebecca Evans (politician)
The Deputy Minister for Health,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=249,249,The Deputy Minister for Health,http://www.senedd.assemblywales.org/UserData/9/4/2/Info00000249/bigpic.jpg,Vaughan.Gething@assembly.wales,Cardiff South and Penarth,Vaughan Gething,Welsh Labour,Cardiff South and Penarth,http://twitter.com/vaughangething/,,,4,Vaughan Gething,male,1974-01-01,,,,,,,,,,Vaughan Gething
"The Deputy Minister for Culture, Sport and Tourism",Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=267,267,"The Deputy Minister for Culture, Sport and Tourism",http://www.senedd.assemblywales.org/UserData/7/6/2/Info00000267/bigpic.jpg,Ken.Skates@assembly.wales,Clwyd South,Ken Skates,Welsh Labour,Clwyd South,http://twitter.com/KenSkatesAM,,,4,Ken Skates,male,1976-01-01,Ken,,,,,,,,,Ken Skates
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=321,321,,http://www.senedd.assemblywales.org/UserData/1/2/3/Info00000321/bigpic.jpg,Mick.Antoniw@assembly.wales,Pontypridd,Mick Antoniw,Welsh Labour,Pontypridd,http://twitter.com/@mickantoniw1,,,4,Mick Antoniw,male,1954-01-01,Mick,,,,,,,,,Mick Antoniw
Commissioner-Welsh Labour,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=170,170,Commissioner,http://www.senedd.assemblywales.org/UserData/0/7/1/Info00000170/bigpic.jpg,Sandy.Mewies@assembly.wales,Delyn,Sandy Mewies,Welsh Labour,Delyn,http://twitter.com/SandyMewiesAM,,,4,Sandy Mewies,female,1950-02-19,Sandy,,,,,,,,,Sandy Mewies
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=138,138,,http://www.senedd.assemblywales.org/UserData/8/3/1/Info00000138/bigpic.jpg,Christine.Chapman@assembly.wales,Cynon Valley,Christine Chapman,Welsh Labour,Cynon Valley,http://twitter.com/ChrisChapmanAM,,,4,Christine Chapman,female,1956-04-07,Christine,12100366,,,,,,,,Christine Chapman
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=205,205,,http://www.senedd.assemblywales.org/UserData/5/0/2/Info00000205/bigpic.jpg,David.Rees@assembly.wales,Aberavon,David Rees,Welsh Labour,Aberavon,http://twitter.com/DavidReesAM,,,4,David Rees,male,,David,,,,,,,,,David Rees (politician)
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=157,157,,http://www.senedd.assemblywales.org/UserData/7/5/1/Info00000157/bigpic.jpg,Mark.Isherwood@assembly.wales,,Mark Isherwood,Welsh Conservative Party,North Wales,http://twitter.com/MarkIsherwoodAM/,North Wales,,4,Mark Isherwood,male,1959-01-21,Mark,,,,,,,,,Mark Isherwood (politician)
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=171,171,,http://www.senedd.assemblywales.org/UserData/1/7/1/Info00000171/bigpic.jpg,Darren.Millar@assembly.wales,Clwyd West,Darren Millar,Welsh Conservative Party,Clwyd West,http://twitter.com/DarrenMillarAM,,,4,Darren Millar,male,1976-01-01,Darren,,,,,,,,,Darren Millar
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=151,151,,http://www.senedd.assemblywales.org/UserData/1/5/1/Info00000151/bigpic.jpg,William.Graham@assembly.wales,,William Graham,Welsh Conservative Party,South Wales East,http://twitter.com/williamgrahamam,South Wales East,,4,William Graham,male,1949-11-18,William,,Graham,,,,,,,William Graham (Welsh politician)
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=143,143,,http://www.senedd.assemblywales.org/UserData/3/4/1/Info00000143/bigpic.jpg,AndrewRT.Davies@assembly.wales,,Andrew RT Davies,Welsh Conservative Party,South Wales Central,http://twitter.com/AndrewRTDavies,South Wales Central,,4,Andrew R. T. Davies,male,1968-01-01,Andrew,,Davies,,,,,,,Andrew R. T. Davies
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=145,145,,http://www.senedd.assemblywales.org/UserData/5/4/1/Info00000145/bigpic.jpg,Paul.Davies@assembly.wales,Preseli Pembrokeshire,Paul Davies,Welsh Conservative Party,Preseli Pembrokeshire,,,,4,Paul Davies,male,1969-01-01,Paul,,Davies,,,,,,,Paul Davies (politician)
Commissioner-Welsh Conservative Party,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=135,135,Commissioner,http://www.senedd.assemblywales.org/UserData/5/3/1/Info00000135/bigpic.jpg,Angela.Burns@assembly.wales,Carmarthen West and South Pembrokeshire,Angela Burns,Welsh Conservative Party,Carmarthen West and South Pembrokeshire,http://twitter.com/AngelaBurnsAM,,,4,Angela Burns,female,,Angela,,,,,,,,,Angela Burns
,Welsh Liberal Democrats,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=421,421,,http://www.senedd.assemblywales.org/UserData/1/2/4/Info00000421/bigpic.jpg,Aled.Roberts@assembly.wales,,Aled Roberts,Welsh Liberal Democrats,North Wales,http://www.twitter.com/aledrobertsam,North Wales,,4,Aled Roberts,male,,Aled,,,,,,,,,Aled Roberts
,Welsh Liberal Democrats,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=480,480,,http://www.senedd.assemblywales.org/UserData/0/8/4/Info00000480/bigpic.jpg,Eluned.Parrott@assembly.wales,,Eluned Parrott,Welsh Liberal Democrats,South Wales Central,http://twitter.com/ElunedParrottAM,South Wales Central,,4,Eluned Parrott,female,1974-01-01,,,,,,,,,,Eluned Parrott
,Welsh Liberal Democrats,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=378,378,,http://www.senedd.assemblywales.org/UserData/8/7/3/Info00000378/bigpic.jpg,William.Powell@assembly.wales,,William Powell,Welsh Liberal Democrats,Mid and West Wales,http://twitter.com/WilliamPowellAM,Mid and West Wales,,4,William Powell,male,,William,,,,,,,,,William Powell (Welsh politician)
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=146,146,,http://www.senedd.assemblywales.org/UserData/6/4/1/Info00000146/bigpic.jpg,Dafydd.Elis-Thomas@assembly.wales,Dwyfor Meirionnydd,Dafydd Elis-Thomas,Plaid Cymru,Dwyfor Meirionnydd,http://twitter.com/ElisThomasD,,,4,Dafydd Elis-Thomas,male,1946-10-18,Dafydd,66212742,,no2005099844,137547625,,,,mr-dafydd-elis-thomas,Dafydd Elis-Thomas
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=159,159,,http://www.senedd.assemblywales.org/UserData/9/5/1/Info00000159/bigpic.jpg,Bethan.Jenkins@assembly.wales,,Bethan Jenkins,Plaid Cymru,South Wales West,,South Wales West,,4,Bethan Jenkins,female,1981-12-09,,128264727,,,,,,,,Bethan Jenkins
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=518,518,,http://www.senedd.assemblywales.org/UserData/8/1/5/Info00000518/bigpic.jpg,Lindsay.Whittle@assembly.wales,,Lindsay Whittle,Plaid Cymru,South Wales East,,South Wales East,,4,Lindsay Whittle,male,,Lindsay,,,,,,,,,Lindsay Whittle
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=144,144,,http://www.senedd.assemblywales.org/UserData/4/4/1/Info00000144/bigpic.jpg,Jocelyn.Davies@assembly.wales,,Jocelyn Davies,Plaid Cymru,South Wales East,http://twitter.com/parkgirl59,South Wales East,,4,Jocelyn Davies,female,1959-06-18,Jocelyn,,Davies,,,,,,,Jocelyn Davies
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=2717,2717,,http://www.senedd.assemblywales.org/UserData/7/1/7/Info00002717/bigpic.jpg,rhun.apiorwerth@assembly.wales,Ynys Môn,Rhun ap Iorwerth,Plaid Cymru,Ynys Môn,http://twitter.com/RhunapIorwerth,,,4,Rhun ap Iorwerth,male,1972-01-01,,,,,,,,,,Rhun ap Iorwerth
,Plaid Cymru,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=160,160,,http://www.senedd.assemblywales.org/UserData/0/6/1/Info00000160/bigpic.jpg,AlunFfred.Jones@assembly.wales,Arfon,Alun Ffred Jones,Plaid Cymru,Arfon,http://twitter.com/AlunFfredPlaid,,,4,Alun Ffred Jones,male,1949-10-29,Alun,83647293,Jones,,,0000 0000 5798 6895,,,,Alun Ffred Jones
Commissioner-Plaid Cymru,Plaid Cymru,http://www.senedd.assembly.wales/mgUserInfo.aspx?UID=181,181,Commissioner,http://www.senedd.assembly.wales/UserData/1/8/1/Info00000181/bigpic.jpg,Rhodri.Thomas@assembly.wales,Carmarthen East and Dinefwr,Rhodri Glyn Thomas,Plaid Cymru,Carmarthen East and Dinefwr,http://twitter.com/RhodriGlynPlaid,,,4,Rhodri Glyn Thomas,male,1953-04-11,,,,,,,,,,Rhodri Glyn Thomas
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=180,180,,http://www.senedd.assemblywales.org/UserData/0/8/1/Info00000180/bigpic.jpg,Gwenda.Thomas@assembly.wales,Neath,Gwenda Thomas,Welsh Labour,Neath,http://twitter.com/Gwendathomas,,,4,Gwenda Thomas,female,1942-01-22,,,,,,,,,,Gwenda Thomas
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=332,332,,http://www.senedd.assemblywales.org/UserData/2/3/3/Info00000332/bigpic.jpg,Mike.Hedges@assembly.wales,Swansea East,Mike Hedges,Welsh Labour,Swansea East,http://twitter.com/MikeHedgesAM,,,4,Mike Hedges,male,1956-07-08,Mike,,,,,,,,,Mike Hedges (politician)
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=245,245,,http://www.senedd.assemblywales.org/UserData/5/4/2/Info00000245/bigpic.jpg,Julie.Morgan@assembly.wales,Cardiff North,Julie Morgan,Welsh Labour,Cardiff North,http://twitter.com/JulieMorganLAB,,,4,Julie Morgan,female,1944-11-02,Julie,,,,,,,,,Julie Morgan
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=139,139,,http://www.senedd.assemblywales.org/UserData/9/3/1/Info00000139/bigpic.jpg,Jeff.Cuthbert@assembly.wales,Caerphilly,Jeff Cuthbert,Welsh Labour,Caerphilly,http://twitter.com/JeffCuthbert,,,4,Jeffrey Cuthbert,male,1948-06-04,Jeffrey,,,,,,,,,Jeffrey Cuthbert
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=153,153,,http://www.senedd.assemblywales.org/UserData/3/5/1/Info00000153/bigpic.jpg,John.Griffiths@assembly.wales,Newport East,John Griffiths,Welsh Labour,Newport East,,,,4,John Griffiths,male,1956-12-19,John,,,,,,,,,John Griffiths (Welsh politician)
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=182,182,,http://www.senedd.assemblywales.org/UserData/2/8/1/Info00000182/bigpic.jpg,Joyce.Watson@assembly.wales,,Joyce Watson,Welsh Labour,Mid and West Wales,,Mid and West Wales,,4,Joyce Watson,female,1955-01-01,Joyce,,,,,,,,,Joyce Watson
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=241,241,,http://www.senedd.assemblywales.org/UserData/1/4/2/Info00000241/bigpic.jpg,Jenny.Rathbone@assembly.wales,Cardiff Central,Jenny Rathbone,Welsh Labour,Cardiff Central,http://twitter.com/JennyRathbone,,,4,Jenny Rathbone,female,,Jenny,,,,,,,,,Jenny Rathbone
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=174,174,,http://www.senedd.assemblywales.org/UserData/4/7/1/Info00000174/bigpic.jpg,Lynne.Neagle@assembly.wales,Torfaen,Lynne Neagle,Welsh Labour,Torfaen,,,,4,Lynne Neagle,female,1968-01-18,Lynne,,,,,,,,,Lynne Neagle
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=225,225,,http://www.senedd.assemblywales.org/UserData/5/2/2/Info00000225/bigpic.jpg,Alun.Davies@assembly.wales,Blaenau Gwent,Alun Davies,Welsh Labour,Blaenau Gwent,http://twitter.com/AlunDaviesAM,,,4,Alun Davies,male,1964-02-12,Alun,,Davies,,,,,,,Alun Davies (politician)
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=292,292,,http://www.senedd.assemblywales.org/UserData/2/9/2/Info00000292/bigpic.jpg,Keith.Davies@assembly.wales,Llanelli,Keith Davies,Welsh Labour,Llanelli,http://twitter.com/KeithDaviesAC,,,4,Keith Davies,male,,Keith,,Davies,,,,,,,Keith Davies
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=161,161,,http://www.senedd.assemblywales.org/UserData/1/6/1/Info00000161/bigpic.jpg,Ann.Jones@assembly.wales,Vale of Clwyd,Ann Jones,Welsh Labour,Vale of Clwyd,http://twitter.com/ann_jonesam,,,4,Ann Jones,female,1953-11-04,Ann,,Jones,,,,,,,Ann Jones (politician)
,Welsh Labour,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=287,287,,http://www.senedd.assemblywales.org/UserData/7/8/2/Info00000287/bigpic.jpg,Gwyn.Price@assembly.wales,Islwyn,Gwyn R Price,Welsh Labour,Islwyn,,,,4,Gwyn R Price,male,,Gwyn,,,,,,,,,Gwyn R Price
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=130,130,,http://www.senedd.assemblywales.org/UserData/0/3/1/Info00000130/bigpic.jpg,Mohammad.Asghar@assembly.wales,,Mohammad Asghar,Welsh Conservative Party,South Wales East,http://twitter.com/mohammadasghar,South Wales East,Oscar,4,Mohammad Asghar,male,1945-09-30,Mohammad,,,,,,,,,Mohammad Asghar
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=303,303,,http://www.senedd.assemblywales.org/UserData/3/0/3/Info00000303/bigpic.jpg,Russell.George@assembly.wales,Montgomeryshire,Russell George,Welsh Conservative Party,Montgomeryshire,http://twitter.com/russ_george,,,4,Russell George,male,1974-01-01,Russell,,,,,,,,,Russell George
,Welsh Conservative Party,http://www.senedd.assembly.wales/mgUserInfo.aspx?UID=4087,4087,,http://www.senedd.assembly.wales/UserData/7/8/0/Info00004087/bigpic.jpg,Janet.Haworth@Assembly.Wales,,Janet Haworth,Welsh Conservative Party,North Wales,,North Wales,,4,Janet Haworth,female,,Janet,,,,,,,,,Janet Haworth
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=541,541,,http://www.senedd.assemblywales.org/UserData/1/4/5/Info00000541/bigpic.jpg,Suzy.Davies@assembly.wales,,Suzy Davies,Welsh Conservative Party,South Wales West,http://twitter.com/suzydaviesam,South Wales West,,4,Suzy Davies,female,,Suzy,,Davies,,,,,,,Suzy Davies
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=212,212,,http://www.senedd.assemblywales.org/UserData/2/1/2/Info00000212/bigpic.jpg,Janet.Finch-Saunders@Assembly.Wales,Aberconwy,Janet Finch-Saunders,Welsh Conservative Party,Aberconwy,http://twitter.com/JFinchSaunders,,,4,Janet Finch-Saunders,female,,Janet,,,,,,,,,Janet Finch-Saunders
,Welsh Conservative Party,http://www.senedd.assemblywales.org/mgUserInfo.aspx?UID=175,175,,http://www.senedd.assemblywales.org/UserData/5/7/1/Info00000175/bigpic.jpg,Nicholas.Ramsay@assembly.wales,Monmouth,Nick Ramsay,Welsh Conservative Party,Monmouth,http://twitter.com/@NickRamsayAM,,,4,Nick Ramsay,male,1975-06-10,Nick,,,,,,,,,Nick Ramsay
,Welsh Conservative Party,http://senedd.assembly.wales/mgUserInfo.aspx?UID=543,543,,http://senedd.assembly.wales/UserData/3/4/5/Info00000543/bigpic.jpg,Altaf.Hussain@Assembly.wales,,Altaf Hussain,Welsh Conservative Party,South Wales West,,South Wales West,,4,Altaf Hussain,male,,,,,,,,,,,Altaf Hussain (politician)
Deputy Presiding Officer,Welsh Conservative Party,http://www.senedd.assembly.wales/mgUserInfo.aspx?UID=169,169,Deputy Presiding Officer,http://www.senedd.assembly.wales/UserData/9/6/1/Info00000169/bigpic.jpg,David.Melding@assembly.wales,,David Melding,Welsh Conservative Party,South Wales Central,http://twitter.com/DavidMeldingAM,South Wales Central,,4,David Melding,male,1962-08-28,David,41551991,,,,,,,,David Melding
