name,wikiname,area,area_id,group,term,source,end_date,start_date,replaced,id,name__en,wikipedia__en,image,gender,birth_date,identifier__freebase,given_name,death_date,name__pt,name__pl,name__ru,name__fr,name__es,name__ca,name__oc,name__yo,name__fi,name__hu,name__it,name__gl,name__de,name__id,name__ja,name__io,name__el,name__sh,name__tpi,name__nl,name__nb,name__da,name__nn,name__sv,wikipedia__ca,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__tpi,wikipedia__yo,name__zh,name__ar,name__ms,name__pam,name__tr,name__et,wikipedia__ar,wikipedia__et,wikipedia__ms,wikipedia__pam,wikipedia__tr,wikipedia__zh,wikipedia__da,name__lb,wikipedia__lb,identifier__wikidata
Enele Sopoaga,Enele Sopoaga,Nukufetau,ocd-division/country:tv/constituency:nukufetau,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q330640,Enele Sopoaga,Enele Sopoaga,,male,1956-02-10,/m/0ddbw5v,,,,Enele Sopoaga,"Сопоага, Энеле",Enele Sopoaga,Enele Sopoaga,,,,,,,,Enele Sopoaga,,,,Ενέλε Σοποάγκα,,,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,,Enele Sopoaga,Ενέλε Σοποάγκα,Enele Sopoaga,,Enele Sopoaga,,,,,,,,Enele Sopoaga,,Enele Sopoaga,,"Сопоага, Энеле",,,,埃內爾·索本嘉,إنال سوبواغا,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,إنال سوبواغا,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,埃內爾·索本嘉,,,,Q330640
Elisala Pita,Elisala Pita,Nukufetau,ocd-division/country:tv/constituency:nukufetau,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q15968283,Elisala Pita,Elisala Pita,,male,,,,,,,,,,,,,,,Elisala Pita,,Elisala Pita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q15968283
Namoliki Sualiki,Namoliki Sualiki,Nukulaelae,ocd-division/country:tv/constituency:nukulaelae,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q6961984,Namoliki Sualiki,Namoliki Sualiki,,male,,,,,,,,,,,,,,,,,Namoliki Sualiki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6961984
Apisai Ielemia,Apisai Ielemia,Vaitupu,ocd-division/country:tv/constituency:vaitupu,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q316267,Apisai Ielemia,Apisai Ielemia,https://upload.wikimedia.org/wikipedia/commons/f/f2/Apisai_Ielemia_cropped.jpg,male,1955-08-19,/m/0g633_,Apisai,,Apisai Ielemia,Apisai Ielemia,"Иелемиа, Аписаи",Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,アピサイ・イエレミア,Apisai Ielemia,Απισάι Ιελέμια,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Απισάι Ιελέμια,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,アピサイ・イエレミア,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,"Иелемиа, Аписаи",Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,,,,,,,,,,,,,,,,Q316267
Taukelina Finikaso,Taukelina Finikaso,Vaitupu,ocd-division/country:tv/constituency:vaitupu,Independent,11,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2015",,,,Q7688699,Taukelina Finikaso,Taukelina Finikaso,,male,,,,,,,,,,,,,,,,,Taukelina Finikaso,,,,,,,Taukelina Finikaso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7688699
Kausea Natano,Kausea Natano,Funafuti,ocd-division/country:tv/constituency:funafuti,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,Q6378927,Kausea Natano,Kausea Natano,,male,,,,,,,,,,,,,,,,,Kausea Natano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6378927
Kamuta Latasi,Kamuta Latasi,Funafuti,ocd-division/country:tv/constituency:funafuti,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,Q739504,Kamuta Latasi,Kamuta Latasi,,male,1936-01-01,/m/0c8dkz,,,,Kamuta Latasi,"Латаси, Камута",Kamuta Latasi,Kamuta Latasi,,,,Kamuta Latasi,Kamuta Latasi,,,Kamuta Latasi,,,,Καμούτα Λατάζι,,,Kamuta Latasi,Kamuta Latasi,,,,,Kamuta Latasi,Καμούτα Λατάζι,,Kamuta Latasi,Kamuta Latasi,,Kamuta Latasi,,,,,,Kamuta Latasi,,Kamuta Latasi,,"Латаси, Камута",,,,,,,,,,,,,,,,,,,Q739504
Monise Lafai,Monise Lafai,Nanumaga,ocd-division/country:tv/constituency:nanumaga,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falesa Pitoi,Falesa Pitoi,Nanumaga,ocd-division/country:tv/constituency:nanumaga,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",2014-01-14,,,Q2377016,Falesa Pitoi,Falesa Pitoi,,male,,,,,,,,Falesa Pitoi,,,,,,,,,Falesa Pitoi,,,,,,,Falesa Pitoi,,,,,,,,,,Falesa Pitoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2377016
Otinielu Tausi,Otinielu Tausi,Nanumaga,ocd-division/country:tv/constituency:nanumaga,Independent,10,https://en.wikipedia.org/wiki/List_of_by-elections_in_Tuvalu,,2014-01-14,Falesa Pitoi,Q7108741,Otinielu Tausi,Otinielu Tausi,,male,,,,,,,,Otinielu Tausi,,,,,,,,,Otinielu Tausi,,,,,,,,,,,,,,,,,Otinielu Tausi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7108741
Maatia Toafa,Maatia Toafa,Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,Q287513,Maatia Toafa,Maatia Toafa,,male,1954-05-01,/m/03s66y,,,Maatia Toafa,Maatia Toafa,"Тоафа, Маатиа",Maatia Toafa,Maatia Toafa,,,,Maatia Toafa,Maatia Toafa,,Maatia Toafa,Maatia Toafa,Maatia Toafa,マアティア・トアファ,,Μαατία Τοάφα,,,Maatia Toafa,Maatia Toafa,Maatia Toafa,Maatia Toafa,Maatia Toafa,,Maatia Toafa,Μαατία Τοάφα,Maatia Toafa,Maatia Toafa,Maatia Toafa,,Maatia Toafa,Maatia Toafa,,,マアティア・トアファ,Maatia Toafa,Maatia Toafa,,Maatia Toafa,Maatia Toafa,"Тоафа, Маатиа",,,,,,Maatia Toafa,,,Maatia Toafa,,Maatia Toafa,Maatia Toafa,,,,,Maatia Toafa,Maatia Toafa,Q287513
Willy Telavi,Willy Telavi,Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",2014-09-19,,,Q561559,Willy Telavi,Willy Telavi,https://upload.wikimedia.org/wikipedia/commons/1/15/WillyTevali.jpg,male,1954-01-28,/m/03h1dtd,Willy,,Willy Telavi,Willy Telavi,"Телави, Вилли",Willy Telavi,Willy Telavi,,,Willy Telavi,,,,,Willy Telavi,,,,Γουίλι Τελάβι,,,Willy Telavi,Willy Telavi,Willy Telavi,Willy Telavi,Willy Telavi,,Willy Telavi,Γουίλι Τελάβι,Willy Telavi,,Willy Telavi,,,,,,,,Willy Telavi,,Willy Telavi,Willy Telavi,"Телави, Вилли",,,Willy Telavi,,,,,Willy Telavi,Willy Telavi,,Willy Telavi,,,Willy Telavi,,Willy Telavi,,,Q561559
Satini Manuella,Satini Manuella,Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,10,https://en.wikipedia.org/wiki/List_of_by-elections_in_Tuvalu,,2014-09-19,Willy Telavi,Q18355480,Satini Manuella,Satini Manuella,,male,,,,,,,,,,,,,,,Satini Manuella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q18355480
Fauoa Maani,Fauoa Maani,Niutao,ocd-division/country:tv/constituency:niutao,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,Q15972515,Fauoa Maani,Fauoa Maani,,male,,,,,,,,,,,,,,,Fauoa Maani,,Fauoa Maani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q15972515
Vete Sakaio,Vete Sakaio,Niutao,ocd-division/country:tv/constituency:niutao,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,Q7923554,Vete Sakaio,Vete Sakaio,,male,,,,,,,,,,,,,,,,,Vete Sakaio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7923554
Isaia Italeli,Isaia Italeli,Nui,ocd-division/country:tv/constituency:nui,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",2011-08-24,,,Q6078458,Isaia Italeli,Isaia Italeli,,male,,,Isaia,2011-07-20,,,,,,,,,,,Isaia Italeli,,Isaia Italeli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6078458
Pelenike Isaia,Pelenike Isaia,Nui,ocd-division/country:tv/constituency:nui,Independent,10,https://en.wikipedia.org/wiki/List_of_by-elections_in_Tuvalu,,2011-08-24,Isaia Italeli,Q7161303,Pelenike Isaia,Pelenike Isaia,,female,,,,,,,,Pelenike Isaia,Pelenike Isaia,,,,,,,,Pelenike Isaia,,,,,,,,,,,,,,,,,Pelenike Isaia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7161303
Taom Tanukale,Taom Tanukale,Nui,ocd-division/country:tv/constituency:nui,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",2013-09-10,,,Q7684285,Taom Tanukale,Taom Tanukale,,male,,,,,,,,,,,,,,,,,Taom Tanukale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7684285
Leneuoti Maatusi,Leneuoti Maatusi,Nui,ocd-division/country:tv/constituency:nui,Independent,10,https://en.wikipedia.org/wiki/List_of_by-elections_in_Tuvalu,,2013-09-10,Taom Tanukale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enele Sopoaga,Enele Sopoaga,Nukufetau,ocd-division/country:tv/constituency:nukufetau,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,Q330640,Enele Sopoaga,Enele Sopoaga,,male,1956-02-10,/m/0ddbw5v,,,,Enele Sopoaga,"Сопоага, Энеле",Enele Sopoaga,Enele Sopoaga,,,,,,,,Enele Sopoaga,,,,Ενέλε Σοποάγκα,,,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,,Enele Sopoaga,Ενέλε Σοποάγκα,Enele Sopoaga,,Enele Sopoaga,,,,,,,,Enele Sopoaga,,Enele Sopoaga,,"Сопоага, Энеле",,,,埃內爾·索本嘉,إنال سوبواغا,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,إنال سوبواغا,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,Enele Sopoaga,埃內爾·索本嘉,,,,Q330640
Lotoala Metia,Lotoala Metia,Nukufetau,ocd-division/country:tv/constituency:nukufetau,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",2013-06-28,,,Q2378838,Lotoala Metia,Lotoala Metia,,male,,,,2012-12-21,,,,Lotoala Metia,,,,,,,,,Lotoala Metia,,,,,,,Lotoala Metia,,,,,,,,,,Lotoala Metia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2378838
Elisala Pita,Elisala Pita,Nukufetau,ocd-division/country:tv/constituency:nukufetau,Independent,10,https://en.wikipedia.org/wiki/List_of_by-elections_in_Tuvalu,,2013-06-28,Lotoala Metia,Q15968283,Elisala Pita,Elisala Pita,,male,,,,,,,,,,,,,,,Elisala Pita,,Elisala Pita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q15968283
Namoliki Sualiki,Namoliki Sualiki,Nukulaelae,ocd-division/country:tv/constituency:nukulaelae,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,Q6961984,Namoliki Sualiki,Namoliki Sualiki,,male,,,,,,,,,,,,,,,,,Namoliki Sualiki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6961984
Apisai Ielemia,Apisai Ielemia,Vaitupu,ocd-division/country:tv/constituency:vaitupu,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,Q316267,Apisai Ielemia,Apisai Ielemia,https://upload.wikimedia.org/wikipedia/commons/f/f2/Apisai_Ielemia_cropped.jpg,male,1955-08-19,/m/0g633_,Apisai,,Apisai Ielemia,Apisai Ielemia,"Иелемиа, Аписаи",Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,アピサイ・イエレミア,Apisai Ielemia,Απισάι Ιελέμια,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Απισάι Ιελέμια,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,アピサイ・イエレミア,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,"Иелемиа, Аписаи",Apisai Ielemia,Apisai Ielemia,Apisai Ielemia,,,,,,,,,,,,,,,,Q316267
Taukelina Finikaso,Taukelina Finikaso,Vaitupu,ocd-division/country:tv/constituency:vaitupu,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,Q7688699,Taukelina Finikaso,Taukelina Finikaso,,male,,,,,,,,,,,,,,,,,Taukelina Finikaso,,,,,,,Taukelina Finikaso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7688699
Kausea Natano,Kausea Natano,Funafuti,ocd-division/country:tv/constituency:funafuti,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q6378927,Kausea Natano,Kausea Natano,,male,,,,,,,,,,,,,,,,,Kausea Natano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6378927
Kamuta Latasi,Kamuta Latasi,Funafuti,ocd-division/country:tv/constituency:funafuti,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q739504,Kamuta Latasi,Kamuta Latasi,,male,1936-01-01,/m/0c8dkz,,,,Kamuta Latasi,"Латаси, Камута",Kamuta Latasi,Kamuta Latasi,,,,Kamuta Latasi,Kamuta Latasi,,,Kamuta Latasi,,,,Καμούτα Λατάζι,,,Kamuta Latasi,Kamuta Latasi,,,,,Kamuta Latasi,Καμούτα Λατάζι,,Kamuta Latasi,Kamuta Latasi,,Kamuta Latasi,,,,,,Kamuta Latasi,,Kamuta Latasi,,"Латаси, Камута",,,,,,,,,,,,,,,,,,,Q739504
Otinielu Tausi,Otinielu Tausi,Nanumaga,ocd-division/country:tv/constituency:nanumaga,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q7108741,Otinielu Tausi,Otinielu Tausi,,male,,,,,,,,Otinielu Tausi,,,,,,,,,Otinielu Tausi,,,,,,,,,,,,,,,,,Otinielu Tausi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7108741
Falesa Pitoi,Falesa Pitoi,Nanumaga,ocd-division/country:tv/constituency:nanumaga,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q2377016,Falesa Pitoi,Falesa Pitoi,,male,,,,,,,,Falesa Pitoi,,,,,,,,,Falesa Pitoi,,,,,,,Falesa Pitoi,,,,,,,,,,Falesa Pitoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2377016
Maatia Toafa,Maatia Toafa,Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q287513,Maatia Toafa,Maatia Toafa,,male,1954-05-01,/m/03s66y,,,Maatia Toafa,Maatia Toafa,"Тоафа, Маатиа",Maatia Toafa,Maatia Toafa,,,,Maatia Toafa,Maatia Toafa,,Maatia Toafa,Maatia Toafa,Maatia Toafa,マアティア・トアファ,,Μαατία Τοάφα,,,Maatia Toafa,Maatia Toafa,Maatia Toafa,Maatia Toafa,Maatia Toafa,,Maatia Toafa,Μαατία Τοάφα,Maatia Toafa,Maatia Toafa,Maatia Toafa,,Maatia Toafa,Maatia Toafa,,,マアティア・トアファ,Maatia Toafa,Maatia Toafa,,Maatia Toafa,Maatia Toafa,"Тоафа, Маатиа",,,,,,Maatia Toafa,,,Maatia Toafa,,Maatia Toafa,Maatia Toafa,,,,,Maatia Toafa,Maatia Toafa,Q287513
Willy Telavi,Willy Telavi,Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q561559,Willy Telavi,Willy Telavi,https://upload.wikimedia.org/wikipedia/commons/1/15/WillyTevali.jpg,male,1954-01-28,/m/03h1dtd,Willy,,Willy Telavi,Willy Telavi,"Телави, Вилли",Willy Telavi,Willy Telavi,,,Willy Telavi,,,,,Willy Telavi,,,,Γουίλι Τελάβι,,,Willy Telavi,Willy Telavi,Willy Telavi,Willy Telavi,Willy Telavi,,Willy Telavi,Γουίλι Τελάβι,Willy Telavi,,Willy Telavi,,,,,,,,Willy Telavi,,Willy Telavi,Willy Telavi,"Телави, Вилли",,,Willy Telavi,,,,,Willy Telavi,Willy Telavi,,Willy Telavi,,,Willy Telavi,,Willy Telavi,,,Q561559
Tavau Teii,Tavau Teii,Niutao,ocd-division/country:tv/constituency:niutao,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q7689043,Tavau Teii,Tavau Teii,,male,,,,,,,,,,,,,,,Tavau Teii,,Tavau Teii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7689043
Tomu Sione,Tomu Sione,Niutao,ocd-division/country:tv/constituency:niutao,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q923836,Tomu Sione,Tomu Sione,,male,1941-11-17,/m/0bfywd,,,,Tomu Sione,"Сионе, Тому",Tomu Sione,Tomu Sione,,,,Tomu Sione,Tomu Sione,,,Tomu Sione,,,,Τόμου Σιόνε,,,Tomu Sione,Tomu Sione,,,,,Tomu Sione,Τόμου Σιόνε,,Tomu Sione,Tomu Sione,,Tomu Sione,,,,,,Tomu Sione,,Tomu Sione,,"Сионе, Тому",,,,,,,,,,,,,,,,,,,Q923836
Alesana Seluka,Alesana Seluka,Nui,ocd-division/country:tv/constituency:nui,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iakoba Italeli,Iakoba Italeli,Nui,ocd-division/country:tv/constituency:nui,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q3147210,Iakoba Italeli,Iakoba Italeli,,male,2000-01-01,/m/03h1dy5,,,,Iakoba Italeli,"Италели, Иакоба",Iakoba Italeli,Iakoba Italeli,,,Iakoba Italeli,,,,,Iakoba Italeli,Iakoba Italeli,イアコバ・イタレリ,,Ιάκομπα Ιταλέλι,,,Iakoba Italeli,Iakoba Italeli,Iakoba Italeli,,,,Iakoba Italeli,Ιάκομπα Ιταλέλι,Iakoba Italeli,,Iakoba Italeli,,,Iakoba Italeli,,,イアコバ・イタレリ,,Iakoba Italeli,,Iakoba Italeli,,"Италели, Иакоба",,,Iakoba Italeli,,,,,Iakoba Italeli,Iakoba Italeli,,Iakoba Italeli,,,Iakoba Italeli,,Iakoba Italeli,,,Q3147210
Lotoala Metia,Lotoala Metia,Nukufetau,ocd-division/country:tv/constituency:nukufetau,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q2378838,Lotoala Metia,Lotoala Metia,,male,,,,2012-12-21,,,,Lotoala Metia,,,,,,,,,Lotoala Metia,,,,,,,Lotoala Metia,,,,,,,,,,Lotoala Metia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2378838
