id,name,image,given_name,family_name,sort_name,birth_date,gender,house,start_date,state,district,party,homepage,address,phone,fax,term,area_id,identifier__bioguide,identifier__thomas,identifier__lis,identifier__govtrack,identifier__opensecrets,identifier__votesmart,identifier__fec,identifier__cspan,identifier__wikipedia,identifier__house_history,identifier__ballotpedia,identifier__maplight,identifier__washington_post,identifier__icpsr,end_date
G000359,Lindsey Graham,https://theunitedstates.io/images/congress/original/G000359.jpg,Lindsey,Graham,"Graham, Lindsey",1955-07-09,male,sen,2015-01-06,SC,,Republican,http://www.lgraham.senate.gov,290 Russell Senate Office Building Washington DC 20510,202-224-5972,202-224-3808,114,ocd-division/country:us/state:sc,G000359,00452,S293,300047,N00009975,21992,S0SC00149,36782,Lindsey Graham,14015,Lindsey Graham,569,gIQAEdOu9O,29566,2017-01-03
I000024,James M. Inhofe,https://theunitedstates.io/images/congress/original/I000024.jpg,James,Inhofe,"Inhofe, James",1934-11-17,male,sen,2015-01-06,OK,,Republican,http://www.inhofe.senate.gov,205 Russell Senate Office Building Washington DC 20510,202-224-4721,202-228-0380,114,ocd-division/country:us/state:ok,I000024,00583,S236,300055,N00005582,27027,S4OK00083,5619,Jim Inhofe,15645,Jim Inhofe,576,gIQASu669O,15424,2017-01-03
M000355,Mitch McConnell,https://theunitedstates.io/images/congress/original/M000355.jpg,Mitch,McConnell,"McConnell, Mitch",1942-02-20,male,sen,2015-01-06,KY,,Republican,http://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,202-224-2499,114,ocd-division/country:us/state:ky,M000355,01395,S174,300072,N00003389,53298,S2KY00012,2351,Mitch McConnell,,Mitch McConnell,593,gIQAYR2b9O,14921,2017-01-03
M001176,Jeff Merkley,https://theunitedstates.io/images/congress/original/M001176.jpg,Jeff,Merkley,"Merkley, Jeff",1956-10-24,male,sen,2015-01-06,OR,,Democrat,http://www.merkley.senate.gov,313 Hart Senate Office Building Washington DC 20510,202-224-3753,202-228-3997,114,ocd-division/country:us/state:or,M001176,01900,S322,412325,N00029303,23644,S8OR00207,1029842,Jeff Merkley,,Jeff Merkley,807,gIQAosnb9O,40908,2017-01-03
R000122,Jack Reed,https://theunitedstates.io/images/congress/original/R000122.jpg,John,Reed,"Reed, John",1949-11-12,male,sen,2015-01-06,RI,,Democrat,http://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,202-224-4680,114,ocd-division/country:us/state:ri,R000122,00949,S259,300081,N00000362,27060,S6RI00163,24239,Jack Reed (politician),20232,Jack Reed,600,gIQAT2gt9O,29142,2017-01-03
R000584,James E. Risch,https://theunitedstates.io/images/congress/original/R000584.jpg,James,Risch,"Risch, James",1943-05-03,male,sen,2015-01-06,ID,,Republican,http://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,202-224-2573,114,ocd-division/country:us/state:id,R000584,01896,S323,412322,N00029441,2919,S8ID00092,1020034,Jim Risch,,Jim Risch,804,gIQAWIdW9O,40902,2017-01-03
R000307,Pat Roberts,https://theunitedstates.io/images/congress/original/R000307.jpg,Pat,Roberts,"Roberts, Pat",1936-04-20,male,sen,2015-01-06,KS,,Republican,http://www.roberts.senate.gov,109 Hart Senate Office Building Washington DC 20510,202-224-4774,202-224-3514,114,ocd-division/country:us/state:ks,R000307,00968,S260,300083,N00005285,26866,S6KS00080,16354,Pat Roberts,20465,Pat Roberts,602,gIQAUECAAP,14852,2017-01-03
S001141,Jeff Sessions,https://theunitedstates.io/images/congress/original/S001141.jpg,Jefferson,Sessions,"Sessions, Jefferson",1946-12-24,male,sen,2015-01-06,AL,,Republican,http://www.sessions.senate.gov,326 Russell Senate Office Building Washington DC 20510,202-224-4124,202-224-3149,114,ocd-division/country:us/state:al,S001141,01548,S261,300088,N00003062,443,S6AL00195,44441,Jeff Sessions,,Jeff Sessions,607,gIQAHXOBAP,49700,2017-01-03
S001181,Jeanne Shaheen,https://theunitedstates.io/images/congress/original/S001181.jpg,Jeanne,Shaheen,"Shaheen, Jeanne",1947-01-28,female,sen,2015-01-06,NH,,Democrat,http://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,202-228-3194,114,ocd-division/country:us/state:nh,S001181,01901,S324,412323,N00024790,1663,S0NH00219,22850,Jeanne Shaheen,22618,Jeanne Shaheen,805,gIQAZP1b9O,40906,2017-01-03
U000039,Tom Udall,https://theunitedstates.io/images/congress/original/U000039.jpg,Tom,Udall,"Udall, Tom",1948-05-18,male,sen,2015-01-06,NM,,Democrat,http://www.tomudall.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-6621,,114,ocd-division/country:us/state:nm,U000039,01567,S326,400413,N00006561,22658,H8NM03097,10075,Tom Udall,20879,Tom Udall,498,gIQAv2eM9O,29924,2017-01-03
W000805,Mark R. Warner,https://theunitedstates.io/images/congress/original/W000805.jpg,Mark,Warner,"Warner, Mark",1954-12-15,male,sen,2015-01-06,VA,,Democrat,http://www.warner.senate.gov,475 Russell Senate Office Building Washington DC 20510,202-224-2023,202-224-6295,114,ocd-division/country:us/state:va,W000805,01897,S327,412321,N00002097,535,S6VA00093,7630,Mark Warner,,Mark Warner,803,gIQAUqPM9O,40909,2017-01-03
G000555,Kirsten E. Gillibrand,https://theunitedstates.io/images/congress/original/G000555.jpg,Kirsten,Gillibrand,"Gillibrand, Kirsten",1966-12-09,female,sen,2015-01-06,NY,,Democrat,http://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,202-225-1168,113,ocd-division/country:us/state:ny,G000555,01866,S331,412223,N00027658,65147,H6NY20167,1022862,Kirsten Gillibrand,14269,Kirsten Gillibrand,708,gIQAz4Kt9O,20735,2015-01-03
F000457,Al Franken,https://theunitedstates.io/images/congress/original/F000457.jpg,Alan,Franken,"Franken, Alan",1951-05-21,male,sen,2015-01-06,MN,,Democrat,http://www.franken.senate.gov,309 Hart Senate Office Building Washington DC 20510,202-224-5641,,114,ocd-division/country:us/state:mn,F000457,01969,S332,412378,N00029016,108924,S8MN00438,23334,Al Franken,,Al Franken,1189,gIQAnCqo9O,40904,2017-01-03
C001088,Christopher A. Coons,https://theunitedstates.io/images/congress/original/C001088.jpg,Chris,Coons,"Coons, Chris",1963-09-09,male,sen,2015-01-06,DE,,Democrat,http://www.coons.senate.gov,127A Russell Senate Office Building Washington DC 20510,202-224-5042,,114,ocd-division/country:us/state:de,C001088,01984,S337,412390,N00031820,122834,S0DE00092,9269028,Chris Coons,,Chris Coons,1371,gIQAaKfTKP,40916,2017-01-03
M001183,"Joe Manchin, III",https://theunitedstates.io/images/congress/original/M001183.jpg,Joe,Manchin,"Manchin, Joe",1947-08-24,male,sen,2015-01-06,WV,,Democrat,http://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,202-224-3954,202-228-0002,113,ocd-division/country:us/state:wv,M001183,01983,S338,412391,N00032838,7547,S0WV00090,62864,Joe Manchin,,Joe Manchin III,1372,gIQA82bVBP,40915,2015-01-03
A000368,Kelly Ayotte,https://theunitedstates.io/images/congress/original/A000368.jpg,Kelly,Ayotte,"Ayotte, Kelly",1968-06-27,female,sen,2015-01-06,NH,,Republican,http://www.ayotte.senate.gov,144 Russell Senate Office Building Washington DC 20510,202-224-3324,202-224-4952,112,ocd-division/country:us/state:nh,A000368,02075,S340,412493,N00030980,42352,S0NH00235,95241,Kelly Ayotte,8771,Kelly A. Ayotte,1498,gIQA6LfTKP,41106,2013-01-03
B001230,Tammy Baldwin,https://theunitedstates.io/images/congress/original/B001230.jpg,Tammy,Baldwin,"Baldwin, Tammy",1962-02-11,female,sen,2015-01-06,WI,,Democrat,http://www.baldwin.senate.gov,717 Hart Washington DC 20510,202-224-5653,202-225-6942,113,ocd-division/country:us/state:wi,B001230,01558,S354,400013,N00004367,3470,H8WI00018,57884,Tammy Baldwin,10361,Tammy Baldwin,136,gIQAgHwPAP,29940,2015-01-03
B001267,Michael F. Bennet,https://theunitedstates.io/images/congress/original/B001267.jpg,Michael,Bennet,"Bennet, Michael",1964-11-28,male,sen,2015-01-06,CO,,Democrat,http://www.bennet.senate.gov,261 Russell Senate Office Building Washington DC 20510,202-224-5852,202-228-5036,112,ocd-division/country:us/state:co,B001267,01965,S330,412330,N00030608,110942,S0CO00211,1031622,Michael Bennet,,Michael Bennet,1092,gIQA8vao9O,40910,2013-01-03
B001277,Richard Blumenthal,https://theunitedstates.io/images/congress/original/B001277.jpg,Richard,Blumenthal,"Blumenthal, Richard",1946-02-13,male,sen,2015-01-06,CT,,Democrat,http://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,202-224-9673,112,ocd-division/country:us/state:ct,B001277,02076,S341,412490,N00031685,1568,S0CT00177,21799,Richard Blumenthal,,Richard Blumenthal,1495,gIQAeNwz6O,41101,2013-01-03
B000575,Roy Blunt,https://theunitedstates.io/images/congress/original/B000575.jpg,Roy,Blunt,"Blunt, Roy",1950-01-10,male,sen,2015-01-06,MO,,Republican,http://www.blunt.senate.gov,260 Russell Senate Office Building Washington DC 20510,202-224-5721,202-224-8149,112,ocd-division/country:us/state:mo,B000575,01464,S342,400034,N00005195,418,H6MO07128,45465,Roy Blunt,9520,Roy Blunt,153,gIQAUcQL9O,29735,2013-01-03
B001236,John Boozman,https://theunitedstates.io/images/congress/original/B001236.jpg,John,Boozman,"Boozman, John",1950-12-10,male,sen,2015-01-06,AR,,Republican,http://www.boozman.senate.gov,141 Hart Senate Office Building Washington DC 20510,202-224-4843,202-228-1371,112,ocd-division/country:us/state:ar,B001236,01687,S343,400040,N00013873,27958,H2AR03176,92069,John Boozman,10372,John Boozman,159,gIQAxKQPAP,20101,2013-01-03
B000711,Barbara Boxer,https://theunitedstates.io/images/congress/original/B000711.jpg,Barbara,Boxer,"Boxer, Barbara",1940-11-11,female,sen,2015-01-06,CA,,Democrat,http://www.boxer.senate.gov,112 Hart Senate Office Building Washington DC 20510,202-224-3553,202-224-0454,112,ocd-division/country:us/state:ca,B000711,00116,S223,300011,N00006692,53274,S2CA00286,2470,Barbara Boxer,9704,Barbara Boxer,539,gIQArxPM9O,15011,2013-01-03
B001135,Richard Burr,https://theunitedstates.io/images/congress/original/B001135.jpg,Richard,Burr,"Burr, Richard",1955-11-30,male,sen,2015-01-06,NC,,Republican,http://www.burr.senate.gov,217 Russell Senate Office Building Washington DC 20510,202-224-3154,202-228-2981,112,ocd-division/country:us/state:nc,B001135,00153,S300,400054,N00002221,21787,S4NC00089,31054,Richard Burr,10236,Richard Burr,172,gIQAMX709O,29548,2013-01-03
C001047,Shelley Moore Capito,https://theunitedstates.io/images/congress/original/C001047.jpg,Shelley,Capito,"Capito, Shelley",1953-11-26,female,sen,2015-01-06,WV,,Republican,http://www.capito.senate.gov,172 Russell Senate Office Building Washington DC 20510,202-224-6472,,114,ocd-division/country:us/state:wv,C001047,01676,S372,400061,N00009771,11701,H0WV02138,83737,Shelley Moore Capito,11762,Shelley Moore Capito,179,gIQA3s9PAP,20146,2017-01-03
C001075,Bill Cassidy,https://theunitedstates.io/images/congress/original/C001075.jpg,Bill,Cassidy,"Cassidy, Bill",1957-09-28,male,sen,2015-01-06,LA,,Republican,http://www.cassidy.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-5824,,114,ocd-division/country:us/state:la,C001075,01925,S373,412269,N00030245,69494,H8LA00017,1030546,Bill Cassidy,11811,Bill Cassidy,751,gIQAPBLkDP,20919,2017-01-03
C000542,Daniel Coats,https://theunitedstates.io/images/congress/original/C000542.jpg,Daniel,Coats,"Coats, Daniel",1943-05-16,male,sen,2015-01-06,IN,,Republican,http://www.coats.senate.gov,493 Russell Senate Office Building Washington DC 20510,202-224-5623,202-228-1820,112,ocd-division/country:us/state:in,C000542,00209,S212,402675,N00003845,53291,S0IN00053,6080,Dan Coats,11126,Dan Coats,1407,gIQAGGdaAP,14806,2013-01-03
C000880,Mike Crapo,https://theunitedstates.io/images/congress/original/C000880.jpg,Michael,Crapo,"Crapo, Michael",1951-05-20,male,sen,2015-01-06,ID,,Republican,http://www.crapo.senate.gov,239 Dirksen Senate Office Building Washington DC 20510,202-224-6142,202-228-1375,112,ocd-division/country:us/state:id,C000880,00250,S266,300030,N00006267,26830,S8ID00027,26440,Mike Crapo,11556,Mike Crapo,556,gIQA3hslDP,29345,2013-01-03
D000607,Joe Donnelly,https://theunitedstates.io/images/congress/original/D000607.jpg,Joe,Donnelly,"Donnelly, Joe",1955-09-28,male,sen,2015-01-06,IN,,Democrat,http://www.donnelly.senate.gov,720 Hart Senate Office Building Washington DC 20510,202-224-4814,202-225-6798,113,ocd-division/country:us/state:in,D000607,01850,S356,412205,N00026586,34212,H4IN02101,1012000,Joe Donnelly,12588,Joe Donnelly,691,gIQAM8hOAP,20717,2015-01-03
F000444,Jeff Flake,https://theunitedstates.io/images/congress/original/F000444.jpg,Jeff,Flake,"Flake, Jeff",1962-12-31,male,sen,2015-01-06,AZ,,Republican,http://www.flake.senate.gov,413 Russell Senate Office Building Washington DC 20510,202-224-4521,202-226-4386,113,ocd-division/country:us/state:az,F000444,01633,S358,400134,N00009573,28128,H0AZ01184,87582,Jeff Flake,13537,Jeff Flake,245,gIQAU2XIAP,20100,2015-01-03
G000562,Cory Gardner,https://theunitedstates.io/images/congress/original/G000562.jpg,Cory,Gardner,"Gardner, Cory",1974-08-22,male,sen,2015-01-06,CO,,Republican,http://www.gardner.senate.gov,354 Russell Senate Office Building Washington DC 20510,202-224-5941,,114,ocd-division/country:us/state:co,G000562,01998,S377,412406,N00030780,30004,H0CO04122,623308,Cory Gardner,14279,Cory Gardner,1418,gIQAAaFWKP,21112,2017-01-03
G000386,Chuck Grassley,https://theunitedstates.io/images/congress/original/G000386.jpg,Charles,Grassley,"Grassley, Charles",1933-09-17,male,sen,2015-01-06,IA,,Republican,http://www.grassley.senate.gov,135 Hart Senate Office Building Washington DC 20510,202-224-3744,202-224-6020,112,ocd-division/country:us/state:ia,G000386,00457,S153,300048,N00001758,53293,S0IA00028,1167,Chuck Grassley,14050,Chuck Grassley,570,gIQAxsWx9O,14226,2013-01-03
H001046,Martin Heinrich,https://theunitedstates.io/images/congress/original/H001046.jpg,Martin,Heinrich,"Heinrich, Martin",1971-10-17,male,sen,2015-01-06,NM,,Democrat,http://www.heinrich.senate.gov,303 Hart Senate Office Building Washington DC 20510,202-224-5521,202-225-4975,113,ocd-division/country:us/state:nm,H001046,01937,S359,412281,N00029835,74517,H8NM01224,1030686,Martin Heinrich,15588,Martin Heinrich,763,gIQAkCzTAP,20930,2015-01-03
H001042,Mazie K. Hirono,https://theunitedstates.io/images/congress/original/H001042.jpg,Mazie,Hirono,"Hirono, Mazie",1947-11-03,female,sen,2015-01-06,HI,,Democrat,http://www.hirono.senate.gov,330 Hart Senate Office Building Washington DC 20510,202-224-6361,202-225-4987,113,ocd-division/country:us/state:hi,H001042,01844,S361,412200,N00028139,1677,H6HI02251,91216,Mazie Hirono,15580,Mazie K. Hirono,687,gIQARL7UAP,20713,2015-01-03
H001061,John Hoeven,https://theunitedstates.io/images/congress/original/H001061.jpg,John,Hoeven,"Hoeven, John",1957-03-13,male,sen,2015-01-06,ND,,Republican,http://www.hoeven.senate.gov,338 Russell Senate Office Building Washington DC 20510,202-224-2551,202-224-7999,112,ocd-division/country:us/state:nd,H001061,02079,S344,412494,N00031688,41788,S0ND00093,85233,John Hoeven,,John Hoeven,1499,gIQA8Pwz6O,41107,2013-01-03
I000055,Johnny Isakson,https://theunitedstates.io/images/congress/original/I000055.jpg,John,Isakson,"Isakson, John",1944-12-28,male,sen,2015-01-06,GA,,Republican,http://www.isakson.senate.gov,131 Russell Senate Office Building Washington DC 20510,202-224-3643,202-228-0724,112,ocd-division/country:us/state:ga,I000055,01608,S305,400194,N00002593,1721,S6GA00119,59135,Johnny Isakson,15687,Johnny Isakson,298,gIQAkTA2DP,29909,2013-01-03
J000293,Ron Johnson,https://theunitedstates.io/images/congress/original/J000293.jpg,Ron,Johnson,"Johnson, Ron",1955-04-08,male,sen,2015-01-06,WI,,Republican,http://www.ronjohnson.senate.gov,328 Hart Senate Office Building Washington DC 20510,202-224-5323,920-230-7262,112,ocd-division/country:us/state:wi,J000293,02086,S345,412496,N00032546,126217,S0WI00197,62835,Ron Johnson (U.S. politician),,Ron Johnson (Wisconsin),1501,gIQAYIfTKP,41111,2013-01-03
