id,name__sw,name__en,name__de,name__fr,name,wikipedia__en,wikipedia__sw,gender,birth_date,original_wikiname,name__es,name__nb,name__da,name__nn,name__sv,name__eo,wikipedia__eo,wikipedia__simple,image,identifier__ISNI,identifier__VIAF,identifier__LCAuth,death_date,given_name,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pt,name__pl,name__hr,name__nl,name__zh,wikipedia__de,wikipedia__fr,wikipedia__hr,wikipedia__pl,wikipedia__pt,wikipedia__zh,identifier__SUDOC,identifier__freebase,identifier__NTA,name__id,name__ru,name__yo,wikipedia__id,wikipedia__ru,wikipedia__sv,wikipedia__yo,name__it,name__ca,name__oc,wikipedia__enwikiquote,wikipedia__es,twitter,name__mg,wikipedia__mg,website,name__tr,name__ro,name__fi,name__et,name__ja,name__el,name__sr,name__ko,wikipedia__da,wikipedia__el,wikipedia__et,wikipedia__fi,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__no,wikipedia__ro,wikipedia__sr,wikipedia__tr,wikipedia__commons
Q5645411,,Hamisi Andrea Kigwangalla,Hamisi Andrea Kigwangalla,,Hamisi Andrea Kigwangalla,Hamisi Kigwangalla,,male,1975-08-07,Hamisi Kigwangalla,,Hamisi Kigwangalla,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/38/Hamisi_Kigwangalla.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.hamisikigwangalla.com,,,,,,,,,,,,,,,,,,,,
Q5018704,Hussein Ali Mwinyi,Hussein Mwinyi,Hussein Mwinyi,Hussein Mwinyi,Hussein Mwinyi,Hussein Mwinyi,Hussein Ali Mwinyi,male,1966-12-23,Hussein Mwinyi,Hussein Mwinyi,Hussein Ali Mwinyi,Hussein Ali Mwinyi,Hussein Ali Mwinyi,Hussein Ali Mwinyi,,,,https://upload.wikimedia.org/wikipedia/commons/3/3a/Hussein_Mwinyi.jpg,,,,,Hussein,,,,,,,,,,,,Hussein Mwinyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1612942,January Makamba,January Makamba,January Makamba,January Makamba,January Makamba,January Makamba,January Makamba,male,1974-01-28,January Makamba,January Makamba,January Makamba,January Makamba,January Makamba,January Makamba,,,,https://upload.wikimedia.org/wikipedia/commons/d/d8/January_Makamba_2012.jpg,,,,,January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JMakamba,,,http://www.januarymakamba.com,,,,,,,,,,,,,,,,,,,,
Q16733187,,Joshua Nassari,Joshua Nassari,,Joshua Nassari,Joshua Nassari,,male,,Joshua Nassari,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/47/Joshua_Nassari.jpg,,,,,Joshua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5018728,Jumanne Abdallah Maghembe,Jumanne Maghembe,Jumanne Maghembe,,Jumanne Maghembe,Jumanne Maghembe,Jumanne Maghembe,male,,Jumanne Maghembe,Jumanne Maghembe,Jumanne Abdallah Maghembe,Jumanne Abdallah Maghembe,Jumanne Abdallah Maghembe,Jumanne Abdallah Maghembe,,,,https://upload.wikimedia.org/wikipedia/commons/1/1a/Jumanne_Maghembe.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6738666,,Makame Mbarawa,Makame Mbarawa,,Makame Mbarawa,Makame Mbarawa,,male,,Makame Mbarawa,Makame Mbarawa,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/90/Makame_Mbarawa_IAEA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q57693,Mizengo Kayanza Peter Pinda,Mizengo Pinda,Mizengo Pinda,Mizengo Pinda,Mizengo Pinda,Mizengo Pinda,Mizengo Kayanza Peter Pinda,male,1948-08-12,Mizengo Pinda,Mizengo Pinda,Mizengo Pinda,Mizengo Kayanza Peter Pinda,Mizengo Kayanza Peter Pinda,Mizengo Pinda,,,,"https://upload.wikimedia.org/wikipedia/commons/f/ff/Mizengo_Pinda,_Prime_Minister_of_Tanzania.jpg",,,,,,,,,,,,Mizengo Pinda,Mizengo Pinda,,Mizengo Pinda,米增戈·平达,Mizengo Pinda,Mizengo Pinda,,Mizengo Pinda,Mizengo Pinda,米增戈·平达,,/m/03nnyr6,,Mizengo Pinda,"Пинда, Мизенго",Mizengo Pinda,Mizengo Pinda,"Пинда, Мизенго",Mizengo Pinda,Mizengo Pinda,Mizengo Pinda,Mizengo Pinda,Mizengo Pinda,,Mizengo Pinda,,,,,Mizengo Pinda,Mizengo Pinda,Mizengo Pinda,Mizengo Pinda,ミゼンゴ・ピンダ,Μιζένγκο Πίντα,Мизенго Пинда,미젱고 핀다,Mizengo Pinda,Μιζένγκο Πίντα,Mizengo Pinda,Mizengo Pinda,Mizengo Pinda,ミゼンゴ・ピンダ,미젱고 핀다,Mizengo Pinda,Mizengo Pinda,Мизенго Пинда,Mizengo Pinda,
Q6893059,Mohammed Gulam Dewji,Mohammed Dewji,Mohammed Dewji,Mohammed Dewji,Mohammed Dewji,Mohammed Dewji,Mohammed Gulam Dewji,male,1975-05-08,Mohammed Dewji,Mohammed Dewji,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/52/Mohammed_dewji_2013-12-09_16-15.png,,,,,Mohammed,,,,,,,,,,Mohammed Dewji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16221420,,Moses Machali,Moses Machali,Moses Machali,Moses Machali,Moses Machali,,male,1981-08-09,Moses Machali,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/49/Moses_Machali.jpg,,,,,Moses,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moses Machali,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15101327,Mustafa Mkulo,Mustafa Mkulo,Mustafa Mkulo,Mustafa Mkulo,Mustafa Mkulo,Mustafa Mkulo,Mustafa Mkulo,male,1946-09-26,Mustafa Mkulo,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3a/Mustafa_Mkulo.jpg,,,,,Mustafa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7412646,Samwel Sitta,Samuel Sitta,Samuel Sitta,Samuel Sitta,Samuel Sitta,Samuel Sitta,Samuel John Sitta,male,1942-12-18,Samuel Sitta,Samuel Sitta,Samwel Sitta,Samwel Sitta,Samwel Sitta,Samwel Sitta,,,,https://upload.wikimedia.org/wikipedia/commons/f/ff/Samuel_Sitta.png,,,,,Samuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7504868,Shukuru Kawambwa,Shukuru Kawambwa,Shukuru Kawambwa,Shukuru Kawambwa,Shukuru Kawambwa,Shukuru Kawambwa,Shukuru Kawambwa,male,1957-12-15,Shukuru Kawambwa,Shukuru Kawambwa,Shukuru Kawambwa,Shukuru Kawambwa,Shukuru Kawambwa,Shukuru Kawambwa,,,,https://upload.wikimedia.org/wikipedia/commons/b/b3/Shukuru_Kawambwa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7563912,,Sospeter Muhongo,Sospeter Muhongo,Sospeter Muhongo,Sospeter Muhongo,Sospeter Muhongo,,male,1954-06-25,Sospeter Muhongo,Sospeter Muhongo,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/05/Sospeter_Muhongo_IAEA.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sospeter Muhongo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13124934,Stephen Masato Wassira,Stephen Wasira,Stephen Wasira,Stephen Wasira,Stephen Wasira,Stephen Wasira,Stephen Wasira,male,1945-01-01,Stephen Wasira,Stephen Wasira,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/69/Wasira_pic_2012.jpg,,,,,Stephen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8014785,William Vangimembe Lukuvi,William Lukuvi,William Lukuvi,William Lukuvi,William Lukuvi,William Lukuvi,William Lukuvi,male,1955-08-15,William Lukuvi,William Lukuvi,William Vangimembe Lukuvi,William Vangimembe Lukuvi,William Vangimembe Lukuvi,William Vangimembe Lukuvi,,,,https://upload.wikimedia.org/wikipedia/commons/c/c2/William_Lukuvi_cropped.png,,,,,William,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13125252,William Mganga Ngeleja,William Ngeleja,William Ngeleja,,William Ngeleja,William Ngeleja,William Ngeleja,male,1967-10-05,William Ngeleja,,William Ngeleja,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/53/William_Ngeleja.jpg,,,,,William,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Ngeleja,,,,
Q8065091,,Zakia Meghji,Zakia Meghji,Zakia Meghji,Zakia Meghji,Zakia Meghji,,female,1946-12-31,Zakia Meghji,Zakia Meghji,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/d/dd/Zakia_Meghji,_IMF_2007.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Zakia Meghji
Q11153384,Kabwe Zuberi Zitto,Zitto Kabwe,Zitto Kabwe,Zitto Kabwe,Zitto Kabwe,Zitto Kabwe,Kabwe Zuberi Zitto,male,1976-09-24,Zitto Kabwe,Zitto Kabwe,Kabwe Zuberi Zitto,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/49/Zitto_Kabwe_2011.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zittokabwe,,,,,,,,,,,,,,,,,,,Kabwe Zuberi Zitto,,,,
