id,name__fi,name,wikipedia__fi,name__sv,wikipedia__sv,name__en,wikipedia__en,image,gender,birth_date,identifier__freebase,given_name,website,identifier__ISNI,identifier__VIAF,identifier__LCAuth,identifier__EuroparlMEP,identifier__GND,identifier__BNF,identifier__IMDB,identifier__MusicBrainz,identifier__SELIBR,identifier__NTA,family_name,identifier__discogs,identifier__parlement,identifier__SUDOC,identifier__BIBSYS,identifier__Munzinger,twitter,facebook,death_date,identifier__IIAF,name__ru,name__fr,name__pl,name__nl,name__es,name__nb,name__da,name__nn,wikipedia__fr,wikipedia__pl,wikipedia__ru,name__it,name__de,name__et,name__lt,name__ca,name__uk,name__id,wikipedia__ca,wikipedia__es,wikipedia__et,wikipedia__id,wikipedia__lt,wikipedia__uk,name__en_ca,name__en_gb,wikipedia__commons,wikipedia__de,wikipedia__enwikiquote,wikipedia__fiwikiquote,name__io,name__ar,name__hu,wikipedia__ar,wikipedia__hu,wikipedia__io,wikipedia__no,name__tr,wikipedia__tr,name__sco,wikipedia__sco,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pt,name__eo,name__cs,name__fa,name__bg,name__zh,name__sk,wikipedia__bg,wikipedia__cs,wikipedia__da,wikipedia__eo,wikipedia__fa,wikipedia__it,wikipedia__pt,wikipedia__sk,wikipedia__zh,name__lv,wikipedia__lv,name__lb,name__he,name__ko,name__yo,name__ja,name__el,name__vi,name__sr,name__se,name__cy,name__os,name__be,name__pt_br,name__is,name__lmo,name__oc,name__la,wikipedia__be,wikipedia__cy,wikipedia__el,wikipedia__he,wikipedia__is,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__nl,wikipedia__os,wikipedia__plwikiquote,wikipedia__se,wikipedia__simple,wikipedia__sr,wikipedia__vi,wikipedia__yo,name__nan,name__eu,name__ie,name__ms,name__gl,name__sw,name__sh,name__sr_el,name__sr_ec,name__vep,name__nds,name__az,wikipedia__az,wikipedia__eu,wikipedia__gl,wikipedia__ie,wikipedia__ms,wikipedia__nds,wikipedia__oc,wikipedia__sh,wikipedia__sw,wikipedia__vep,wikipedia__zh_min_nan,name__hy,name__sl,name__hr,wikipedia__hr,wikipedia__hy,wikipedia__sl,name__ro,wikipedia__nn,wikipedia__ro,name__uz,name__de_ch,wikipedia__itwikiquote,wikipedia__uz,name__so,wikipedia__so,name__mg,wikipedia__mg,name__arz,name__ga,name__be_tarask,wikipedia__arz,wikipedia__be_x_old,wikipedia__ga,name__br,name__th,name__ilo,name__fo,name__ka,name__mr,wikipedia__br,wikipedia__fo,wikipedia__ilo,wikipedia__ka,wikipedia__mr,wikipedia__th,wikipedia__ukwikiquote,name__fy,wikipedia__fy,name__gsw
Q982339,Jörn Donner,Jörn Donner,Jörn Donner,Jörn Donner,Jörn Donner,Jörn Donner,Jörn Donner,https://upload.wikimedia.org/wikipedia/commons/4/40/Jörn_Donner2.jpg,male,1933-02-05,/m/03v2lz,Jörn,,0000 0001 0937 6344,114294067,n79004150,2297,11893161X,12096778m,nm0232807,6c046052-4696-4960-9567-5c96326e00cb,183959,070822352,,2379633,,029315506,,,,,,,"Доннер, Йорн",Jörn Donner,Jörn Donner,Jörn Donner,Jörn Donner,Jörn Donner,Jörn Donner,Jörn Donner,Jörn Donner,Jörn Donner,"Доннер, Йорн",,Jörn Donner,Jörn Donner,,,Йорн Доннер,,,,Jörn Donner,,,Йорн Доннер,,,Category:Jörn Donner,Jörn Donner,,,Jörn Donner,يورن دونر,Jörn Donner,يورن دونر,Jörn Donner,Jörn Donner,Jörn Donner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16980516,Katja Hänninen,Katja Hänninen,Katja Hänninen,,,Katja Hänninen,Katja Hänninen,,female,1980-01-26,,Katja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Katja Hänninen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3116526,Kike Elomaa,Kike Elomaa,Kike Elomaa,Kike Elomaa,Kike Elomaa,Kike Elomaa,Kike Elomaa,https://upload.wikimedia.org/wikipedia/commons/e/e1/Kike_Elomaa_Vihreillä_Niityillä.jpg,female,1955-07-25,/m/07ty5z,,,,,,,,,nm1620569,daaafda3-38eb-4e83-8cee-750d778b3894,,,,1134731,,,,,,,,,,Kike Elomaa,Kike Elomaa,Kike Elomaa,Kike Elomaa,Kike Elomaa,Kike Elomaa,Kike Elomaa,Kike Elomaa,Kike Elomaa,,,Kike Elomaa,Kike Elomaa,,,,,,,Kike Elomaa,,,,,,,,,,,,,,,,,Kike Elomaa,Kike Elomaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9023263,Lasse Hautala,Lasse Hautala,Lasse Hautala,,,Lasse Hautala,Lasse Hautala,https://upload.wikimedia.org/wikipedia/commons/e/e1/Lasse_Hautala_Seinäjoki_(cropped).jpg,male,1963-01-22,,Lasse,,,,,,,,,,,,Hautala,,,,,,,,,,,Lasse Hautala,,,,,,,,,,,Lasse Hautala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6501387,Lauri Heikkilä,Lauri Heikkilä,Lauri Heikkilä,,,Lauri Heikkilä,Lauri Heikkilä,,male,1957-06-24,,Lauri,,,,,,,,,,,,,,,,,,,,,,,Lauri Heikkilä,,Lauri Heikkilä,Lauri Heikkilä,,,,,,,,Lauri Heikkilä,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q596737,Lauri Ihalainen,Lauri Ihalainen,Lauri Ihalainen,Lauri Ihalainen,Lauri Ihalainen,Lauri Ihalainen,Lauri Ihalainen,https://upload.wikimedia.org/wikipedia/commons/0/0a/Lauri_Ihalainen_2.jpg,male,1947-05-14,/m/0vsjscr,Lauri,,,,,,,,,,,,,,,,,,,,,,"Ихалайнен, Лаури",Lauri Ihalainen,Lauri Ihalainen,Lauri Ihalainen,Lauri Ihalainen,,,,Lauri Ihalainen,Lauri Ihalainen,"Ихалайнен, Лаури",,Lauri Ihalainen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2334883,Maria Guzenina-Richardson,Maria Guzenina-Richardson,Maria Guzenina,Maria Guzenina-Richardson,Maria Guzenina-Richardson,Maria Guzenina-Richardson,Maria Guzenina-Richardson,https://upload.wikimedia.org/wikipedia/commons/a/a7/Maria_Guzenina-Richardson_A4.jpg,female,1969-01-12,/m/0dqg6v,Maria,,,,,,,,nm0349969,4ed89c5d-33ae-457e-a486-f6b85cfbacfe,,,,2379634,,,,,Guzenina,,,,"Гузенина-Ричардсон, Мария",Maria Guzenina-Richardson,Maria Guzenina-Richardson,Maria Guzenina-Richardson,Maria Guzenina-Richardson,,,,Maria Guzenina,Maria Guzenina,"Гузенина-Ричардсон, Мария",,,Maria Guzenina-Richardson,,,,,,,Maria Guzenina-Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6845608,Mikael Jungner,Mikael Jungner,Mikael Jungner,,,Mikael Jungner,Mikael Jungner,https://upload.wikimedia.org/wikipedia/commons/9/99/Mikael_Jungner.jpg,male,1965-04-20,,Mikael,,,,,,,,,,,,,,,,,,,,,,"Юнгнер, Микаэль",Mikael Jungner,,,Mikael Jungner,,,,,,"Юнгнер, Микаэль",,Mikael Jungner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4826119,Mikko Alatalo,Mikko Alatalo,Mikko Alatalo,Mikko Alatalo,Mikko Alatalo,Mikko Alatalo,Mikko Alatalo,https://upload.wikimedia.org/wikipedia/commons/b/b9/Mikkoalatalo12.JPG,male,1951-05-01,,Mikko,,,,,,,,nm0016090,bbfc5c53-a910-4d9d-a703-9198715279cd,,,,598075,,,,,,,,,,Mikko Alatalo,,Mikko Alatalo,Mikko Alatalo,,,,,,,,Mikko Alatalo,,,,,,,,,,,,,,,,,,,,,,,,,Mikko Alatalo,Mikko Alatalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5410024,Olli Immonen,Olli Immonen,Olli Immonen,Olli Immonen,Olli Immonen,Olli Immonen,Olli Immonen,,male,1986-02-18,,Olli,,,,,,,,,,,,,,,,,,,,,,"Иммонен, Олли",Olli Immonen,,,,,,,Olli Immonen,,"Иммонен, Олли",Olli Immonen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3735621,Outi Alanko-Kahiluoto,Outi Alanko-Kahiluoto,Outi Alanko-Kahiluoto,,,Outi Alanko-Kahiluoto,Outi Alanko-Kahiluoto,,female,1966-07-14,/m/02q2_81,Outi,,,,,,,,,,,,,,,,,,,,,,,Outi Alanko-Kahiluoto,,Outi Alanko-Kahiluoto,Outi Alanko-Kahiluoto,,,,,,,,Outi Alanko-Kahiluoto,Outi Alanko-Kahiluoto,,,,,,,Outi Alanko-Kahiluoto,,,,,,,,,,,,,,,,,Outi Alanko-Kahiluoto,Outi Alanko-Kahiluoto,Outi Alanko-Kahiluoto,Outi Alanko-Kahiluoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q657282,Paavo Arhinmäki,Paavo Arhinmäki,Paavo Arhinmäki,Paavo Arhinmäki,Paavo Arhinmäki,Paavo Arhinmäki,Paavo Arhinmäki,https://upload.wikimedia.org/wikipedia/commons/8/80/Paavo_arhinmaki_crop.jpg,male,1976-12-13,/m/05syvbn,Paavo,,,84370503,,,,,,,,,,,,,,,,,,,Пааво Архинмяки,Paavo Arhinmäki,Paavo Arhinmäki,Paavo Arhinmäki,Paavo Arhinmäki,,,,Paavo Arhinmäki,Paavo Arhinmäki,"Архинмяки, Пааво",,Paavo Arhinmäki,Paavo Arhinmäki,,,,,,Paavo Arhinmäki,Paavo Arhinmäki,,,,,,,Paavo Arhinmäki,,,,,,,,,,Paavo Arhinmäki,Paavo Arhinmäki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q317485,Pekka Haavisto,Pekka Haavisto,Pekka Haavisto,Pekka Haavisto,Pekka Haavisto,Pekka Haavisto,Pekka Haavisto,https://upload.wikimedia.org/wikipedia/commons/a/a4/Pekka_Haavisto.jpg,male,1958-03-23,/m/02q2z_g,Pekka,,,6203146,n79020502,,,,,,,,,,,,,,,,,,"Хаависто, Пекка",Pekka Haavisto,Pekka Haavisto,Pekka Haavisto,Pekka Haavisto,Pekka Haavisto,Pekka Haavisto,Pekka Haavisto,Pekka Haavisto,Pekka Haavisto,"Хаависто, Пекка",Pekka Haavisto,Pekka Haavisto,Pekka Haavisto,,,Пекка Гаавісто,,,Pekka Haavisto,Pekka Haavisto,,,Пекка Гаавісто,,,,Pekka Haavisto,Pekka Haavisto,Pekka Haavisto,,,,,,,Pekka Haavisto,,,Pekka Haavisto,Pekka Haavisto,佩卡·哈维斯托,佩卡·哈維斯托,佩卡·哈維斯托,佩卡·哈维斯托,佩卡·哈维斯托,佩卡·哈維斯托,Pekka Haavisto,Pekka Haavisto,Pekka Haavisto,پکا هاویستو,Пека Хаависто,佩卡·哈維斯托,Pekka Haavisto,Пека Хаависто,Pekka Haavisto,Pekka Haavisto,Pekka Haavisto,پکا هاویستو,Pekka Haavisto,Pekka Haavisto,Pekka Haavisto,佩卡·哈維斯托,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7192744,Pietari Jääskeläinen,Pietari Jääskeläinen,Pietari Jääskeläinen,,,Pietari Jääskeläinen,Pietari Jääskeläinen,,male,1947-06-20,,Pietari,,,,,,,,,,,,,,,,,,,,,,,Pietari Jääskeläinen,,,,,,,,,,,Pietari Jääskeläinen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16298985,Rakel Hiltunen,Rakel Hiltunen,Rakel Hiltunen,,,Rakel Hiltunen,Rakel Hiltunen,https://upload.wikimedia.org/wikipedia/commons/6/69/Rakel_Hiltunen.jpg,female,1940-07-02,,Rakel,,,,,,,,,,,,,,,,,,,,,,,Rakel Hiltunen,,,,,,,,,,,Rakel Hiltunen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11890401,Reijo Hongisto,Reijo Hongisto,Reijo Hongisto,,,Reijo Hongisto,Reijo Hongisto,,male,1962-04-16,,Reijo,,,,,,,,,,,,,,,,,,,,,,,Reijo Hongisto,,,,,,,,,,,Reijo Hongisto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5406165,Sanni Grahn-Laasonen,Sanni Grahn-Laasonen,Sanni Grahn-Laasonen,Sanni Grahn-Laasonen,Sanni Grahn-Laasonen,Sanni Grahn-Laasonen,Sanni Grahn-Laasonen,https://upload.wikimedia.org/wikipedia/commons/4/4c/Sanni_Grahn-Laasonen_2014.jpg,female,1983-05-04,,Sanni,,,,,,,,,,,,,,,,,,,,,,"Гран-Лаасонен, Санни",Sanni Grahn-Laasonen,Sanni Grahn-Laasonen,,,,,,Sanni Grahn-Laasonen,Sanni Grahn-Laasonen,,Sanni Grahn-Laasonen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
