id,birth_date,name,sort_name,family_name,given_name,image,source,term,party,party_id,start_date,end_date
mp_AlushAGashi,1950-10-04,Alush A. Gashi,A. Gashi Alush,A. Gashi,Alush,http://files.parldata.eu/kv/kuvendi/people/mp_AlushAGashi/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,394&secid=102&legid=2",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_ArsimBajrami,"",Arsim Bajrami,Bajrami Arsim,Bajrami,Arsim,http://files.parldata.eu/kv/kuvendi/people/mp_ArsimBajrami/image.3.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,690&secid=102&legid=4",chamber_2001-11-17,Grupi Parlamentar i PDK-së,parliamentary_group_2,2001-11-17,2004-11-23
mp_BajramKosumi,1960-03-20,Bajram Kosumi,Kosumi Bajram,Kosumi,Bajram,http://files.parldata.eu/kv/kuvendi/people/mp_BajramKosumi/image.3.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,605&secid=102&legid=3",chamber_2001-11-17,Grupi Parlamentar i AAK-së,parliamentary_group_3,2001-11-17,2004-11-23
mp_BajrushXhemaili,1956-05-11,Bajrush Xhemaili,Xhemaili Bajrush,Xhemaili,Bajrush,http://files.parldata.eu/kv/kuvendi/people/mp_BajrushXhemaili/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,450&secid=102&legid=2",chamber_2001-11-17,Grupi Parlamentar i PDK-së,parliamentary_group_2,2001-11-17,2004-11-23
mp_BedriSelmani,1960-07-25,Bedri Selmani,Selmani Bedri,Selmani,Bedri,http://files.parldata.eu/kv/kuvendi/people/mp_BedriSelmani/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,278&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i PDK-së,parliamentary_group_2,2001-11-17,2004-11-23
mp_BehxhetBrajshori,1958-08-11,Behxhet Brajshori,Brajshori Behxhet,Brajshori,Behxhet,http://files.parldata.eu/kv/kuvendi/people/mp_BehxhetBrajshori/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,415&secid=102&legid=2",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_BeratLuzha,1953-01-08,Berat Luzha,Luzha Berat,Luzha,Berat,http://files.parldata.eu/kv/kuvendi/people/mp_BeratLuzha/image.3.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,538&secid=102&legid=3",chamber_2001-11-17,Grupi Parlamentar i PDK-së,parliamentary_group_2,2001-11-17,2004-11-23
mp_BesaGaxherri,"",Besa Gaxherri,Gaxherri Besa,Gaxherri,Besa,http://files.parldata.eu/kv/kuvendi/people/mp_BesaGaxherri/image.4.jpeg,"http://www.kuvendikosoves.org/?cid=1,102,837",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_BislimHoti,1959-05-27,Bislim Hoti,Hoti Bislim,Hoti,Bislim,http://files.parldata.eu/kv/kuvendi/people/mp_BislimHoti/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,496&secid=102&legid=2",chamber_2001-11-17,Grupi Parlamentar i AAK-së,parliamentary_group_3,2001-11-17,2004-11-23
mp_BlerimBaruti,1960-08-05,Blerim Baruti,Baruti Blerim,Baruti,Blerim,http://files.parldata.eu/kv/kuvendi/people/mp_BlerimBaruti/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,154&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_BogoljubMiloEviæ,1956-04-09,Bogoljub Miloeviæ,Miloeviæ Bogoljub,Miloeviæ,Bogoljub,http://files.parldata.eu/kv/kuvendi/people/mp_BogoljubMilo%C2%9AEvi%C3%A6/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,340&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i KP-së,parliamentary_group_4,2001-11-17,2004-11-23
mp_BujarDugolli,1969-10-30,Bujar Dugolli,Dugolli Bujar,Dugolli,Bujar,http://files.parldata.eu/kv/kuvendi/people/mp_BujarDugolli/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,607&secid=102&legid=3",chamber_2001-11-17,Grupi Parlamentar i AAK-së,parliamentary_group_3,2001-11-17,2004-11-23
mp_CvetaVujaèiæ,1951-03-26,Cveta Vujaèiæ,Vujaèiæ Cveta,Vujaèiæ,Cveta,http://files.parldata.eu/kv/kuvendi/people/mp_CvetaVuja%C3%A8i%C3%A6/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,343&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i KP-së,parliamentary_group_4,2001-11-17,2004-11-23
mp_DejanMitiæ,1967-02-18,Dejan Mitiæ,Mitiæ Dejan,Mitiæ,Dejan,http://files.parldata.eu/kv/kuvendi/people/mp_DejanMiti%C3%A6/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,345&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i KP-së,parliamentary_group_4,2001-11-17,2004-11-23
mp_DragiAKrstoviæ,"",Dragia Krstoviæ,Krstoviæ Dragia,Krstoviæ,Dragia,http://files.parldata.eu/kv/kuvendi/people/mp_Dragi%C2%9AAKrstovi%C3%A6/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,350&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i KP-së,parliamentary_group_4,2001-11-17,2004-11-23
mp_DritaStatovci,1945-04-14,Drita Statovci,Statovci Drita,Statovci,Drita,http://files.parldata.eu/kv/kuvendi/people/mp_DritaStatovci/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,448&secid=102&legid=2",chamber_2001-11-17,Grupi Parlamentar i PDK-së,parliamentary_group_2,2001-11-17,2004-11-23
mp_DritonLajçi,1971-11-15,Driton Lajçi,Lajçi Driton,Lajçi,Driton,http://files.parldata.eu/kv/kuvendi/people/mp_DritonLaj%C3%A7i/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,275&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i PDK-së,parliamentary_group_2,2001-11-17,2004-11-23
mp_DEzairMurati,1948-06-02,Dezair Murati,Murati Dezair,Murati,Dezair,http://files.parldata.eu/kv/kuvendi/people/mp_D%C2%9EEzairMurati/image.3.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,619&secid=102&legid=3",chamber_2001-11-17,Grupi Parlamentar 'Komunitetet tjera',parliamentary_group_5,2001-11-17,2004-11-23
mp_EdiShukriu,"",Edi Shukriu,Shukriu Edi,Shukriu,Edi,http://files.parldata.eu/kv/kuvendi/people/mp_EdiShukriu/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,116&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_EditaTahiri,"",Edita Tahiri,Tahiri Edita,Tahiri,Edita,http://files.parldata.eu/kv/kuvendi/people/mp_EditaTahiri/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,525&secid=102&legid=3",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_EminKrasniqi,1957-07-15,Emin Krasniqi,Krasniqi Emin,Krasniqi,Emin,http://files.parldata.eu/kv/kuvendi/people/mp_EminKrasniqi/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,459&secid=102&legid=2",chamber_2001-11-17,Grupi Parlamentar i PDK-së,parliamentary_group_2,2001-11-17,2004-11-23
mp_EsadDauti,1937-06-05,Esad Dauti,Dauti Esad,Dauti,Esad,http://files.parldata.eu/kv/kuvendi/people/mp_EsadDauti/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,153&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_ExhlaleSalihu,1949-12-01,Exhlale Salihu,Salihu Exhlale,Salihu,Exhlale,http://files.parldata.eu/kv/kuvendi/people/mp_ExhlaleSalihu/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,267&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i PDK-së,parliamentary_group_2,2001-11-17,2004-11-23
mp_FadilGeci,1961-03-19,Fadil Geci,Geci Fadil,Geci,Fadil,http://files.parldata.eu/kv/kuvendi/people/mp_FadilGeci/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,400&secid=102&legid=2",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_FadilKryeziu,1965-11-25,Fadil Kryeziu,Kryeziu Fadil,Kryeziu,Fadil,http://files.parldata.eu/kv/kuvendi/people/mp_FadilKryeziu/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,399&secid=102&legid=2",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_FaikMarolli,1939-04-15,Faik Marolli,Marolli Faik,Marolli,Faik,http://files.parldata.eu/kv/kuvendi/people/mp_FaikMarolli/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,369&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar 'Komunitetet tjera',parliamentary_group_5,2001-11-17,2004-11-23
mp_FatmirLimaj,"",Fatmir Limaj,Limaj Fatmir,Limaj,Fatmir,http://files.parldata.eu/kv/kuvendi/people/mp_FatmirLimaj/image.3.jpeg,"http://www.kuvendikosoves.org/?cid=1,102,853",chamber_2001-11-17,Grupi Parlamentar i PDK-së,parliamentary_group_2,2001-11-17,2004-11-23
mp_FatmirRexhepi,"",Fatmir Rexhepi,Rexhepi Fatmir,Rexhepi,Fatmir,http://files.parldata.eu/kv/kuvendi/people/mp_FatmirRexhepi/image.4.jpeg,"http://www.kuvendikosoves.org/?cid=1,102,829",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_FatmirSejdiu,1951-10-23,Fatmir Sejdiu,Sejdiu Fatmir,Sejdiu,Fatmir,http://files.parldata.eu/kv/kuvendi/people/mp_FatmirSejdiu/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,117&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_FetijeKëpuska,1955-01-25,Fetije Këpuska,Këpuska Fetije,Këpuska,Fetije,http://files.parldata.eu/kv/kuvendi/people/mp_FetijeK%C3%ABpuska/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,119&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_FloraBrovina,"",Flora Brovina,Brovina Flora,Brovina,Flora,http://files.parldata.eu/kv/kuvendi/people/mp_FloraBrovina/image.5.jpeg,"http://www.kuvendikosoves.org/?cid=1,102,894",chamber_2001-11-17,Grupi Parlamentar i PDK-së,parliamentary_group_2,2001-11-17,2004-11-23
mp_GaniKoci,1958-06-20,Gani Koci,Koci Gani,Koci,Gani,http://files.parldata.eu/kv/kuvendi/people/mp_GaniKoci/image.3.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,536&secid=102&legid=3",chamber_2001-11-17,Grupi Parlamentar i PDK-së,parliamentary_group_2,2001-11-17,2004-11-23
mp_GaniPrekopuca,1948-06-10,Gani Prekopuca,Prekopuca Gani,Prekopuca,Gani,http://files.parldata.eu/kv/kuvendi/people/mp_GaniPrekopuca/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,143&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_GaniSadik,1945-09-21,Gani Sadik,Sadik Gani,Sadik,Gani,http://files.parldata.eu/kv/kuvendi/people/mp_GaniSadik/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,363&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar 'Komunitetet tjera',parliamentary_group_5,2001-11-17,2004-11-23
mp_GjylshenBerisha,1957-04-14,Gjylshen Berisha,Berisha Gjylshen,Berisha,Gjylshen,http://files.parldata.eu/kv/kuvendi/people/mp_GjylshenBerisha/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,410&secid=102&legid=2",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_GojkoSavić,1950-03-16,Gojko Savić,Savić Gojko,Savić,Gojko,http://files.parldata.eu/kv/kuvendi/people/mp_GojkoSavi%C4%87/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,480&secid=102&legid=2",chamber_2001-11-17,Grupi Parlamentar i KP-së,parliamentary_group_4,2001-11-17,2004-11-23
mp_GoranLazoviæ,"",Goran Lazoviæ,Lazoviæ Goran,Lazoviæ,Goran,http://files.parldata.eu/kv/kuvendi/people/mp_GoranLazovi%C3%A6/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,332&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i KP-së,parliamentary_group_4,2001-11-17,2004-11-23
mp_HajredinKuçi,1971-01-02,Hajredin Kuçi,Kuçi Hajredin,Kuçi,Hajredin,http://files.parldata.eu/kv/kuvendi/people/mp_HajredinKu%C3%A7i/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,438&secid=102&legid=2",chamber_2001-11-17,Grupi Parlamentar i PDK-së,parliamentary_group_2,2001-11-17,2004-11-23
mp_HakiShatri,"",Haki Shatri,Shatri Haki,Shatri,Haki,http://files.parldata.eu/kv/kuvendi/people/mp_HakiShatri/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,564&secid=102&legid=3",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_HalilAhmeti,1956-06-24,Halil Ahmeti,Ahmeti Halil,Ahmeti,Halil,http://files.parldata.eu/kv/kuvendi/people/mp_HalilAhmeti/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,150&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_HasanMeta,1945-10-16,Hasan Meta,Meta Hasan,Meta,Hasan,http://files.parldata.eu/kv/kuvendi/people/mp_HasanMeta/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,372&secid=102&legid=1",chamber_2001-11-17,Pa grup,parliamentary_group_6,2001-11-17,2004-11-23
mp_HashimThaçi,1968-04-24,Hashim Thaçi,Thaçi Hashim,Thaçi,Hashim,http://files.parldata.eu/kv/kuvendi/people/mp_HashimTha%C3%A7i/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,434&secid=102&legid=2",chamber_2001-11-17,Grupi Parlamentar i PDK-së,parliamentary_group_2,2001-11-17,2004-11-23
mp_HatixheMusliHoxha,"",Hatixhe Musli Hoxha,Musli Hoxha Hatixhe,Musli Hoxha,Hatixhe,http://files.parldata.eu/kv/kuvendi/people/mp_HatixheMusliHoxha/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,270&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i PDK-së,parliamentary_group_2,2001-11-17,2004-11-23
mp_HilmoKandiæ,1959-09-01,Hilmo Kandiæ,Kandiæ Hilmo,Kandiæ,Hilmo,http://files.parldata.eu/kv/kuvendi/people/mp_HilmoKandi%C3%A6/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,370&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar 'Komunitetet tjera',parliamentary_group_5,2001-11-17,2004-11-23
mp_HydajetHyseni,"",Hydajet Hyseni,Hyseni Hydajet,Hyseni,Hydajet,http://files.parldata.eu/kv/kuvendi/people/mp_HydajetHyseni/image.4.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,708&secid=102&legid=4",chamber_2001-11-17,Grupi Parlamentar i PDK-së,parliamentary_group_2,2001-11-17,2004-11-23
mp_IbushJonuzi,1950-01-28,Ibush Jonuzi,Jonuzi Ibush,Jonuzi,Ibush,http://files.parldata.eu/kv/kuvendi/people/mp_IbushJonuzi/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,412&secid=102&legid=2",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_IlazPireva,1945-11-05,Ilaz Pireva,Pireva Ilaz,Pireva,Ilaz,http://files.parldata.eu/kv/kuvendi/people/mp_IlazPireva/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,409&secid=102&legid=2",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_IlmiAhmeti,1961-09-10,Ilmi Ahmeti,Ahmeti Ilmi,Ahmeti,Ilmi,"","http://www.kuvendikosoves.org/?cid=1,158,514&secid=102&legid=2",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_IsmajlKurteshi,"",Ismajl Kurteshi,Kurteshi Ismajl,Kurteshi,Ismajl,http://files.parldata.eu/kv/kuvendi/people/mp_IsmajlKurteshi/image.3.jpeg,"http://www.kuvendikosoves.org/?cid=1,102,900",chamber_2001-11-17,Grupi Parlamentar i PDK-së,parliamentary_group_2,2001-11-17,2004-11-23
mp_IvanaMarkoviæ,1978-07-19,Ivana Markoviæ,Markoviæ Ivana,Markoviæ,Ivana,http://files.parldata.eu/kv/kuvendi/people/mp_IvanaMarkovi%C3%A6/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,346&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i KP-së,parliamentary_group_4,2001-11-17,2004-11-23
mp_JusufSutaj,"",Jusuf Sutaj,Sutaj Jusuf,Sutaj,Jusuf,http://files.parldata.eu/kv/kuvendi/people/mp_JusufSutaj/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,433&secid=102&legid=2",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_KolëBerisha,"",Kolë Berisha,Berisha Kolë,Berisha,Kolë,http://files.parldata.eu/kv/kuvendi/people/mp_Kol%C3%ABBerisha/image.3.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,559&secid=102&legid=3",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_LirakÇelaj,1973-03-26,Lirak Çelaj,Çelaj Lirak,Çelaj,Lirak,http://files.parldata.eu/kv/kuvendi/people/mp_Lirak%C3%87elaj/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,274&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i PDK-së,parliamentary_group_2,2001-11-17,2004-11-23
mp_LjiljanaKeniæ,1964-02-24,Ljiljana Keniæ,Keniæ Ljiljana,Keniæ,Ljiljana,http://files.parldata.eu/kv/kuvendi/people/mp_LjiljanaKeni%C3%A6/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,335&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i KP-së,parliamentary_group_4,2001-11-17,2004-11-23
mp_LjubomirStanojkoviæ,1962-01-17,Ljubomir Stanojkoviæ,Stanojkoviæ Ljubomir,Stanojkoviæ,Ljubomir,http://files.parldata.eu/kv/kuvendi/people/mp_LjubomirStanojkovi%C3%A6/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,348&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i KP-së,parliamentary_group_4,2001-11-17,2004-11-23
mp_LulzimZeneli,"",Lulzim Zeneli,Zeneli Lulzim,Zeneli,Lulzim,http://files.parldata.eu/kv/kuvendi/people/mp_LulzimZeneli/image.3.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,597&secid=102&legid=3",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_MahirYağcılar,"",Mahir Yağcılar,Yağcılar Mahir,Yağcılar,Mahir,http://files.parldata.eu/kv/kuvendi/people/mp_MahirYa%C4%9Fc%C4%B1lar/image.3.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,613&secid=102&legid=3",chamber_2001-11-17,Grupi Parlamentar 'Komunitetet tjera',parliamentary_group_5,2001-11-17,2004-11-23
mp_MahmutBakalli,1936-01-19,Mahmut Bakalli,Bakalli Mahmut,Bakalli,Mahmut,http://files.parldata.eu/kv/kuvendi/people/mp_MahmutBakalli/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,357&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i AAK-së,parliamentary_group_3,2001-11-17,2004-11-23
mp_MarkKrasniqi,"",Mark Krasniqi,Krasniqi Mark,Krasniqi,Mark,http://files.parldata.eu/kv/kuvendi/people/mp_MarkKrasniqi/image.3.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,593&secid=102&legid=3",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_MehdiBardhi,1943-11-03,Mehdi Bardhi,Bardhi Mehdi,Bardhi,Mehdi,http://files.parldata.eu/kv/kuvendi/people/mp_MehdiBardhi/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,158&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_MehmetNeziri,1952-10-21,Mehmet Neziri,Neziri Mehmet,Neziri,Mehmet,http://files.parldata.eu/kv/kuvendi/people/mp_MehmetNeziri/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,148&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_MelihateTërmkolli,"",Melihate Tërmkolli,Tërmkolli Melihate,Tërmkolli,Melihate,http://files.parldata.eu/kv/kuvendi/people/mp_MelihateT%C3%ABrmkolli/image.4.jpeg,"http://www.kuvendikosoves.org/?cid=1,102,852",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_MevlydeSaraçi,1954-12-15,Mevlyde Saraçi,Saraçi Mevlyde,Saraçi,Mevlyde,http://files.parldata.eu/kv/kuvendi/people/mp_MevlydeSara%C3%A7i/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,141&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_MilovanJovanoviæ,1959-01-23,Milovan Jovanoviæ,Jovanoviæ Milovan,Jovanoviæ,Milovan,http://files.parldata.eu/kv/kuvendi/people/mp_MilovanJovanovi%C3%A6/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,337&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i KP-së,parliamentary_group_4,2001-11-17,2004-11-23
mp_MomèiloSaviæ,1962-04-24,Momèilo Saviæ,Saviæ Momèilo,Saviæ,Momèilo,http://files.parldata.eu/kv/kuvendi/people/mp_Mom%C3%A8iloSavi%C3%A6/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,334&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar i KP-së,parliamentary_group_4,2001-11-17,2004-11-23
mp_MuhametKelmendi,1950-11-18,Muhamet Kelmendi,Kelmendi Muhamet,Kelmendi,Muhamet,http://files.parldata.eu/kv/kuvendi/people/mp_MuhametKelmendi/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,384&secid=102&legid=1",chamber_2001-11-17,Pa grup,parliamentary_group_6,2001-11-17,2004-11-23
mp_NafijeBerisha,1958-10-10,Nafije Berisha,Berisha Nafije,Berisha,Nafije,http://files.parldata.eu/kv/kuvendi/people/mp_NafijeBerisha/image.2.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,413&secid=102&legid=2",chamber_2001-11-17,Grupi Parlamentar i LDK-së,parliamentary_group_1,2001-11-17,2004-11-23
mp_NafiyeGaş,1971-11-02,Nafiye Gaş,Gaş Nafiye,Gaş,Nafiye,http://files.parldata.eu/kv/kuvendi/people/mp_NafiyeGa%C5%9F/image.jpeg,"http://www.kuvendikosoves.org/?cid=1,158,364&secid=102&legid=1",chamber_2001-11-17,Grupi Parlamentar 'Komunitetet tjera',parliamentary_group_5,2001-11-17,2004-11-23
