id,name,name__ar,email,photo,term
12580,YAQOB ALI SAEED KHALAF ALNAQBI,د. يعقوب علي سعيد خلف النقبي,y.alnaqbi@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/b0ecb75b-e3a8-4a08-97fc-4fc994e48185.jpg,2011
12535,SHAIKHA ESSA GHANIM AL ARAI AL ALI,د.شيخة عيسى غانم عيسى العري,s.eissa@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/982547ef-f3ea-4f4e-b8e7-742fd02575ce.jpg,2011
12505,MOHAMMED MUSALLEM SALEH BIN H. ALAMERI,د.محمد مسلم سالم بن حم العامري,m.b.alameri@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/5db93290-20c5-49af-9d54-ae1c227b50f4.jpg,2011
9836,RASHED MOHAMMED K ALSHERAIQI,راشد محمد خلفان الشريقي,r.alshuraiqi@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/4f4503c7-9a09-4df6-b381-d2cfcc529bab.jpg,2011
12503,RASHAD MOHAMMED MOHAMMED SHARIF BUKHASH,رشاد محمد محمد شريف بوخش,r.bukhash@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/d5c90f41-2ea4-407f-bcb4-b4233c94b225.jpg,2011
12502,SALEM MOHAMMED HAMAD BAL RAKKAD AL AMERI,سالم محمد حمد بالركاض العامري,s.alameri@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/7fbd38c8-89e4-483f-963c-a38a825bbdbf.jpg,2011
12570,SALIM MOHAMED ALI SAEED HUWAIDIN BANICHETB,سالم محمد علي سعيد بني جتب,s.huwaidin@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/3c6d7e75-8102-4d5b-a9b4-c123d35c199e.jpg,2011
12513,SAEED NASER MOHAMMED O.ALKHATRI,سعيد ناصر محمد عبيد الخاطري,s.alkhatri@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/7e8849cb-63f6-48be-8ec7-11cb377cb1a5.jpg,2011
12512,SULTAN SAIF SULTAN SAEED MUKASSAH SAMAHI,سلطان سيف سلطان سعيد السماحي,s.samahi@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/3353d0b4-d1b6-45a4-b2e6-098c3d5396c1.jpg,2011
12564,SULTAN JUMA ALI SULTAN ALSHAMSI,سلطان جمعة علي سلطان الشامسي,s.alshamsi@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/12368a90-18c2-4de7-a69a-3189dd8e353b.jpg,2011
12573,SULTAN RASHED SAEED ALDHAHERI,سلطان راشد سعيد الظاهري,s.aldahri@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/42238c77-0ef1-4e86-a2eb-d4317bbae2e0.jpg,2011
12585,AISHAH AHMED MOHAMED ALYAMMAHI,عائشة أحمد محمد اليماحي,a.alyamahi@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/3ca43642-dcdc-48ea-a3ef-8cb51bd71a6d.jpg,2011
12581,ABDULAZIZ ABDULLA SALEM J.ALZAABI,عبدالعزيز عبدالله سالم جاسم الزعابي,a.alzaabi@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/7007a4b8-1d8f-4a7a-a099-facd3852fee1.jpg,2011
12563,OBAID HASSAN HUMAID KHALFAN RAKAD AL ALI,عبيد حسن حميد بن ركاض آل علي,o.rakad@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/438c42f9-af8e-4f38-8264-2a6f7a8fbcae.jpg,2011
12575,AFRA RASHED EID ALBASTI,عفراء راشد عيد البسطي,a.albasti@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/fdbfc377-d752-4ec2-907d-b93f6effb416.jpg,2011
9875,Ali Jassim Ahmed,علي جاسم أحمد جاسم,a.ahmad@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/85c99697-4523-4a14-8978-5d41b6b8258f.jpg,2011
12583,ALI EISSA KHALFAN ALSHAQOOSH ALNUAIMI,علي عيسى خلفان الشاقوش النعيمي,a.alnuaimi@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/b489deb6-0f5a-4ec8-a991-9323a6990199.jpg,2011
12597,GHAREEB AHMED GHAREEB H.AL SERAIDY,غريب أحمد غريب هويشل الصريدي,g.alsuraidi@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/0036a8dd-e929-47db-a955-0dadc480f62a.jpg,2011
12566,FAISAL ABDULLA AHMED A.JUMAH,فيصل عبدالله أحمد عبدالله الطنيجي,f.altenaiji@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/ac6d338f-0657-4e2d-b2b3-1e4aa07715c4.jpg,2011
12576,MOHAMMED AHMED MOHD ALMURR,محمد أحمد محمد المر (رئيس المجلس الوطنى الاتحادى ),m.almurr@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/3c1d0dd4-007a-4b54-9ce7-ba23e1cde682.jpg,2011
12561,MOHAMED BUTTI SALEM MOUSA ALQUBAISI,محمد بطي سالم موسى القبيسي,m.alqubaisi@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/8e50972e-cd24-4b7d-8eeb-e2e6781241b8.jpg,2011
12586,MOHAMMED SAEED MOHAMMED A. ALRAQBANI,محمد سعيد محمد عبدالله الرقباني,m.alraqbani@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/320ac986-2eb7-4612-8a52-524dbee01953.jpg,2011
12562,MARWAN AHMED ALI BIN GHALITA ALMUHAIRI,مروان أحمد علي بن غليطة المهيري,m.binghalita@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/39187d06-4664-4ddc-9b6c-8f0fde30764b.jpg,2011
12519,MUSABEH SAEED ALI HARIB BALEJAID ALKITBI,مصبح سعيد علي حارب الكتبي,m.alkitbi@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/6ebd3aef-07ce-499d-b95f-b67b2c2b1957.jpg,2011
12574,NOURA MOHAMED HELAL SOROOR ALKAABI,نورة محمد هلال سرور الكعبي,n.alkaabi@almajles.gov.ae,https://www.almajles.gov.ae/Pages/download.aspx?FileUrl=http://epar:808/Lists/Document Attachments/c690482e-e929-4d94-b01f-75518d40036f.JPG,2011
