name,wikiname,area,area_id,group,term,source,end_date,start_date,replaced,id,name__en,wikipedia__en,image,gender,birth_date,identifier__freebase,given_name,death_date
Enele Sopoaga,Enele Sopoaga,Nukufetau,ocd-division/country:tv/constituency:nukufetau,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,Q330640,Enele Sopoaga,Enele Sopoaga,,male,1956-02-10,/m/0ddbw5v,,
Lotoala Metia,Lotoala Metia,Nukufetau,ocd-division/country:tv/constituency:nukufetau,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",2013-06-28,,,Q2378838,Lotoala Metia,Lotoala Metia,,male,,,,2012-12-21
Elisala Pita,Elisala Pita,Nukufetau,ocd-division/country:tv/constituency:nukufetau,Independent,10,https://en.wikipedia.org/wiki/List_of_by-elections_in_Tuvalu,,2013-06-28,Lotoala Metia,Q15968283,Elisala Pita,Elisala Pita,,male,,,,
Namoliki Sualiki,Namoliki Sualiki,Nukulaelae,ocd-division/country:tv/constituency:nukulaelae,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,Q6961984,Namoliki Sualiki,Namoliki Sualiki,,male,,,,
Apisai Ielemia,Apisai Ielemia,Vaitupu,ocd-division/country:tv/constituency:vaitupu,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,Q316267,Apisai Ielemia,Apisai Ielemia,https://upload.wikimedia.org/wikipedia/commons/f/f2/Apisai_Ielemia_cropped.jpg,male,1955-08-19,/m/0g633_,Apisai,
Taukelina Finikaso,Taukelina Finikaso,Vaitupu,ocd-division/country:tv/constituency:vaitupu,Independent,10,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2010",,,,Q7688699,Taukelina Finikaso,Taukelina Finikaso,,male,,,,
Kausea Natano,Kausea Natano,Funafuti,ocd-division/country:tv/constituency:funafuti,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q6378927,Kausea Natano,Kausea Natano,,male,,,,
Kamuta Latasi,Kamuta Latasi,Funafuti,ocd-division/country:tv/constituency:funafuti,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q739504,Kamuta Latasi,Kamuta Latasi,,male,1936-01-01,/m/0c8dkz,,
Otinielu Tausi,Otinielu Tausi,Nanumaga,ocd-division/country:tv/constituency:nanumaga,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q7108741,Otinielu Tausi,Otinielu Tausi,,male,,,,
Falesa Pitoi,Falesa Pitoi,Nanumaga,ocd-division/country:tv/constituency:nanumaga,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q2377016,Falesa Pitoi,Falesa Pitoi,,male,,,,
Maatia Toafa,Maatia Toafa,Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q287513,Maatia Toafa,Maatia Toafa,,male,1954-05-01,/m/03s66y,,
Willy Telavi,Willy Telavi,Nanumea,ocd-division/country:tv/constituency:nanumea,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q561559,Willy Telavi,Willy Telavi,https://upload.wikimedia.org/wikipedia/commons/1/15/WillyTevali.jpg,male,1954-01-28,/m/03h1dtd,Willy,
Tavau Teii,Tavau Teii,Niutao,ocd-division/country:tv/constituency:niutao,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q7689043,Tavau Teii,Tavau Teii,,male,,,,
Tomu Sione,Tomu Sione,Niutao,ocd-division/country:tv/constituency:niutao,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q923836,Tomu Sione,Tomu Sione,,male,1941-11-17,/m/0bfywd,,
Alesana Seluka,Alesana Seluka,Nui,ocd-division/country:tv/constituency:nui,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,,,,,,,,,
Iakoba Italeli,Iakoba Italeli,Nui,ocd-division/country:tv/constituency:nui,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q3147210,Iakoba Italeli,Iakoba Italeli,,male,2000-01-01,/m/03h1dy5,,
Lotoala Metia,Lotoala Metia,Nukufetau,ocd-division/country:tv/constituency:nukufetau,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q2378838,Lotoala Metia,Lotoala Metia,,male,,,,2012-12-21
Elisala Pita,Elisala Pita,Nukufetau,ocd-division/country:tv/constituency:nukufetau,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q15968283,Elisala Pita,Elisala Pita,,male,,,,
Namoliki Sualiki,Namoliki Sualiki,Nukulaelae,ocd-division/country:tv/constituency:nukulaelae,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q6961984,Namoliki Sualiki,Namoliki Sualiki,,male,,,,
Apisai Ielemia,Apisai Ielemia,Vaitupu,ocd-division/country:tv/constituency:vaitupu,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q316267,Apisai Ielemia,Apisai Ielemia,https://upload.wikimedia.org/wikipedia/commons/f/f2/Apisai_Ielemia_cropped.jpg,male,1955-08-19,/m/0g633_,Apisai,
Taukelina Finikaso,Taukelina Finikaso,Vaitupu,ocd-division/country:tv/constituency:vaitupu,Independent,9,"https://en.wikipedia.org/wiki/Tuvaluan_general_election,_2006",,,,Q7688699,Taukelina Finikaso,Taukelina Finikaso,,male,,,,
