id,name,group,party_wikipedia,area,term,identifier__wikipedia_fo,source,name__fo,wikipedia__fo,name__da,wikipedia__da,name__en,wikipedia__en,gender,birth_date,given_name,image,identifier__freebase,death_date,identifier__viaf,identifier__gnd,identifier__lcauth,identifier__isni,identifier__bnf,website,name__hu,name__nb,name__de,wikipedia__hu,wikipedia__no,name__es,name__sv,name__pl,name__nl,name__fr,wikipedia__commons,wikipedia__de,wikipedia__es,wikipedia__pl,wikipedia__sv,name__is,name__nds,wikipedia__fr,wikipedia__is,name__eo,name__ru,name__fi,name__it,name__id,name__nn,name__cs,name__el,name__gv,name__zh,wikipedia__cs,wikipedia__el,wikipedia__eo,wikipedia__fi,wikipedia__gv,wikipedia__id,wikipedia__it,wikipedia__nl,wikipedia__nn,wikipedia__ru,wikipedia__zh,name__ja,wikipedia__ja,name__tr,name__os,name__sh,name__az,name__ca,name__lt,name__mg,wikipedia__az,wikipedia__ca,wikipedia__lt,wikipedia__mg,wikipedia__os,wikipedia__sh,wikipedia__tr,identifier__wikidata
svend_aage_ellefsen,Svend Aage Ellefsen,Fólkaflokkurin,Fólkaflokkurin,Vágar,1990,Svend Aage Ellefsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Svend Aage Ellefsen,Svend Aage Ellefsen,Svend Aage Ellefsen,Svend Aage Ellefsen,,,male,1941-09-13,Svend,,,,,,,,,,,Svend Aage Ellefsen,,,Svend Aage Ellefsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q11000213
heini_o._heinesen,Heini O. Heinesen,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Norðoyar,1990,Heini O. Heinesen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finnbogi_Ísakson,Finnbogi Ísakson,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Suðurstreymoy,1990,Finnbogi Ísakson,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Finnbogi Ísakson,Finnbogi Ísakson,Finnbogi Ísakson,Finnbogi Ísakson,Finnbogi Ísakson,,male,1943-02-07,,,,2005-09-07,308740562,1051917034,,,,,,Finnbogi Ísakson,Finnbogi Ísakson,,Finnbogi Ísakson,Finnbogi Ísakson,,,Finnbogi Ísakson,Finnbogi Ísakson,,Finnbogi Ísakson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1417695
asbjørn_joensen,Asbjørn Joensen,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Norðoyar,1990,Asbjørn Joensen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Asbjørn Joensen,Asbjørn Joensen,Asbjørn Joensen,Asbjørn Joensen,,,male,1927-07-11,Asbjørn,,,1993-10-21,,,,,,,,Asbjørn Joensen,,,Asbjørn Joensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q10963463
edmund_joensen,Edmund Joensen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,1990,Edmund Joensen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,male,1944-09-19,Edmund,https://upload.wikimedia.org/wikipedia/commons/6/63/Edmund_Joensen.JPG,/m/04n5gw7,,,,,,,,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Category:Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q678236
vilhelm_johannesen,Vilhelm Johannesen,Javnaðarflokkurin,Javnaðarflokkurin,Norðoyar,1990,Vilhelm Johannesen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Vilhelm Johannesen,Vilhelm Johannesen,Vilhelm Johannesen,Vilhelm Johannesen,,,male,1942-08-04,Vilhelm,,,,173246720,,,,,,Vilhelm Johannesen,Vilhelm Johannesen,,Vilhelm Johannesen,Vilhelm Johannesen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1414299
jógvan_a._johannessen,Jógvan A. Johannessen,Javnaðarflokkurin,Javnaðarflokkurin,Sandoy,1990,Jógvan A. Johannessen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anfinn_kallsberg,Anfinn Kallsberg,Fólkaflokkurin,Fólkaflokkurin,Norðoyar,1990,Anfinn Kallsberg,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,male,1947-11-19,,https://upload.wikimedia.org/wikipedia/commons/c/c0/Anfinn_Kallsberg.jpg,/m/077f65,,,,,,,,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q529900
lasse_klein,Lasse Klein,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Eysturoy,1990,Lasse Klein,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Lasse Klein,Lasse Klein,Lasse Klein,Lasse Klein,,,male,1950-10-08,Lasse,,,,,,,,,,,Lasse Klein,,,Lasse Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q10997717
sverre_midjord,Sverre Midjord,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,1990,Sverre Midjord,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Sverre Midjord,Sverre Midjord,Sverre Midjord,Sverre Midjord,,,male,1933-04-02,,,,,,,,,,,Sverre Midjord,Sverre Midjord,,Sverre Midjord,Sverre Midjord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q975188
flemming_mikkelsen,Flemming Mikkelsen,Sambandsflokkurin,Sambandsflokkurin,Suðuroy,1990,Flemming Mikkelsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Flemming Mikkelsen,Flemming Mikkelsen,,,,,male,1930-11-21,Flemming,,,,,,,,,,,Flemming Mikkelsen,,,Flemming Mikkelsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q10975495
helena_dam_á_neystabø,Helena Dam á Neystabø,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Suðurstreymoy,1990,Helena Dam á Neystabø,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Helena Dam á Neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,,female,1955-12-10,Helena,https://upload.wikimedia.org/wikipedia/commons/8/8d/Helena_Dam_a_Neystabo.jpg,,,,,,,,,Helena Dam á Neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,,,,,,,Helena Dam á Neystabø,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q273984
tordur_niclasen,Tordur Niclasen,Kristiligi Fólkaflokkurin,Kristiligi Fólkaflokkurin,Eysturoy,1990,Tordur Niclasen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Tordur Niclasen,Tordur Niclasen,Tordur Niclasen,Tordur Niclasen,,,male,1950-04-20,,,,,,,,,,,,Tordur Niclasen,,,Tordur Niclasen,,Tordur Niclasen,,,,,,,,Tordur Niclasen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3445157
hergeir_nielsen,Hergeir Nielsen,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Suðuroy,1990,Hergeir Nielsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Hergeir Nielsen,Hergeir Nielsen,Hergeir Nielsen,Hergeir Nielsen,,,male,1949-08-27,,,,,,,,,,,Hergeir Nielsen,Hergeir Nielsen,,Hergeir Nielsen,Hergeir Nielsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1035514
henrik_old,Henrik Old,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,1990,Henrik Old,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Henrik Old,Henrik Old,Henrik Old,Henrik Old,Henrik Old,Henrik Old,male,1947-06-20,Henrik,https://upload.wikimedia.org/wikipedia/commons/7/7d/Henrik_Old.jpg,,,,,,,,,,Henrik Old,Henrik Old,,Henrik Old,,,,,,Category:Henrik Old,Henrik Old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3818072
jógvan_i._olsen,Jógvan I. Olsen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,1990,Jógvan I. Olsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olaf_olsen,Olaf Olsen,Fólkaflokkurin,Fólkaflokkurin,Eysturoy,1990,Olaf Olsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Olaf Olsen,Olaf Olsen,Olaf Olsen,Olaf Olsen (politiker),,,male,1935-04-17,Olaf,,,,,,,,,,,Olaf Olsen (politiker),,,Olaf Olsen (politiker),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q11201596
john_petersen,John Petersen,Fólkaflokkurin,Fólkaflokkurin,Sandoy,1990,John Petersen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lisbeth_l._petersen,Lisbeth L. Petersen,Sambandsflokkurin,Sambandsflokkurin,Suðurstreymoy,1990,Lisbeth L. Petersen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Lisbeth L. Petersen,Lisbeth L. Petersen,Lisbeth Petersen,Lisbeth Petersen,Lisbeth Petersen,,female,1939-02-28,Lisbeth,,,,43664080,,,,,,Lisbeth L. Petersen,Lisbeth L. Petersen,Lisbeth L. Petersen,Lisbeth L. Petersen,Lisbeth L. Petersen,,Lisbeth Beate Lindenskov Petersen,,,Lisbeth Petersen,,Lisbeth L. Petersen,,,Lisbeth Beate Lindenskov Petersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q544116
marita_petersen,Marita Petersen,Javnaðarflokkurin,Javnaðarflokkurin,Suðurstreymoy,1990,Marita Petersen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,female,1940-10-21,Marita,,/m/09070_,2001-08-26,168341614,,n2011010363,,,,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,,,,,,,,,,,Marita Petersen,,,,Marita Petersen,,,,,,,,,,,,,,,,,,,,,,,,,,,Q272902
jógvan_sundstein,Jógvan Sundstein,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,1990,Jógvan Sundstein,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Jógvan Sundstein,Jógvan Sundstein,Jógvan Sundstein,Jógvan Sundstein,Jógvan Sundstein,Jógvan Sundstein,male,1933-05-25,Jógvan,,/m/04f1c5l,,155010896,,n2010046169,,,,Jógvan Sundstein,Jógvan Sundstein,Jógvan Sundstein,Jógvan Sundstein,Jógvan Sundstein,Jógvan Sundstein,Jógvan Sundstein,Jógvan Sundstein,Jógvan Sundstein,Jógvan Sundstein,,Jógvan Sundstein,,Jógvan Sundstein,Jógvan Sundstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q763757
jørgen_thomsen,Jørgen Thomsen,Javnaðarflokkurin,Javnaðarflokkurin,Eysturoy,1990,Jørgen Thomsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álvur_zachariasen,Álvur Zachariasen,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Norðoyar,1994,Álvur Zachariasen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anfinn_kallsberg,Anfinn Kallsberg,Fólkaflokkurin,Fólkaflokkurin,Norðoyar,1994,Anfinn Kallsberg,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,male,1947-11-19,,https://upload.wikimedia.org/wikipedia/commons/c/c0/Anfinn_Kallsberg.jpg,/m/077f65,,,,,,,,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,Anfinn Kallsberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q529900
bjarni_djurholm,Bjarni Djurholm,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,1994,Bjarni Djurholm,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Bjarni Djurholm,Bjarni Djurholm,Bjarni Djurholm,Bjarni Djurholm,Bjarni Djurholm,,male,1957-03-19,Bjarni,,,,,,,,,,Bjarni Djurholm,Bjarni Djurholm,Bjarni Djurholm,Bjarni Djurholm,Bjarni Djurholm,,Bjarni Djurholm,,Bjarni Djurholm,Bjarni Djurholm,,,,,Bjarni Djurholm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q738756
bjørn_á_heygum,Bjørn á Heygum,Sambandsflokkurin,Sambandsflokkurin,Suðurstreymoy,1994,Bjørn á Heygum,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edmund_joensen,Edmund Joensen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,1994,Edmund Joensen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,male,1944-09-19,Edmund,https://upload.wikimedia.org/wikipedia/commons/6/63/Edmund_Joensen.JPG,/m/04n5gw7,,,,,,,,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Category:Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q678236
finnbogi_arge,Finnbogi Arge,Sambandsflokkurin,Sambandsflokkurin,Suðurstreymoy,1994,Finnbogi Arge,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Finnbogi Arge,Finnbogi Arge,Finnbogi Arge,Finnbogi Arge,,,male,1955-09-06,,,,,,,,,,,Finnbogi Arge,Finnbogi Arge,,Finnbogi Arge,Finnbogi Arge,,,,,Finnbogi Arge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1001510
finnbogi_Ísakson,Finnbogi Ísakson,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Suðurstreymoy,1994,Finnbogi Ísakson,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Finnbogi Ísakson,Finnbogi Ísakson,Finnbogi Ísakson,Finnbogi Ísakson,Finnbogi Ísakson,,male,1943-02-07,,,,2005-09-07,308740562,1051917034,,,,,,Finnbogi Ísakson,Finnbogi Ísakson,,Finnbogi Ísakson,Finnbogi Ísakson,,,Finnbogi Ísakson,Finnbogi Ísakson,,Finnbogi Ísakson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1417695
heini_o._heinesen,Heini O. Heinesen,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Norðoyar,1994,Heini O. Heinesen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helena_dam_á_neystabø,Helena Dam á Neystabø,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Suðurstreymoy,1994,Helena Dam á Neystabø,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Helena Dam á Neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,,female,1955-12-10,Helena,https://upload.wikimedia.org/wikipedia/commons/8/8d/Helena_Dam_a_Neystabo.jpg,,,,,,,,,Helena Dam á Neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,Helena Dam á Neystabø,,,,,,,Helena Dam á Neystabø,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q273984
henrik_old,Henrik Old,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,1994,Henrik Old,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1994-98,Henrik Old,Henrik Old,Henrik Old,Henrik Old,Henrik Old,Henrik Old,male,1947-06-20,Henrik,https://upload.wikimedia.org/wikipedia/commons/7/7d/Henrik_Old.jpg,,,,,,,,,,Henrik Old,Henrik Old,,Henrik Old,,,,,,Category:Henrik Old,Henrik Old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3818072
