name,wikiname,group,area,term,source,id,name__fr,name__en,name__nl,name__es,name__eo,name__nb,name__da,name__nn,name__sv,name__de,wikipedia__commons,wikipedia__en,wikipedia__eo,wikipedia__fr,image,gender,identifier__isni,identifier__viaf,identifier__bnf,identifier__sudoc,birth_date,given_name,identifier__sycomore,name__pl,wikipedia__pl,identifier__freebase,identifier__wikidata
Franck Detcheverry,"",Archipel demain,Miquelon-Langlade,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isabelle Ozon,"",Archipel demain,Miquelon-Langlade,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annick Girardin,Annick Girardin,Cap sur l'avenir - PRG,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,Q2851582,Annick Girardin,Annick Girardin,Annick Girardin,Annick Girardin,Annick Girardin,Annick Girardin,Annick Girardin,Annick Girardin,Annick Girardin,Annick Girardin,Category:Annick Girardin,Annick Girardin,Annick Girardin,Annick Girardin,https://upload.wikimedia.org/wikipedia/commons/d/dc/Annick_Girardin.jpg,female,0000 0000 5894 7759,85951681,159972742,132178117,1964-08-03,Annick,17313,,,,Q2851582
Yannick Cambray,"",Cap sur l'avenir,Saint-Pierre,2006,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stéphane Artano,Stéphane Artano,Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,Q3501568,Stéphane Artano,Stéphane Artano,Stéphane Artano,Stéphane Artano,,Stéphane Artano,Stéphane Artano,Stéphane Artano,Stéphane Artano,Stéphane Artano,,Stéphane Artano,,Stéphane Artano,,male,,,,,1973-03-09,Stéphane,,Stéphane Artano,Stéphane Artano,/m/04132m3,Q3501568
Catherine de Arburn,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stéphane Lenormand,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martine Derouet,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernard Briand,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonia Poirier Urdanabia,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Gourmelon,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valérie Corbeil Perrin,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-Pierre Lebailly,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joane Beauperthuis,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gérard Briand,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosiane Gautier Zimmermann,"",Archipel demain,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Céline Gaspard,"",Archipel demain,Miquelon-Langlade,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivier Detcheverry,"",Archipel demain,Miquelon-Langlade,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Garnier,"",Archipel demain,Miquelon-Langlade,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annick Girardin,Annick Girardin,Cap sur l'avenir - PRG,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,Q2851582,Annick Girardin,Annick Girardin,Annick Girardin,Annick Girardin,Annick Girardin,Annick Girardin,Annick Girardin,Annick Girardin,Annick Girardin,Annick Girardin,Category:Annick Girardin,Annick Girardin,Annick Girardin,Annick Girardin,https://upload.wikimedia.org/wikipedia/commons/d/dc/Annick_Girardin.jpg,female,0000 0000 5894 7759,85951681,159972742,132178117,1964-08-03,Annick,17313,,,,Q2851582
Gildas Morel,"",Cap sur l'avenir,Miquelon-Langlade,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Dodeman,"",Cap sur l'avenir,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine Pen,"",Cap sur l'avenir,Saint-Pierre,2012,https://fr.wikipedia.org/wiki/Conseil_territorial_de_Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
