id,name,area,group,executive,email,term,source,group_id,area_id
Rolfe_Commissiong,Rolfe Commissiong,Pembroke South East,PLP,Shadow Minister of Human Affairs,rcommissiong@parliament.bm,2012,http://www.parliament.bm/Rolfe_Commissiong.aspx,PLP,21
Dr._Grant_Gibbons,Grant Gibbons,Paget East,OBA,Minister of Economic Development,ggibbons@parliament.bm,2012,http://www.parliament.bm/Dr._Grant_Gibbons.aspx,OBA,22
Patricia_Gordon_Pamplin,Patricia Gordon Pamplin,Paget West,OBA,"Minister of Community, Culture & Sports",ppamplin@parliament.bm,2012,http://www.parliament.bm/Patricia_Gordon_Pamplin.aspx,OBA,23
Lawrence_Scott,Lawrence Scott,Warwick South East,PLP,Shadow Minister of Transportation,lwscott@parliament.bm,2012,http://www.parliament.bm/Lawrence_Scott.aspx,PLP,24
Mark_Pettingill,Mark Pettingill,Warwick North East,OBA,"",mpettingill@parliament.bm,2012,http://www.parliament.bm/Mark_Pettingill.aspx,OBA,25
Marc_Bean,Marc Bean,Warwick South Central,PLP,Opposition Leader,mbean@parliament.bm,2012,http://www.parliament.bm/Marc_Bean.aspx,PLP,26
Wayne_Scott,Wayne Scott,Warwick North Central,OBA,Minister of Education,rwscott@parliament.bm,2012,http://www.parliament.bm/Wayne_Scott.aspx,OBA,27
Jeff_Sousa,Jeff Sousa,Warwick West,OBA,"",jsousa@parliament.bm,2012,http://www.parliament.bm/Jeff_Sousa.aspx,OBA,28
Zane_Desilva,Zane DeSilva,Southampton East,PLP,Shadow Minister of Tourism,zdesilva@parliament.bm,2012,http://www.parliament.bm/Zane_Desilva.aspx,PLP,29
Leah_Scott,Leah Scott,Southampton East Central,OBA,Junior Minister of Education,lkscott@gov.bm,2012,http://www.parliament.bm/Leah_Scott.aspx,OBA,30
Shawn_Crockwell,Shawn Crockwell,Southampton West Central,OBA,Minister of Tourism and Transport,scrockwell@parliament.bm,2012,http://www.parliament.bm/Shawn_Crockwell.aspx,OBA,31
Randy_Horton,Randolph Horton,Southampton West,Independent,Speaker of the House of Assembly,rhorton@parliament.bm,2012,http://www.parliament.bm/Randy_Horton.aspx,Independent,32
Mr._Jamahl_S._Simmons,Jamahl Simmons,Sandys South,PLP,"",jsimmons@parliament.bm,2012,http://www.parliament.bm/Mr._Jamahl_S._Simmons.aspx,PLP,33
Mrs._Kim_Wilson,Kim Wilson,Sandys South Central,PLP,Shadow Minister of Health,kwilson@parliament.bm,2012,http://www.parliament.bm/Mrs._Kim_Wilson.aspx,PLP,34
Dennis_Lister,Dennis Lister,Sandys North Central,PLP,Shadow Minister of Public Works,dlister@parliament.bm,2012,http://www.parliament.bm/Dennis_Lister.aspx,PLP,35
Michael_Scott,Michael Scott,Sandys North,PLP,Shadow Attorney General,mscott@parliament.bm,2012,http://www.parliament.bm/Michael_Scott.aspx,PLP,36
