id,name,wikipedia__en,group,group_id,term,source,area,area_id,image,name__en,gender,given_name,birth_date,family_name,identifier__freebase
leonard-montoute,Leonard Spider Montoute,Leonard Montoute,UWP,United Workers Party,8,,Gros Islet,ocd-division/country:lc/constituency:gros-islet,,,,,,,
ezechiel-joseph,Ezechiel Joseph,Ezechiel Joseph,UWP,United Workers Party,8,,Babonneau,ocd-division/country:lc/constituency:babonneau,,Ezechiel Joseph,male,Ezechiel,,,
stephenson-king,Stephenson King,Stephenson King,UWP,United Workers Party,8,,Castries North,ocd-division/country:lc/constituency:castries-north,http://www.govt.lc/media.govt.lc/www/employees/photos/stephensonking.jpg,Stephenson King,male,,1958-11-13,,/m/02726sb
philip-pierre,Philip Pierre,Philip Pierre,SLP,Saint Lucia Labour Party,8,,Castries East,ocd-division/country:lc/constituency:castries-east,http://www.govt.lc/media.govt.lc/www/employees/photos/PhillipJPierre.jpg,Philip Pierre,male,Philip,,,
richard-frederick,Richard Frederick,Richard Frederick,UWP,United Workers Party,8,,Castries Central,ocd-division/country:lc/constituency:castries-central,http://www.govt.lc/media.govt.lc/www/employees/photos/richardfrederick.jpg,Richard Frederick,male,Richard,1965-08-06,,
robert-kennedy-lewis,Robert Kennedy Lewis,Robert Kennedy Lewis,SLP,Saint Lucia Labour Party,8,,Castries South,ocd-division/country:lc/constituency:castries-south,http://www.govt.lc/media.govt.lc/www/employees/photos/RobertLewis.jpg,Robert Kennedy Lewis,male,Robert,,,
guy-joseph,Guy Joseph,Guy Joseph,UWP,United Workers Party,8,,Castries South East,ocd-division/country:lc/constituency:castries-south-east,http://www.govt.lc/media.govt.lc/www/employees/photos/guyjoseph.jpg,Guy Joseph,male,Guy,1957-01-01,,
keith-mondesir,Keith Mondesir,Keith Mondesir,UWP,United Workers Party,8,,Anse la Raye and Canaries,ocd-division/country:lc/constituency:anse-la-raye-and-canaries,,Keith Mondesir,male,Keith,1948-01-23,,
harold-dalson,Harold Dalson,Harold Dalson,SLP,Saint Lucia Labour Party,8,,Soufriere,ocd-division/country:lc/constituency:soufriere,http://www.govt.lc/media.govt.lc/www/employees/photos/HaroldDalson.jpg,Harold Dalson,male,Harold,,,
rufus-bousquet,Rufus Bousquet,Rufus Bousquet,UWP,United Workers Party,8,,Choiseul,ocd-division/country:lc/constituency:choiseul,,Rufus Bousquet,male,Rufus,1958-11-28,,
alva-baptiste,Alva Baptiste,Alva Baptiste,SLP,Saint Lucia Labour Party,8,,Laborie,ocd-division/country:lc/constituency:laborie,http://www.govt.lc/media.govt.lc/www/employees/photos/AlvaJnBaptiste.jpg,Alva Baptiste,male,Alva,,,
moses-jean-baptiste,Moses Jean Baptiste,Moses Jean Baptiste,SLP,Saint Lucia Labour Party,8,,Vieux Fort North,ocd-division/country:lc/constituency:vieux-fort-north,http://www.govt.lc/media.govt.lc/www/employees/photos/MosesJnBaptiste.jpg,Moses Jean Baptiste,male,Moses,,,
kenny-anthony,Kenny Anthony,Kenny Anthony,SLP,Saint Lucia Labour Party,8,,Vieux Fort South,ocd-division/country:lc/constituency:vieux-fort-south,http://www.govt.lc/media.govt.lc/www/employees/photos/Prime-Minister-Dr.-Kenny-Anthony.jpg,Kenny Anthony,male,Kenny,1951-01-08,,/m/021xts
arsene-james,Arsene James,Arsene James,UWP,United Workers Party,8,,Micoud South,ocd-division/country:lc/constituency:micoud-south,http://www.govt.lc/media.govt.lc/www/employees/photos/arsenejames.jpg,Arsene James,male,,1944-10-30,James,
jeannine-compton-antoine,Jeannine Compton-Antoine,Jeannine Compton-Antoine,Independent,Independent,8,,Micoud North,ocd-division/country:lc/constituency:micoud-north,,Jeannine Compton-Antoine,female,Jeannine,,,
edmund-estephane,Edmund Estephane,Edmund Estephane,UWP,United Workers Party,8,,Dennery South,ocd-division/country:lc/constituency:dennery-south,http://www.govt.lc/media.govt.lc/www/employees/photos/edmundestephane.jpg,Edmund Estephane,male,Edmund,1968-01-01,,
marcus-nicholas,Marcus Nicholas,Marcus Nicholas,UWP,United Workers Party,8,,Dennery North,ocd-division/country:lc/constituency:dennery-north,,Marcus Nicholas,male,Marcus,1966-01-01,,
