name,image,area,id,group,type,term,source
Celia Andrea Bonilla Gemio,http://www.diputados.bo/script/imagenes/La%20Paz/bonilla.gc.jpg,Plurinominal,bonilla.gc,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Sonia Silvia Brito Sandoval,http://www.diputados.bo/script/imagenes/La%20Paz/brito.ss.jpg,C - 8,brito.ss,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Maria Eugenia Calcina Rivero,http://www.diputados.bo/script/imagenes/La%20Paz/calcina.rm.jpg,Plurinominal,calcina.rm,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Maria Natalia Calle Perez,http://www.diputados.bo/script/imagenes/La%20Paz/calle.pm.jpg,Plurinominal,calle.pm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Jose Manuel Canelas Jaime,http://www.diputados.bo/script/imagenes/La%20Paz/canelas.jj.jpg,Plurinominal,canelas.jj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Ruben Chambi Mollericona,http://www.diputados.bo/script/imagenes/La%20Paz/chambi.mr.jpg,C - 19,chambi.mr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Simon Sergio Choque Siñani,http://www.diputados.bo/script/imagenes/La%20Paz/choque.ss.jpg,C - 12,choque.ss,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Rosa Ines Chuquimia Tarquino,http://www.diputados.bo/script/imagenes/La%20Paz/chuquimia.tr.jpg,C - 9,chuquimia.tr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Ana Jimena Costa Benavides,http://www.diputados.bo/script/imagenes/La%20Paz/costa.ba.jpg,Plurinominal,costa.ba,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Franklin Duran Lopez,http://www.diputados.bo/script/imagenes/La%20Paz/duran.lf.jpg,Plurinominal,duran.lf,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Julio Huaraya Cabrera,http://www.diputados.bo/script/imagenes/La%20Paz/huaraya.cj.jpg,C - 15,huaraya.cj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Jhovana Margarett Jordan Antonio,http://www.diputados.bo/script/imagenes/La%20Paz/jordan.aj.jpg,Plurinominal,jordan.aj,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php
Carol Mireya Montaño Rocha,http://www.diputados.bo/script/imagenes/La%20Paz/montanio.rc.jpg,C - 11,montanio.rc,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Alicia Natte Rosendi,http://www.diputados.bo/script/imagenes/La%20Paz/natte.ra.jpg,,natte.ra,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Concepcion Ortiz,http://www.diputados.bo/script/imagenes/La%20Paz/ortiz.c.jpg,C - 16,ortiz.c,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Edmundo Gaston Polo Ariñez,http://www.diputados.bo/script/imagenes/La%20Paz/polo.ae.jpg,Plurinominal,polo.ae,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Toribia Pomacusi Chipana,http://www.diputados.bo/script/imagenes/La%20Paz/pomacusi.ct.jpg,Plurinominal,pomacusi.ct,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Brigida Virginia Quiroga Ramos,http://www.diputados.bo/script/imagenes/La%20Paz/quiroga.rb.jpg,Plurinominal,quiroga.rb,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Saturnino Javier Quispe Poma,http://www.diputados.bo/script/imagenes/La%20Paz/quispe.ps.jpg,C - 10,quispe.ps,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Helmuth Vladimir Salinas Iñiguez,http://www.diputados.bo/script/imagenes/La%20Paz/salinas.ih.jpg,Plurinominal,salinas.ih,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php
Fernanda Elena San Martin Carrasco,http://www.diputados.bo/script/imagenes/La%20Paz/sanmartin.cf.jpg,Plurinominal,sanmartin.cf,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Wilson Pedro Santamaria Choque,http://www.diputados.bo/script/imagenes/La%20Paz/santamaria.cw.jpg,Plurinominal,santamaria.cw,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Modesta Supo Tallacahua,http://www.diputados.bo/script/imagenes/La%20Paz/supo.tm.jpg,C - 14,supo.tm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Clery Vargas Villca,http://www.diputados.bo/script/imagenes/La%20Paz/vargas.vc.jpg,C - 13,vargas.vc,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Tito Veizaga Cossio,http://www.diputados.bo/script/imagenes/La%20Paz/veizaga.ct.jpg,C - 17,veizaga.ct,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Betty Beatriz Yañiquez Lozano,http://www.diputados.bo/script/imagenes/La%20Paz/yaniquez.lb.jpg,C - 7,yaniquez.lb,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Javier Eduardo Zavaleta Lopez,http://www.diputados.bo/script/imagenes/La%20Paz/zavaleta.lj.jpg,C - 6,zavaleta.lj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Ros Mery Arias Quiroga,http://www.diputados.bo/script/imagenes/Cochabamba/arias.qr.jpg,C - 28,arias.qr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Sandra Cartagena Lopez,http://www.diputados.bo/script/imagenes/Cochabamba/cartagena.ls.jpg,C - 21,cartagena.ls,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Patricia Chavez Noe,http://www.diputados.bo/script/imagenes/Cochabamba/chavez.np.jpg,,chavez.np,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Shirley Franco Rodriguez,http://www.diputados.bo/script/imagenes/Cochabamba/franco.rs.jpg,Plurinominal,franco.rs,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Lucio Gomez Lojo,http://www.diputados.bo/script/imagenes/Cochabamba/gomez.ll.jpg,Plurinominal,gomez.ll,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Victor Alonzo Gutierrez Flores,http://www.diputados.bo/script/imagenes/Cochabamba/gutierrez.fv.jpg,C - 20,gutierrez.fv,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Bernard Osvaldo Gutierrez Sanz,http://www.diputados.bo/script/imagenes/Cochabamba/gutierrez.sb.jpg,Plurinominal,gutierrez.sb,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Leoncio Jancko Quispe,http://www.diputados.bo/script/imagenes/Cochabamba/jancko.ql.jpg,C - 22,jancko.ql,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Julio Sabas Jimenez Llanque,http://www.diputados.bo/script/imagenes/Cochabamba/jimenez.lj.jpg,C - 23,jimenez.lj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Claudia Mallon Vargas,http://www.diputados.bo/script/imagenes/Cochabamba/mallon.vc.jpg,Plurinominal,mallon.vc,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Manuel Mamani Quispe,http://www.diputados.bo/script/imagenes/Cochabamba/mamani.qm.jpg,C - 27,mamani.qm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Romina Guadalupe Perez Ramos,http://www.diputados.bo/script/imagenes/Cochabamba/perez.rr.jpg,Plurinominal,perez.rr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Norma Alicia Pierola Valdez,http://www.diputados.bo/script/imagenes/Cochabamba/pierola.vn.jpg,Plurinominal,pierola.vn,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php
Juana Quispe Ari,http://www.diputados.bo/script/imagenes/Cochabamba/quispe.aj.jpg,C - 24,quispe.aj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Elvira Silvana Rojas Orellana,http://www.diputados.bo/script/imagenes/Cochabamba/rojas.oe.jpg,C - 25,rojas.oe,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Virginia Terceros Pinto,http://www.diputados.bo/script/imagenes/Cochabamba/terceros.pv.jpg,Plurinominal,terceros.pv,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Freddy Vargas Terceros,http://www.diputados.bo/script/imagenes/Cochabamba/vargas.tf.jpg,C - 26,vargas.tf,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Juan Vasquez Collque,http://www.diputados.bo/script/imagenes/Cochabamba/vasquez.cj.jpg,Plurinominal,vasquez.cj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Ayda Luz Villarroel Quinteros,http://www.diputados.bo/script/imagenes/Cochabamba/villarroel.qa.jpg,Plurinominal,villarroel.qa,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Anacleta Amurrio Paniagua,http://www.diputados.bo/script/imagenes/Santa%20Cruz/amurrio.pa.jpg,C - 55,amurrio.pa,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Adriana Arias Calderón,http://www.diputados.bo/script/imagenes/Santa%20Cruz/arias.ca.jpg,C - 49,arias.ca,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Eddy Henrry Cabrera Carlo,http://www.diputados.bo/script/imagenes/Santa%20Cruz/cabrera.ce.jpg,Plurinominal,cabrera.ce,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Juan Cala Ortega,http://www.diputados.bo/script/imagenes/Santa%20Cruz/cala.oj.jpg,C - 52,cala.oj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Beatriz Eliane Capobianco Sandoval,http://www.diputados.bo/script/imagenes/Santa%20Cruz/capobianco.sb.jpg,Plurinominal,capobianco.sb,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Pura Leny Chavez Vaca,http://www.diputados.bo/script/imagenes/Santa%20Cruz/chavez.vp.jpg,C - 44,chavez.vp,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Julio Hermogenes Costas Gonzales,http://www.diputados.bo/script/imagenes/Santa%20Cruz/costas.gj.jpg,Plurinominal,costas.gj,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php
Carmen Muriel Cruz Claros,http://www.diputados.bo/script/imagenes/Santa%20Cruz/cruz.cc.jpg,Plurinominal,cruz.cc,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Sabelio Estrada Soliz,http://www.diputados.bo/script/imagenes/Santa%20Cruz/estrada.ss.jpg,C - 48,estrada.ss,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Miguel Angel Feeney Parada,http://www.diputados.bo/script/imagenes/Santa%20Cruz/feeney.pm.jpg,Plurinominal,feeney.pm,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Eusebia Fernández Montes,http://www.diputados.bo/script/imagenes/Santa%20Cruz/fernandez.me.jpg,C - 56,fernandez.me,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Alcides Andrés Gallardo Ibarra,http://www.diputados.bo/script/imagenes/Santa%20Cruz/gallardo.ia.jpg,C - 47,gallardo.ia,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Mario Guerrero Gonzales,http://www.diputados.bo/script/imagenes/Santa%20Cruz/guerrero.gm.jpg,Plurinominal,guerrero.gm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Martiriano Mamani Cari,http://www.diputados.bo/script/imagenes/Santa%20Cruz/mamani.cm.jpg,C - 53,mamani.cm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Kary Mariscal Guzmán,http://www.diputados.bo/script/imagenes/Santa%20Cruz/mariscal.gk.jpg,C - 54,mariscal.gk,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Isabel Jaqueline Miranda Alanez,http://www.diputados.bo/script/imagenes/Santa%20Cruz/miranda.ai.jpg,Plurinominal,miranda.ai,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Tomas Xavier Monasterio Romay,http://www.diputados.bo/script/imagenes/Santa%20Cruz/monasterio.rt.jpg,C - 46,monasterio.rt,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Edgar Montaño Rojas,http://www.diputados.bo/script/imagenes/Santa%20Cruz/montanio.re.jpg,C - 50,montanio.re,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Trifonia Griselda Muñoz Colque,http://www.diputados.bo/script/imagenes/Santa%20Cruz/munioz.ct.jpg,C - 51,munioz.ct,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Maida Paz Callau,http://www.diputados.bo/script/imagenes/Santa%20Cruz/paz.cm.jpg,Plurinominal,paz.cm,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php
Rose Marie Sandoval Farfan,http://www.diputados.bo/script/imagenes/Santa%20Cruz/sandoval.fr.jpg,Plurinominal,sandoval.fr,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Cinthia Sequeiros Rivero,http://www.diputados.bo/script/imagenes/Santa%20Cruz/sequeiros.rc.jpg,Plurinominal,sequeiros.rc,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Benita Suarez Barba,http://www.diputados.bo/script/imagenes/Santa%20Cruz/suarez.bb.jpg,C - 57,suarez.bb,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Avilio Vaca Achico,http://www.diputados.bo/script/imagenes/Santa%20Cruz/vaca.aa.jpg,,vaca.aa,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Kathya Scarlett Zambrana Cardona,http://www.diputados.bo/script/imagenes/Santa%20Cruz/zambrana.ck.jpg,Plurinominal,zambrana.ck,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Rosa Alvarez Choquetupa,http://www.diputados.bo/script/imagenes/Potosi/alvarez.cr.jpg,C - 39,alvarez.cr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Virginia Anze Nina,http://www.diputados.bo/script/imagenes/Potosi/anze.nv.jpg,Plurinominal,anze.nv,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Gonzalo Guillermo Barrientos Alvarado,http://www.diputados.bo/script/imagenes/Potosi/barrientos.ag.jpg,C - 33,barrientos.ag,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Elisa Catari Méndez,http://www.diputados.bo/script/imagenes/Potosi/catari.me.jpg,C - 35,catari.me,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Zacarias Colque Matias,http://www.diputados.bo/script/imagenes/Potosi/colque.mz.jpg,C - 38,colque.mz,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Fidel Colque Pascual,http://www.diputados.bo/script/imagenes/Potosi/colque.pf.jpg,Plurinominal,colque.pf,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Julio Grover Huanca Nina,http://www.diputados.bo/script/imagenes/Potosi/huanca.nj.jpg,Plurinominal,huanca.nj,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Ascencio Lazo,http://www.diputados.bo/script/imagenes/Potosi/lazo.a.jpg,C - 36,lazo.a,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Esteban López Fernández,http://www.diputados.bo/script/imagenes/Potosi/lopez.fe.jpg,Plurinominal,lopez.fe,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Maura Quispe Quispe,http://www.diputados.bo/script/imagenes/Potosi/quispe.qm.jpg,C - 37,quispe.qm,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
David Ramos Mamani,http://www.diputados.bo/script/imagenes/Potosi/ramos.md.jpg,Plurinominal,ramos.md,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Trinidad Rojas Bellido,http://www.diputados.bo/script/imagenes/Potosi/rojas.bt.jpg,Plurinominal,rojas.bt,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Gonzalo Aguilar Ayma,http://www.diputados.bo/script/imagenes/Oruro/aguilar.ag.jpg,C - 29,aguilar.ag,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Delia Canaviri Condori,http://www.diputados.bo/script/imagenes/Oruro/canaviri.cd.jpg,C - 32,canaviri.cd,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Aniceto Choque Chino,http://www.diputados.bo/script/imagenes/Oruro/choque.ca.jpg,Plurinominal,choque.ca,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Otilia Choque Veliz,http://www.diputados.bo/script/imagenes/Oruro/choque.vo.jpg,Plurinominal,choque.vo,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Eleuterio Huallpa Janco,http://www.diputados.bo/script/imagenes/Oruro/huallpa.je.jpg,C - 31,huallpa.je,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Santos Paredes Mamani,http://www.diputados.bo/script/imagenes/Oruro/paredes.ms.jpg,,paredes.ms,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Francisco Quispe Flores,http://www.diputados.bo/script/imagenes/Oruro/quispe.ff.jpg,Plurinominal,quispe.ff,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Raul Rocha Ayala,http://www.diputados.bo/script/imagenes/Oruro/rocha.ar.jpg,Plurinominal,rocha.ar,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php
Lily Rosario Villca Calle,http://www.diputados.bo/script/imagenes/Oruro/villca.cl.jpg,C - 30,villca.cl,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Juan Lino Cardenas Ortega,http://www.diputados.bo/script/imagenes/Tarija/cardenas.oj.jpg,Plurinominal,cardenas.oj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Norman Rene Lazarte Calizaya,http://www.diputados.bo/script/imagenes/Tarija/lazarte.cn.jpg,Plurinominal,lazarte.cn,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Nora Quisbert Tito,http://www.diputados.bo/script/imagenes/Tarija/quisbert.tn.jpg,Plurinominal,quisbert.tn,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Edgar Rendon Rios,http://www.diputados.bo/script/imagenes/Tarija/rendon.re.jpg,Plurinominal,rendon.re,PDC,Titular,2015,http://www.diputados.bo/script/dip-index.php
Ignacio Soruco Grandchant,http://www.diputados.bo/script/imagenes/Tarija/soruco.gi.jpg,C - 40,soruco.gi,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Marcela Vasquez,http://www.diputados.bo/script/imagenes/Tarija/vasquez.m.jpg,C - 43,vasquez.m,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Jacinto Vega Rivero,http://www.diputados.bo/script/imagenes/Tarija/vega.rj.jpg,,vega.rj,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Orlando Egüez Algarañaz,http://www.diputados.bo/script/imagenes/Beni/eguez.ao.jpg,C - 60,eguez.ao,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Margarita del Carmen Fernandez Claure,http://www.diputados.bo/script/imagenes/Beni/fernandez.cm.jpg,Plurinominal,fernandez.cm,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Alvaro Rodrigo Guzman Collao,http://www.diputados.bo/script/imagenes/Beni/guzman.ca.jpg,C - 58,guzman.ca,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Irma Herminia Ledezma Tambo,http://www.diputados.bo/script/imagenes/Beni/ledezma.ti.jpg,C - 61,ledezma.ti,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Ramona Moye Camaconi,http://www.diputados.bo/script/imagenes/Beni/moye.cr.jpg,,moye.cr,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Susana Rivero Guzman,http://www.diputados.bo/script/imagenes/Beni/rivero.gs.jpg,Plurinominal,rivero.gs,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Walter Roque Gomez,http://www.diputados.bo/script/imagenes/Beni/roque.gw.jpg,Plurinominal,roque.gw,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Ana Vidal Velasco,http://www.diputados.bo/script/imagenes/Beni/vidal.va.jpg,C - 59,vidal.va,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Dulce Maria Araujo Dominguez,http://www.diputados.bo/script/imagenes/Pando/araujo.dd.jpg,Plurinominal,araujo.dd,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Walter Ayala Siripi,http://www.diputados.bo/script/imagenes/Pando/ayala.sw.jpg,,ayala.sw,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
Miguel Santa Lucia Ojopi Sosa,http://www.diputados.bo/script/imagenes/Pando/ojopi.sm.jpg,Plurinominal,ojopi.sm,UD,Titular,2015,http://www.diputados.bo/script/dip-index.php
Sebastian Texeira Rojas,http://www.diputados.bo/script/imagenes/Pando/texeira.rs.jpg,C - 62,texeira.rs,MAS,Titular,2015,http://www.diputados.bo/script/dip-index.php
