name,wikiname,group,area,term,id,image,name__en,wikipedia__en,gender,birth_date,given_name,identifier__freebase,name__de,name__nl,name__it,name__fr,name__es,wikipedia__fr,name__zh,wikipedia__zh,name__lb,name__pt,name__pl,name__sm,name__ru,name__tr,name__yo,name__fi,name__gl,name__et,name__id,name__ja,name__el,name__sh,name__lt,name__sv,name__sr,name__hr,name__nb,name__da,name__nn,name__ko,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__gl,wikipedia__hr,wikipedia__id,wikipedia__it,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ko,wikipedia__lb,wikipedia__lt,wikipedia__nl,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__sm,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__yo,identifier__wikidata
Tavui Tiafau Tafu Salevao,"",HRPP,Satupa'itea,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tafua Maluelue Tafua,"",HRPP,Aleipata Itupa-I-Lalo,15,92,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-TAFUA-Maluelue-Tafua.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laauli Leuatea Polataivao,Laauli Leuatea Polataivao,HRPP,Gagaifomauga No. 3,15,37,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Susuga-Hon-LAAULI-Leuatea-Polataivao-Fosi-Schmidt.png,Laauli Leuatea Polataivao,Laauli Leuatea Polataivao,male,,,,Laauli Leuatea Polataivao,,Laauli Leuatea Polataivao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16734600
Fiame Naomi,Fiame Naomi Mata'afa,HRPP,Lotofaga,15,15,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-FIAME-Naomi-Mataafa.png,Fiame Naomi Mata'afa,Fiame Naomi Mata'afa,female,,Naomi,,Fiame Naomi Mata'afa,Fiame Naomi Mata'afa,,Naomi Mata'afa,Fiame Naomi Mata'afa,Naomi Mata'afa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q5446290
Lafaitele Patrick Leiataualesa,"",HRPP,Alataua West,15,24,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-LAFAITELE-Patrick-Leiataualesa.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manualesagalala Enokati Posala,"",HRPP,Safata,15,33,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga_Hon_MANU_ALESAGALALA_Enokati_Posala.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palusalue Fa’apo II,Palusalue Fa’apo II,TSP,Safata,15,20,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-PALUSALUE-Faapo-II.png,Palusalue Fa’apo II,Palusalue Fa’apo II,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7128848
Ifopo Matia Filisi,"",HRPP,Aiga-I-Le-tai,15,39,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Susuga-IFOPO-Matia-Filisi.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taefu Lemi,"",HRPP,Falelatai & Samatau,15,28,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-TAEFU-Lemi.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muagututagata Peter Ah Him,Muagututagata Peter Ah Him,HRPP,Sagaga-Le-Usoga,15,Q6930668,,Muagututagata Peter Ah Him,Muagututagata Peter Ah Him,male,,,,Muagututagata Peter Ah Him,,Muagututagata Peter Ah Him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6930668
Sala Fata Pinati,"",HRPP,Gagaemauga No. 1,15,21,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-SALA-Fata-Lisati-Pinati.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taua Kitiona Seuala,"",HRPP,Aleipata-Itupa-I-luga,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tolofuaivalelei Falemoe Lei’ataua,Tolofuaivalelei Falemoe Lei’ataua,HRPP,A'ana Alofi No. 2,15,48,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-Hon-TOLOFUAIVALELEI-Falemoe-Leiataua.png,Tolofuaivalelei Falemoe Lei’ataua,Tolofuaivalelei Falemoe Lei’ataua,male,,,,Tolofuaivalelei Falemoe Lei’ataua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7814479
Tuilo'a Anitelea,"",HRPP,Gagaifomauga No. 1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuisugaletaua Sofara Aveau,"",HRPP,Vaimauga East,15,22,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-TUISUGALETAUA-Sofara-Aveau.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peseta Vaifou Tevaga,"",Independent,Fa'asalele'aga No. 4,15,27,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-PESETA-Vaifou-Tevaga.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaiasa Filipo Schwarts Hunt,"",Independent,Anoama'a East,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gatoloaifaana Amataga Alesana-Gidlow,Gatoloaifaana Amataga Alesana-Gidlow,HRPP,Fa'asalele'aga No. 1,15,16,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-GATOLOAIFAANA-Amataga-Alesana-Gidlow.png,Gatoloaifaana Amataga Alesana-Gidlow,Gatoloaifaana Amataga Alesana-Gidlow,female,,,,,Gatoloaifaana Amataga Alesana-Gidlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q5527465
A'eau Peniamina,A'eau Peniamina,TSP,Falealupo,15,13,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-AEAU-Peniamina-Leavaseeta.png,A'eau Peniamina,A'eau Peniamina,male,,,,A'eau Peniamina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4646813
Niko Lee Hang,Niko Lee Hang,HRPP,Individual,15,38,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Susuga-Hon-PAPALIITELE-Niko-Lee-Hang.png,Niko Lee Hang,Niko Lee Hang,male,,Niko,,Niko Lee Hang,,,,,,尼科·李航,尼科·李航,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q11041329
Maualaivao Pat Ah Him,"",HRPP,Individual,15,26,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-MAUALAIVAO-Pat-Ah-Him.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faumuina Tiatia Liuga,Faumuina Tiatia Liuga,HRPP,Palauli-Le-Falefa,15,14,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-FAUMUINA-Tiatia-Faaolatane-Liuga.png,Faumuina Tiatia Liuga,Faumuina Tiatia Liuga,male,1945-09-19,,,Faumuina Tiatia Liuga,,Faumuina Tiatia Liuga,Faumuina Tiatia Liuga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16107028
Afualo Wood Salele,"",TSP,Salega,15,12,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-AFUALO-Dr-Wood-Uti-Salele.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapuai Toese Ah Sam,"",TSP,Salega,15,57,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-TAPUAI-Toese-Ah-Sam.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuu'u Anasi'i Leota,Tuu'u Anasi'i Leota,HRPP,Si'umu,15,50,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-Hon-TUUU-Anasii-Leota.png,Tuu'u Anasi'i Leota,Tuu'u Anasi'i Leota,male,,,,Tuu'u Anasi'i Leota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7857077
Tialavea Fea Tionisio Seigafolava,"",HRPP,Va'a-O-Fonoti,15,30,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-TIALAVEA-Fea-Tionisio-Seigafolava.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motuopuaa Uifagasa Aisoli,"",TSP,Vaisigano No. 2,15,55,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-MOTUOPUAA-Uifagasa-Aisoli-Vaai.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuiloma Lameko,"",HRPP,Falealili,15,49,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-Hon-TUILOMA-Lameko.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tusa Misi Tupuola,"",HRPP,Falealili,15,60,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-TUSA-Misi-Tupuola.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levaopolo Talatonu Va’ai,"",TSP,Gagaemauga No. 2,15,54,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-LEVAOPOLO-Talatonu.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Mamea Ropati,Le Mamea Ropati,HRPP,Lefaga & Falese'ela,15,17,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-LE-MAMEA-Ropati.png,Le Mamea Ropati,Le Mamea Ropati,male,,,,Le Mamea Ropati,,Le Mamea Ropati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16875144
Tuisa Tasi Patea,"",HRPP,Sagaga-Le-Falefa,15,32,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-TUISA-Tasi-Patea.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toleafoa Apulu Fa'afisi,"",HRPP,A'ana Alofi No. 1,15,18,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-LEAUPEPE-Toleafoa-Apulu-Faafisi.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuitama Talalelei Tuitama,Tuitama Talalelei Tuitama,HRPP,A'ana Alofi No. 1,15,23,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-TUITAMA-Talalelei-Tuitama.png,Tuitama Talalelei Tuitama,Tuitama Talalelei Tuitama,male,,,,Tuitama Talalelei Tuitama,,Tuitama Talalelei Tuitama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16886220
Magele Mauiliu Magele,"",HRPP,Fa'asalele'aga No. 1,15,19,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-Hon-MAGELE-Mauiliu-Magele.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faamoetauloa Ulaitino Faale Tumaalii,"",HRPP,Gagaemauga No. 3,15,148,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-Hon-Faamoetauloa-Ulaitino-Faale.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afoafouvale John Moors,"",HRPP,Palauli East,15,11,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Afioga-AFOAFOUVALE-John-Moors.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agafili Patisela Eteuati Tolovaa,"",HRPP,Palauli West,15,42,http://www.parliament.gov.ws/new/wp-content/gallery/members-parliament-15/Tofa-AGAFILI-Patisela-Eteuati-Tolovaa.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Va'ai Papu Vailupe,Va'ai Papu Vailupe,TSP,Vaisigano No.1,15,Q7907779,,Va'ai Papu Vailupe,Va'ai Papu Vailupe,male,,,,Va'ai Papu Vailupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7907779
