name,wikipedia__en,area,group,area_id,term,source,id,name__en,gender,given_name,birth_date,death_date,identifier__freebase,family_name,image,identifier__viaf,name__de,name__it,name__fr,name__nl,name__es,name__nb,name__da,name__nn,name__sv,wikipedia__de,wikipedia__fr,name__el,wikipedia__el,name__pl,wikipedia__commons,wikipedia__pl,name__af,name__an,name__br,name__bs,name__ca,name__ceb,name__cs,name__cy,name__eo,name__et,name__eu,name__fi,name__ga,name__gl,name__hr,name__hu,name__is,name__la,name__lb,name__lmo,name__lt,name__nds,name__nds_nl,name__pms,name__pt,name__ro,name__sk,name__sl,name__sq,name__tr,name__vec,name__wa,wikipedia__da
Omar HODGE,Omar Hodge,District 6,CCM,6,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",omar_hodge,Omar Hodge,male,Omar,,,,,,,Omar Hodge,Omar Hodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrence LETTSOME,Terrance B. Lettsome,District 7,VIP,7,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",terrance_b._lettsome,Terrance B. Lettsome,male,Terrance,1935-03-11,2007-01-12,,,,4440397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre PENN,"",District 8,UP,8,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",andre_penn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralph T. O'NEAL,Ralph T. O'Neal,District 9,VIP,9,1995,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1995",ralph_t._o'neal,Ralph T. O'Neal,male,Ralph,1933-12-15,,/m/0d1kxc,,https://upload.wikimedia.org/wikipedia/commons/b/bf/Ralph_T._O'Neal_(cropped).jpg,,Ralph T. O’Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O’Neal,,Ραλφ Ο'Νιλ,Ραλφ Ο'Νιλ,Ralph T. O'Neal,,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal
H. Lavity STOUTT,Hamilton Lavity Stoutt,District 1,VIP,1,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",hamilton_lavity_stoutt,Hamilton Lavity Stoutt,male,Hamilton,1929-03-07,1995-05-14,/m/0d1kt6,,,,Lavity Stoutt,,Lavity Stoutt,Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Lavity Stoutt,Lavity Stoutt,Λαβίτι Στάουτ,Λαβίτι Στάουτ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prince STOUTT,"",District 2,VIP,2,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",prince_stoutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver CILLS,Oliver Cills,District 3,VIP,3,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",oliver_cills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Walwyn BREWLEY,Walwyn Brewley,District 4,IND,4,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",walwyn_brewley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyril ROMNEY,Cyril Romney,District 5,IND,5,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",cyril_romney,Cyril Romney,male,Cyril,1931-03-01,2007-07-19,/m/0d1kx0,Romney,,,Cyril Romney,,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar HODGE,Omar Hodge,District 6,IPM,6,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",omar_hodge,Omar Hodge,male,Omar,,,,,,,Omar Hodge,Omar Hodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrence LETTSOME,Terrance B. Lettsome,District 7,VIP,7,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",terrance_b._lettsome,Terrance B. Lettsome,male,Terrance,1935-03-11,2007-01-12,,,,4440397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis WALTERS,"",District 8,VIP,8,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",louis_walters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralph T. O'NEAL,Ralph T. O'Neal,District 9,VIP,9,1990,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1990",ralph_t._o'neal,Ralph T. O'Neal,male,Ralph,1933-12-15,,/m/0d1kxc,,https://upload.wikimedia.org/wikipedia/commons/b/bf/Ralph_T._O'Neal_(cropped).jpg,,Ralph T. O’Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O’Neal,,Ραλφ Ο'Νιλ,Ραλφ Ο'Νιλ,Ralph T. O'Neal,,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal
H. Lavity Stoutt,Hamilton Lavity Stoutt,District 1,VIP,1,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",hamilton_lavity_stoutt,Hamilton Lavity Stoutt,male,Hamilton,1929-03-07,1995-05-14,/m/0d1kt6,,,,Lavity Stoutt,,Lavity Stoutt,Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Lavity Stoutt,Lavity Stoutt,Λαβίτι Στάουτ,Λαβίτι Στάουτ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conrad Maduro,Conrad Maduro,District 2,UP,2,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",conrad_maduro,Conrad Maduro,male,Conrad,,,,,,,Conrad Maduro,Conrad Maduro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Cills,Oliver Cills,District 3,VIP,3,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",oliver_cills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Walwyn Brewley,Walwyn Brewley,District 4,IND,4,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",walwyn_brewley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyril Romney,Cyril Romney,District 5,IND,5,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",cyril_romney,Cyril Romney,male,Cyril,1931-03-01,2007-07-19,/m/0d1kx0,Romney,,,Cyril Romney,,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar Hodge,Omar Hodge,District 6,VIP,6,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",omar_hodge,Omar Hodge,male,Omar,,,,,,,Omar Hodge,Omar Hodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrance B. Lettsome,Terrance B. Lettsome,District 7,VIP,7,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",terrance_b._lettsome,Terrance B. Lettsome,male,Terrance,1935-03-11,2007-01-12,,,,4440397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis Walters,"",District 8,VIP,8,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",louis_walters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralph T. O'Neal,Ralph T. O'Neal,District 9,UP,9,1986,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1986",ralph_t._o'neal,Ralph T. O'Neal,male,Ralph,1933-12-15,,/m/0d1kxc,,https://upload.wikimedia.org/wikipedia/commons/b/bf/Ralph_T._O'Neal_(cropped).jpg,,Ralph T. O’Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O’Neal,,Ραλφ Ο'Νιλ,Ραλφ Ο'Νιλ,Ralph T. O'Neal,,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal
H. Lavity Stoutt,Hamilton Lavity Stoutt,District 1,VIP,1,1983,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1983",hamilton_lavity_stoutt,Hamilton Lavity Stoutt,male,Hamilton,1929-03-07,1995-05-14,/m/0d1kt6,,,,Lavity Stoutt,,Lavity Stoutt,Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Lavity Stoutt,Lavity Stoutt,Λαβίτι Στάουτ,Λαβίτι Στάουτ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conrad Maduro,Conrad Maduro,District 2,UP,2,1983,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1983",conrad_maduro,Conrad Maduro,male,Conrad,,,,,,,Conrad Maduro,Conrad Maduro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earl Fraser,"",District 3,UP,3,1983,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1983",earl_fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Walwyn Brewley,Walwyn Brewley,District 4,UP,4,1983,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1983",walwyn_brewley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyril Romney,Cyril Romney,District 5,Ind,5,1983,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1983",cyril_romney,Cyril Romney,male,Cyril,1931-03-01,2007-07-19,/m/0d1kx0,Romney,,,Cyril Romney,,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar Hodge,Omar Hodge,District 6,VIP,6,1983,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1983",omar_hodge,Omar Hodge,male,Omar,,,,,,,Omar Hodge,Omar Hodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrance B. Lettsome,Terrance B. Lettsome,District 7,VIP,7,1983,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1983",terrance_b._lettsome,Terrance B. Lettsome,male,Terrance,1935-03-11,2007-01-12,,,,4440397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willard Wheatley,Willard Wheatley,District 8,UP,8,1983,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1983",willard_wheatley,Willard Wheatley,male,Willard,1915-07-16,1997-01-22,,,,,Willard Wheatley,,Willard Wheatley,Willard Wheatley,Willard Wheatley,Willard Wheatley,Willard Wheatley,Willard Wheatley,Willard Wheatley,Willard Wheatley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralph T. O'Neal,Ralph T. O'Neal,District 9,VIP,9,1983,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1983",ralph_t._o'neal,Ralph T. O'Neal,male,Ralph,1933-12-15,,/m/0d1kxc,,https://upload.wikimedia.org/wikipedia/commons/b/bf/Ralph_T._O'Neal_(cropped).jpg,,Ralph T. O’Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O’Neal,,Ραλφ Ο'Νιλ,Ραλφ Ο'Νιλ,Ralph T. O'Neal,,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal,Ralph T. O'Neal
H. Lavity Stoutt,Hamilton Lavity Stoutt,District 1,VIP,1,1979,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1979",hamilton_lavity_stoutt,Hamilton Lavity Stoutt,male,Hamilton,1929-03-07,1995-05-14,/m/0d1kt6,,,,Lavity Stoutt,,Lavity Stoutt,Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Lavity Stoutt,Lavity Stoutt,Λαβίτι Στάουτ,Λαβίτι Στάουτ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prince Stoutt,"",District 2,VIP,2,1979,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1979",prince_stoutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Cills,"",District 3,VIP,3,1979,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1979",oliver_cills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alban Ulric Anthony,"",District 4,VIP,4,1979,"https://en.wikipedia.org/wiki/British_Virgin_Islands_general_election,_1979",alban_ulric_anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
