id,name__en,name,image,gender,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__SUDOC,honorific_prefix,birth_date,identifier__freebase,family_name,given_name,identifier__ISNI,identifier__NLA,website,identifier__NNDB,death_date,identifier__Muzinger,twitter,identifier__BNF,identifier__NLI,identifier__NTA,instagram,facebook,identifier__ATP,identifier__ITF,wikipedia__en,identifier__Munzinger,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pt,name__pl,name__fr,name__ru,name__es,name__fi,name__it,name__la,name__de,name__ja,name__cs,name__fa,name__hr,name__nl,name__zh,name__sv,name__uk,name__mr,name__de_ch,name__el,name__en_ca,name__en_gb,name__he,name__id,name__ko,name__nb,name__pt_br,name__sh,name__ta,name__vi,name__hu,name__ms,name__be_tarask,name__da,name__fo,name__is,name__kl,name__nn,name__tl,name__sco,name__af,name__et,name__tr,name__ne,name__be,name__ur,name__bn,name__ro,name__sr,name__min,name__mn,name__hi,name__lt,name__bg,name__ar,name__io,name__th,name__ca,name__hy,name__mk,name__lv,name__mg,name__yi,name__ka,name__ckb,name__eo,wikipedia__af,wikipedia__ar,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__ca,wikipedia__ckb,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__he,wikipedia__hi,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__itwikiquote,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lt,wikipedia__lv,wikipedia__mg,wikipedia__min,wikipedia__mn,wikipedia__mr,wikipedia__ms,wikipedia__ne,wikipedia__nl,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__ruwikinews,wikipedia__ruwikiquote,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__ta,wikipedia__th,wikipedia__thwikiquote,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__ur,wikipedia__vi,wikipedia__yi,wikipedia__zh,name__sq,wikipedia__sq,name__si,wikipedia__si,name__nds,name__eu,name__qu,name__uz,name__vo,name__oc,name__ga,name__bi,name__hak,name__rm,name__nan,name__arz,name__ug,name__yo,name__ml,name__yue,name__ht,name__wuu,name__ku,name__sk,name__cy,name__war,name__tpi,name__ceb,name__br,name__kn,wikipedia__arz,wikipedia__bi,wikipedia__br,wikipedia__ceb,wikipedia__cswikiquote,wikipedia__cy,wikipedia__enwikisource,wikipedia__eu,wikipedia__ga,wikipedia__hak,wikipedia__ht,wikipedia__kn,wikipedia__ku,wikipedia__ml,wikipedia__oc,wikipedia__qu,wikipedia__rm,wikipedia__sk,wikipedia__tpi,wikipedia__ug,wikipedia__uz,wikipedia__vo,wikipedia__war,wikipedia__wuu,wikipedia__yo,wikipedia__zh_min_nan,wikipedia__zh_yue,wikipedia__enwikinews,name__an,name__ast,name__bar,name__co,name__de_at,name__frp,name__fur,name__gd,name__gl,name__gsw,name__ia,name__ie,name__kg,name__lb,name__li,name__lij,name__nap,name__nds_nl,name__nrm,name__pcd,name__pms,name__sc,name__scn,name__sl,name__sr_el,name__sw,name__vec,name__vls,name__wa,name__wo,name__zu,wikipedia__lb,wikipedia__mk,original_wikiname,name__szl,name__bcl,name__my,name__az,name__vep,name__ksh,name__nah,name__mwl,wikipedia__az,wikipedia__bcl,wikipedia__gd,wikipedia__ie,wikipedia__is,wikipedia__ksh,wikipedia__mwl,wikipedia__my,wikipedia__nah,wikipedia__nds,wikipedia__nn,wikipedia__plwikiquote,wikipedia__sw,wikipedia__szl,wikipedia__trwikiquote,wikipedia__vep,identifier__MusicBrainz,identifier__discogs
Q5224839,Darren Chester,Darren Chester,"https://upload.wikimedia.org/wikipedia/commons/9/9a/Darren_Chester,_Aus_Nat_Party,_Fed_MP_Gippsland,_2009.jpg",male,,,,,,1967-09-13,,,Darren,,,,,,,,,,,,,,,Darren Chester,,,,,,,,,,Darren Chester,,,,Darren Chester,,Darren Chester,,,,,Darren Chester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darren Chester,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16214788,David Coleman,David Coleman,,male,,,,,,1974-03-05,,,David,,,,,,,,,,,,,,,David Coleman (Australian politician),,,,,,,,,,David Coleman,,,,,,David Coleman,,,,,David Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Coleman (Australian politician),,,,,,,,,,,,,,,,,,,,,,,,,,
Q16213376,David Feeney,David Feeney,,male,,,,,,1970-03-05,,,David,,,,,,,,,,,,,,,David Feeney,,,,,,,,,,David Feeney,,,,,,David Feeney,,,,,David Feeney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Feeney,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16189272,David Gillespie,David Gillespie,,male,56655192,,,,,1957-12-20,,,David,,,,,,,,12190878m,,,,,,,David Gillespie (politician),,,,,,,,,,David Gillespie,,,,,,David Gillespie,,,,,David Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Gillespie (politician),,,,,,,,,,,,,,,,,,,,,,,,,,
Q5516953,Gai Brodtmann,Gai Brodtmann,,female,,,,,,1963-11-24,,,,,,,,,,,,,,,,,,Gai Brodtmann,,,,,,,,,,Gai Brodtmann,,Gai Brodtmann,,Gai Brodtmann,,Gai Brodtmann,,,,,Gai Brodtmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gai Brodtmann,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5537893,George Christensen,George Christensen,,male,,,,,,1978-06-30,,,George,,,,,,,,,,,,,,,George Christensen (politician),,,,,,,,,,,,,,,,George Christensen,,,,,George Christensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Christensen (politician),,,,,,,,,,,,,,,,,,,,,,,,,,
Q6146653,Jamie Briggs,Jamie Briggs,https://upload.wikimedia.org/wikipedia/commons/2/22/Jamie_Briggs.jpg,male,,,,,,1977-06-09,,,Jamie,,,,,,,,,,,,,,,Jamie Briggs,,,,,,,,,,,,,,,,Jamie Briggs,,,,,Jamie Briggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamie Briggs,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6162219,Jason Clare,Jason Clare,https://upload.wikimedia.org/wikipedia/commons/6/61/Jason_Clare_portrait_2010.jpg,male,,,,,,1972-03-22,,,Jason,,,,,,,,,,,,,,,Jason Clare,,,,,,,,,,,,Jason Clare,,,,Jason Clare,,,,,Jason Clare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jason Clare,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16217223,Jim Chalmers,Jim Chalmers,,male,,,,,,1978-03-02,,,Jim,,,,,,,,,,,,,,,Jim Chalmers (Queensland politician),,,,,,,,,,Jim Chalmers,,,,,,Jim Chalmers,,,,,Jim Chalmers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jim Chalmers (Queensland politician),,,,,,,,,,,,,,,,,,,,,,,,,,
Q3180236,Joel Fitzgibbon,Joel Fitzgibbon,https://upload.wikimedia.org/wikipedia/commons/4/40/JoelFitz.JPG,male,,,,,,1962-01-16,/m/02qn62,,Joel,,,,,,,,,,,,,,,Joel Fitzgibbon,,,,,,,,,Joel Fitzgibbon,Joel Fitzgibbon,,Joel Fitzgibbon,,,,Joel Fitzgibbon,,,,,Joel Fitzgibbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joel Fitzgibbon,,,,,,,,,,,,,,,,,,,,,,,,Joel Fitzgibbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joel Fitzgibbon,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6226446,John Cobb,John Cobb,https://upload.wikimedia.org/wikipedia/commons/3/33/John_Cobb_(MP).jpg,male,,,,,,1950-02-11,,,John,,,,,,,,,,,,,,,John Cobb (Australian politician),,,,,,,,,,John Cobb,,John Cobb,,,,John Cobb,,,,,John Cobb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Cobb (Australian politician),,,,,,,,,,,,,,,,,,,,,,,,,,
Q6288876,Josh Frydenberg,Josh Frydenberg,,male,,,,,,1971-07-17,,,Josh,,,,,,,,,,,,,,,Josh Frydenberg,,,,,,,,,Josh Frydenberg,Josh Frydenberg,,Josh Frydenberg,,,,Josh Frydenberg,,,,,Josh Frydenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Frydenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Frydenberg,,,,,,,,,,,,,,,,,,,,,,,,,,
Q434858,Julie Bishop,Julie Bishop,https://upload.wikimedia.org/wikipedia/commons/4/43/Julie_Bishop_2014.jpg,female,95123670,,,,,1956-07-17,/m/02pz7_,Bishop,Julie,,,http://www.juliebishop.com.au,341/000173819,,,,,,,,,,,Julie Bishop,,,,,,,,,Julie Bishop,Julie Bishop,Джули Бишоп,Julie Bishop,,,,Julie Bishop,,,جولی بیشاپ,,Julie Bishop,朱莉·毕晓普,,Джулія Бішоп,,,,,,ג'ולי בישופ,Julie Bishop,,,,,,Julie Bishop,,,,,,,,,,,,,,,,,জুলি বিশপ,,,,,,,,,,,,,,,,,,,,,,,,,জুলি বিশপ,,,,,,Julie Bishop (Politikerin),,,,Julie Bishop,,جولی بیشاپ,,Julie Bishop (femme politique),ג'ולי בישופ,,,,,Julie Bishop,,,,,,,,,,,,,,,,,,Julie Bishop,,,"Бишоп, Джули",,,,,Julie Bishop (politician),,,,,,,,Джулі Бішоп,,Julie Bishop,,朱莉·毕晓普,,,ජුලී බිෂොප්,ජුලී බිෂොප්,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julie Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6308091,Julie Collins,Julie Collins,,female,,,,,,1971-07-03,,,Julie,,,,,,,,,,,,,,,Julie Collins,,,,,,,,,Julie Collins,Julie Collins,,,,,,Julie Collins,,,,,Julie Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julie Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julie Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
