name,wikiname,area,group,term,source,id,name__en,wikipedia__en,gender,birth_date,given_name,family_name,image,identifier__freebase,name__fr,name__nl,name__de,wikipedia__fr,name__pt,name__pl,name__ru,name__es,name__tr,name__yo,name__oc,name__fi,name__uk,name__gl,name__et,name__id,name__el,name__io,name__sv,name__ar,name__nb,name__da,name__nn,wikipedia__ar,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__gl,wikipedia__id,wikipedia__io,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__yo,name__it,name__he,name__mr,name__ko,name__ja,name__ca,name__zh_hans,name__de_ch,name__en_ca,name__en_gb,name__pt_br,name__zh,wikipedia__da,wikipedia__he,wikipedia__ja,wikipedia__ko,wikipedia__mr,wikipedia__simple,wikipedia__zh,identifier__wikidata
Glenys Hanna Martin,Glenys Hanna Martin,Englerston,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q19561395,Glenys Hanna Martin,Glenys Hanna Martin,female,,Glenys,Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q19561395
Anthony Moss,"",Exumas & Ragged Island,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Rollins,"",Fort Charlotte,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Mitchell,Fred Mitchell (Bahamas),Fox Hill,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q3086904,Fred Mitchell,Fred Mitchell (Bahamas),male,1953-10-05,Fred,,,,Fred Mitchell,Fred Mitchell,Fred Mitchell,Fred Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3086904
Kendal Major,"",Garden Hills,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Gibson,Shane Gibson (politician),Golden Gates,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q7488076,Shane Gibson,Shane Gibson (politician),male,1961-09-07,Shane,,,,Shane Gibson,Shane Gibson,Shane Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7488076
Michael Halkitis,"",Golden Isles,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubert Minnis,Hubert Minnis,Killarney,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q16732648,Hubert Minnis,Hubert Minnis,male,,Hubert,,,,,,Hubert Minnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hubert Minnis,,,,,,,,,,,,,,,,,,,Q16732648
Loretta Butler-Turner,"",Long Island,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picewell Forbes,"",Mangrove Cay & South Andros,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Fitzgerald,"",Marathon,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregory Moss,"",Marco City,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. Alfred Gray,"","Mayaguana, Inagua, Crooked Island, Acklins and Long Cay",PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Lightbourn,"",Montagu,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnold Forbes,"",Mount Moriah,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dion Smith,"",Nassau Village,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubert Ingraham,Hubert Ingraham,North Abaco,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q317664,Hubert Ingraham,Hubert Ingraham,male,1947-08-04,Hubert,,https://upload.wikimedia.org/wikipedia/commons/5/58/Hubert_Ingraham.jpg,/m/0367n9,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,"Ингрэм, Хьюберт",Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Г'юберт Інгрем,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Χιούμπερτ Ίνγκραχαμ,Hubert Ingraham,Hubert Ingraham,هوبرت إنغراهام,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,هوبرت إنغراهام,Hubert Ingraham,Χιούμπερτ Ίνγκραμ,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,"Ингрэм, Хьюберт",Hubert Ingraham,Hubert Ingraham,Г'юберт Інгрем,Hubert Ingraham,,,,,,,,,,,,,,,,,,,,Q317664
Perry Gomez,Perry Gomez,North Andros & Berry Islands,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q7169784,Perry Gomez,Perry Gomez,male,1947-01-18,Perry,,,,Perry Gomez,Perry Gomez,Perry Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q7169784
Theo Neilly,"",North Eleuthera,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Darville,"",Pineridge,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khaalis Rolle,"",Pinewood,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope Strachan,Hope Strachan,Seabreeze,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q19661243,Hope Strachan,Hope Strachan,female,,Hope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q19661243
Cleola Hamilton,"",South Beach,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendrick Dorsett,"",Southern Shores,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubert Chipman,"",St. Anne's,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leslie Miller,"",Tall Pines,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obediah Wilchcombe,"",West Grand Bahama & Bimini,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanie Griffin,Melanie Griffin,Yamacraw,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q18921815,Melanie Griffin,Melanie Griffin,female,,Melanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melanie Griffin,,,,,,,,,,,,,,,,,,,Q18921815
