id,name__lb,name,wikipedia__lb,name__fr,wikipedia__fr,name__de,wikipedia__de,name__en,wikipedia__en,gender,birth_date,given_name,image,identifier__PACE,identifier__VIAF,identifier__SUDOC,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__freebase,identifier__NTA,identifier__Munzinger,identifier__EuroparlMEP,website,family_name,identifier__parlement
Q15621632,Maggy Nagel,Maggy Nagel,Maggy Nagel,Maggy Nagel,Maggy Nagel,Maggy Nagel,Maggy Nagel,Maggy Nagel,"",female,1957-08-25,Maggy,,,,,,,,,,,,,,,
Q16439698,Marc Lies,Marc Lies,Marc Lies,Marc Lies,"",Marc Lies,"",Marc Lies,"",male,1968-12-30,Marc,,,,,,,,,,,,,,,
Q6755887,Marc Spautz,Marc Spautz,Marc Spautz,Marc Spautz,"",Marc Spautz,Marc Spautz,Marc Spautz,Marc Spautz,male,1963-04-10,Marc,,,,,,,,,,,,,,,
Q3866853,Marcel Oberweis,Marcel Oberweis,Marcel Oberweis,Marcel Oberweis,"",Marcel Oberweis,"",Marcel Oberweis,"",male,1949-04-09,Marcel,,,,,,,,,,,,,,,
Q337129,Marco Schank,Marco Schank,Marco Schank,Marco Schank,"",Marco Schank,Marco Schank,Marco Schank,Marco Schank,male,1954-10-10,Marco,https://upload.wikimedia.org/wikipedia/commons/4/48/Marco-Schank-mat-Krimi--w.jpg,,80677443,,,136310834,,,,,,,,,
Q12155944,Martine Hansen,Martine Hansen,Martine Hansen,Martine Hansen,"",Martine Hansen,"",Martine Hansen,"",female,1965-12-10,Martine,,,,,,,,,,,,,,,
Q13104062,Martine Mergen,Martine Mergen,Martine Mergen,Martine Mergen,"",,"",Martine Mergen,"",female,1956-08-30,Martine,,,,,,,,,,,,,,,
Q13104099,Max Hahn,Max Hahn,Max Hahn,,"",,"",Max Hahn,"",male,1981-04-30,Max,,,,,,,,,,,,,,,
Q1384206,Michel Wolter,Michel Wolter,Michel Wolter,Michel Wolter,Michel Wolter,Michel Wolter,Michel Wolter,Michel Wolter,Michel Wolter,male,1962-09-13,Michel,https://upload.wikimedia.org/wikipedia/commons/1/15/Woltermich.jpg,,,,,,,,/m/075nt7,,,,,,
Q1920283,Nancy Arendt,Nancy Arendt,Nancy Arendt,Nancy Kemp-Arendt,"",Nancy Kemp-Arendt,"",Nancy Kemp-Arendt,Nancy Kemp-Arendt,female,1969-05-22,Nancy,,,,,,,,,,,,,,,
Q7076803,Octavie Modert,Octavie Modert,Octavie Modert,Octavie Modert,"",Octavie Modert,"",Octavie Modert,Octavie Modert,female,1966-11-15,Octavie,,,,,,,,,,,,,,,
Q7148916,Paul-Henri Meyers,Paul-Henri Meyers,Paul-Henri Meyers,Paul-Henri Meyers,"",Paul-Henri Meyers,"",Paul-Henri Meyers,Paul-Henri Meyers,male,1937-01-01,Paul,,,,,,,,,,,,,,,
Q1383541,Roy Reding,Roy Reding,Roy Reding,Roy Reding,"",Roy Reding,Roy Reding,Roy Reding,Roy Reding,male,1965-07-17,Roy,,,,,,,,,,,,,,,
Q13105016,Serge Urbany,Serge Urbany,Serge Urbany,Serge Urbany,"",,"",Serge Urbany,"",male,1952-02-13,Serge,,,,,,,,,,,,,,,
Q16440329,Serge Wilmes,Serge Wilmes,Serge Wilmes,Serge Wilmes,"",Serge Wilmes,"",Serge Wilmes,"",male,1982-05-06,Serge,,,,,,,,,,,,,http://serge-wilmes.lu/,,
Q13105042,Simone Beissel,Simone Beissel,Simone Beissel,Simone Beissel,"",Simone Beissel,Simone Beissel,Simone Beissel-Merten,"",female,1953-04-27,Simone,,,90821137,,,138539030,,,,,,,,,
Q16438812,Sylvie Andrich-Duval,Sylvie Andrich-Duval,Sylvie Andrich-Duval,Sylvie Andrich-Duval,"",Sylvie Andrich-Duval,"",Sylvie Andrich-Duval,"",female,1958-08-22,Sylvie,,,,,,,,,,,,,,,
Q561213,Xavier Bettel,Xavier Bettel,Xavier Bettel,Xavier Bettel,Xavier Bettel,Xavier Bettel,Xavier Bettel,Xavier Bettel,Xavier Bettel,male,1973-03-03,Xavier,"https://upload.wikimedia.org/wikipedia/commons/f/f9/Xavier_Bettel,_Luxembourg_supports_Charlie_Hebdo-102.jpg",,,,,,,,/m/05s_htf,,,,,,vjf8cl6dqpj1
Q534798,Alex Bodry,Alex Bodry,Alex Bodry,Alex Bodry,Alex Bodry,Alex Bodry,Alex Bodry,Alex Bodry,Alex Bodry,male,1958-10-03,Alex,https://upload.wikimedia.org/wikipedia/commons/5/5d/Bodry_Gretsch.jpg,,315939950,,,1069571156,,,/m/0753z4,,,,,,
Q5026643,Camille Gira,Camille Gira,Camille Gira,Camille Gira,"",Camille Gira,"",Camille Gira,Camille Gira,male,1958-06-02,Camille,,,,,,,,,,,,,,,
Q16440320,Christiane Wickler,Christiane Wickler,Christiane Wickler,Christiane Wickler,"",,"",Christiane Wickler,"",female,1960-02-21,Christiane,,,,,,,,,,,,,,,
Q13680517,Claude Haagen,Claude Haagen,Claude Haagen,Claude Haagen,"",Claude Haagen,Claude Haagen,Claude Haagen,"",male,1962-05-18,Claude,,,,,,,,,,,,,,,
Q16439045,Claudia Dall'Agnol,Claudia Dall'Agnol,Claudia Dall'Agnol,Claudia Dall'Agnol,"",,"",Claudia Dall'Agnol,"",female,1973-04-06,Claudia,,,,,,,,,,,,,,,
Q16439392,Cécile Hemmen,Cécile Hemmen,Cécile Hemmen,,"",,"",Cécile Hemmen,"",female,1955-11-06,Cécile,,,,,,,,,,,,,,,
Q13102261,Dan Kersch,Dan Kersch,Dan Kersch,Dan Kersch,"",Dan Kersch,Dan Kersch,Dan Kersch,"",male,1961-12-27,Dan,,,,,,,,,,,,,,,
Q14525629,Etienne Schneider,Etienne Schneider,Etienne Schneider,Etienne Schneider,Etienne Schneider,Etienne Schneider,Etienne Schneider,Etienne Schneider,Etienne Schneider,male,1971-01-29,Etienne,https://upload.wikimedia.org/wikipedia/commons/0/0c/Etienne_Schneider_2012-05.jpg,,198813506,,,,,,,,,,,Schneider,
Q16439160,Franz Fayot,Franz Fayot,Franz Fayot,Franz Fayot,"",,"",Franz Fayot,"",male,1972-02-28,Franz,,,,,,,,,,,,,,,
Q16438835,Fränk Arndt,Fränk Arndt,Fränk Arndt,,"",,"",Fränk Arndt,"",male,1959-06-10,Fränk,,,,,,,,,,,,,,,
Q15275462,Félix Braz,Félix Braz,Félix Braz,Félix Braz,Félix Braz,Félix Braz,Félix Braz,Félix Braz,"",male,1966-03-16,Félix,,,,,,,,,,,,,,,
Q13102779,Georges Engel,Georges Engel,Georges Engel,Georges Engel,"",Georges Engel,"",Georges Engel,"",male,1968-09-07,Georges,,,,,,,,,,,,,,Engel,
Q17425476,Gérard Anzia,Gérard Anzia,Gérard Anzia,Gérard Anzia,Gérard Anzia,Gérard Anzia,Gérard Anzia,Gérard Anzia,"",male,1966-11-06,Gérard,,,,,,,,,,,,,,,
Q13103001,Henri Kox,Henri Kox,Henri Kox,Henri Kox,Henri Kox,Henri Kox,Henri Kox,Henri Kox,"",male,1961-05-07,Henri,,,,,,,,,,,,,,,
Q58200,Jean Asselborn,Jean Asselborn,Jean Asselborn,Jean Asselborn,Jean Asselborn,Jean Asselborn,Jean Asselborn,Jean Asselborn,Jean Asselborn,male,1949-04-27,Jean,https://upload.wikimedia.org/wikipedia/commons/3/35/Jean_Asselborn.jpg,,298820724,,,1032878193,,,/m/0893ms,,,,,,
Q16439723,Josée Lorsché,Josée Lorsché,Josée Lorsché,Josée Lorsché‎,Josée Lorsché,Josée Lorsché‎,Josée Lorsché,Josée Lorsché,"",female,1961-09-09,Josée,,,,,,,,,,,,,,,
Q6707666,Lydia Mutsch,Lydia Mutsch,Lydia Mutsch,Lydia Mutsch,"",Lydia Mutsch,Lydia Mutsch,Lydia Mutsch,Lydia Mutsch,female,1961-08-17,Lydia,https://upload.wikimedia.org/wikipedia/commons/b/b9/MutschLydia.jpg,,,,,,,,,,,,,,
Q15951419,Marc Angel (Politiker),Marc Angel (Politiker),Marc Angel (Politiker),Marc Angel,"",,"",Marc Angel,"",male,1963-03-12,Marc,,,,,,,,,,,,,,,
Q13104358,Nicolas Schmit,Nicolas Schmit,Nicolas Schmit,Nicolas Schmit,Nicolas Schmit,Nicolas Schmit,Nicolas Schmit,Nicolas Schmit,Nicolas Schmit,male,1953-12-10,Nicolas,,,190887539,,,,,,,,,,,,
Q16440237,Roberto Traversini,Roberto Traversini,Roberto Traversini,Roberto Traversini,Roberto Traversini,Roberto Traversini,Roberto Traversini,Roberto Traversini,"",male,1963-01-03,Roberto,,,,,,,,,,,,,,,
Q13104862,Roger Negri,Roger Negri,Roger Negri,Roger Negri,"",,"",Roger Negri,"",male,1954-02-07,Roger,,,,,,,,,,,,,,,
Q3247154,Romain Schneider,Romain Schneider,Romain Schneider,Romain Schneider,"",Romain Schneider,Romain Schneider,Romain Schneider,Romain Schneider,male,1962-04-15,Romain,,,,,,,,,,,,,,Schneider,
Q16438964,Taina Bofferding,Taina Bofferding,Taina Bofferding,Taina Bofferding,"",,"",Taina Bofferding,"",female,1982-11-22,Taina,,,,,,,,,,,,,,,
Q16438991,Tess Burton,Tess Burton,Tess Burton,Tess Burton,"",,"",Tess Burton,"",female,1985-06-10,Tess,,,,,,,,,,,,,,,
Q13105385,Viviane Loschetter,Viviane Loschetter,Viviane Loschetter,Viviane Loschetter,Viviane Loschetter,Viviane Loschetter,Viviane Loschetter,Viviane Loschetter,"",female,1959-04-10,Viviane,https://upload.wikimedia.org/wikipedia/commons/5/58/Viviane-Loschetter--w.jpg,,,,,,,,,,,,,,
Q13105458,Yves Cruchten,Yves Cruchten,Yves Cruchten,Yves Cruchten,"",,"",Yves Cruchten,"",male,1975-05-01,Yves,,,,,,,,,,,,,,,
