name,wikiname,area,religion,group,party_wikiname,term,source,id,name__en,name__ar,name__es,name__de,name__fr,name__nl,wikipedia__ar,wikipedia__en,gender,name__pl,wikipedia__de,wikipedia__fr,wikipedia__pl,birth_date,identifier__freebase,given_name,name__it,name__ja,wikipedia__ja,image,identifier__viaf,name__he,wikipedia__he,death_date,name__mg,wikipedia__mg,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__yo,name__ms,name__id,name__el,name__sv,name__pt,name__ru,name__tr,name__ca,name__fi,name__nn,name__frp,name__bg,name__nb,name__zh,name__pam,name__scn,wikipedia__bg,wikipedia__ca,wikipedia__commons,wikipedia__el,wikipedia__es,wikipedia__fi,wikipedia__frp,wikipedia__id,wikipedia__it,wikipedia__itwikiquote,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__pam,wikipedia__pt,wikipedia__ru,wikipedia__scn,wikipedia__simple,wikipedia__sv,wikipedia__tr,wikipedia__yo,wikipedia__zh,identifier__sudoc,identifier__munzinger,name__yi,name__hy,name__la,name__sl,name__fa,wikipedia__fa,wikipedia__hy,wikipedia__la,wikipedia__sl,wikipedia__yi,identifier__isni,identifier__gnd,identifier__lcauth,identifier__bnf,identifier__nli,name__arz,name__cs,wikipedia__arz,name__oc,name__gl,name__io,name__sh,name__hu,name__et,name__pt_br,wikipedia__cs,wikipedia__et,wikipedia__gl,wikipedia__hu,wikipedia__io,wikipedia__oc,wikipedia__sh,website,name__eu,name__eo,name__th,wikipedia__eo,wikipedia__eu,wikipedia__th,name__cy,wikipedia__cy,wikipedia__enwikiquote,identifier__imdb,name__br,wikipedia__br,family_name,name__en_ca,name__en_gb,name__ko,name__vi,name__uk,name__ie,wikipedia__ie,wikipedia__ko,wikipedia__uk,wikipedia__vi
Hachem Alameddine,"",Minyeh,Sunni,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmad Fatfat,Ahmad Fatfat,Dinniyeh,Sunni,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q400641,Ahmad Fatfat,أحمد فتفت,Ahmad Fatfat,Ahmad Fatfat,Ahmad Fatfat,Ahmad Fatfat,أحمد فتفت,Ahmad Fatfat,male,Ahmad Fatfat,Ahmad Fatfat,Ahmad Fatfat,Ahmad Fatfat,1953-03-28,/m/0f2nyk,Ahmad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kassem Abdulaziz,"",Dinniyeh,Sunni,Safadi Bloc,Tripoli Bloc,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Safadi,Mohammad Safadi,Tripoli,Sunni,Safadi Bloc,Tripoli Bloc,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q3318961,Mohammad Safadi,محمد الصفدي,Mohammad Safadi,Mohammad Safadi,Mohammad Safadi,Mohammad Safadi,محمد الصفدي,Mohammad Safadi,male,Mohammad Safadi,,Mohammad Safadi,Mohammad Safadi,1944-03-28,/m/0n52czp,Mohammad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Najib Mikati,Najib Mikati,Tripoli,Sunni,Tripolitan Solidarity Bloc,Najib Mikati,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q318493,Najib Mikati,نجيب ميقاتي,Najib Mikati,Nadschib Miqati,Najib Mikati,Najib Mikati,نجيب ميقاتي,Najib Mikati,male,Nadżib Mikati,Nadschib Miqati,Najib Mikati,Nadżib Mikati,1955-11-24,/m/05sstd,,,ナジーブ・ミーカーティー,ナジーブ・ミーカーティー,https://upload.wikimedia.org/wikipedia/commons/2/23/Miktai.jpg,,נג'יב מיקאתי,נג'יב מיקאתי,,,,纳吉布·米卡提,納吉布·米卡提,納吉布·米卡提,纳吉布·米卡提,纳吉布·米卡提,納吉布·米卡提,,Najib Mikati,Najib Mikati,,,Najib Mikati,"Микати, Наджиб",Necip Mikati,Najib Mikati,Najib Mikati,,,,,納吉布·米卡提,Najib Mikati,,,Najib Mikati,,,Najib Mikati,Najib Mikati,,Najib Mikati,,,Najib Mikati,Najib Mikati,,,Najib Mikati,,"Микати, Наджиб",,,,Necip Mikati,,納吉布·米卡提,,,,,,,نجیب میقاتی,نجیب میقاتی,,,,,,,,,,,Nadžíb Míkátí,,Najib Mikati,Najib Mikati,Najib Azmi Mikati,Najib Mikati,Nádzsib Mikati,Najīb Mīqātī,Najib Mikati,Nadžíb Míkátí,Najīb Mīqātī,Naxib Miqati,Nadzsíb Míkáti,Najib Azmi Mikati,Najib Mikati,Najib Mikati,http://www.najib-mikati.net/indexArabic.aspx,,,,,,,,,,,,,,,,,,,,,,,
Ahmad Karami,Ahmad Karami,Tripoli,Sunni,Tripolitan Solidarity Bloc,Najib Mikati,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q4695381,Ahmad Karami,أحمد كرامي,Ahmad Karami,Ahmad Karami,Ahmad Karami,Ahmad Karami,أحمد كرامي,Ahmad Karami,male,Ahmad Karami,,,Ahmad Karami,1944-08-29,,Ahmad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samir el Jisr,"",Tripoli,Sunni,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Kabbara,"",Tripoli,Sunni,Independent within 14 March,"",2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badr Wannous,"",Tripoli,Alawite,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Fadel,Robert Fadel,Tripoli,Greek Orthodox,Independent within 14 March,"",2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q3435074,Robert Fadel,روبير فاضل,Robert Fadel,Robert Fadel,Robert Fadel,Robert Fadel,روبير فاضل,Robert Fadel,male,,,Robert Fadel,,1970-01-12,,Robert,,,,,324180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samer Saadeh,"",Tripoli,Maronite,Kataeb,Kataeb,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleiman Frangieh,"Suleiman Frangieh, Jr.",Zgharta,Maronite,Marada Movement,Marada Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2915518,Suleiman Frangieh,سليمان طوني فرنجيّة,"Suleiman Frangieh, Jr.",Suleiman Frangieh,Soleimane Frangié Jr,"Suleiman Frangieh, Jr.",سليمان طوني فرنجية,"Suleiman Frangieh, Jr.",male,Sulajman Tony Farandżijja,,Soleimane Frangié Jr,Sulajman Tony Farandżijja,1965-10-18,/m/0b42j6,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6f/Sleiman_Frangieh_2.jpg,,סולימאן פרנג'יה הבן,סולימאן פרנג'יה הבן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suleiman Frangieh,,,,,Suleiman Frangieh (iunior),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salim Karam,Salim Bey Karam,Zgharta,Maronite,Marada Movement,Marada Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q7404555,Salim Bey Karam,,Salim Bey Karam,Salim Bey Karam,Salim Bey Karam,,,Salim Bey Karam,male,Salim Karam,,,Salim Karam,1946-05-21,,Salim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estephan Douaihy,Estephan Douaihy,Zgharta,Maronite,Marada Movement,Marada Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farid Makari,Farid Makari,Koura,Greek Orthodox,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q3066903,Farid Makari,فريد مكاري,,Farid Makari,Farid Makari,Farid Makari,فريد مكاري,Farid Makari,male,Farid Makari,,Farid Makari,Farid Makari,1947-01-01,/m/0glsmfn,Farid,,,,,,,,,Farid Makari,Farid Makari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
